[00:01.600] 完全
[00:03.600] 我就告诉你没有米粒儿
[00:06.160] 来。
[00:07.580] 好的。
[00:09.830] 你好时间。
[00:11.710] 二手车展区的。
[00:15.320] 不过还好吗？
[00:17.270] 拍拉着刷。
[00:19.560] 刘天纵。
[00:24.320] 叫苹果。
[00:26.450] IPhone。
[00:27.910] 要苹果的。
[00:30.010] 泡吧、
[00:35.480] 红
[00:36.560] 宏大。
[00:59.800] 不是刘先生。
[01:20.830] 然后是刘先生您。
[01:23.150] 对好那个是。
[01:26.520] 刘先生良好，百得利奔驰销售了理工科，行了，这我名片他们第一次来电您对。
[01:32.750] 之前电话没听过吗？没有，头一次头一次咱们水有茶水，咖啡矿泉水需要吗？行一会再说，行照样跟我说，看看角B吗？
[01:43.260] 对。
[01:45.690] 你看一下看看。
[01:47.930] 介绍之前，咱们这有一个公司跟你说一下，
[01:52.210] 客户为根，以礼相待，重新经营，合法得体，明码标价平台证明配点其它经营公式，大多数。
[01:58.260] 绝不平板销售，超市消费绝不是简单就好，有一天计划088188好的好，对是。
[02:05.720] 想预算买什么价位的？
[02:08.110] 30万以里32也能有优惠吗是吧？对，要不开运费估计得
[02:13.450] 要对不含优惠的超大优惠完了就差不多了，咱们的优惠是综合优惠还是现金用？
[02:20.600] 基本上以现金为主，对为主。
[02:24.040] 1.3T高功版的
[02:27.530] 要全下来，能控制在301,000
[02:30.910] 130万一笔，
[02:33.720] 万200，所以差大差不差对吧？
[02:38.430] 时间30万，
[02:40.240] 国际几块3万出头，30万100分，
[02:44.470] 差不多差不太多，考虑过全款分期目前
[02:50.300] 咱们分期有什么分期的话，咱们奔驰第一个承诺客户不收分期服务费的品牌。
[02:56.250] 第二个来说的话PSP的利息都非常低，一个多点的利息，
[03:01.510] 这样的话比您存银行什么到低很多，所以说可以考虑一下。
[03:06.850] 增生也是小全款分期。
[03:10.020] 分期有利息。
[03:12.470] 但是免手续费，对热来点的利息等于随便存个银行都什么后面办手机里
[03:19.610] 必须得车子全抵押，跟那个房子一样，对，然后在鞋里，但他特别简单，现在都不需要您单独，应该左上角
[03:26.230] 都不需要您单独跑了，老婆给弄一下。
[03:30.280] 他前台羊角给掰直了后边就行了。
[03:33.830] 用白纸头在这正常脚步就可以。
[03:37.720] 要二胎特意能调前后吗？可以调。
[03:42.240] 对。
[03:42.930] 我不然这我也太小。
[03:47.720] 可以条件后，因为本身他就是说
[03:50.200] 说到您用第三排的时候，他肯定
