[00:00.000] 在接待李女士
[00:01.920] 一车的
[00:05.020] 上新推荐的，
[00:07.190] 看迈巴赫。
[00:13.080] 不好意思让你了。
[00:15.630] 看一眼那车是吧？
[00:20.480] 准备一个接待流程，把流程说不好意思，这是我名片。
[00:25.240] 咱们这的AMD销售主管。
[00:27.150] 然后这是咱们服务中心客户一分米商代诚信经营和法则。
[00:32.190] 明码报价，公开透明配件渠道进行公示。
[00:35.020] 绝对不捆绑销售强制消费，
[00:37.160] 绝不使用假假以后电话4008818，我们所有的车都在我另外一个公司，一定是开车来的还是开车了。
[00:44.440] 那座您车过去看一眼合适吗？
[00:47.910] 您踩着。
[00:49.890] 我们在这喝洋墨水，甚至还去那边。
[00:52.480] 我问一下那边要。
[01:09.520] 卖车那边。
[01:12.290] 规章拿钥匙。
[01:17.550] 买
[01:33.600] 水、
[01:55.330] 了
[01:56.520] 五
[01:57.480] 怎么办？西先技能把这个事儿
[02:01.520] 短路，
[02:02.720] 然后再准备。
[02:04.440] 这一条管住不是。
[02:06.000] 然后再接着走我
[02:08.030] 而且D你把这车往下挪，点一边哭，外边哥一个健全的出版地之心，这是大师。
[02:17.330] 不行是吧？
[02:20.740] 而这也是我给你说，
[02:23.190] 我说
[02:27.650] 要求天的中药材销售。
[02:30.560] 经销商北京没指标的。
[02:33.580] 留这边。
[02:34.460] 不知道，刚才就约咱那由指标
[02:38.270] 等等。
[02:39.420] 我不是说咱们你知道了，
[02:41.680] 然后你说没有，也不知道你们俩一把执行指标吗？
[02:46.480] 大知道他们都好，要昨天你全部进去知道能不能干，但是店里面长来反应，我跟我说
[02:53.070] 我说有指标，然后不用整了，咱这指标不能联手说用药上摔。
[02:59.760] 然后我说
[03:02.290] 的
[03:03.830] 有没有水平没说错，你看看到时候数据我姐
[03:09.930] 我估计
[03:12.550] 88月份
[03:16.440] 现在你们这儿纠结。了。
[03:26.160] 点，
[03:30.200] 就这点事儿你说你还翻译，其实你们像这事有事吗？
[03:35.660] 没毛病吗？
[03:37.320] 这一第一第一蝴蝶说这事儿，
[03:41.290] 交2%的税，他都没挣到2%的钱，你先交20/100税了，不是谁使拿2%税我说清楚。
[03:50.360] 因为什么？他们称固定资产，
[03:53.720] 会把这之星宁夏纠纷固定资产不能要处置的时候要交税，不知道吧说不上。
[04:00.030] 还要做以后消化财务这块是什么，厂家就吃了一点，
[04:04.740] 能傻逼的不懂下级指挥，就是我上去，然后你想
[04:09.700] 这车没干别的，先这么过，1班6号桥。
[04:18.110] 你们那边电脑打不开，
[04:20.000] 开业那天没事帮我办了。
[04:22.450] 完了北京北区域经济。
[04:26.160] 让外行领导内行那吗就越干越转越转越大。
[04:30.200] 高一个什么的这种
[04:32.870] 上门规划为什么是
[04:35.840] 进行指标单位这些哪有
[04:39.250] 你包括新成立这几个店跟原来。
[04:41.530] 之都没有，可能现在真的不上去有这样的试驾车是的都一辈子碗的。
[04:45.950] 对。
[04:48.190] 好像还有好多电视它摆在一直听的。
[04:50.150] 都不要。
[04:55.380] 您坐会您别着急。
[04:56.880] 我马上马先生我这开车带您去。
[05:00.860] 不错，你别着急。
[05:03.400] 我看您着急，您喝点什么咖啡茶果汁饮料，除了这啤酒以外，其他的都有，我有点白了说点什么吗？
[05:11.660] 没事，就我们自己来，好，马上。
[05:21.710] 要是你送明白吗？
[05:23.490] 你都不能得到的。
[05:25.580] 说。
[05:28.390] 他上头写。
[05:31.160] 早就黑。
[05:33.680] 讲话是谁给你提出来的，这么好的合理化建议？
[05:38.110] Cc U770
[05:43.080] 知道，
[05:48.410] 的手。
[05:57.040] 你现在看什么电视剧？
[05:58.920] 在看北京台那挺逗的。
[06:04.470] 电视有什么选择的？
[06:11.080] 怕了。
[06:12.770] 坏了。
[06:14.990] 你们能转一下吗？
[06:18.060] 你们怎么过来？
[06:24.790] 来你说让你明天给你点过后，
[06:39.820] 供电一下我的客户电话。
[06:41.840] 1331136
[06:44.770] 0016。
[06:46.480] 180。
[06:53.060] 你没打算
[06:54.280] 着急招的我这。
[06:56.770] 卖20多车，我刚卖酒吧。
[07:10.760] 叫什么？
[07:12.930] 条都不信。
[07:17.950] 猫脸识别号。
[07:22.070] 上
[07:27.500] 老公。
[07:29.340] 不用了给我签字。
[07:31.470] 给我签字。
[07:34.450] 冯振杰。
[07:38.030] 就写冯振杰。
[07:39.480] 你
[07:40.580] 没事儿。
[07:43.640] 后吃不了卖啦。
[08:30.750] 的
[08:46.450] 我先把这搁着。
[08:48.380] 我可以。
[08:49.410] 没问题，我提走了。
[08:52.960] 姐跟没有。
[08:55.070] 刚才没有，被告没有。
[09:09.040] 刘
[09:10.240] 咱走吧。
[09:19.160] 我把车您别着急，我把车开到门口等您。
[11:05.640] 你好文职。
[11:07.150] 你好。
[11:08.080] 有什么可以帮你打开副驾驶、座椅加热，座椅通风，
[11:14.900] 好的，我来打开前排乘客座椅通风。
[11:20.680] 上窗帘、
[11:33.510] 对。
[11:37.470] 上车以后咱系好安全带，我去咱们那边拿那库房钥匙带您看那边看一下车。
[11:46.280] 这院里头我们有两个库，这院里的酷都是订了的车，比如说客户的调研定金定好了车，
[11:51.970] 或者准备提的车给调到这边来，
[11:54.350] 一般的车都搁那边，这边老移动车，然后
[11:58.120] 正动车都搁那边。
[12:03.040] 我们这个干嘛就是下午。
[12:06.280] 您这边就是交个定金，
[12:08.740] 还是交全款？
[12:18.160] 对后续就安排的办手续就行了。
