[00:00.240] 再见。
[00:01.320] 2020年
[00:03.260] 7月3号
[00:05.130] 将向客户
[00:07.000] 开始变。
[00:08.920] 杨志芳教授录音。
[00:11.120] 来您这儿给我来，你说哪个？
[00:17.640] 好
[00:23.810] 没事儿。
[00:39.280] 这台说
[00:41.300] 534414跟您这个都是对应的，不对。
[00:47.180] 13405不对。
[00:51.270] 你念液面膜。
[00:54.960] 保险吗？
[00:56.200] 对。
[00:57.000] 下面题看面积，对赞美力量。
[00:59.810] 哪个？
[01:01.240] 记一下。
[01:03.920] 1HP。
[01:06.160] Pm. 
[01:07.410] FK1
[01:09.170] X1吗？
[01:12.870] 你可以收到20的。
[01:15.500] 好，然后您点一下您网址平安的是吗您？
[01:19.840] 行了，你甭管了给你点吗？
[01:22.590] 然后他说我要保单是吧？
[01:26.750] 对。
[01:27.990] 因为他每天刷卡。
[01:30.070] 看着好大吗？
[01:32.690] 你是咱们店里的吗？
[01:36.040] 我们不是现在在咱们人保的这块，我知道不就是咱们店里一层。
[01:42.330] 对，您一会是不两天过来刷卡？
[01:45.130] 行，我交完车过去让他刷去好吗？
[01:48.320] 好了，就这样，拜拜。
[01:50.060] 这几个较量一下这个问题，行行。
[01:53.650] 叫平安的。
[01:55.980] 人保密码您跟王不做到合同一块交了，你这单刷它干嘛？
[02:01.810] 不是交了。
[02:02.850] 交代他也没有要过，为什么？不是我签了，我不知道还不到。
[02:08.310] 那叫什么？我钱交了，保险钱交了，来行这个行了，上完了不用一块。
[02:13.660] 我姓郭富治，负责这个车的功能介绍，
[02:16.500] 确定厨房已经确认完了，你甭管了。
[02:19.320] 退休了，对退出就行了，保险就出了。
[02:21.860] 然后买的是交C534414，在关键是您查一下没问题，我给你讲一个功能。
[02:28.200] 时间差不多40分钟之前有开过奔驰车辆吗？您没有是吧？
[02:34.120] 行。
[02:34.990] 这车上有一个密互联的功能，我待会给您
[02:37.680] 激活，用身份证，一会我这完事客户一对一面访，到时候保险说您自己办个临牌就直接走就行。
[02:46.240] 下雨又down了，一朋友刚给您洗一遍，
[02:50.700] 没问题，那您主要他坐副驾女士坐后边，咱们检查功能
[02:56.330] 来等着。
[03:06.160] 待会一下。
[03:06.800] 你看看了你看精神你看我疼我了。
[03:12.360] 看着这边。
[03:13.650] 那么好你看着我。
[03:15.190] 快点你看着。
[03:17.640] 快点。
[03:19.060] 这块快点。
[03:21.350] 不知道的。
[03:27.740] 也是我要。
[03:29.900] 说合不合适会不会的？
[03:33.460] 行，我怎么要一卷。
[03:36.290] 感觉挺好。
[03:41.950] 咱们这车无钥匙启动是标配启动的前提，要是在车里踩刹车，按一下启动键。
[03:50.240] 的。
[03:51.300] 都在门市，
[03:52.600] 前后高低
[03:54.850] 靠背，
[03:57.040] 头枕式装饰手东西调整上下。
[04:00.570] 前后
[04:02.600] 这个是副驾调节点亮以后，我在动作也是您的位置，
[04:07.370] 方便司机帮助诱惑小座位。
[04:10.010] 这些所指开锁中控
[04:13.680] 兽性的洗车机坐车手动去调一下。
[04:17.200] 恩量左侧左边镜子根据视角咱们上左调位置，
[04:21.500] 大量右侧调节是右边的一样，
[04:24.260] 4门玻璃都是一键升窗，下面键点亮，后排的乘客玻璃动不了，
[04:30.230] 小孩想着点
[04:32.000] 后备箱的话是最下面金属件，
[04:35.170] 往后带一下是打开
[04:37.520] 往前长按时关闭往前。
[04:42.810] 客观了。
[04:43.950] 您下车您
[04:46.710] 大灯的位置是左手圆圈这个区域，
[04:49.970] 小出现指向AOTO自动挡，光线不够大灯自己亮，
[04:54.270] 您进隧道下低空傍晚擦黑，这大程度不受控制，就在这不动，
[04:58.670] 行行推进。
[05:00.780] 对也有TO位置对这个事物灯医学天你得按一下，开的同时，
[05:06.940] 橙色小灯笼提示，
[05:08.800] 小鸟上下旋转式仪表盘的亮度，网上适量，
[05:15.680] 手刹是金属件，
[05:18.410] 往下按一下，就是上所这个是标识，
[05:21.910] 解除提起来，
[05:24.140] 标识就消失了。
[05:25.560] 平常手刹不用管，这都是电子的。
[05:28.480] 现在是上锁状态，咱们挂档看一下，
[05:32.050] 自动就解除了。
[05:34.080] 停车咱们是不是归到P档自动
[05:37.330] 对吧？
[05:38.500] 回到P档以后灭车或者是主家一开门看手刹，
[05:43.940] 自动就上了。
[05:45.550] 所以大灯手差平常都不用控制，都是
[05:49.310] 差不多生涯就别动都不用动，方向盘的话，
[05:53.980] 长单杆集成的功能转向灯左右，
[05:57.800] 一样雨刷变成左边了，小三角式前雨刷，
[06:02.000] 只向玲现在是关闭
[06:03.940] 两两个实线，虚线是感应挡开的话，网上禁止向区县刮一次，
[06:10.070] 不下雨不刮，下雨自动关，第，二个速度比下面快，灵敏度更高，单实现双实线
[06:17.520] 慢速度一直怪，
[06:19.320] 快速直观根据需求向
[06:22.850] 玻璃水是这跟进按住别撒手就出现了。
[06:27.280] 这个小横线是后雨刷指向零也是关闭，咱往上推到上面一横线。
[06:33.460] 后雨刷
[06:35.310] 推到最下两个字水的位置，后脑玻璃水也会独立出现。
[06:40.910] 还是单独
[06:42.360] 哄人是不是low回来选两下，
[06:44.520] 阳光推出去，这是一样的。
[06:47.310] 方向盘的调整，咱们这个车是手动的，卡扣在这儿，您打开
[06:51.790] 根据习惯然后高低
[06:54.140] 调完以后，
[06:55.420] 想着把他送死才行。
[06:57.250] 这是搜索。
[06:59.820] 没问题吧？
[07:00.730] 更空的话这三去控制左边一小盘，这三个控制右边，
[07:06.880] 小房子就是主界面，按一下出现列表，
[07:10.220] 黑色这个案件直接左右滑动去选择，
[07:13.890] 选好了想进入按一下确认，
[07:16.840] 保养里边行驶一段时间会有4个轮胎的压力，
[07:22.690] 对吧？
[07:23.660] 包括
[07:24.760] 快到保养体制，
[07:26.580] 冷却机油缺失都会有对应中文提示告诉您，
[07:29.990] 左侧是返回
[07:31.890] 行程里这台车
[07:34.740] 车跑了11.2公里，
[07:36.670] 上下滑动，
[07:38.480] 白色剩余流量还能跑115公里。
[07:42.600] 平常您驾驶习惯的一个记录，
[07:45.550] 百公里油耗平均速度驾驶公里数，
[07:50.330] 总体程序化驾驶公里数，
[07:52.420] 当前超速
[07:53.880] 这一圈都会涨回来，
[07:55.800] 导航、收音机、媒体电话看右边，
[07:59.340] 完全一样，底下待会我会在右侧所介绍。
[08:05.030] 样式指的是仪表盘的风格，现在是运动，说这界面不喜欢换成经典可以或者换成前卫，
[08:13.310] 喜欢哪个介绍自己去调整就行，这个灯不一样，对于票房那个
[08:18.440] 风格有变化。
