[00:00.000] 先生。
[00:11.750] 您好，您是李先生是吗？对。
[00:13.980] 您好抱歉，久等给咱明天销售顾问王宁。
[00:16.360] 你好，咱们是看哪款车？
[00:18.050] 看S90。
[00:21.350] 主要是明天对吧？就到这边这款的话是咱们T5的记忆这块，
[00:26.920] 是平常
[00:28.740] 是平常家用还是觉得？
[00:30.270] 明天？
[00:31.580] 技术家用自己开始往家用这块在车里边感受一下。
[00:39.890] 之前看过这款车吗？
[00:41.640] 没有，第一次看过我的车。
[00:44.610] 这款的话咱展厅放的是这台车的话是T5的
[00:48.740] 高功率的75的标配之一的那款运动款，
[00:53.770] 那边还有一个质疑的号，肯不过这两个车价格是一样的。
[01:02.460] 是打算置换还是说县城指标？
[01:05.360] 现场指标在现场指标是吧？
[01:09.530] 您之前开什么车呢？
[01:11.450] 我之前的
[01:14.450] 保时捷911。
[01:16.040] 您开酒厂也好，对，哪年买的买在哪边？
[01:20.460] 是三年前三天在国外卖的，在国外买，对，因为我也是直接在国外开的。
[01:28.940] 然后这次回来也就是说没带回来，然后就是说回来想换辆车，
[01:35.740] 放下车，然后去那边
[01:37.890] 都没有现车，因为我是着急用。
[01:41.640] 着急用，考虑什么时候用车。
[01:46.200] 最好10天之内能提。
[01:48.480] 行，那就得有现车，有大概的预算是想要什么价位的？
[01:54.990] 预算是911911以下的，就是140万以下。
[02:00.220] 都可以。
[02:01.820] 目前沃尔沃100万以上的车太少，
[02:06.850] 说
[02:08.570] 402,900
[02:11.120] 全下来还是菠萝车车队，
[02:14.500] 这是原价。
[02:15.840] 这款车现在优惠完了的话31万吨，
[02:22.560] 您主要看看的工程师多吗？好多。
[02:27.850] 跑的不多，也挺多，没劲，我也记不清。
[02:33.690] 因为我经常就开始出去玩了，开的就是说用餐用车比较多是吧？
[02:40.000] 经常有
[02:43.220] 自驾游的一个心态，对。
[02:46.410] 因为就是说我买车10天之内用车，因为我要去西藏那边，
[02:52.690] 跟我女朋友去西藏那边旅游，
[02:56.400] 进藏的话，您是考虑换轿还是用这种轿车是吗？
[03:01.900] 送葬的话对房管卧的话，在轿车里边来说，沃尔沃的底盘要高一些，
[03:08.300] 通过性更好一点，因为跟他右眼的模型有关系，就是一个boss这种的
[03:14.160] SUV
[03:15.760] 要什么？
[03:18.470] 还是有比较底盘高，咱定位的话可能要相较于叫出来的来说的话，
[03:24.990] 他可能输入程度或者空间没有轿车那么大，
[03:27.980] 然后但是他得越痛就会更高一点，因为底盘高，
[03:31.920] 司机系统都是死的。
[03:34.010] 然后
[03:36.380] 自我得瑟就更高一些，视野更好一点。
[03:40.160] 这种
[03:42.240] 刚刚在安全那边他弄了个120多万排版，
[03:48.910] 来自
[03:49.880] 分期两次还是哪一块？
[03:52.530] 尽快我也还得等我回来，因为我
[03:58.790] 我开车，但是我不懂车，而且我觉得保时捷之外的很少知道。
[04:08.150] 行了。
[04:09.120] 没事，您先看看车，你在车里边感受一下。
[04:14.390] 座椅需要给您调一下吗？
[04:16.600] 这位置OK吗？满足一下踏板。
[04:20.030] 这款屏幕的话这也都是权宜仪表盘，要凭可以感受一下。
[04:26.270] 沃尔沃作业的材质也好，都是环保材质，
[04:29.570] 深吸一口气，沃尔沃的话除了安全之外，最有名就是它的环保，
[04:34.160] 车内百%无害，
[04:36.270] 像他做一个填空，车顶全通全都是采用的纯竹纤维的，都是大字型，亚麻纤维车内百%我不开。
[04:46.640] 向号品牌的话，每个品牌每
[04:49.880] 慢的慢一点。
[04:51.350] 奔驰的话可能卖点是它的设计品牌，
[04:55.320] 宝马的话可能操控会更好一些，沃尔沃的话主要卖点就是它的安全环保，
[05:00.840] 这款车37.6%的一个膀胱车身，
[05:04.520] 都是用的造车领域来说，最顶级的一种刚才叫彭刚，
[05:09.620] 号，
[05:10.410] 而且他风格占比37.6%，
[05:12.750] 是目前车领域来说用的球强度最高的一块。
[05:17.420] 跟唐刹车，航空业的甲板上用多少材料，
[05:21.550] 而且像沃尔沃的核心安全科技像自动刹车，相对收缩60公里自动刹车，
[05:26.180] 紧急避让辅助这样穿针B照这些在紧急情况，它可以使咱们驾驶一个
[05:31.670] B账的一个安全系统都是标配的。
[05:36.870] 您看到奔驰S的话，您是看中它的品牌，还是说车内的这种设计？
[05:43.510] 放他的
[05:45.050] 输输入长度，
[05:47.440] 可能
[05:50.050] 如果说您看S90的话可能肯定会有差异，因为那价位不是一个等级的，
