[00:00.160] 郑超。
[00:01.910] 二次再见。
[00:03.470] 慢慢接着。
[00:09.240] 哪儿呢？
[00:13.830] 你好先生。
[00:14.960] 正常没带接待，上次接待您销售是郑超还没带，今天我先接待您。
[00:19.810] 然后您过来想看看书还是想试试驾？
[00:26.590] 你这个车的试驾是新款还是老款20坎儿最新的是那意思。
[00:33.690] 是最新的吗？最先的就是前往是这种的是吗？
[00:37.280] 对，这就是
[00:39.420] 那个是说
[00:40.970] 对私家车就对你说的是不是一句话没来之前，
[00:45.220] 是不是？我说这新款的换新的，行，我试驾一下。
[00:50.000] 好行。
[00:50.830] 待会你来了是吧？
[00:52.260] 就问一下20款跟19款的隔音是改进了点吗？
[00:58.310] 隔音。
[00:59.580] 他有一个叫
[01:02.810] 现在咱们看到的那个东西，
[01:08.230] 您这样先生您用手机微信
[01:10.620] 能攒下点。
[01:12.280] 就是那个事件。
[01:14.030] 明白了。
[01:14.900] 这又开这么冷，
[01:16.800] 外面下雨
[01:22.380] 咖啡90点这就
[01:24.920] 不是这样。
[01:26.190] 这是老款。
[01:27.450] 是这样运行时间登录一下。
[01:39.020] 可以用到吗？
[01:40.150] 再点一下。
[01:41.910] 他这个的
[01:43.480] 对。
[01:44.410] 你的时间
[01:46.420] 需要上传您的家长
[01:48.480] 就改成这样。
[01:50.360] 左上角。
[01:52.720] 这样行吗？可以排第一。
[02:08.440] 先然后比较man，不用上课援助，
[02:13.170] 是价格是它的高是高配的是假的高，跟这个完全一样。
[02:31.640] 好
[02:33.480] 谁知
[02:41.320] 首页签名。
[02:44.190] 看您这边。
[02:51.690] 再收一个验证码。
[02:55.970] 对。
[03:05.390] 我这么弄的，还说所有的都这样，这是我们的
[03:11.030] 摆在猎头万，
[03:13.470] 这是最早跟厂家共同研发的，
[03:15.590] 以后会推广到所有的
[03:17.820] 包括不光是沃尔沃别的品牌也会有来家找您说话。
[03:23.230] 月份稍等我拿下
[03:31.920] 咖啡
[03:33.640] A90。
[04:02.890] 介绍一下试驾路线。
[04:04.360] 山路下一共有两条，然后平时
[04:08.600] 全长大约4.5公里，
[04:10.470] 然后咱走比较顺畅的一条死亡录像，
[04:13.460] 从出门到定慧北桥调头，再到四季青角，
[04:17.200] 在这路段之中就加速提速，还有刹车转向都可以睡。
[04:22.890] 然后第一车我现在那是成第二天人家自己行，然后剩下的是插队有人都治牙黑色，
[04:29.870] 治雅就是顶配下面，对，其实它已经是在卖的车型里面的病态了，
[04:35.650] 因为你像至尊的基本上是不出的状态，他跟也没什么区别。
[04:41.670] 您说付出的式混动版吗？不是。
[04:44.850] 不是汽油版的，对纯腰板。
[04:47.830] 就带按摩座椅那个对，但是像跟这个字眼的没有什么太大差别。
[04:57.070] 您先坐副驾驶位
[04:58.670] 一下
[05:09.990] 的。
[05:16.150] 数据。
[05:19.690] 的
[05:23.060] 的
[05:25.080] 上面
[05:33.470] 没有。
[05:39.250] 我启动都是相互旋转，
[05:41.490] 然后拨打了再还掉，米粒还掉，然后你直接看这一排就可以。
[05:45.380] 沃尔沃主打的是安全环保，它所有的底下就是操作，
[05:49.200] 基本上是颜回、罗嗦、内盘、外盘，包括所有这种控制。
[05:54.290] 现在也是成为产业，这是什么音响吗？防卫舰转换为鉴，对。
[06:01.200] 有的。
[06:03.520] 您是看到这些品种吗？
[06:05.730] 你像为什么
[06:08.180] 的
[06:10.490] 基本上除了
[06:14.370] 按摩通风，别的都已经有了，席卷有加热没通风是吧？有加热，前排座椅没痛风吗？没有。
[06:23.180] 后排座椅有加热吗？后排座也没有。
[06:25.670] 没加热。
[06:30.010] 水光老师吹的焦虑是吗？
[06:31.900] 可以调方向可以调整，然后风力大小后边
[06:37.470] 也是可以单独控制的。
[06:39.090] 然后她除了在互相这一块，
[06:42.660] 在B柱上面也是有的，
[06:45.210] 有两侧对角色也是有的。
[06:52.800] 然后你现在转而掉头的时候，一个是可以感受一下他的
[06:56.850] 侧倾的感觉，包括再有他转弯的视野，还有反弹的力度，
[07:06.120] 感官特性比较小，
[07:09.430] 然后再有其次你看他转弯的时候基本上没有知道你实现，不管您是右转还是左转，
[07:17.080] 首先就是A柱比较细，咱们第二一个你看他那后就位置跟别的车也不太一样，
[07:22.950] 对，然后这边你可以，因为沃尔沃还有一个全系标配的，
[07:27.880] 向自身巡航和自动驾驶辅助功能，
[07:32.880] 然后
[07:34.120] 我现在是给他开机状态，那么它盘如果说识别出来是绿色的话，
[07:39.050] 基本上就可以放松。
[07:40.950] 放在
[07:42.020] 他刹车，
[07:45.140] 他就等于那方盘你不用先控制，就手搭上去是这意思，对手指要是识别出来，看到路标
[07:52.310] 都可以，但是你看现在它是灰色的，就识别不了，对，没有识别绿色的话就是识别出来。
[07:58.950] 然后现在默认的速度是60 40速度在这之间刹车也不用管，
[08:05.010] 但是如果采访用车的话，他也会自己减速的。
[08:08.540] 这个掉吗？
[08:10.310] 这事应询号对自身巡航，
[08:13.660] 他升级版叫自动驾驶也好，辅助驾驶，
[08:23.570] 但是这个就是说你得在
[08:25.910] 如果说比方前方的车变更线了，他现在是不识别了，
[08:30.800] 你看它识别出来前往的车的话，他是自己减速的，全程我都不熟，
[08:36.860] 没有在刹车踏板下面，
[08:39.570] 前面有加塞了它就识别不了了是吧？不加三是分情况的，加塞儿的话，如果说他
[08:46.730] 进来之后绝大部分进来了，它会识别出来，但是如果是进来了一小部分他就进不来了，那种，你看现在这种他也是，所以
[08:54.720] 但如果前方没有车就自己提速，
[08:57.240] 提到自己设定的速度，
[08:59.680] 我现在设定的是60应该是
[09:02.750] 方向盘排班上面有加减法，
[09:05.780] 速度是可以加减的。
