[00:11.200] 看您
[00:27.590] 曹先生买个奔驰，谁知
[00:34.770] 的
[00:35.900] 的
[00:55.860] 您是曹先生吗？
[00:57.400] 您好。
[00:58.870] 给你张名片被你销售时应您好，咱是第一次来是吧？没有预约过。
[01:04.160] 没有我们接待您，然后雪白饮品咖啡喝茶，你这小子一块东西，
[01:09.530] 主要是了解这个朋友，
[01:10.880] 想要一个小的小洞的
[01:14.390] 少一点。
[01:17.000] 这个挺好，这两有两箱的3.3，
[01:20.630] 两箱里边原来有I
[01:22.350] 以及那颗，但是现在可能没有现货，要不然就这款这也是进口的是吧？这俩车都是进口的，可能是
[01:30.970] 三角三厢的，三厢那款就是关卡。
[01:33.960] 然后也有两箱的那两项他就属于进口，没有现车，我空间上
[01:41.650] 应该比较还便宜一点，
[01:44.310] 没有做完优惠的多，但是您看这款车像您刚才也体验了一下空间上来说，特别是头部空间比较好，是不是正在都比较好？
[01:55.200] 比如说您就接个小孩什么的，一家用推广这些都是比较合适，有多长？
[02:00.810] 这有个数据表您可以看看
[02:04.240] 这个怎么打不开了。
[02:05.950] 这应该车长在4米4左右的课程，
[02:08.880] 那就跟一般的轿车差不多差差不多，你像这块来说4米6多，这4米4多它不可能特别小，然后再小的话就相当于小麦的那种感觉了是吧？
[02:19.650] 这来说的话叫
[02:22.170] 两辆车里边来说，它就正常标准尺寸了，基本上都在4米4左右课程。
[02:27.180] 这有其他颜色吗？
[02:30.230] 我得给您查一下库存量上面还有这是进口的，所以它是按指标近的是吗？
[02:35.620] 对，就是说也不是说按指标近，进口车它也有，
[02:39.710] 只不过就亮头量上来说，可能没有国产车那么大，就是说一般会有什么颜色，我可以等白色，还有深灰色，
[02:47.850] 还有深灰色，然后还有兰是那种灰吗？那种，我们俩上面有一颗，我带您看看这都那款投影。
[02:57.260] 买这辆来，凡是那种亮了不是量了，水起来。
[03:03.810] 来对这是1180适合二。
[03:09.440] 180来说的话就是配置上没有200要高，但发动机变成。
[03:13.110] 芗说的熊猫尺寸来说都是一样的，它主要差别在哪？比如说发动机一样，但是200是属于高调教的。
[03:20.790] 然后还有一点这款车您再仔细看，他没有停播，内管都是有全景天窗的。
[03:26.290] 对，有的说天窗其实不会长时间。
[03:31.710] 不错，这么我们这边这好快进口。
[03:35.440] 对这些属于。
[03:36.650] Mt的说法，就是说强调性能的车。
[03:40.070] 你看这款车就是不带天窗，但是其实挺好看的，你要是家用其实买白色的也挺好的，不，我家里有一个白色了，白色的，然后您这边
[03:49.940] 您买这个车的话是打算置换吗？还是还有？
[03:53.550] 您还有一个指标是吧？
[03:55.980] 我知道。
[03:57.510] 冲着的里边。
[04:00.140] 您这边现在用车什么车开的感觉怎么样？
[04:03.400] 我不是我情况比例还要复杂，我把一辆车
[04:09.670] 能换一个换成
[04:14.070] 对，您看看这颜色喜欢吗？说蓝这个吗？
[04:18.220] 兰展厅前有一个。
[04:20.220] 一会您从那
[04:21.660] 那个车能看得见就水洗蓝B2版看见了吗？
[04:25.260] 对。
[04:27.350] 完了。
[04:28.860] 看见了吗？
[04:29.840] 您从这直对着蓝蓝挺好的，水洗蓝B2版
[04:35.500] 要写起来，
[04:37.570] 基本上堂卖的也是白灰，
[04:40.750] 蓝红红的不要基本也是基本上有这些原则过来拿点。
[04:46.000] 谁知深灰做的
[04:50.920] 这是be180也是180，
[04:53.390] 这就差一个天窗，就差一天窗，然后灯光这一个卤素灯LED灯，然后功率上差了20千瓦，
