[00:00.000] 月4月4号临近时，出租车街道
[00:32.830] 你说吗？
[00:34.150] 好，我是您的销售5星饭，饭桌旁做名片。
[00:38.020] 第一次来我们店吗？
[00:39.520] 对，跟店里销售没有联系过，今天没有需要资料什么，那边有咖啡。
[00:46.190] 冠军手不用。
[00:48.080] 我先把这服务空间给您读一下。
[00:51.250] 谁知
[00:54.370] 后为尊以礼相待，诚信经营，扩大得体，明码标价，公开透明，配件渠道清淤工作，
[01:00.850] 绝不松绑销售城市消费，就从假配件以次充好，服务接通电话40088188，
[01:07.230] 奔驰也这品牌第一个承诺做贷款收紧经营股份。
[01:12.190] 今天主要过来是看这款车吗？
[01:15.030] 我想看plc的这边没有5款，我看我就想问一下着腰，
[01:23.820] 260的和300的差别就是这么一下动力和配置大小都是一样，大小不一样的。
[01:32.670] 对他是一百九十七八米，他是不是鞋子速度不够了？
[01:38.340] 市区用车的话完全够用，但你要说对动力方面有要求的话，肯定是考虑三板会好一些。
[01:44.730] 就要跑高速是不是还是相当好的，但是他这个也不影响，它要如果197的跑高速也没问题，感觉上也没什么，对，就三码的提速会更快。
[01:56.650] 会更快，对。
[01:58.460] 300 254平方公里1000。
[02:02.240] 这车说是47447对全身汽车。
[02:07.800] 有吗？现在现车就
[02:11.870] 300。
[02:13.350] 动感的颜色有要求吗？嗨。
[02:15.680] 有没有戳有车，对。
[02:18.870] 外观都一样吗？前脸一样的，然后300的话是多了一个脚踏板，
[02:24.430] 侧边有个脚踏板，我说对脚踏板还有一个无要进入盲点辅助
[02:30.430] 和第二排独立空调。
[02:32.690] 然后这个也一样的，我记得有的车是两个带的，那是最低配的，260的最低配。
[02:40.450] 对，这个地步是
[02:43.830] 200豪华以上全是满天星的公案，300也是这样的。
[02:49.300] 对外面
[02:50.300] 一样的想法一样，就是
[02:52.580] 后面就有一套对。
[02:56.230] 怎么办？现在您是置换还是新车什么都没有。
[03:02.090] 没有置换。
[03:03.580] 反正这车的指导价300，东莞市449,800，
[03:07.650] 你要提车的话能优惠到4万的一个现金优惠。
[03:11.880] 现金4万对。
[03:14.670] 督办下来。
[03:18.130] 全落地，这车基础上得再46左右，前半截
[03:23.340] 46万了，你包括什么？
[03:30.120] 可以这也算里头了都。
[03:33.660] 算了。
[03:34.860] 然后说要您没事，您还有要是什么的那些东西都算，你说随身拿着。
[03:43.770] 要吾要军，我是原车带的颜色，但车大队的
[03:49.430] 你现在是不是每年都不一样，这个款他是不是后边就叫比如说260L什么300了，他有一些改款，
[03:57.870] 但大致的东西是没有变化的，比如都是一些改动的增加点配置，
[04:03.480] 就这样。
[04:05.410] 现在开始这么说，现在车用的怎么样？
[04:09.170] 现在开了一个丰田与本田，丰田和本田，对一个丰田也就那种放那样行为，本田、雅阁
[04:19.690] 都是给您自个买还是给家里人买的？
[04:22.710] 又自己买正圈。
[04:26.020] 挺好的。
[04:27.520] 购车时间那边订好了吗？大哥？购车时间。
[04:31.510] 2月份摇上的，然后到20256号，
[04:37.400] 我不过站着我们都没看，没看见拉说就是那个号才看见，前两天刚看原来摇半天也觉得不太能聊，
[04:47.500] 正常的话然后应该中签都会给您短信通知的，
[04:50.970] 不靠差徭的，然后加上聊了没有消息的，对，等于现在都自己查。
[04:57.320] 其他茶他老觉得好像做不上，我就说你查查切开查了查运气比较不错的出操。
[05:05.510] 您过多时间呢？
[05:07.360] 购车时间这边订好了吗？都行，什么都行，我就想问你，如果有现货的话，然后他办下来要多长？
[05:15.500] 天？
[05:16.240] 流程您只是上完牌吗？上牌就能上路了，您然后县城指标的话，基本上咱加上办手续提车单验车不
[05:27.450] 不到一周就能弄。
[05:28.940] 只要四五天，对四五天。
[05:33.740] 然后新车状态你要说想晚点套房子可以先办临牌，开着都可以。
[05:40.100] 反正还有别的优惠吗？比如说送保养的送什么的，有就看您什么时候订车，你要订车的话，到时候咱可以给您算一个标准的价格，咱们可以聊聊，到时候你要说今能定一会咱
[05:53.100] 您算了回去，
[05:55.970] 是不是你们哪个不同的店的优惠什么的都不一样，这个车基本上价格都一样都差不多。
[06:02.470] 这车价格特别稳定，
[06:04.190] 没有什么特别大的价差，您早买基本上都是在家里面。
[06:10.970] 不，这车价格特别稳定，因为我们想先问问一下，
[06:17.430] 就刚才这些事儿，然后
[06:20.340] 然后形式就能遥控一下。
[06:22.810] 考虑分析二存款，虽说现在钱
[06:26.170] 你的话你有利息吗？有利息，但属于低息的，
[06:30.920] 而且现在跟银行合作比较人性化，他月息结算，
[06:35.220] 比如说你就贷10万块钱，每月就310块钱利息，
[06:38.530] 您大概100年就是你要贷款，
[06:41.360] 肯定比你那个钱款对吧？
[06:43.700] 肯定是多掏钱了，不考虑了，但现在这通货膨胀这个东西好像能银行贷款的最好，
[06:50.250] 这么留恋的东西还是没
[06:57.380] 咱这有展示车辆，要不来说给您做一个介绍讲讲。
[07:01.600] 咱们介绍主要从三个方面来讲，第一个就是安全配置，
[07:05.130] 安全配置上交C的全系是标配主动自杀者中，
[07:09.410] 打比方的道路上行驶，前方车辆突然制动了，我们在走失或者没有采取货车，
[07:15.270] 不就跟人碰上了，她会把你踩刹车，
[07:18.410] 这叫主动式刹车服务器。
[07:21.620] 对不起，我打断一下，你给我介绍的是那300都有，这是标配的标配，另外来说咱这车也是标配了
[07:29.600] 智能泊车系统，
[07:31.070] 可以侧方停车，倒车入库，
[07:33.150] 都是一件事得非常方便。
[07:35.760] 包括安全配置，咱们轮胎厂防爆胎，
[07:38.700] 车牌查胎或者爆胎的情况下，尤其爆胎的情况下，轮胎轮毂不会分离，
[07:43.420] 不会影响到你的转向和制动。
[07:46.310] 所以咱车没有给，
[07:48.030] 零胎压还能继续停。
[07:50.240] 这个轮胎是不是不用？我听说轮胎如果不下别的车，你这也没有备胎，什么也不用换，
[07:57.870] 您扎胎的可以去爆胎的，
[08:01.140] 该换也行。
[08:03.000] 他就不用您
[08:04.720] 正在马路边去换备胎了，他还能具体型号对。
[08:09.440] 另外来说的话就是舒适性，舒适性来说，现场介绍C调2020款新款，
[08:15.010] 他跟老板最大区别就是舒适性有所提升，对悬挂用的叫做自身文化系统，
[08:20.640] 软硬可调，
[08:22.370] 他自己去调整，比如你
[08:24.260] 走这种路上有井盖，锦缎，
[08:26.880] 它会调节行话总结的软件工程，
[08:29.280] 它自动调自动的，有没有编了，不要出现。
[08:33.640] 另外来说的话，不管你买到高位也好，地位也好，主副驾座椅都是电动调节，
[08:38.460] 包括腰部支撑，
[08:40.240] 也都是标配，你说电动你还得省着电动的，
[08:48.140] 这条街都在门板这边，靠前后都是变动的。
[08:53.520] 你自己这么你想往前就这么是吧？
[08:56.700] 对我知道。
[08:58.610] 那就对跟我们其实正是这样，我先接电话。
[09:06.550] 对。
[09:08.670] 上
[09:11.000] 点
[09:12.790] 一
[09:14.850] 谁知
[09:17.120] 方便谢谢。
[09:20.060] 对。
[09:23.280] 您到了是吗？
[09:25.580] 我还挺快，你等我一会我这接着您到我们那水先喝口水。
[09:32.410] 一会我找你去。
[09:37.830] 能上回是你跟着验车是你吗？
[09:42.240] 一下。
[09:43.480] 上回验车是你去的吗？
[09:48.920] 你这是我们装饰车间，就3M车间。
[09:55.150] 你直接把车开过去，你让他先给你装盘就行了，你说装车牌。
[09:59.820] 好勒过去好了。
[10:05.400] 来接着聊。
[10:08.310] 过来了，这好像
[10:10.280] 不是你的车号和你的车跟我没关系，然后像咱腿部支撑也都是有的，像300它腿部支撑是主驾驶的，电动可以伸出来，
[10:20.730] 像290都是手动调节，往前伸拉的比较舒适一些。
[10:25.640] 然后后排坐饮这也是坐垫也是家常了，就这边增加了三厘米，
[10:32.700] 保证了后排乘客的腿部的竖行，
[10:36.770] 然后后排座也都能放到，
[10:38.940] 都能放到，比如搁置上大的物件的话，
[10:42.150] 可以给他放到这边有这个案件。
[10:46.410] 后备箱都是电动，我听你300跟260的后备箱不一样，一个是反应的是
[10:54.080] 300300的后备箱是带着一扫腿这功能，
[10:58.550] 要是治疗他就打开了，大家高度干B对。
[11:02.290] 大家都可以，对可能能拆的这都能猜到。
[11:07.740] 下边没有备胎的变成一个储物盒了。
[11:11.160] 一个大的储和对表面上的好像空间不是特别大特别强，然后当时写
[11:17.020] 下面也挺大了。
[11:19.890] 电动这都是。
[11:22.220] 你这车是一进去他就自动锁上了，还是说让你像你去死，我那两个车好像不一样。
[11:28.910] 自动落锁就锁了是吧？
[11:34.600] 然后发动机来说的话，像260都是2.0，T的20和300多少人民币？
[11:40.390] 就三百几20T的高功率是190千瓦，260是145天了。
[11:46.300] 动力来说的话，如果下行时期用其实都够用，
[11:49.760] 包括上高速都没有问题。
[11:52.840] 就是一个激素块交通，
[11:56.440] 然后要求其实就小一点，有点拉大拉小车时候，
[12:02.030] 他是260
[12:06.090] 是14145亿百分5千瓦，对，然后就340 157 300 190千瓦1。
[12:14.410] 对。
[12:15.930] 核算成马力20 190多组，300吨800多米。
[12:20.640] 250多久
[12:22.370] 变速箱都是9速变速箱，看起来特别的贫困，没有任何的换挡感觉。
[12:27.910] 然后有车辆详细介绍，
[12:33.490] 可以用手机扫一下这个二维码。
[12:36.760] 那些东西我都看过，就真的官网小孩没有大体上都能。
[12:42.540] 然后包括这儿的外观颜色内室颜色试试版。
[12:46.210] 对，我在哪看着，他座椅加热都有了，有
[12:51.600] 没有方向盘加油吗？座椅加热都有4种颜色，我就一直不知道这灯是怎么弄的上，他自己就出来了，不是要晚上能看出来了，白天还看不到你就不用调是吗？
[13:09.490] 只是它的外观颜色，有这么多种颜色拍脑袋。
[13:13.270] 然后还有
[13:16.250] 在哪里？不就是我们要
[13:19.010] 就是说导航系统好的知道是实在的，但你不是那种你跟他说话，然后他就能
[13:28.350] 智能方面有SUS
[13:32.200] 纸条的事，比如说我要说我说我去
[13:36.790] 百得利奔驰，我一说然后他是就能出来跳出来了，主播选择就
[13:43.080] 差不多
[13:44.020] 云交互，但是我朋友买的，他们说还是用手机去导航什么现代海洋风电，现在早上实时路况持续在现场了，
[13:54.670] 心太方便了是吧？
[13:56.240] 现在原来老那代要辛苦了，现在早上就跟水走一样。
[14:01.720] 这车是不是还有惊天的，比如说你开到边上，然后
[14:07.710] 看它那功能不是有车道保持，他倒是得到她的包被
[14:13.450] 动荡没对动脉
[14:16.610] 动感境内有没有？
[14:19.080] 不管忙M我知道两侧来做了好多这个问题。
[14:22.840] 他有没有比如说
[14:26.100] 我老遇到那种情况，就这个路都被停上车了，然后就这个倒我就不知道能不能开过去，
[14:33.090] 就在那里有。
[14:34.440] 说360领票，刚刚他都有，身上也是在高配。
[14:39.210] 300的动态是有雷达，但是没有影像。
[14:42.720] 我看看好像那是倒车影像。
[14:46.120] 360的
[14:47.670] 树杆，看着2033 300的北大豪华，还有什么桃花跟300的充满差别，就是360影像。
[14:56.180] 柏林之声音小，20寸的龙骨，
[14:59.340] 几何综合舞蹈也没有哪里
[15:02.120] 高没有柏林之声印象，
[15:05.730] 你前世最高配才有。
[15:09.050] 那是493,800。
[15:11.440] 那钱拿出来多少钱？
[15:12.940] 那得50多了。
[15:14.400] 11。
[15:15.460] 好基友。
[15:17.140] 21万多。
[15:18.520] 我觉得那个功能还挺重要。
[15:21.640] 那就可以集中到豪华。
[15:25.640] 你要说有需要，其实你就选择高配的事情。
[15:29.000] 但日常驾车
[15:31.380] 用其实我们用车我们觉得那些东西可有可无，
[15:36.710] 看看自个的，比如说我
[15:42.120] 什么上多一点这样的。
[15:45.850] 渠道不一样，他在家
[15:48.820] 当年4周都能看到，
[15:51.850] 前后左右前后。
[15:54.550] 我其实确实觉得有的时候你走到站的，我就是说你只能看一边，然后那边就是说你不知道能不能过去，
[16:03.790] 这个就有点
[16:05.950] 虽说雷达辅助了回来，对雷达第四情况下答应能告诉你，
[16:13.330] 您能不能看你在吗？他就会了吗？又
[16:21.230] 两头就讲完了，你看了吗？
[16:24.310] 这样。
[16:27.060] 咱们也有这抽私下说要不咱试试去。
[16:31.630] 2260的300的都有。
[16:36.620] 驾照拿了吗？
[16:37.890] 买了，没事是吧？
[16:41.010] 一次这次没事。
[16:45.370] 他让我是您说去买个驾照，我把东西你的把你驾照
[16:58.410] 行，我办一下手续，你这口水回来。
[17:26.930] 的
[17:33.150] 直接
[17:37.880] 紧紧要是期货，那说是用磨B还是用xp，
[17:43.160] 8月份才能到是真的。
[17:47.600] 真的。
[17:49.530] 这个真的不知道。
[17:56.680] 2万。
[17:58.850] 受不了别的酒店。
[18:05.320] 试驾。
[18:07.180] B后来名字不是讲什么的这样。
[18:12.150] 你看他了。
[18:17.230] 这里面也还有活色。
[18:19.590] 跟你一样，你有病吗？疼谢了，你让他等会这边。
[18:23.760] 对您有效吗？
[18:26.540] 好，多谢了了，心里有什么障碍？你知道我
[18:51.530] 保险至今明确的，
[18:54.150] 谁知
[18:54.860] 对了以后你们要跟我玩个把你们什么核酸检验我出示一下，
[19:01.080] 有病现在朋友圈比较流行的，
[19:04.260] 看我搭理你。
[19:06.300] 我不怎么样。
[19:07.990] 我妈妈跟我妈也不让我给你，
[19:10.840] 我妈不让我跟傻子玩。
[19:15.890] 你是傻子。
[19:23.380] 命大怎么样，我觉得买的有点窄了，还不如买宽边。
[19:32.480] 我发微信看了没有？
[19:37.800] 你干嘛？
[19:41.120] 在家干什么活呢？
[19:43.780] 我看我看到了。
[19:47.230] 你去单位
[19:48.840] 再加上
[19:53.420] 爸爸我D栋是什么样？
[19:59.340] 懂吗？
[20:01.150] 行，你看我微信花了340，
[20:04.120] 你们几个孩子你知道，
[20:07.000] 人家就我一个孩子，我一家的，
[20:10.940] 你还。
[20:11.320] 关心那个吗？
[20:12.580] 在我们家你是个傻子，在你们家干嘛住，从直通说赶走感冒。
[20:20.350] 怎么着我都没想听，你还嫌弃刚才甘总。
[20:26.460] 今天赶集似的是吧？
[20:28.280] 今天看了。
[20:30.240] 午饭都没干，我在地点都不用，那倒不是。
[20:34.160] 这岛我看他写着你。
[20:36.320] 你是去了吗？我
[20:42.280] 上面没提前预约
[20:45.080] 的。
[20:48.860] 的
[20:57.200] 张。
[20:57.920] 五
[21:00.550] 的。
[21:02.130] 远。
[22:05.870] 是送取。
[22:07.060] 车不是送洗车是吧？有人洗车呢？
[22:13.010] 取车，
[22:14.730] 都没有收入通报，能取车的。
[22:18.360] 你慢慢售后，
[22:29.960] 要什么买了。
[22:33.010] 谁知
[22:35.380] 天晓得要不要
[22:36.970] 就不会用。
[22:38.380] 你能先吗？
[22:41.540] 当然没劲。
[23:15.240] 坐着我说
[23:16.140] 一箱都有没有豪华的印象是吧？
[23:20.660] 咱们有事要不先试下2608还没出去行不行？
[23:24.630] 不行的话你到时候再考虑300倍，
[23:27.300] 但是他不配的也不一样。
[23:29.530] 这是成陪嫁协议书，一会先试乘或试驾，试乘的话，我主要在园区里拍一下，等一下这个功能使用。
[23:35.920] 出去您来拍，试驾路线是从这儿
[23:39.490] 出门红绿灯调头往南坞桥走，
[23:42.150] 南湖桥再掉头折返回来可能是9公里，大概15分钟左右。
[23:46.990] 然后这在停滞只能下定注意安全，别违章别超速，如果现在试驾
[23:52.750] 主动引起雕塑，您造成的您来承担责任，对方造成不同我们的要求，
[23:57.790] 咱们现在就能出发，但是
[24:00.580] 院里是你开药了，我来给你讲一下这个功能。
[24:04.510] 出去装您来开。
[24:14.160] 还挺的对。
[24:16.050] 颜色比较多。
[24:22.890] 的
[24:24.920] 谁知
[24:28.650] 这都是
[24:29.520] 860也是一样的。
[24:31.280] 860不是。
[24:32.480] 三百十。
[24:36.760] 你是吧？要不你先吃饭去，
[24:39.880] 中午点了订车也得需要个时间。
[24:42.840] 不是那个是几号到15号到。
[24:46.020] 他那是8月16号到港口的清关什么的，怎么8月中下旬我跟他说的是8月。
[24:54.820] 对拜拜。
[24:56.730] 违背就让同事给发一个餐卷，然后我就吃不我去吃饭。
[25:02.120] 另外你刚刚说全下来，你还有睡的什么？
[25:07.530] 都帮吗？
[25:09.310] 46万多，一会我回去给您算了。
[25:14.760] 您在这儿等我。
[25:15.960] 刮
[26:07.560] 婚庆霜之前。
[26:08.640] O开过吗？
[26:09.770] 没有其他人，真的，我现在加上这功能一些
[26:17.270] 这个印象就是我们选配的柏林之声，你可以听觉得看着音效一样，
[26:22.630] 反正你们有这个你说的豪华的就换成鼻子了是吧？对花生高档了。
[26:29.350] 像您假牙档位的使用，首先奔驰的岗位都释怀的，
[26:34.940] 挂档的话就踩刹车，就是等待看见了往下拉到底，
[26:39.280] 就D挡前进倒装，
[26:41.320] 往上推到底，
[26:43.040] 有倒车影像，
[26:45.800] 比如刚才您说您要通过窄的物体，它是雷达会自己会探出来，这是一个雷达的波段图，说离着近了他这一格一格的，
[26:56.090] 不管在哪个档那啥，这个鸟就是P挡堵车的，
[26:59.500] 然后的对P档注册的都方向盘，这不是对这一块就控制这个瓶子，比如他现在界面就是氛围灯的，
[27:10.320] 这也支持触屏，比如颜色，
[27:12.720] 我氛围灯的颜色，我可以去调个别的颜色，这下门板的话你都能看得见，就是这个位置
[27:18.780] 能看比较明显，晚上挺明显的。
[27:21.390] 对，晚上比较明显一些，包括刚才也跟提到这车有比较智能的人机交互，比如说我给你演示一下。
[27:30.780] 您好，文池。
[27:32.240] 你好，有什么可以帮您。
[27:35.320] 导航至百得利，
[27:41.760] 请选择一条记录。
[27:43.960] 一。
[27:45.660] 计算路径、
[27:47.390] 不用人再去操作，我出去目的地了，就人机交互人机交互，
[27:53.590] 在建筑C的260豪华以上配置全有，
[27:57.520] 包括地图问题上都是实时路况的。
[28:01.640] 然后咱先住城市城一下，
[28:04.380] 咱们车也是有5种驾驶模式的一个切换，这边去调整，
[28:08.620] 比如现在咱用的是正常的舒适模式，你要想运动的话，你调到往上推下去运动过，
[28:13.900] 运动模式就起诉武汉，它就显示了是吧？这是
[28:18.400] 运动增强。
[28:20.190] 一般都用不着，你咱用最多这书都是咱们用的最多的模式，
[28:31.390] 这个就是145千瓦公里
[28:33.460] 的动物可能可以使。
[28:36.160] 反正这一个在一起对又出现这种事，对出去码头上您来。
[28:52.240] 他这个人机交互就是
[28:54.280] 这唤醒与鸟损失，然后他能操作很多功能，
[28:58.620] 比如说最佳热的倒排关闭，空调风量的大小，空调温度的调整，
[29:05.910] 导航去哪，
[29:07.360] 比如说后续如果说您有这需求，您可以
[29:12.110] 开通在线的音乐什么都可以使用这一块。
[29:38.550] 咱这边换手，
[29:39.470] 不信您来看，我不知道我怎么往哪开，到时候你就跟让他给我打，我告诉你怎么走呢。
[29:47.700] 会议调解一会都在这，条，法官竟调解室女儿
[29:52.000] 朝左边的左右，右边开着灯。
[29:55.130] 是不是车窗后视镜是不是有往前往后对，就在这条吗？往前往后，我说你不同的款是不是好像说有改了没有，刚才你这与关上后面没有有。
[30:10.730] 有后边刷牙后面后边开关了好好。
[30:15.200] 号。
[30:16.260] 这多少时间吗？
[30:18.080] 一。
[30:29.290] 一直都是1万是吧？
[30:33.100] 大概保一次多少钱？
[30:34.560] 1000块钱不到。
[30:37.890] 您好，文哲。
[30:40.090] 这个要给他调
[30:42.430] 感觉一点调高一点高低，他
[30:45.830] 靠背的调整，
[30:48.280] 然后退了。
[30:50.200] 你好。
[30:53.560] 你好。
[30:54.630] 有什么可以帮您？
[30:56.300] 空调风量小一点。
[30:59.840] 好的。
[31:01.110] 我把风扇调到4级，
[31:03.930] 这个是P
[31:05.650] 这个。
[31:08.000] 这是干嘛？这就是控制这个
[31:10.500] 这是中间商。
[31:23.150] A
[31:25.280] 我跟客户试驾了。
[31:31.390] 做的有点低。
[31:33.060] 也是走保险是吧？
[31:35.840] 修理在吃饭屋，
[31:40.300] 吃饭的楼
