[00:00.000] 是
[00:01.280] 出处远场。
[00:11.680] 场
[00:13.600] 场
[00:15.810] 数据
[00:25.040] 场。
[00:29.330] 场
[00:31.210] 场
[00:35.130] 数据
[00:37.650] 数据
[00:43.560] 数据
[00:47.720] 数据。
[01:00.670] 的
[01:01.720] 场
[01:02.860] 场
[01:04.320] 浪。
[01:12.020] 坏
[01:13.350] 查查
[01:18.210] 场
[01:21.500] 号
[01:22.730] 两
[01:24.030] 数据
[01:27.740] 数据
[01:28.960] 场、
[01:29.680] 场
[01:32.120] 数据
[01:36.010] 坏
[01:40.870] 的。
[01:56.600] 凉的。
[01:58.890] 两
[02:05.580] 6。
[02:07.690] 有什么？
[02:12.930] 三
[02:20.200] 请问一下这个车
[02:21.980] 不是电子版的，直接扫描就可以了。
[02:25.070] 没有纸质版的吗？
[02:27.650] 好，谢谢上场了。
[02:30.690] 我广场了解一下可能比300
[02:33.600] 这两种。
[02:35.520] 因为我一个朋友去年12月份了，马上买差不多四五可以接受，
[02:42.930] 现在也差不多这款三板
[02:47.240] 的广播
[02:49.540] 说
[02:50.390] 没有，不是朋友，咱家没有任何什么置换的，不仅荷叶，
[02:54.680] 没有这上哪儿
[02:56.670] 精彩。
[02:57.760] 可以点随便停。
[03:00.930] 咱现在
[03:02.490] 60大概
[03:05.160] 有多少钱？有
[03:06.520] 6万块。
[03:08.190] 落地32左右。
[03:11.380] 32左右没有销量有的。
[03:15.410] 不考虑朋友再看看，他有时候没有置换，我也知道您自己，但是您自己买的其他6我也考虑了。
[03:23.330] 但是
[03:24.490] 咱这价格可能比别的店贵。
[03:27.180] 看看别的店，因为有的他车价优惠多，看书全款分期
[03:35.480] 分期，然后装修有些有的电视给你报的便宜点，但是装设计前面
[03:40.970] 咱们都没有。
[03:42.790] 是没有，他有的在他那家。
[03:45.620] 有时候自己选配。
[03:48.310] 分期可以做车贷吗？都可以。
[03:53.260] 我不是指标人呢。
[03:54.940] 不是指标，你可以作为担保人应该还款我还就
[03:59.170] 这需要查我的公司需要，
[04:01.950] 所以还款肯定查你征信，
[04:03.790] 我征信肯定不行，我中心在管。
[04:07.500] 主要是我刚工作，我中心肯定
[04:11.080] 要是说
[04:14.580] 只要你家人来了，
[04:16.820] 因为当工作是因为你的流水，
[04:19.590] 对吧？
[04:20.520] 这样的个人征信的话跟你工作没关系，这个只是你个人的，比如说信用卡逾期不逾期，没有这些东西叫个人征信。
[04:30.140] 工商工作就是看你的流水，刘哲打个比方说你这车月还比如说6
[04:35.960] 一个月就3000，
[04:37.390] 肯定不行对吧？
[04:39.160] 也覆盖不了。
[04:40.980] 您帮我算一个什么大概一个
[04:44.680] 36 30 30 6000。
[04:47.040] 30。
[04:47.880] 随便你自己的首付可以30%起。
[04:50.430] 有时候到
[04:53.250] 50 60 50。
[04:55.400] 对可以。
[04:57.370] 然后还有一个置换。
[05:00.190] 可以帮我算一下，行，咱看看。
[05:03.350] 他上楼找个地坐着帮你算一下。
[05:06.530] 一点点。
[05:09.400] 然后看一眼咱奔驰有一个
[05:13.080] 中午公约来简单说一下，
[05:15.690] 咱们所有的价格都是明码标价，公开透明的，然后配上渠道信息公示，这车上有结束捆绑销售，城市消费全部使用产品。
[05:25.390] 就是说咱投保
[05:27.300] 一年的保险都不愿意上，随便给自己
[05:30.560] 不强制，然后作为服务监督电话400818088，如果你要考虑走出分析的话，咱们现在增持也不收取智能服务费。
[05:42.110] 因为厨房那是以后都
[05:48.850] 置换是吧？对。
[05:50.180] 什么时候回来？
[05:51.580] 司马大刘昊昊人完了哪年的？12年的。
[05:57.970] 第二
[05:59.150] 1.98 128贴。
[06:03.010] 怎么样还行。
[06:04.720] 除了费油都还凑合的男人。
[06:09.970] 的
[06:39.730] 这300
[06:40.480] 一边跟着一个大标价格一样，
[06:46.360] 指导价重要时尚款都是465,000还大咱们咱这没脸色吗？还好吗？因为我记着
[06:54.430] 两天前一阵子可能就是说
[06:57.850] 整个车的外观地感觉这样
[07:01.150] 恐怕还没做。
[07:03.910] 他明年也要
[07:05.800] 没有联络，我说一一说意志来CE都是一块改S要改密码。
[07:14.140] 写了。
[07:16.520] 估计了。
[07:18.090] 明年发布。
[07:19.930] 后两份。
[08:08.150] 您给算算基本上就是在咱们店里，除了坐
[08:11.240] 车价和购车税
[08:12.990] 上牌什么的没有。
[08:15.070] 上班2500。
[08:16.370] 这些都是电力必须跟我回去。
[08:20.880] 行
[08:23.820] 销售
[08:26.210] 上。
[08:32.220] 随便你自己。
[08:33.530] 那就是说不在咱们店里，方式不在咱们店里上牌的话，那就是裸车
[08:40.810] 公示价优惠六万三十四万六千八，说又为什么要那么大了？
[08:44.820] 不是正常的话就是优惠6万。
[08:47.380] 如果你做装饰的话，
[08:49.570] 送1万保险，如果你不做的话就不算。
[08:57.840] 算C260，
[09:00.030] L
[09:02.330] 颜色什么要求吗？
[09:03.990] 颜色有价格区别没有？白色。
[09:13.560] 的
[09:15.810] 高电压。
[09:19.150] 那就是您有一个斯柯达考虑之后店里置换，如果店里边如果你要考虑酒店里面置换的话，厂家这个车额外给一个4000块钱的保险补贴，
[09:30.390] 你们这儿能简单大概能估一下多少钱？
[09:34.440] 估计12年了是吧？
[09:36.620] 5月5月份。
[09:38.470] 第二年应该在5万左右。
[09:43.760] 应该到不了。
[09:45.640] 差不多就这区间，因为我没有专门的评估师，他会给你估一下具体多少钱。
[09:51.890] 然后分析是吧？
[09:55.130] 金融方式有两种，一种的话每个月是本息一块还的，第二种方式的话就是首付一半，然后另外一半是两年之后一次性还回来，
[10:05.400] 中建每月还利息要
[10:07.680] 本期
[10:08.590] 本次一块的首付比例
[10:11.520] 50 50 300多少？
[10:14.880] 10。
[10:19.210] 346,800，那减去一个6万等于是286,800，
[10:25.380] 206,800，你大概是143,400。
[10:28.960] 1366得到6，
[10:31.170] 不会到六六十。
[10:32.990] 分三年。
[10:34.150] 对，就3万多，你加上保险差不多
[10:38.190] 不到一半，落地这块17万多。
[10:42.480] 比如说手续。
[10:43.970] 对，因为你得加上税加上保险，
[10:46.840] 照您这么说我都能去到70。
[10:49.800] 首付大概能爱你首付的钱，你想用多少钱？
[10:53.950] 20亚212基本上68%，你加上税加上保险差不多多少？18。
[10:59.730] 对吧？不可能光和汽车。
[11:06.520] 车辆功能可以简单介绍一下吗？
[11:09.210] 功能就不用介绍了，主要我想知道咱现在
[11:13.100] 浙C跟34还怎么就是3434B室，
[11:19.790] 3437跟A4
[11:23.520] 了。
[11:25.100] 你要A4的话，你相对于他首先已经减退了，以前都是8速销，现在变成7速双离合了，
[11:31.370] 对吧？
[11:32.230] 你说你告诉泰勒，
[11:34.230] 不是你现在都变成悉数了，你倾诉你都以前用在什么车上来一。
[11:39.390] 对，奥迪现在全系都改成。
[11:42.730] 起诉了吗？
[11:45.940] 对吧？咱后期的维护成本1万公里保养一次，我看这两天说
[11:52.010] 这个召回吗？
[11:53.830] 进口的。
[11:54.980] 进口的。
[11:56.840] 对。
[11:59.280] 而且召回它也不是车辆本身质量问题，是因为它存在一个安全隐患。
[12:04.540] 哪个接口那块需要更换一个
[12:07.730] 接口的线还是怎么着，那头你就换这么一玩意。
[12:11.320] 这不是说这车真正存在质量问题，
[12:13.780] 11年或11万公里内低保是吧？一会儿
[12:18.770] 一年或者1万，
[12:20.620] 然后保养一次的话费用的话，如果C级车的话是958。
[12:24.620] 958，对一次小保养。
[12:27.160] 1158分饱还可以，小宝跟大宝都是一样的，机油机滤跟机油三率。
[12:33.960] 大脑肯定会贵一些，对，大宝1200多万。
[12:38.120] 百。
[12:40.450] 年8月份。
[12:54.330] 慢慢来吧。
[13:13.380] 如果你功能上不用介绍的话，到时候如果你需要了解功能参数的话，每个车身边都有一个二维码，
[13:20.130] 马到你可以扫一下了解，
[13:22.440] 你可以然后颜色的话，楼下到有700强的皮革样板，大家都可以看一下。
[13:32.410] 蓝色也是
[13:33.780] 黑板。
[13:34.690] 哪个卖？
[13:36.260] C的两门。
[13:37.800] 进口的对。
[13:39.480] 346,800。
[13:41.560] 跟北京奔驰加长了一个。
[13:43.700] 多少？
[13:44.950] 多少？
[13:48.320] 首富那就60%。
[13:52.520] 48。
[13:54.390] 一下。
[14:20.550] 50分3年。
[14:24.810] 现在你没死算了，跟我算了你还不一样，你支付方式可能和我支付方式不一样。
[14:30.910] 我告诉你。
[14:32.550] 对因为你支付方式一点，我要药我让你我就带了个S3508。
[14:38.850] 是对你要是全国买的话，
[15:19.960] 车上还有什么疑问吗这边？
[15:22.030] 车上
[15:24.100] 为什么一
[15:25.370] 默默一家店说咱这就是
[15:28.150] 又被拍上的话，反正都没有。
[15:30.560] 对防爆胎的。
[15:32.370] 没有气能继续行驶，80公里时不多发声出去玩，在高速上爆胎什么的。
[15:37.970] 爆胎的话你也能正常开80公里，
[15:41.410] 然后你这80公里修车就不好找了，有的可能
[15:45.160] 你可以呼叫道路救援，奔驰免费的。
[15:48.500] 2点，
[15:50.020] 不管你在哪，他会自动定位在你的车。
[15:52.810] 你高速不是不好识别为是吗？
[15:55.440] 它会定位。
[15:56.940] 对于手机互联的功能需要后期还需要花钱，需要头三年是免费的，也头三年对。
[16:06.330] 那三年以后一年多少钱呢？
[16:08.630] 看看他这看你上多少项，
[16:13.010] 基本上你全都弄全了，一年大概会有1000多块钱全上去了，你不能那就无所谓的，因为就是play。
[16:20.710] 开play是不收费。
[16:23.550] 要是手机互联
[16:25.880] 到期了也可以继续使用。
[16:28.710] 他本来是不收费，他是一个配置软件，因为我去宝马的时候，人家跟我说要三年以后一一一年要花钱，
[16:35.920] 你既然数据现在跟你手机链吗？但是你又没有无线的有没有人帮助我问了好像就只有宝马咖啡是后期收钱的。
[16:43.590] 奔驰不是那是一个软件，一个说
[16:47.840] 国内
[16:50.810] 然后车上没什么疑问的话，到时候你要小是假的话，可以用一下试乘试驾。
[16:55.670] 咱周末试驾一般都是平时。
[16:58.360] 周一到周五对周一到周五，周末的话你得提前预约。
[17:02.150] 周一的上午10点都可以过来试着，早上也好人少，
[17:07.000] 因为现在受疫情影响也比较控制的比较严。
[17:10.320] 对，从这出去四星桥下调头回来，全程预计5公里20分钟左右到那边，
[17:15.640] 四季青桥下到那边，从这出去，四季青道走
[17:19.650] 5公里20分钟左右。
[17:21.920] 你算是放假。
[17:24.910] 报价之前还得让你看一下咱们服务公约。
[17:30.000] 没办法，现在都比较严格一点，
[17:32.570] 都是明码标价，公开透明，然后配套渠道的轻型工事，
[17:37.350] 绝不捆绑销售，强制消费，用户使用假假一次充好。
[17:42.100] 然后下边有服务监督电话4008181188，
[17:47.680] 爸爸单位是我们奔驰全国统一的一个新版报告单，上面所有涉及的价格在你刚才一进门登记那块都是公司排名，
[17:55.480] 所有的公式价格对上都有标注，到时候如果你需要的话可以带你去看看。
[18:00.430] 来看一下4250，
[18:03.930] 你别看我这压着我的分析，我给你分享的，
[18:07.850] 346,800，然后一共6万的现金，二十八万六六千八，
[18:13.610] 然后扣除税的话2万多块钱的购置税，
[18:16.080] 中央是的话我们不强制了，
[18:18.020] 如果你有需要的话，我们是13,800的装饰套餐，
[18:21.480] 环境
[18:22.360] 号召力福临之城。
[18:24.450] 对行。
[18:25.960] 套餐是
[18:27.240] 贴膜。
[18:28.480] 脚垫后备箱垫进入。
