[00:00.000] 7月4号接刚才朱先生订出新的电话。
[00:05.550] 拜拜。
[00:10.920] 前台、前台、
[00:54.190] 你能帮我看一下。
[00:55.810] 北京医院。
[00:58.240] 哪个？
[01:01.150] 场
[01:22.320] 数据。
[01:46.930] 了。
[02:30.920] 二
[02:32.870] 的。
[02:34.910] 一下。
[02:39.310] 场。
[02:40.540] 五。
[02:45.330] 了
[02:57.000] 数据、
[03:03.780] 住址是北京市海淀区。
[03:06.000] 谁知的小伙子行吗？行，什么装小。
[03:12.010] 男装是吧？
[03:14.980] 医院还医院回来。
[03:16.980] 好。麻烦您把您身份证正反面给我发一下。
[03:25.820] 这款电动车
[03:32.130] 数据。
[03:34.120] 小南庄、
[03:36.020] 三。
[03:37.090] 30号楼是吧？
[03:49.190] 楼，
[03:51.040] 然后。
[03:52.090] U302。
[03:53.540] 1302。
[03:57.570] 来了
[03:59.040] 1302次了。
[04:16.400] 要
[04:17.640] 不要用那个药？
[04:20.800] 主要制度
[04:22.830] 重要。
[04:24.580] 也可以按照
[04:26.610] 完全。
[04:28.480] D
[04:36.570] 的。
[04:41.430] 贴膜，
[04:42.940] 咱们谁知。
[04:44.700] 我把确认信息发给你，然后你
[04:47.960] 大概估一下，我给那儿委托书已经发过去了。
[04:52.640] 咱们去
[04:54.150] 全部都要
[04:56.680] 的。
[05:02.050] 刚才说的
[05:04.600] nana
[05:09.850] 东北门，沃尔沃这边喔这边。
[05:13.540] 东门。
[05:15.510] 东门。
[05:17.420] 东门的卧室，然后。
[05:26.630] 他通知传的
[05:34.210] 什么反应？
[05:38.090] 打。
[05:39.080] 发生行行，我知道身份证号对。
[05:45.200] 等待。
[05:47.070] 432503。
[05:49.680] 1978051902。
[05:54.800] 行，我就要一身份证号。
[05:57.520] 1490现在我选择一个地方存在银行外面
[06:01.850] 国外的一个活动。
[06:03.990] 这是我们
[06:07.380] 我录完了。
[06:08.550] 我知道什么。
[06:14.210] 的。
[06:21.160] 导演、
[06:41.720] 的。
[06:49.400] 数据
[06:52.880] 的
[06:55.110] 坏。
[06:57.410] 场。
[07:02.110] 数据。
[07:04.690] 场
[07:11.900] 五。
[07:15.040] 的
[07:27.270] 的
[07:36.080] 一。
[07:42.880] 二
[07:48.610] 要
[08:19.530] 但是。
[08:20.440] 的
[08:22.560] 98.5。
[08:26.530] 部分
[08:27.890] 但是
[08:29.140] 别人
[08:34.030] 的。
[08:43.890] 一个大奔驰的加价。
[08:46.140] 前年买。
[08:47.680] 优惠了20多万。
[08:51.030] 加价。
[08:54.090] 汽车之家报价，
[08:56.840] 谁知
[08:59.320] 不加价了，上次让我看叫什么丰田保姆车家有点多，而且时间特别长。
[09:10.770] 那个车让人不可思议了，不是那回事了。
[09:14.840] 就出了。
[09:16.720] 不知道为什么加价好的，
[09:19.120] 那就是炒的。
[09:31.360] 场、
[09:59.810] 联系人就用你了，完了。
[10:02.540] 你身份证拿了吗？
[10:04.540] 我就拿。
[10:10.730] 身份证我用一下。
[10:59.440] 你邮箱多少？
[11:00.880] 125915918012841。
[11:57.630] 地址再说一下。
[11:59.010] 这表明方晓兰芳30
