[00:00.000] 月4号加上现在熊先生
[00:22.790] 看完
[00:29.130] 你的客户。
[00:31.990] 我今天开了几家了，
[00:35.560] 反正我跟
[00:39.000] 报告我昨天安排的
[00:44.150] 人都带着了吗？没事24:30。
[00:57.480] 您好熊先生吗？
[00:59.200] 熊先生吗？不好意思。
[01:01.980] 您好熊先生吗？是您好，欢迎光临百度之星稍微向下让我名片。
[01:07.510] 不好意思，因为疫情期间上班的人比较少，我们是倒班上比较少久等，不好意思。
[01:14.070] 这有预约吗？他了解没有，第一次来咱们店是吗？
[01:17.610] 了解一下成一会给您详细介绍一下，喝点什么吗？没事吗？有试驾车一会可以带您体验一下。
[01:24.920] 喝点什么咖啡，可乐茶比唱歌，他们喝茶一会咱水让他给您倒一杯坐定了。
[01:31.670] 行，为了更好的给您服务奔驰为服务公约，我给您介绍一下，
[01:35.960] 客户为尊以礼相待，诚信经营、合法得体，明码标价、公开透明，配件渠道清晰公式，
[01:41.840] 绝不捆绑销售强制消费，绝不使用甲见一次冲泡，下面会有4008181188服务监督电话，
[01:48.640] 奔驰是第一家承诺不收取金融服务费的品牌，您可以放心购买，三位是就看好这车型，还是我都给您推荐推荐，我先问您一下，您做最低排量的就是落地下来多少钱？
[02:00.570] 他就一个排量1.33T但是分车型180还有200，
[02:05.220] 180您最低办下来的话差不多也就不到30差不多。
[02:09.630] 不到30OK咱。
[02:12.430] 用是吧？对家用百分比就在这时。
[02:15.360] 与实际的油耗差不多有6个左右。
[02:18.280] 非常成功，营销加满多大？
[02:21.380] 邮箱的话这是58。
[02:25.150] 咱预算大概想放在什么价位空间？
[02:28.610] 哪一步？
[02:29.880] 应该了解差不多。
[02:31.520] 好好，你看着动力配置有什么东西好吧？
[02:36.800] 地方。
[02:37.950] 除了。
[02:39.020] 外还有叫什么？
[02:41.180] 挤压的对A ts这一块。
[02:44.810] 铁路C那一块现在有
[02:47.640] 有几个260 300，一共是5款车型，价位从3×4800到56万多的都有。
[02:57.190] 300好像有300吗？
[03:01.080] 300，咱们班展车可以带您看一下。
[03:07.240] 先试一下。
[03:09.240] 车型你先给您介绍一下，每个车坐这个车对这一块吗？是？
[03:15.340] 您这动力配置有什么要求吗？因为它俩的差异其实还是挺大的，每个你像这款是1.33，第
[03:21.880] 对这块1.33THERC的话是2.0T
[03:25.630] 当然它的价差也是比较大的，
[03:28.680] 从技术上来说的话，差了得有大概10万块钱。
[03:32.090] 为什么您对动力配置有什么要求？
[03:35.110] 这城里头跑也就这样，其实咱们是为什么问您对动力配置有没有要求？如果能够要求不强的话，
[03:42.470] 咱自己家用性价比这款来说是比较高的，对它的价位，包括它的空间这款还有小7座，他竟然有清热的版本，
[03:51.740] 很多客户没想到
[03:53.430] 你做的就行是吗？咱乘坐人员一般是
[03:56.900] 就两三个人。
[04:00.160] 他现在在用的什么车型，感觉怎么样是SUV？
[04:03.600] 也是SUV，车对一般的车祸不好，就车可能做得不太惯了，不习惯了。
[04:10.050] 不知道他是拿它置换还是在填一下。
[04:13.320] 就算
[04:15.180] 您这个空间刚才二位感受了是吧？这款车的空间还是非常不错的。
[04:22.530] 其实尺寸不算大，
[04:24.050] 但是它的无论是底盘高度，整体的空间设计是非常不错的。
[04:29.830] 时间年，
[04:31.400] 他这样也会分配制，你要发明被200 200的话车辆发动车一样，200的高峰律师
[04:38.870] 能达到120千瓦。
[04:41.810] 200不到不是吗？Mail点毛利。
[04:45.120] 差不多，为什么您原来用什么车？因为以前用车会影响到咱们现在的购车那种需求，可能
[04:53.170] 多数还是希望跟咱原来的车的动力更接近，或者说是更高一些。
[04:59.890] 你现在上课1.3的。
[05:02.220] 1.33T
[05:04.970] 但是像他的看到不是有个1.5P的，
[05:08.150] 买人口对出这款车
[05:11.520] 就差一您
[05:13.540] 除了暂时还在对比什么其它车型可以看吗？
[05:17.760] 插一其实差异那个车型还是不错的，但是很多客户对比完之后，
[05:23.370] 交B比差一可能优势还是要更大一些，无论从工艺功率包括性能上，
[05:30.250] 您看的差异1.5，T的功率只有100千瓦，
[05:35.020] 他跟180他是一个中立，而且是三高，奔驰没有三趟车，奔驰是塑造的。
[05:40.930] 您在以后如果说用个几年之后，它的整体机械性能不会下降，
[05:46.490] 但刚刚反弹是人家都知道确实有先天的不足，
[05:50.590] 它的平顺性首先就已经达到了。
[05:53.800] 再一个的话它的200能达到120天了，
[05:57.050] 相当于自然吸气大概在2.2的排量，
[06:00.720] 其实对于这款课程来说表现是非常不错的。
[06:04.990] 如果说咱要是期望寿命研究的要求的话，
[06:08.300] 种配置。
[06:09.600] 工作人员、驾驶情况。
[06:11.640] 包括您看看新的什么浇地的，200重感情顿的，
[06:18.200] 这块的比较
[06:20.400] 塑料明确查一下。
[06:22.090] 咱们
[06:23.060] 对于塑料甚至很长，
[06:24.750] 他们会有车型的一个明智。
[06:29.920] 一共是4款车型给您推荐的。
[06:33.550] 属于中间派。
[06:35.840] 也是5个版本，在网上时尚城市期货这个产品能用，
[06:39.820] 但是它的动力上的话，你看
[06:42.350] 这是140 120，
[06:44.250] 它的油耗这是很多客户比较差异的，他俩还是不好。
[06:49.280] 怎样的？这是为什么一高端一般般号码多少？
[06:54.930] 退款的200车钱，
