[00:00.000] 接待一次客户张演示，一次是庆彰
[00:23.030] 您好。
[00:24.650] 张姐，
[00:25.920] 明明效果无妨碍。
[00:27.720] 第一次来是吧？
[00:29.460] 你们电视鼻子
[00:31.560] 可以没问题。
[00:32.940] 喝点什么可乐咖啡啥都有。
[00:35.290] 有没有一个屋子或者什么的？
[00:39.490] 屋子只能去那边行可以，那走去那边。
[00:44.350] 看看。
[00:50.780] 来之前没有余额对吗？
[00:54.840] 这有同学在这边他也没整着。
[00:59.480] 我先给您说一奔驰的服务公约，就是现在价格都差不多，客户为准以礼相待，诚信经营合法得体，明码标价官透明，PC制造企业谁知冲，
[01:14.700] 包括您做分期作用，但他也不收取任何金融服务费，你们在这儿违反了一些标准化，不用我我底下会有个电话，4008811889个电话来这边
[01:26.640] 一三百哪款怎么着？
[01:28.540] 快乐目前做不到。
[01:31.100] 下面都会
[01:32.750] 包括
[01:33.580] 其他的
[01:35.670] 因为现在不做U盘都挺大的。
[01:40.450] 您是现在开的什么车？
[01:43.090] 我说您现在开始怎么说？
[01:48.090] 是打个男的给我换吗？
[01:50.560] 我还有一个号。
[01:53.350] 开怎么样不要。
[02:00.400] 不断优惠力度大一点。
[02:02.200] 它是有一个置换补贴，
[02:04.330] 还有
[02:17.950] 等我让他开门，
[02:28.410] 用那膝盖怎么了？
[02:30.300] 每天都自己玩摔的。
[02:32.220] 对。
[02:33.240] 看头疼。
[02:34.760] 还是在看着感觉好。
[02:38.660] 我觉得还是这边
[02:42.330] 了。
[02:51.350] 看他的人
[02:53.600] 今天仍优惠优惠比较大的关系，
[02:57.590] 有关系。
[02:58.960] 你想现在都是疫情期间能出来看车的，几乎都是买车钱，时间还是前段时间投
[03:05.130] 克制挺多的，所以
[03:07.320] 几个方面，然后您是打算全款分期。
[03:11.700] 都看看那个不是
[03:13.800] 怎么都行，你让我今天上午
[03:16.490] 老客户推下来两个客户，其实这样的就是我们的车其实
[03:21.710] 之前有态度就比较了解了，大概的价位你都知道，就看看咱们店里边有什么实在点的活动，因为在价格之间也都了解差不多了。
[03:31.410] 因为我们以前有一个朋友，我们车牌号他上次买的也是这款的，有一个朋友也是卖车的，但是
[03:40.850] 电离我们家比较近，因为以前他在城里面是什么奥之星的还是之星，
[03:48.440] 也包括华冠里边新疆也问过，我跟那上班相当于是
[03:53.140] 你那个朋友在哪，其实现在
[03:55.910] 优惠都差不多。
[03:57.800] 对，现在价格比较透明，离家近点。
[04:01.360] 没有那么西边。
[04:03.200] 但这边有金冠的话，其实包括经管什么丰田还是也是有认识人在里面，但是怎么说呢，
[04:11.770] 既然现在过来就来看看怎么过，打算什么买，
[04:16.080] 就这么觉得也
[04:17.580] 100更新。
[04:20.040] 今天能定下来吗？
[04:21.860] 那得先看看他什么条件，没事，你要成绩好的话，
[04:25.840] 可以考虑这东西。
[04:28.080] 买车
[04:31.130] 是大标绿标咱们
[04:32.980] 代表了大标的，
[04:34.670] 颜色就黑车、棕
[04:36.230] 黑的。
[04:37.720] 你说是外观颜色对没错。
[04:41.580] 礼拜应该就一中上一杯上还有没有别的事，还有米色，但没人要，一般情况你要是外观选择黑色的，99%都是黑工作。
[04:51.990] 他现在D300的话应该是三块还是两块？
[04:55.370] 两两款就一个46万的官方还是最主要的是200元，一个465,800，还有一个499,800的。
[05:04.240] 就这两款。
[05:05.760] 300就分这两款E260情况也是两款，当然有一个两驱和四驱，一般四驱的没人样。
[05:11.910] 买1.5的吗？
[05:14.500] 对确实实话实说，确实R350
[05:17.410] 是因为贵的比较多，这边人比300点跌个十五六万。
[05:21.000] 到不了。
[05:22.460] 干不了。
[05:23.230] 肯定会在市区。
[05:26.000] 其实主要是四驱。
[05:28.000] 不是，那女孩在那了，你四去有什么用呢？
[05:33.490] 有点累了。
[05:36.800] 托您之前了解过吗？给您做个介绍去。
[05:39.640] 不用特别车了，不用了，有什么活动吗？目前我们开了一个就在价格问配置问问底价，然后把门店的活动，因为别的电脑我们去问题开过吗这个？
[05:51.450] 开有事下车我让大家开开一下了。
[05:55.220] 您这道简单，
[05:57.120] 就是谁知钱什么博士，像什么金冠，我们能大概了解过，这边得先行没问题，
[06:08.050] 咱看哪些小事想随时过来。
[06:10.550] 这主要就是感觉离家近一点，所以考虑可能是这样，我们坐车比较简单，应该
[06:17.430] 对车辆我们也有了解，然后使用体验我们也有，然后对车辆不需要了解，一我们就关心什么价格，二日关系有没有车，
[06:25.680] 这两个肯定应该有选择有一般黑的，你要是要其他颜色我不敢跟她说着，黑色肯定是有的。
[06:32.990] 就这两个条件，其他的别的没有，对你们来说也比较简单，行，咱这见到是原色的运动，
[06:39.410] 我看看您这边有什么全身范围内的，有什么优惠活动或者介绍。
[06:43.500] 没问题，我都给你列张表列了。
[06:51.590] 哪天想试驾随时过来，比如说明天想试驾了，到时候约了上午10点。
[06:56.280] 行，您稍等，打一个报告单马上过来，就在小屋有
[07:16.370] 选择。
[07:18.830] 也不是再也不用那啥，咱可能别买。
[07:39.720] 说
[07:41.470] 也不正常东西。
[08:01.630] 年业绩
[08:02.550] 月份比较
[08:06.130] 看来我还愿意生活在玻璃的，他
[08:09.750] 现在每人都知道他做300
[08:14.060] 我参加考试刚才我们都没有
[08:16.840] 没见不着，想说调整啥都可能影响全球活着吗？
[08:21.530] 自己在
[08:32.750] 的。
[08:46.730] 我拿一个他介绍的
[08:50.350] 长轴距E级什么？
[08:53.370] 立即
[08:56.040] 我看看
[09:01.230] 你拿的是啥？
[09:02.930] 这边
[09:08.470] 还有简历的介绍，
[09:10.560] 拿给我。
[09:11.920] 没有。
[09:13.530] 然后
[09:14.570] 还有我的手有点晕了，把那个标准具体
[09:22.410] 叫
[09:23.800] 那么吗？警戒的东西来都快变态。
[09:36.310] 我这正好装修。
[09:41.490] 那边有座吗？
[09:57.600] 书香达标，黑车中对吧？
[10:01.530] 你看那两款车就46万多，跟19和各个的优惠的力度怎么样？是一样的还是不一样的。
[10:09.270] 舒享的优惠力度稍微大一些，就46万美元，
[10:12.810] 49万多优惠大，它的优惠多少钱？
[10:15.800] 都理解，我都给你写的了。
[10:23.370] 那新款的小眼的什么
[10:25.100] 什么是解决，这不知道我能
[10:29.240] 塞点得到消息永远都是最晚的。
[10:31.920] 谁知
[10:33.220] 没有最准确的消息，他也不能进。
[10:41.550] 但是动力上
[11:21.990] 咱们几点下班？
[11:23.200] 5:30。
[11:24.240] 10:30是。
[11:42.990] 人家说奔驰药物
[11:45.090] 4年3年多不到4年以前也是做
[11:48.130] 指数还是？
[11:48.920] 以前不是。
[11:56.000] 装饰您要吗？
[11:57.600] 包括什么？
[12:00.320] 装饰有贴膜、脚垫、后备箱垫、行车记录仪、护板还有一三幅度惊，
[12:05.930] 一共是13,800，
[12:07.660] 全部要没有强制性的，你可以想要就不行。
[12:12.240] 要先不要是吧？行。
[12:15.060] 你结果的你看你可以两块暂时没有看。
[12:36.970] 有现车吗？
[12:38.060] 有限克刚不是跟你说了吗？
[12:43.210] 你们
[12:45.250] 贴膜拿走这张
[12:47.240] 车一
[12:48.500] 给你粘贴了，不一定接受意见，交时间会议系统。
[12:52.610] 不要把这个东西咱们研究一下，这里面
[12:55.780] 在我们这里有
[12:56.930] 大概时间，刚才手上是最常用的号是吧？对我本身没问题。
[13:05.070] 谁知
[13:07.000] 你们考虑是吧？
[13:10.110] 上
[13:30.540] 等形式
[13:31.520] 上
[13:40.880] 一会儿
[13:42.680] 没问题。
[13:48.210] 保单给您算完了，我再跟您说一下服务公约。
[13:52.520] 刚才给您念的。
[13:54.200] 没事不用那么客气，我不用了不用行没问题，他那个是全国统一的一个报单模板，咱们每列的一笔钱都会有一个相应对应的工资价格，通过价格看板了，在刚才您做的听的旁边，您看需要带人过来了解一下。
[14:08.850] 互联网这块长时间
[14:10.840] 这车指导价499,800，您知道的吧？现在优惠73,000，又玩了426,800裸车对裸车。
[14:17.900] 这是你说的是什么书上是吧？
[14:19.940] 叔想吧他那46万那叫什么时尚三。
[14:23.860] 购置站37,700，2500的验车费，保险是预估14,000，保险经理在这上吗？还是哪样都行，您随便。
[14:31.870] 随便衣服价格对评估价格14,000数
[14:36.120] 都办齐，这4笔钱都半截了，48万一多万教你大概的就是你这个价格，你那个价大概是多到73,000是吧？73,000大概给我标一下。
[14:46.740] 我这写一下写稿。
[14:51.760] 然后
[14:54.480] 然后你接着介绍，
[14:56.330] 首富我是按50%给你计算了，24个月，不是50 50这么1个制度优惠手机，
[15:03.050] 这不就50 5050%，这是等于这个数213,400，贷款额都是一样的，24期
[15:10.860] 利率是2.49，每个月还多少？
[15:14.330] 你听我说一样来。
[15:16.400] 对月还款金额是442块钱，这442每个月只是还的利息没有本金。
[15:23.330] 比如说您贷了二十一万三千四二十四期有两年利息一共多还了10,629块钱，
[15:30.790] 然后首付一共就都加起来，首付款加购置税，保险验收费一共加起来
[15:36.200] 是267,669。
[15:38.730] 都办齐了，
[15:40.990] 这就是错，是不是这么意思？
[15:43.070] 26万多，这是按50 50低首付的给的，对，然后以后的话每个月是442，然后跟一样贷款额是24期的最后一个月一次还清，
[15:55.650] 反正21万多年轻，他就是26万多家上市，21万多是不是就等于40
[16:00.450] 481669这不可能还有利息，最后1万多利息就是这样，那就是
[16:05.550] 加上
[16:07.580] 附加力的话，这俩是不是等于
[16:11.120] 钱夹这个钱是等于这个钱就多花了1万多块钱利润就多还1万跟利息，我这不是都
[16:17.510] 当我给你写下来了，
[16:20.950] 然后还是这两年之内车是抵押的状态是吧？
[16:24.390] 应该跟他一样真美。
