[00:00.000] 我欢迎光临吓人你不用说没事上面首次进店，
[00:04.300] 你点客户来源，
[00:06.110] 就这几个。
[00:10.350] 在网络邀约是谁？PC电话邀约电话邀约也是弟子他们家的就是那边加的。
[00:18.560] 都一样，她就多此一举。
[00:23.230] 我去找
[00:25.110] 当毛笔去改一下。
[00:28.190] 他的电话我估计他这电话邀约就是销售那什么电话邀约。
[00:34.210] 我也不知道，反正之前她就这样弄的行。
[00:38.180] 就按说你从这里边应该就能看到是什么了。
[00:41.770] 在吧？对是微信，不管是保洁可能信息。
[00:46.410] 咱们了，那行再说我条件了。
[00:50.470] 微信转是吗？
[00:52.400] 我跟你说。
[00:54.470] 你有吗？
[00:55.630] 助理问一圈。
[00:57.830] 你丫人缘这么次，他们
[01:00.770] 不愿意邀请我，哪个不是，你这人缘怎么这么刺？
[01:06.030] 为了几百
[01:08.030] 600。
[01:08.900] 500。
[01:09.990] 唱歌你问我借我也有，这不但
[01:14.030] 我叫人在门口等着，
[01:18.380] 数据准确一天不要数据准确，不用加一天，今天先发一个明天才能准确可以吗？
[01:26.470] 因为他们数据没法倒。
[01:28.720] 不是没有必要吧？
[01:30.110] 比如说他们今天这表就卡到10 17:00，
[01:34.870] 都数了对吧？
[01:36.000] 那就17点的树他们还转不过这梦，等他们17点以后的说明，等他们17天以后的时候，他就放在第二天不就完了吗？
[01:43.690] 不你这俩钉子还没明白，刚才主任说都明白了吗？不是三点表示还没纠结出来是不好筛。
[01:50.560] 他们本来就糊里糊涂，平时就不明白了，我明白了，他们本来数据糊里糊涂你知道吗？
[01:55.540] 周三特别难屡明白吗？
[01:57.100] 数据多它旅之前
[01:58.930] 但你这东西你以后必须得捋，所以说他们男的所以他们吕布明白了吗？他们手二次有效什么都不明白，你看就知现在集团
[02:09.570] 所以说应该就量化自己知道一共多少钱，就是集团所有的DC销售，
[02:14.980] 现在要对标一岁来了几个成家，他现在不准你知道吗？咱们所有的就是获得的总线索量咱不知道。
[02:21.830] 不知道。
[02:22.630] 它的有效的线索咱们也不知道，而且他们的有效回访也算不清楚，
[02:30.610] 他们出去他们每个地方都挤
