[00:00.000] 现在首次李先生是吧？
[00:05.710] 你好李先生。
[00:07.310] 销售顾问告诉我我来接待您。
[00:10.020] 这我名片您好。
[00:11.840] 好，第一次来咱们店是吧？
[00:14.190] 之前有个预约或乘车销售没有在哪？
[00:18.360] 说话，有他们公司
[00:20.990] 想看墙壁，我看登记的还想看交费元飞将C我觉得香菜没有了。
[00:32.510] 这车之前看过吗？
[00:34.450] 我关注过一下二
[00:37.160] 31.33T队。
[00:39.310] 33T队它能达到多少码？
[00:42.680] 他是120千瓦换成马力的话应该是190块钱，194千瓦左右。
[00:50.070] 基本上相当于自然吸气2.02.0多点。
[00:55.080] 对，以前2.0自吸的话基本上就差不多一。
[00:58.730] 100 108左右。
[01:00.530] 他跟180的话就差不多了，然后200的话就是120。
[01:07.160] 稍微什么一点，稍微好一点。
[01:16.290] 您现在这就是一个配置是吧？不是。
[01:20.570] 它有4个配置，
[01:22.750] 它有4个配置，配置是180，不是这个是200。
[01:29.320] 800万，这个是200的动感指导价，318,800这一块，
[01:35.400] 算是第三档。
[01:39.810] 在网上还有一档326,800的7座，然后往下有两款180系列的动感时尚，
[01:47.130] 这事就算5万
[01:48.740] 5座，
[01:50.330] 这款是5座。
[01:52.150] 我给您大致的介绍一下，不看着点这一下看穿之前。
[01:56.200] 咱们分支有个服务公约，不耽误您时间。
[01:58.570] 简单的给您宣讲一下。
[01:59.990] 客户为尊以礼相待，诚信经营、合法得体，明码标价、公开透明配件渠道进行公示，
[02:05.280] 绝不捆绑销售强制消费，绝不使用假借一次中场下半年监监督电话40088188。
[02:11.200] 乙方您监督对分支一下还是行业？
[02:14.560] 都是金融服务费的东西。
[02:17.190] 您现在用的什么车？凭感受什么？
[02:21.140] 一列车吗？
[02:23.350] 但是发的这事传开，它的叫声，然后我用盘子，
[02:28.830] 这个车型等于定位是一个城市型SUV。
[02:33.580] 对排量都是1.3318，
[02:35.790] 然后分为180系列和200系列，
[02:38.780] 180系列有两款，动感时尚200系列有两款。
[02:42.480] 8114还有多大？
[02:45.120] 180系列也是1.33，
[02:47.940] 他俩调笑不一样，一个是100千瓦，一个是120，
[02:52.240] 就这么一个概念。
[02:54.010] 对，就是说白了高低功率，
[02:56.390] 是吧？高低功率。
[02:58.010] 完了之后配置方面也有一些差距，但是这4。
[03:01.410] 俺都是分时上的是7座，
[03:04.730] 动感的是5，
[03:06.130] 这么一个概念。
[03:07.140] 鲎价位的话差不多从29万多
[03:09.740] 到32万多，
[03:11.280] 然后这么4块，然后再往上
[03:13.980] 它还有一款
[03:17.050] 在网上它还有一款。
[03:20.130] 先行特别版已经取消了，已经就没有了，但是算是当时的一个测试版本。
[03:26.360] 实际在售就这么4块，看你刚才这个标是29万多，对他是指导价318,800，咱们294,800的。
[03:35.230] 就这个价位了，没有这价格，您的情况金牌什么的各方面还是可聊的价格，
[03:42.070] 这只是标了一个大概的优惠情况。
[03:44.450] 基本上咱们优惠的话都在44,000~5万的区域，对各款区别不一样。
[03:50.540] 由于还是预算大约能有多少钱这款的话动感的话这款能优惠到5万，
[03:57.240] 是318,800。
[03:59.620] 晕完之后差不多26万268,800。
[04:02.840] 咱达27全办齐了差不多30冒头的样子。
[04:07.950] 配置亮点各方面哪方面会比较关注一些，都可以大概的给您讲一下。
[04:12.280] 比如像200系列的使用的都是这种LED大灯，你跟龚刚才报这价就是200。
[04:19.610] 对，就是这款的配置。
[04:21.800] 是吧？然后LED大灯，然后点上速度开始松动，行，这都是一个安全性特点，这块还采用了一个全包式的车门，
[04:29.850] 这是以前越野车很少有的。
[04:32.040] 整个车门都是包在门板以内的。
[04:34.650] 这样的话平时在市区使用下雨下雪就不容易遭到匪夷所思。
[04:38.740] 水库管这块也算是一个舒适的。
[04:43.720] 没有库存系统是吗？
[04:45.600] 没有四驱都是两驱的，然后后边200系列都是有电动尾门，对也是方便开启的，也是非常方便，都是一个便捷性的功能。
[04:55.540] 然后后勤盖还有两档的设计可以跟他。
