[00:00.000] 5号张晓军在
[00:02.050] 让孙先生
[00:05.800] 好吧，要是您匹配的话，你自己想要的方法
[00:12.950] 说
[00:13.700] 等你准备的话你自己又没有
[00:19.320] 明白了。
[00:20.690] 别不用。
[00:51.000] 你好孙先生。
[00:52.370] 你好，百分之真的分配我接待您在什么位置？
[01:00.080] 我在前台着，我看着您了，您回事。
[01:05.800] 您好，孙先生吗？找您。
[01:08.990] 您好，欢迎光临百一知青笑容僵笑紧张，我名片您好，所有预约了您。
[01:14.050] 第一次来咱们店是吗？
[01:15.930] 喝点什么咖啡可乐还有橙汁。
[01:20.050] 应该通知。
[01:21.560] 行，咱坐这边大概给您做一些分析，给您推荐一下。
[01:25.240] 您坐。
[01:28.130] 来杯橙汁了姐。
[01:31.190] 的
[01:32.080] 把你准备的这样
[01:35.240] 给我就行了。
[01:45.070] 来有请先生。
[01:50.920] 这样为了更好的给您服务分水服务公约，我给您介绍一下，
[01:55.120] 客户为尊以礼相待，诚信经营、合法得体、明码标价、公开透明、配件渠道信息公示，
[02:00.720] 绝不捆绑销售，强制消费，全部使用甲见乙巳冲。
[02:03.710] 好，下面会有300818188，如果接通电话，
[02:07.030] 奔驰是第一家不收取金融服务费的品牌，您可以放心购买。
[02:12.020] 您是有看好的车型还是我都给您推荐几天？
[02:15.320] 我比较看好内裤，原来看过车型上怎么样，原来是没有太多聊的。
[02:24.550] 没有一会有展车，您喝杯水就带您看一下。
[02:27.810] 在上面看了一下感觉怎么样，还满意吗？不是，咱们见一下基本点点。
[02:38.240] 您有什么竞品对比，你看妈妈其实就是
[02:43.710] 然后我点的是还有老板。
[02:47.060] 那两款车去看了吗？感觉怎么样？
[02:51.390] 这样专业他们一直当然他们是不新款，对。
[02:59.070] 就1%。
[03:02.110] 对很多客户其实几款车型我会对比，从数据对比的
[03:07.230] 会多一点，奥迪A5的话其实设计也不错，
[03:13.520] 但是很多客户觉得
[03:15.100] 细节上
[03:16.770] 包括时尚感，因为像C to pay毕竟是2门，4座它的轿跑风格会更容易运行，
[03:24.570] 而且他算是轿小车里面能兼顾实用性的2门，但是4座平常的话，咱想乘坐一下亲戚朋友
[03:33.210] 也都还够用。
[03:37.090] 您对于这个车的功能配置有什么要求吗？
[03:41.040] 您这块
[03:43.790] 功能配置就像
[03:49.730] 比如说像资讯非常系统，
[03:52.790] 功能
[03:54.960] 这块是有。
[03:57.040] 这还真没有。
[03:58.500] 但是她有主动制动，
[04:00.410] 就通过讲重刹车，
[04:02.350] 像定速巡航系统功能这些是都带的。
[04:07.420] 定速巡航是标配的标配，
[04:12.950] 还多了一个特别好的叫限速功能，
[04:15.040] 其实比性巡航可能还实用。
[04:17.400] 咱预算大概是想用在什么价位区间方面？
[04:22.000] 预算4040万左右。
[04:26.090] 咱现在已经用的是什么车型，感觉怎么样？
[04:29.900] 或者有什么不足的需要提升的没有？
[04:32.350] 现在
[04:34.630] 我之前也
[04:36.380] 没有开过。
[04:38.480] 那是首次购车，对应该做这样的事，我家人有我的指标买了一个车，
[04:47.090] 然后最后买这个车，我把外地完了，可能外地明白了。
[04:52.470] 您是原来摇号还是说置换的一个指标了？
[04:59.590] 等于您原来是摇号中了是吧？谁知
[05:04.000] 那个指标对恭喜，现在这中号真的是太难了。
[05:09.650] 那是您自己的指标等于是吧？
[05:13.380] 您还可以享受奔驰厂家的低息，
[05:16.970] 而且奔驰刚才您介绍的是唯一一个没有手续费的品牌，性价比来说是非常高的。
[05:22.890] 您是想什么时候购车，在时间上或者时间应该是在
[05:29.410] 可能10月到明年2月之间年2月之间。
[05:34.240] 所以A股配的话车型颜色可能也没有那么全，因为毕竟是整个进口的，就是还得按您实际订车
[05:41.860] 当时的计划。
[05:43.320] 为什么不考虑现在其实易行期间
[05:46.180] 您购车来说性价比会更高，
[05:48.640] 不光是奔驰，其实各个品牌在这个时候优惠力度相对来说会大一点。
[05:53.920] 有什么顾虑吗？您这边我能帮您解决的。
[05:58.350] 也没有什么，但是最近在没有，当然也可能体现。
[06:04.170] 你知道了，
[06:05.020] 看车型被最近的话没有需求的，没有实行，毕竟没有清楚。
[06:12.570] 明白。
[06:14.450] 因为说运行期间过来看车，这样实际上也不是比原来其实少多了。
[06:20.350] 您对动力上有什么要求吗？因为它也分几个车型，
[06:25.190] 200 26026047或者是300左右，
[06:31.230] 希望动力强劲一点的。
[06:34.040] 明白。
[06:35.140] 动力您北京开吗？
[06:37.250] 我们这儿你看北京开的话，其实一般客户可能选择两驱的比较多，4区的话可能多数想给中国东北内蒙客户，
[06:46.410] 可能选择多一些，我上班的地方，对，但是住在上班在海外，
[06:54.220] 没关系，反正都可以订，这个是周末这两个人比较倾向于
[07:00.860] 去郊区没问题，现在的ESP也很成熟，包括郊区其实都是柏油路，
[07:08.840] 真正说可能不好的话，可能咱也不会去差不多总结一下您的需求动力配置，乘坐人员驾驶情况，包括预算情况，
[07:18.340] 咱是比较满意C260的四驱版，或者说你要对动力要求更高，那也可以来300，
[07:24.770] 300也是两区的，其实在四驱版车型您看过才能知道只有一款，
[07:30.190] 性价比其实不是那么高。
[07:32.200] 我带你看看车给您介绍一下。
[07:35.080] 不着急您先喝水。
[07:39.720] 626
[07:46.850] 的
[07:52.710] 市场
[07:57.110] 了
[08:02.270] 数据
[08:03.220] 活动多远
[08:08.750] 场
[08:10.310] 的
[08:12.360] 谁知
[08:15.450] 我帮他点完了我带您这边行。
[08:20.800] 谁知
[09:29.710] 展车是240。
[09:30.740] 有几
[09:32.200] 车型？
[09:38.140] 颜色有什么要求吗？
[09:43.830] 比较喜欢
[09:45.090] 先验血的。
[09:46.270] 要看颜色，家具就
[09:55.860] 现在都有现车。
[09:57.160] 你整车进口了。
[09:58.520] 颜色没有那么多。
[09:59.960] 内饰颜色黑的中的灰的红了，
[10:02.360] 也都可以选择。
[10:03.920] 但有的时候可能没有车，也需要运动。
[10:06.600] 时间上的话，
[10:08.140] 有计划的一般是两个月，有计划的可能在半年左右，
[10:12.640] 差不多这么时间。
[10:14.370] 功能我给你介绍一下。
[10:17.480] 第一项非常好的咱
[10:19.010] 家用重要。
[10:20.730] 家用对于安全可能会比较在意，刚才给您介绍到了主动式自动辅助，当咱们快速接近前车仪表盘会有提示，
[10:29.130] 如果没有措施的话，它会有声音报警，
[10:31.840] 如果还没有措施，他会帮咱们下车，
[10:34.260] 可以减小甚至避免碰撞发生大大，提升驾驶乘坐的安全性。
[10:40.390] 其实这个功能可能估计也听说过，
[10:43.340] 但是奔驰带有一个非常好的设计还是什么呢？
[10:45.890] 横向的行人探测，
[10:47.980] 横向的行人包括物理它也可以进行全测，大大提升驾乘安全性。
[10:53.630] 你看我自己的朋友哥们在我这买的，
[10:56.240] C260国产的，
[10:58.220] 玩手机的时候给他沙坪
[11:00.260] 吓一跳，给我打电话，
[11:02.610] 确实可以避免事故的发生，
[11:04.680] 非常好的一个功能。
[11:06.360] 这当中您觉得怎么样？
[11:09.240] 还有必要了解过吗？
[11:11.480] 然后侧面我给你介绍一下，
[11:13.800] 第二项非常好的一个设计就是它的悬挂，
[11:16.770] 它的悬挂是敏捷操控股票，除了可以根据路况不同调节悬挂的软硬程度，
[11:22.350] 当您在中东路况的时候情况会偏软一点，这样的话舒适感能够增加，
[11:27.250] 反而路上的话悬挂会偏硬一点，
[11:29.450] 这样的话驾驶乐趣能够支撑。
[11:31.800] 买一台车等于有两套悬挂大大提升上的这种实质性的桃花。
[11:37.190] 但你放心，我分享很多日本车，那么
[11:39.920] 还是要保证和汽车的动感的回馈，
[11:43.680] 可以增加咱们的假设信息。
[11:46.990] 然后里面再给您介绍一下，
[11:49.670] 它的内饰也是非常很多客户非常喜欢的，这座里面感觉不一样。
[11:56.550] 感受的是吗？
[11:58.280] 他第三项亮点就是它的内饰，
