[00:00.000] 7月5号下午2:48开始接到意思客户郑先生看交易。
[00:26.150] 您好是。
[00:27.480] 是先给你打电话，你好张先生，我是咱们销售顾问，同样有谁知。
[00:34.180] 您是第一次来我们店里，第一次到这来，您来之前有预约过吗？
[00:39.090] 没有，我们就说了，我还怕你们不开门了，在那边看过，然后那个行没事我来替代你，如果没有手机的销售的话，按照奔驰的要求，我先给你宣读一下服务公约。
[00:51.180] 内容是客户为尊以礼相待，诚信经营、合法得体，明码标价、公开透明，配件渠道清晰公式，
[00:57.220] 绝不捆绑销售强制消费结构使用，见一次充好4008181188，谁知整个汽车行业里边第一个承诺不收取分期付费的一个品牌，另外的话就是现在咱们店是有迈巴赫的授权的经销商发对，就是说您自己或者您家里的朋友亲戚有需要迈巴赫的话也可以带我们在选购，并且经过您的推荐，
[01:18.870] 成交的话我们还可以送相应的礼品，明白了。另外的话咱们周末的话在对面展厅我们也有C级车，E级车的特价车，周末特价车，咱们如果感兴趣的话可以带您看看。
[01:29.330] 明白了，A级和一级非级跟一级，C级和EC不是轿车。对是世纪交易SUV了，没有明白了，就跟类似于团购那样是吧？对就是特价车，然后您需要先喝点什么吗？茶水杯他们喝吧问问他们。
[01:47.660] 人家周末她C级车和E级车有特价团购是那个意思，说亲友团够了这么多人，
[01:54.830] 这路人去看车不是疼痛，另外一事另外一个是那边旁边暂停了，
[02:01.630] 你要喝点你什么喝点什么，没有咖啡有可乐含量，
[02:05.840] 他休息了。
[02:07.040] 行一会再说，您之前看过这个车，看过那时候还没拆包装里边全是天杀的那种活什么的，就今天过来。
[02:15.120] 三号这挺好的，这车现在多少钱？
[02:17.910] 咱们GRE它分为350450350的价格是从70万到80万的区间，450是从80分~90万这个区间高一点，对350跟40主要的区别在12.07亿跟3.0T没必要是2.0，
[02:31.380] 而且2.0T的话，像咱们350主要是分为动感型。
[02:36.030] 时尚型的桃花行。
[02:37.950] 那么动感形式报价是709,800，时尚型72 738,800。
[02:42.990] 淘宝对号行的话是78万多，我忘了具体多少了，78万多。
[02:48.850] 那么动感型的主要比例不就是叫什么来着？
[02:52.270] 时尚型的时尚已经比动感型主要多了一个全景天窗，
[02:56.510] 空气悬挂，
[02:59.410] 空气悬挂前排的手机无线充电功能，
[03:02.620] 以及龙骨以及轮毂的造型有一些不同，一会给大家看看有什么不同。
[03:09.100] 如果豪华型的话，豪华型这块应该是。
[03:11.830] 是豪华型或者是350号或者号码以上的配置，因为它的龙骨是采用的AMD、毒、
[03:19.640] 然后还有的话就是说柏林之声的音响。
[03:23.510] 音响，然后还有第三排座椅，它多了一个第三排。
[03:27.440] 等于那就是什么？
[03:29.370] 对我们来讲第三排没用。
[03:32.090] 的，我这不是这是450吗？我说是350毫安以上，就是450动感型的，上百年了他不会了，这属于70万以上的，这个是八百八十三万四千八二十四 834,000 83 5，
[03:46.410] 对吧？
[03:47.080] 三四千8百这块，
[03:49.310] 那就是三千零七八，这是3.0T对。
[03:52.730] 你县里有这个车。
[03:55.300] 谁知
[03:57.120] SUV对轿车教师现在都是
[04:00.840] 国产的是吧？不懂事也有进口的有。
[04:04.230] 这是美国产的。
[04:07.080] 他跟宝马
[04:08.920] 还有
[04:10.090] 有世界标的吗？
[04:12.900] 这款车应该不是跟宝马叉6，就应该跟宝马跳舞的，知道差6分钟刘备的车。
[04:19.470] 咱这块交易也有这个味道，现在新款的各位还没出来，就是说比差额比较幸福。
[04:26.050] 没有
[04:27.890] 什么轮胎宽宽窄什么的，高矮要狂欢得比它怎么样，这个车来讲的话，现在目前
[04:34.730] 前后应该都是27的轮胎比较宽，全时四驱，
[04:39.200] 可是的就是四驱的。
[04:40.760] 所以说的话从这车因为又是新刚才已经强调了一点，就是已经改口，
[04:45.920] 所以说这个车的内饰
[04:47.690] 外观看上去都是全新设计的，感觉看着比较高档豪华时尚一点，而且确实奔驰的
[04:54.870] 内饰的动能比宝马活更细，品质更好一点是吗？
[05:00.300] 分支宝马
[05:01.570] 里边
[05:02.900] 那个来说那是
[05:05.330] 但是老话说开宝马都没吃，也就是奔驰的整体的舒适度是它的优势舒适的豪华度，无论你买轿车还是买这种来修，
[05:14.070] 品质还是在您现在用的是什么车型，我们中大众的视野泡了重要小小个锦州两箱子抛冷买年的款，
[05:23.750] 没有了，经常岁数还大，这就为。
