[00:00.000] 我看一下合适一点，你要说明天就停，那你错了吗？没错没事了，名了。
[00:07.670] 行，你测一下出一个电瓶几年了是吧？
[00:11.020] 明白吧？他就认那车电话，车险身份证号姓名。
[00:16.810] 老出现吗？还是偶尔天上午第二次，然后上次是10点是走着走着突然出现还是对吧？C级车还是前两天头一批的，
[00:28.970] 这东西对吧？
[00:32.760] 前段时间也遇见衣服都是那14 15头一批那种，后续明天换，反正换完之后就没带回来了，
[00:42.690] 没有加装什么东西啥的了。
[00:46.050] 第一步肯定得换电瓶了，然后没有什么其他情况就OK了没事。
[00:52.220] 在2400左右的左，而且光环电瓶快两小时左右了，不对，等一会就完了。
[01:00.830] 车牌号严谨经交易点出去。
[01:06.360] 除了您这12 09810，
[01:11.270] 一般都不一般，车子还是穿上。
[01:15.800] 你错了，你上回那不也算一样了，发展也好，他称一下咱角色。
[01:21.310] 广告你帮他测一下，后来丰满的话，苏宁可以等会那边有空位这两个地方站着送一批对，
[01:30.370] 从16年开始就上香了，然后到18年上GLC加上了
[01:36.300] 后续然后我觉得
[01:42.730] 怎么称呼您胡长清吗？电话尾号8038是吗？身份证尾号3032。
[01:53.520] 您说搁哪了？把钥匙给我哥哥，让他帮您测一下，用
[01:59.170] 12点左右车在哪跟他说一声，张帆咱给发两三圈，咱就开始吃完午饭完之后咱再洗洗车。
[02:05.930] 对，咱再耽误不了。
[02:08.140] 行行，那个手机我给您发餐券什么。
[02:11.490] 你现在餐具也拿手机。
[02:13.980] 是我啥东西啥都拿手机保养来，就是干啥都拿手机，
[02:19.990] 采用东西我等着聊微信，点击放大镜往往往上推一下，给他放大镜我光明点，
[02:29.580] 然后买格力，我这还做什么？百100 200的，
[02:33.730] 从城里人的
[02:35.000] 就等10个菜篮，
[02:36.510] 我给你打一单子就完了。
[02:38.320] 格力不是那时候谁换了，忘了您
[02:44.090] 有没有一个集团，但是这集团是那个号又废了，那个号不用了。
[02:52.110] 这是新的就买一个集团，然后您点一下它。
[02:57.050] 等着他，完了那个点一下关注公众号，然后他就进去了，就进到公众号里边了。
[03:02.590] 我倒是点，我然后稍作一下，好把他那个单子开，我等一下。
[03:10.500] 登录一下。
[03:12.720] 就说手机号登录一下，
[03:14.660] 说我这手机说咱这手机号能收短信。
[03:19.190] 这点那图片电视图像行点图像输手机号。
[03:23.510] 你说手机号对，
[03:26.360] 有些随便梳理能做点。
[03:30.590] 不要车主。
[03:31.790] 身份证。
[03:33.070] 不用刘宋兄人的信息，我跟你讲，他到时候发音奉献有一个数字的验证码，反正验证码给
[03:44.120] 直接。
[03:45.470] 不止选择复制验证码，然后在这按干部粘贴过来。
[03:50.170] 我原来还得一下敲，这多简单，直接点点复制完了人家他在一边就点，复制完了以后就长按一下看一下，他跟他谈谈一粘贴出来点下粘贴树就过去了。
[04:04.770] 乐乐刚才原来有时候上都还得还得翻腾再找一遍。
[04:10.040] 您刚才是幺三几的爱来来来来稍等。
[04:14.090] 27，咱这是预约保养还是
[04:17.600] 该召回了是吗？张的。
[04:22.100] 传过去了，什么车型是吧？手机刚才界面车牌号多少，机关C钩981和三圈，后边小数点俩，
[04:31.810] 吃饭C级车是吧？行，我安排个订货就行，哥嫂原来老发圆盘
[04:38.550] 牌就那牌的老丢，呵呵。
[04:41.820] 我发现这也方便，有时候客户您中午在那吃或临时有事走了其实无所谓。
[04:47.260] 你有时候跟我走了这牌，还说再过两天给你们还回去，
[04:51.310] 不用了，到时候第二天就消失。
[04:54.070] 您今儿没网用了，第二天又消失了。
[04:56.800] 行，我这没事了，您完全后边就约稍微坐一会，然后我这把这单子完善一下，然后我给您安排进去。
[05:05.580] 好吧？
[05:07.440] 我就等你电话对您完事我会给您打的1770号刚才咱们聊了，行都在这上面，对，先核对了一下吗？
[05:15.920] 好勒，您稍微歇会儿。
[05:18.400] 来
[05:34.320] 三。
[05:38.390] 号。
[05:41.470] 我不用检测完了没检测完
[05:48.230] 的。
[05:56.690] 的。
