[00:00.000] 远远前段时间周末都
[00:05.840] 好就这样。
[00:13.050] 7月6号接待
[00:15.970] 场
[00:43.240] 您好张先生吗？
[00:44.860] 不好意思久等了，欢迎光临百名知青张啸卿期间，我们上班都是下流了，客户好多客户买车购车的比之前
[00:54.950] 没收到。
[00:56.670] 月份约低分按电视吗？喝点什么差不多了。
[01:03.320] 您这样这个车不是报价吧？
[01:06.410] 吗？哪个？
[01:07.860] 这个地方他优惠力度流水
[01:12.900] 这款车型是没有不会的，
[01:15.670] 但是如果您上北京牌照，它是在公示价格有优惠，你的指导价格还是要高得。
[01:22.560] 您这样为了更好的给您服务，奔驰有一服务公约，我给您介绍一下，客户为尊以礼相待，诚信经营和马得体，
[01:29.420] 明码标价、公开透明、配套渠道信息公示，绝不捆绑销售，强制消费，绝不胸甲欠乙四中行。
[01:35.070] 下面会有400818188服务监督电话，
[01:38.110] 奔驰是第一家承诺不收取金融服务费的品牌，您是摇号还是置换呢？
[01:42.580] 我置换是吗？
[01:44.600] 如果您要上北京牌照的话，
[01:47.220] 我给您看一眼这款是
[01:52.760] 公示价格是943,800，
[02:00.410] 是他的公示。
[02:02.240] 这款车的售价比它指导价格要高，您原来没看过这车型是吗？
[02:07.360] 因为我根本开的是local的，他现在这款车型450的售价都比指导价格要高，
[02:15.490] 但是这款的话现在优惠完是884,800，
[02:20.280] 他指导价格的话应该是
[02:23.010] 厂商指导价格是834,800，
[02:28.450] 对不重复，只知道这不是838,088对不对？
[02:32.220] 但是它的公式价是934,800也正常我们的售价，
[02:36.870] 但如果您上北京牌照它是有优惠的，优惠完的话是88 88，
[02:42.710] 还有100多了没有？
[02:44.750] 已经办的差不多。
[02:47.810] 不到100还差不多。
[02:50.090] 想什么时候购车，您那边我
[02:52.000] 考虑进去合适的话，
[02:53.760] 动力配置有什么要求吗？你推行就配置就可以，颜色上腿的黑色的。
[03:00.730] 您可以这样，如果说您确定好要这车型的话，一会给您详细算一下，可以。
[03:06.730] 动力配置这款，动感行了就完全可以。
[03:10.590] 没有刘他们什么能不能导购过来了？
[03:18.360] 您现在置换的是什么设想的这么？
