[00:00.530] 唉主持人你好。
[00:04.400] 是不是感觉一下就勾起来了，这个对这款是运动运动版的。
[00:09.460] 可能做一个吧嗯就是叫做大化对S90留个名片，吧现在我没去下货，咱们店销售。
[00:16.190] 休息。
[00:17.060] 各位领导，各位
[00:19.960] 那个谁知。
[00:43.190] 杨总。
[00:44.390] 这还有什么？
[00:45.590] 黑的白的蓝的、
[00:48.040] 棕的，但是基本上卖的比较多的就是黑白和蓝蓝色是属于牛仔男比较偏深的那种。
[00:54.160] 我觉得抽头挺重的。
[00:58.470] 他怎么弄的我不清楚。
[01:22.780] 不对朋友朋友搞不好。
[01:23.780]  IPhone不怕上去了，你看看这这这没得选就这点东西，对对对，然后它主要的话像这一片的话是一个咱们自动驾驶，
[01:31.770] 有全系标配的，这边主要就是控制像有一些语音，其次就是说
[01:36.590] 声音。
[01:37.840] 嗯
[01:43.090] 这个
[01:49.430] 被上诉人
[02:10.360] 这这现在都什么态度？
[02:12.270] 咱们展车这款是76高配的，
[02:15.050] 呃目前指导价是774,900，然后这款基本沃尔沃整体所有车型来说，部分配置可能像安全方面，
[02:22.710] 它是标配的，无非可能像
[02:25.250] 之间有一些区别的，像比如说我们的音箱，
[02:27.780] 然后360度影像以及自动泊车这些，
[02:30.320] 包括这款高配是带有抬头显示的。
[02:35.240] 就是这个
[02:36.400] 嗯我知道。
[02:38.480] 我觉得这一块我们随时随时随时记录到每一个人。
[02:42.700] 宝马的那个不是很重要，
[02:49.210] 退出也不是这样的。
[02:50.680] 试驾是吗？
[02:52.020] 有私家车，呃这款是什么？这款今天箱号。
[02:56.350] 嗯你们店里车也限号，限号啊因为咱们平常是假的话都是在这个
[03:02.810] 能去外面，
[03:04.620] 这是一键启动的开关。
[03:06.540] 对对，正常启动就是像。
[03:09.750] 噢别人都说摁的就是你。
[03:14.160] 下面那是条驾驶模式的。
[03:16.750] 车的话平常也是您开是吗？
[03:19.440] 就是这个时候
[03:20.930] 嗯
[03:22.250] 要是离得不远，你看平常什么时候有时间，只要敢不带限号的话，我们这边随时明天不限号。
[03:28.470] 只能上你这是假是什么？就比如周围一都一两天对。
[03:35.080] 还可以有一段路的话是可以进主路的。
[03:37.780] 父母房事感觉出情况的处理方法的。
[03:40.920] 嗯好的。
[03:41.720] 就是太简单了是吗？
[03:43.410] 嗯好。
[03:44.580] 可以改一下吗？
[03:46.670] The person for only。
[04:15.480] 他欺负我了。
[04:17.410] 对，这个的话就是后排可能第三排就放到一个状态。
[04:22.530] 现在如果经常像比如说5个状态的话，就可以往后排放的那一个货币交，而且第二排座椅平常不用的话也可以完成。
[04:43.440] 可能是我们
[04:44.610] 感觉到必要上
[04:46.800] 嗯要是在然后通常对准这第二个雷达的位置上。
[04:50.490] 嗯
[04:51.440] 分析一下，然后
[04:58.610] 在那个时候就可以。
[05:00.600] 哪个s90？
[05:03.080] 中国运营中心我们现在优惠，对，因为展车这块可能是低配的，目前指导价是402,900，现在目前优惠的话，
[05:11.290] 这款车能优惠
[05:12.670] 将近11万。
[05:14.820] 嗯
[05:17.270] 咱们这边是置换还是说有指标了？
[05:20.660] 有指标，
[05:22.310] 嗯
[05:29.840] 希望。
[05:30.540] 是吗？说话因为这个车
[05:33.590] 对，但是这个车的话，不管您现在原之前开的什么车，目前置换额外补贴就是什么？
[05:41.200] 对什么什么？其实还可以。
[05:43.950] 对中国电影学院的。
[05:46.050] 你那时候多少钱我没听清楚吗？
[05:47.740] 现在
[05:48.910] 基本上优惠完，如果不算置换的话，应该在30万左右。
[05:53.040] 这样这这这是对标的那个就宝马7根公式，S那个
[05:57.940] 呃不是不是我就说那个那个轴距什么的车。
[06:01.960] 这个车的话5米08车长，
[06:04.490] 这可能属于中大型的，对对对对。
[06:07.400] C级车属于
[06:10.130] 首句的话，包括这款手机是不到3.1 306噢今天。
[06:14.510] 就是降了好多的
[06:15.820] 我们应该说这个
[06:17.180] 就这一条
[06:18.070] 钱基本都融化打多少？
[06:20.130] 原来班级40多，现在
[06:22.330] 全班级可能34头。
[06:26.120] 是
[06:28.330] 那就是
[06:37.680] 就家用的话这个空间可以。
[06:39.840] 就这样。
[06:48.350] 就整体这造型。
[06:49.670] 他不用他不用管他不用管他。
[06:52.220] 对对对，因为可能这个确实快呢就是说
[06:55.570] 那是整体风格，但是我我其实他主要卖点的话其实就安全方面。
[07:01.150] 我有一把年纪了，
[07:04.270] 嗯你不开我要开吗是吧？
[07:09.310] 所以谈的时候我我还是挺生硬的，对，而且车里的话你可以闻一下没什么味道，这车算比较环保。吧
[07:17.390] 人是主打的是安全的。
[07:22.570] Occur for me this is。
[07:25.720] 他死了。
[07:27.890] 然后来看看吧没事，就就是你手机号。
[07:31.430] 上面137，这个然后想小试驾的话，下次过来接咱们就完了。
[07:35.080] 我微信都都都问明白。
[07:37.230] 你得提前预约。
[07:38.800] 呀
[07:40.000] 我们试驾吗只要不限号的话，一般都可以当天都可以试驾。
[07:44.730] 也有可以，啊就你说这是微信号吗？
[07:48.200] 你扫那个你让你直接扫我。
[07:49.850] 吧
[07:50.840] 先好了。
[07:54.620] 噢还是少。
[07:57.230] 啊
[07:58.100] 这个这个
[07:59.450] 怎么称呼您？
[08:00.530] 我姓刘，
[08:03.040] 我跟导游嘛我说行，
[08:05.800] 嗯
[08:08.350] 去保时捷那看看。
[08:09.840] 那什么就是说
[08:13.630] 看好了吗看好了吗？
[08:16.940] 活泼的心灵。
[08:18.160] 这就是喜欢的婚姻。啊
[08:21.840] 对点不一样，各买各的。
[08:25.610] 没事没事慢走。
[08:28.900] 那就不好说了。
[08:29.980] 他跟你没关系，你想啊
[08:32.240] 如果走了是吧？
