[00:00.320] 交车客户。
[00:13.970] 哪个是车主？
[00:15.290] 第一个车祸第一个就是车重车保险，车锁我们就算这个点。
[00:21.080] 车损三者比较
[00:24.360] 车主三者险
[00:26.760] 加上不计免赔，
[00:28.940] 车损有上车损不计免赔，这都上对30名，这都是子上墩上件基本上是市区的就不要了，然后
[00:38.400] 玻璃不要，我开这么多年玻璃我没事盗抢不要，我们都在院里边OK，好的没问题，
[00:45.980] 不过咱俩要吧。
[00:47.230] 行，因为我们这个院里不到车，我们单位有院没问题，不外边但是玻璃我建议您上。
[00:53.230] 平时跑高速多吗？
[00:54.950] 我天天要告诉我进玻璃上，那我就上一个玻璃上，
[00:59.430] 这个车换玻璃和珍贵
[01:01.140] 都是进口玻璃，你来个玻璃我来个沙拉都一样，玻璃
[01:06.820] 发红就不要了。
[01:08.320] 对，还可以不要走了。
[01:11.130] 大家都一样。
[01:12.790] 看。
[01:14.030] 那天不是说他进到电视了是吧？对没错。
[01:17.580] 车子电池节能拉倒，今天拉不到他游记游记。
[01:22.440] 3楼，
[01:23.720] 然后加上一个玻璃，
[01:26.520] OK
[01:31.230] 赚多少钱？
[01:36.870] 三
[01:53.870] 发现没有折扣，
[01:55.540] 都把餐桌都找完了。
[01:57.640] 27237、
[02:02.200] 96。
[02:17.330] 我那车是不是还有半年保险？
[02:19.810] 我卖的。
[02:21.190] 我可以推。
[02:22.200] 飞去吗？咱们当时想着找个哥们不在那个门上，
[02:27.160] 你给我上一个账号，您可以
[02:31.480] 他们给我退了钱。
[02:35.190] 你买车时候别买保险，
[02:38.710] 就把这块卖了一下，那车
[02:41.100] 上一天可以，
[02:42.550] 它是按天算的，早退天多省钱，钱交强险退不了，你像这个车
[02:48.960] 车这950是交强，200车船税这两个腿疗，后边商业险是按天算的，对用这个数除以300，我卖那车上面还有保险可以，
[03:06.150] 我应该差不多到期了。
[03:08.100] 是吧？那就9月份也做了。
[03:10.970] 那年我头一年是谁给我退的，还没忘记，我上次换车两年前我上次换车，反正海宁忘了回来就忘了睡，明天在人大
[03:19.350] 都是应当上，咱们供电局都在云南上，
[03:23.380] 所以改了。
[03:24.500] 再改了，
[03:25.620] 不再摊上了，
[03:27.710] 还找人家没意义了，能退明白就说在上保险就不找他了。
[03:33.230] 就这瓶公司的公司吃饭了。
[03:37.630] 您大伯工作您自己干的。
