[00:17.650] 赵先生电话给您对一下，18611176658。
[00:38.010] 证件给您，您这次是约的
[00:43.200] 保养还有召回是吧？
[00:49.560] 的。
[00:54.160] 上次您是在去年8月份29,000公里。
[00:59.940] 当时做了一个A板，然后换了刹车油和清洗了一下，
[01:07.690] 这次该做地板了。
[01:10.760] 我先给您看车去。
[01:16.090] 妈妈。
[01:36.970] 车里边有贵重物品麻烦你收一下，要你没有。
[03:19.500] 水乡建议清洗一下，比较脏。
[03:23.160] 柳絮。
[03:28.840] 谁知。
[03:30.400] 好，你这边保险杠有点剐蹭。
[03:40.850] 这个很大的。
[03:42.390] 你又不开。
[03:49.070] 行，那屋里您坐吧。
[04:19.350] 我跟你你稍等一下，我把问题
[04:22.050] 只要他们
[04:23.800] 我马上。
[04:27.530] 然后中间晚上都在看。
[04:31.170] 是否固定？
[04:32.430] 送到这里。
[04:33.810] 谁知。
[04:40.030] 应该早点好吧？
[04:42.190] 您的车是到9月份就出保了，这次
[04:45.740] 再做一个出保前的检查。
[04:47.820] 卖掉有个事反光镜的，他有个。
[04:53.250] 反光镜。
[04:54.870] 是我的他赶快休息，他把它写折叠的时候是吧？
[05:01.490] 是左边还是右边？
[05:03.720] 我们看到比较明显的右边好像。
[05:07.020] 行，待会我再试一下。
[05:10.020] 刚才
[05:11.130] 没听到也说。
[05:14.900] 的
[05:16.080] 都是说咱们
[05:17.280] 大概时间
[05:20.930] 的
[05:22.480] 做
[05:25.520] 前边的水箱清洗，这次建议做就一起做。
[05:30.240] 交钱收费，他水箱和机舱清洗打完折是500，
[05:37.510] 方便我在外面
[05:39.280] 要是实在没空就放了，不要坏了这很简单都要换还是放处理。
[05:48.360] 还有您那车不是马上出保了吗？现在奔驰有延长保修，
[05:53.140] 看要不要考虑一下。
[06:07.150] 这车多少钱？
[06:08.640] 稍等。
[06:11.020] 把这个笑话一下。
[06:12.720] 是不是我还有演示保养。
[06:14.620] 您这两次是三年以后，下次
[06:18.420] 过了三年就可以用
[06:20.490] 了。
[06:31.350] 这次就是正常做D宝空调滤芯，
[06:34.510] 还有空调清洗，
[06:40.100] 1.6. 
[06:45.880] 但是你。
[06:47.140] 一起谁。
[06:53.090] 的。
[06:57.310] 讨论
[06:59.950] 到
[07:07.510] 谁知
[07:11.460] 和
[07:15.140] 一个月为肚子，就是没找到。
[07:18.620] 知道。
[07:22.770] 第保机油、机滤、空滤、空调滤芯，还有一个空调的清洗和机油油路的清洗，这些如果都做下来的话是3676，
[07:33.260] 还有发给你说的什么稀奇，您说的是我不是水箱清洗没算，到时候不行，我让他们拿那封枪给您清一下，给他清一下。
[07:45.620] 什么资本多？
[07:47.880] 然后基本上就是B宝空调滤芯、空调清洗、机油油路清洗着四下是3676，然后召回是免费的，减震这个是免费的。
[07:57.110] 时间的话
[07:59.750] 至少得一天，对明天现在来取车，然后当时我在给您看一下，您说后视镜折叠那个事儿。
[08:09.490] 所以你这个人快快又
