[00:00.180] 接待售后都不错。
[00:05.230] 看交易。
[00:41.370] 行这个事咱几个单。
[00:42.980] 这个问题咱正是房300年看看这个号不说不符合的标准，你听话你就拿其他的。
[00:51.740] 好了，要收起来，
[00:54.710] 你撤掉打折都是了解，然后看看我们的好，
[01:02.250] 王老。
[01:09.270] 您好王先生。
[01:11.820] 效果等等，请您咱们看看新的交易感受，讲讲。
[01:17.890] 对。
[01:21.200] 咱们这里百的是一个450，但我大概了解一下咱们这个信息，看看
[01:27.030] 这个车存款的交易一共分好几种配置，35045，
[01:31.540] 350它是发动机是2.04方，
[01:34.660] 然后450是3.0是68，最后主要
[01:39.110] 我有朋友买E320，
[01:42.390] 那是老款，这块老板那会儿的排量只有3.06方，V6现在都变成L了。
[01:50.790] 特别即便
[01:53.140] 对上面摆了一台白色的，先看看大小
[01:58.300] 就不行。
[02:01.070] 5做还好，就是咱们这个车他跟不甜的，但它里边的轴距空间还可以，
[02:07.960] 你可以做这个感觉一下这样算。
[02:13.440] 500不是也是吗？
[02:16.320] 这个比原来您说您朋友买的交1320轴距较长的一个拳头，
[02:23.770] 空间还挺大，因为你个子也比较高，做已经够往后了。
[02:31.510] 全景天窗是标配是哪一个？
[02:35.510] 后面天天都打了，这连我们没全打开。
[02:39.900] 你说。
[02:41.760] 然后他那是属于中卫市，他这车一般咱们是分三个颜色，一公里上面和没事，
[02:49.410] 然后想说深深色那些比较多，因为大家觉得都比较耐脏。
[02:56.970] 然后这款主要一个亮点在哪？
[02:59.510] 它的内饰
[03:00.830] 前面
[03:02.280] 双12.3英寸显示屏，而且这车还带一个64环境氛围都
[03:12.190] 是通的。
[03:13.590] 对大连平，然后这是佐助的两块屏，然后但是让大家一看出来科技感比较强，而且右边屏幕是支持触控
[03:21.820] 的，然后咱们有一个和身后没登64克，不
[03:26.620] 原来的奔驰是什么车？
[03:30.080] 138. 
[03:31.240] 一三百一三百哪年的那天？
[03:34.020] 19年的。
[03:35.200] 809年的快年末构成的10年10多年了，您是就打算拿这一三百换了。
[03:41.830] 不是我还有一年。
[03:43.310] 会员的话，别克别怕那几年了，
[03:46.770] 这10年也10年了，您换车频率其实倒是不高，反正就看到您一个用途这块加上一个购车预算，像咱们这个车级别已经算SUV这个级别稍微高一些的。
[03:58.350] 你要说10年一换车的话，这个可以
[04:01.870] 对自己做。
[04:03.300] 350的话大概是在80多，
[04:06.480] 450的话就100出头了。
[04:09.670] 因为他发动机不同，但是您平常是不是也就在市区内开？
[04:13.780] 您没必要买书的，因为4鼓楼以后的维护保养费用也要高，没有必要
[04:20.330] 三个人就够用。
[04:21.660] 35厘米是20度对四方的，但是它是高功率，一般咱们标准功率才184平米，但是350的配置是258 78米，
[04:32.560] 所以您不用担心说小马拉大车不好开，不会的。
[04:37.590] 不过了，
[04:40.830] 谁知
[04:43.470] 刚刚高这种感觉是一样的，
[04:46.910] 而且也带有空气悬挂。
[04:49.280] 14点
[04:50.970] 挂了钩行卡也没那么颠。
[04:54.250] 奔驰的舒适性，大名寺属于跟崔老师或者叫舒适性还没有问题，
[04:59.040] 我这冲撞了这也
[05:01.640] 后来我也看到了差5分，他正好是竞品，
[05:06.490] 差不多，但是他比我们同等配置会便宜30万。
[05:10.610] 没这个舒服。
[05:13.670] 后座上放了吗？
[05:15.660] 痘痘可以给您看看。
[05:30.070] 像原来都是手动的，现在都是电动。
[05:32.260] 后面多的
[05:34.840] 要出去玩的话，弄一个那种去凤凰等会这样
[05:38.800] 不要脸了，房也能赚，咱们没有的这么大的没有，谢谢。
[05:45.400] 还这可以。
[05:49.840] 其他设置主要是现在我好多客户将会一些贵重东西把
[05:57.190] 你在那一挡着看不见了，安全别，我说去外地玩什么杂，
[06:02.580] 打车这可以放两
[06:05.810] 放一半的那种
[06:07.760] 床后面还可以做的。
[06:09.860] 你就这样对他是这样的比例。
[06:12.850] 这两个在一块单位的你能那个吗？
[06:16.970] 你可以看看。
[06:18.610] 都可以。
[06:21.940] 可以。
[06:23.900] 这个可以分别控制。
[06:30.660] 350跟这一样。
[06:32.190] 对，也一样的。
[06:39.910] 比如说咱一边三号三号男，然后这边都没小盘股。
[06:44.160] 对这还可以做一个照不好看。
[06:49.190] 因为现在大家买S的比例其实要比轿车要多，主要一个原因就是大家觉得
[06:56.320] 现在
