[00:01.540] 银行借贷走走5点现在开始。
[00:04.230] 你们现在在哪呢？
[00:08.350] 好勒。
[00:09.580] 不用给我对。
[00:17.680] 卢还是芜湖？
[00:19.410] 吴先生。
[00:24.340] 您好，是吴先生吗？
[00:26.360] 您好。
[00:27.730] 给一张名片，北京销售吃药也好，咱是第一次来，对，没有预约过吧？没有。
[00:33.350] 咱们水有咖啡可乐茶，您这有需要可以喝点饮品。
[00:37.520] 看看这1.3的是吗？对1.33T
[00:42.400] 然后7速变速箱，
[00:44.330] 但是虽然1.33D大大输出功率来说还是比较高的，120千瓦，
[00:48.820] 百公里加速在9.4秒，
[00:50.870] 其实动力上来说也还没问题，咱们也有自驾车，你要考虑可以施加一下，
[00:55.650] 但是很多人都说这车好漏，就是1.3D的卡开不起来，对，但是有很多客人吃完架以后，因为看您这车主要用途，如果就家用上下班代个步用的话，
[01:06.440] 完全够用。
[01:07.940] 因为他现在所有的品牌都在强调节能环保，所以说都在西方吗？
[01:13.640] 4个咱们都是四方奔驰，没有三高，没有三对都是私房课，我想看一眼还有1.5T的就是C200，
[01:23.090] C26022260是1.5，T+48伏轻微捆，
[01:27.710] 然后C200是1.57的发动机。
[01:30.600] 对，我想看看这个点这两个车。
[01:33.930] OK主要是使用人是谁是您吗？还是主要是您用媳妇也开，就是家里人用是吧？
[01:40.440] 谁知倒价是318,800，但咱们优惠了一部分，
[01:46.040] 是294,800，如果你要购车的话还可以再优惠。
[01:49.220] 然后您来跟车看车，首先跟您说一下奔驰有一个服务公约，先简单跟您宣读一下，
[01:54.040] 客户为尊以礼相待，诚信经营和瓦得体密码没见公开透明，绝不红包销售强制消费，绝不使用假药，一次登场400yy yy你可以监督我们，
[02:03.150] 这是整个GLB车型的一个概览详细了解，你可以扫一下底下忘带二维码，相当于电子播出180 200有什么区别，
[02:10.740] 主要
[02:11.950] 发动机
[02:13.020] 调教的不一样，您看这是100千瓦，这是120千瓦，
[02:16.720] 然后再有稍微差点配置，但基本上可以忽略不计了，主要还是发动机调校都不一样，这款摆的是C200重点的加2B200公里。
[02:27.340] 这款车来说的话其实性价比来说也比较合适，因为首先它优惠的比较多，然后30万左右的预算，您这边预算大概多少？
[02:35.650] 验单量差不多就是差不多，所以说
[02:38.600] 就将和LED1SUV第二三十万左右，然后动力上像您说的，一会您可以试驾感受一下，然后就问题30万够。
[02:46.510] 差不多。
[02:47.150] 差不多办齐了30也就30左右价格，而且现在分期
[02:51.990] 您要考虑分期的话，咱们又服务公约，整个汽车行业咱们是第一个没有任何分期服务费的，同时利率来说也比较低，
[02:59.140] 到时您可以一会给您算个报价，到时候您考虑一下，然后
[03:04.710] 保险到了
[03:07.830] 这一块吗？这款应该是C260L这款车写了一个特价车，这款指导价是346,800的车，
[03:17.070] 你可以按优惠直接减85,000就可以，
[03:20.150] 但是这台车就这一台车了，
[03:23.560] 这个价格如果你要成交的话，还可以再多优惠，
[03:26.980] 他只是优惠了一部分，
[03:28.840] 要按照这家还能再优惠还能再优惠，
[03:32.560] 所以才要红塔。
[03:33.970] 对，现在目前这台下车就这一个红色了，弹药其他颜色可选，咱们还是颜色比较多了。
[03:39.590] 比如说白色或者说黑色放假了，
[03:42.760] 叫波特价是正常优惠，
[03:44.630] 还这是差1万块钱千块。
[03:48.500] 看1万块钱1万多，
[03:51.030] 10存在0块，
[03:53.360] 连1万块钱的
[03:54.720] 要和地方的一般。
[03:57.710] 对。
[04:04.680] GLC
[04:06.760] 26040~60左右，40~50价格，然后后面我们有展车，到时候您可以看看。
