[00:01.900] 接车。
[00:03.200] 是
[00:04.000] 嗯
[00:05.120] 嗯
[00:06.080] 而是性格。
[00:07.590] 是刚才您挺适合上一个这保险的。
[00:10.190] 同志们
[00:21.470] 好了好了没问题没问题，我再把报价给您送过去。
[00:40.860] 车里边没有贵重东西了，我就看一下您车，你在这等会儿。
[00:44.210] 啊你等会出来不没有贵重东西了吗？嗯行，那你等会儿。
[00:48.440] 人工智能和人工智能。
[00:50.910] 接下来我们还进行
[00:52.800] 嗯嗯嗯
[00:54.570] 中间
[00:56.160] 嗯11
[00:58.840] 嗯嗯嗯
[01:54.010] 这个政策。
[01:54.880] 噢好勒。
[01:57.640] 一个月他
[02:01.320] 出入证。哈
[02:03.430] 宜海花园花乡那是吧？
[08:35.450] 拿一下您的那个证件。
[08:37.590] 什么证据？身份证吧身份证我没带，那个驾驶证带着了吗？这两天没带，嗯您是王立波先生是吧？
[08:45.320] 嗯
[08:47.120] 车主没事，不不不用，我就对一下您的信息就行，我有身份证号行吗？那对的不不那什么，我待会您念下身份证号就行。
[08:55.640] 嗯
[08:55.820] 对。
[08:58.280] 这个
[09:13.570] 是指跟朋友。
[09:15.430] 噢您说下您电话。
[09:16.920] 13311025280，身份证号232302197012020718。
[09:27.260] 这车啊明年你不行就上一个划痕险，
[09:30.490] 上午发风险就是说想修哪就修哪儿比较方便，您的车5年内可以上房县呢。
[09:36.270] 对您维修以后也方便。
[09:38.260] 那不知道能量您知道那就先不修了是吧？
[09:40.900] 嗯故障灯亮，
[09:42.470] 就是明年休休嗯那那能查出来吗？能查你那得让机修的单独的给您开单子。
[09:49.250] 您要做保险公司大保的时候再查也行，马上就做保险，对，那您帮我签个字，我签签我名就得签您的名就行。
[09:56.910] 好好
[10:00.820] 上一划痕险，上划痕险到时候想吸收再上一这个挺划算的那个保险。
[10:06.350] 嗯11月份到期，到期的时候再上，对，你到续保的时候您说一下。
[10:11.970] 呃三四个月。
[10:15.470] 然后您加我的微信回去您发一下现场的照片。
[10:19.080] 好。
[10:21.490] 我扫你。啊
[10:22.580] 对您扫我。
[10:23.350] 这个
[10:32.250] 现在是我自己。
[10:34.310] 能不能给我？
[10:36.840] 噢拍照片的时候由远到近，然后再拍一下那个到柱子上的那个有那黑漆的那个痕迹。
[10:46.050] 喷漆它应该有应该有应该有。
[10:50.340] 我们只有这一个。
[10:52.570] 要是挂那不应该是有的。
[10:55.620] 那诸葛是
[10:57.140] 在一个轨道的一个角上。
[10:59.050] 对那你就配合吧没事他有没有回去，这是我电话有什么事你给我打电话，这不用签，有什么事你给我打电话就行了。
[11:05.410] 然后那个这是啊对对这这是我的那天也有电话，
[11:09.370] 然后那地儿车身的一些外观的商务，刚才给您简单的给您拍了一下，嗯然后那个今天手续就办完了，回头您就赶紧把那个照片发过来就行了，我赶紧让他给您定损，维修的时间大约是3~4天，
[11:22.710] 就周六或者周日。呗
[11:24.930] 呃差不多，吧如果能体检我有什么事我再给你打电话。
[11:27.780] 吧
[11:31.610] 行嗯那就没事我可以走了是吧？
[11:36.140] 嗯
[11:38.450] 嗯
[11:40.250] 到那地方我这张单子谁知。
[11:46.230] 唉你说。
[11:47.850] 嗯
[11:50.410] 别人怎么样？
[11:52.000] 开装内饰后封档就那个冰雹车是吧？
[11:56.200] 6月18号啊
[11:58.760] 配一双黑装内饰。
[12:03.680] 那是那那是是哪呢是那个
[12:06.290] 就去念什么？
[12:07.340] 后卫后卫的拆装后为内饰是吧？还有一个什么拆装hoho哪是吧？
[12:12.410] 嗯行好了。
[12:14.150] 好吧，那就慢点没事。
[12:23.010] 嗯
[12:30.330] 不要提。
[12:34.130] 谢谢大家。
[12:35.760] 啊对。
[12:37.340] 嗯
[12:45.200] 嗯
[12:48.280] 这个
[12:52.980] 啊
[12:53.920] 12月份。
[13:04.710] 各个部门
[13:06.060] 被告方
[13:15.190] 应该是这样子的。
[13:17.850] 嗯
[13:18.730] 36号。
[13:25.090] 这个
[13:25.960] 286
[13:29.830] 我们大家
[13:30.960] 呃
[14:04.000] 还有就是说。
[14:06.290] 然后
[14:08.320] 没有
[14:18.520] 我给你发过来这电话，你赶紧让那边传，嘛然后石垣这边等着一定。
[14:23.210] 呢
[14:27.150] 我说什么？
[14:27.970] 嗯
[14:30.680] 嗯没有
[14:33.790] 没有
[14:38.090] 嗯
[14:46.910] 好
[14:51.370] 嗯
[14:52.750] 嗯
[14:53.700] 嗯
[14:54.840] 好。
[14:55.910] 我们不给你。
[15:04.730] 啊
[15:06.160] 你把这些。
[15:08.480] 然后刚才我给你的报价单上好像是少一个指甲，少一个密封胶，然后我给你打印的那个配件的那张单子上有。
[15:16.480] 需要什么？呀
[15:18.630] 嗯
[15:19.560] 五千克。
[15:21.370] 嗯
[15:25.330] 这个
[15:26.530] 好
[15:30.000] 嗯
[15:32.150] 然后咱们看
[15:34.290] 嗯
[15:35.150] 嗯
