[00:00.600] 不用看车了。
[00:01.870] 因为我都看看过了，你不用再给您介绍过了，行，那您这边坐喝点水。
[00:07.750] 喝点什么给您倒杯水。
[00:10.180] 我来了都快半个小时了，吧不好意思不好意思久了。
[00:13.840] 因为太忙了，没有，因为可能平常工作日就是说有休息，我们像周六周日是没有休息的，然后平常安排一个排休，那我给您拿个单子留个名片。
[00:23.480] 吧
[00:23.730] 微信响响一遍，唉好行，那您稍等稍等。
[00:28.140] 用这个单子对
[00:30.020] 之一豪华版，
[00:31.400] 原价是690 900的车，是您开吗？还是？
[00:36.170] 大家可以看一下。
[00:37.290] 呃就是已经看好价格。
[00:39.720] 就是对比一下价格，吧所以对我就想对比一下价格，你给我报个最低价，
[00:43.760] 我给您算一下我们这边价格好吧，这这这低价啊
[00:47.830] 我给您算肯定是我们这边最低价格，因为您不是有对比吗？像他们那边现在给您优惠多少钱呢？
[00:54.440] 有的13万，有的14万，有的15万。
[00:58.050] 就是优惠。
[00:59.740] 效果。
[01:00.720] 我接电话。
[01:07.960] 喂
[01:09.240] 是不好意思。啊
[01:11.040] 噢好的好的。
[01:20.710] 你们店有现车吗？
[01:22.520] 这两个要什么颜色的？
[01:24.210] 黑黑色中。
[01:25.640] 黑色有色那是是棕色的。
[01:29.400] 棕色的。
[01:30.530] 然后就是当天买当天能提车吗？可以。
[01:33.840] 啊
[01:34.440] 您是上北京牌吗？
[01:36.220] 对吃饭吃饭是吧？
[01:38.490] 考虑分期吗？
[01:40.060] 不考虑就是谈话行没问题，那我给你算一下。
[01:43.460] 你们合格证是在店里面还是在里面？
[01:45.800] 合格证当天就能提走车，店里的现金车不需要抵押，我们合格证是不需要抵押的。
[01:52.220] 那就行，那有的店合格证是在
[01:55.510] 在银行他一个月之内噢有，行那行对。
[01:59.640] 交完钱交完钱你开火车。
[02:01.980] 是看不懂要等啊
[02:05.110] 要等那么一个月着急用车。
[02:09.290] 是换现在开什么车？
[02:10.760] 啊
[02:11.690] 现在
[02:14.280] 1+2。
[02:15.020] 吧
[02:15.940] 阿尔法。
[02:19.190] 那您是哪哪台车置换呢？
[02:22.250] 用那个别克啊
[02:24.580] 有一辆别克的车。
[02:26.840] 14年14年。
[02:28.680] 嗯好的。
[02:30.330] 那两个价格都给您算一下好吧？对对你先算第一个。
[02:34.110] 行。
[02:54.190] 你们这个汽车园里面有几家菜？
[02:56.520] 我们这园区里有奥迪、奔驰、保时捷，还有沃尔沃。
[03:01.420] 啊全是高端车。
[03:04.030] 百得利挺大的。
[03:07.030] 刚才那个亦庄那个也是。
[03:08.360] 这个啊
[03:09.150] 亦庄亦庄奥迪车。
[03:11.670] 对老师也是的。
[03:13.120] 保时捷是。
[03:14.930] 他那个那个那边承担。
[03:17.740] 16日。
[03:20.800] 车是在哪看的呀您？
[03:23.690] 东边也看过，北京也看过，
[03:26.280] 现在就成西边了。
[03:29.690] 转了一圈，
[03:32.740] 全北京就9家店。
[03:41.840] 就两个价格都给你算一下是吧？这两个价格。
[04:37.170] 那您现在是开哪个车过来的？
[04:39.400] 二。
[04:46.060] 那个
[04:47.370] 算了，
[04:50.710] 唉中气
[04:52.460] 嗯就这么过了。
[04:56.490] 有朋友过来是吗？
[05:01.320] 我朋友现在过来是吗？
[05:04.560] 一个是全班齐总价，这两个是总价，对应的是车款、购置税、保险和上牌，但是保险我给您按13,000，险种的话就根据咱们个人情况，
[05:13.560] 多上少上，这看咱们自己就是自己对这个险种是可以提高，你比如说就上个车子三者无所谓，那可以
[05:19.950] 都ok。
[05:20.680] 然后车价购置税。
[05:23.000] 保险上牌费，对就是过户什么的都是不用过户。
[05:28.730] 临牌、购置税、上牌，这是我们一条龙的服务。
[05:32.730] 嗯
[05:33.480] 这个原价上是便宜10 151,000，置换补贴是14,000的现金，
[05:39.230] 目前开票是52 525,900。
[05:42.950] 这个优惠力度挺大。
[05:46.510] 58万到手就这个价是吧？对。
[05:50.050] 别到时候我来了，你再高你要多出来几千块钱，我这得看您什么时候来，
[05:55.920] 这个价格什么时候几天之内有效，这个啊这个三天。
[06:01.070] 三天，因为我不敢跟您保证，可能每可能我们每一周价格都会有变化，
[06:07.170] 噢三天之内，因为这个是随着进度走的，按厂家的完成考核率对吧？
[06:12.800] 您不会说我给您算这价格，您下个月或者
[06:16.500] 月底来找我，这价格不一定会。
[06:19.800] 而且它跟那个车源也有是有关系的，这个不用加那个装装饰是吧？
[06:25.560] 对，这个没有说那个没有强制的。
[06:28.940] 这两个价格都是三天之内有效，对。
[06:32.120] 嗯
[06:32.820] 你有我电话回头有什么问题，到时候提前给我打电话确认一下这价格过了三天的话，价格上浮大概多少？
[06:39.080] 这个说不好，这不是说这个价格不是说我能定的，
[06:42.780] 这得看整体市场，包括像我们店里一个运营的情况。
[06:48.250] 你预估着能
[06:50.030] 不会差很多。吧
[06:52.020] 不会差很多的几千块钱，对。
[06:55.670] 嗯
[06:56.400] 可以。
[06:57.270] 你们是有限制的，然后我当天来交了钱就能开走了。
[07:00.730] 全款当天开走车，然后大概提车时间应该在2~3个小时。
[07:05.880] 那旧车的话就是说当时40分钟给您出一个价格，如果您觉得合适就直接办手续。
[07:12.680] 放这，然后手机也放这，
[07:14.760] 你们全程给办全程办好。
[07:17.120] 呃新车上牌的话大概
[07:20.570] 从我来电提交车的时间大概有多长时间？
[07:24.050] 如果您提前跟我确认好，因为我需要做一个pds的新车准备检测，
[07:29.200] 这个可能会花一些时间，如果你要说完全办手续就交钱开票办零牌这个只需要一个多小时。
[07:35.940] 吧
[07:36.330] 一个多小时就办完了。
[07:37.960] 嗯
[07:39.080] 那要是
[07:40.360] 到嗯一直掉，就是按照挂上新牌要大概要多长时间或者。
[07:45.190] 新牌那就看什么时候过户了，这个时间不敢跟您确认好，您可以按照半个月时间吧做准备。
[07:52.540] 半个月的时间最快的。
[07:54.370] 啊
[07:55.200] 这个单子不能给0，你这你这个价格你得给我回去，我得要对比一下。
[07:59.720] 呃不，那这个我们价格的话。
[08:01.930] 这个
[08:02.210] 我们给不了的，呀你看他们都都给我了，这对你没啥印象，这不是对我这咱们店是不让把这价格拿走的。
[08:09.870] 唉他们都是给我的，你不给我我回去我也没办法对比，啊呃不你可以记个总数，我们办齐就是588,000。
[08:18.710] 因为本身的话像这个价格税要上牌都是一样的。
[08:22.890] 我配到这。
[08:23.740] 吧
[08:24.730] 嗯您就那个回头给我打电话。
[08:26.690] 吧
[08:27.040] 好吧？
[08:27.700] 你不给我价格，我到时候我我因为我已经给您算个总数了，但这个你要说拿走拍照片的话，这是
[08:33.800] 我们店是不允许的。
[08:35.700] 因为我给您算的已经是我们这个
[08:38.260] 底价了，成交价。
[08:40.450] 你是怎么着泡放在网上，不是怕您发到网上，就是咱们店里现在不允许把这价格拿走。
[08:47.870] 我放这么多店是你们唯一销售，没有大哥您这您理解一下，因为要是能让您拿走这就没必要了。
[08:54.270] 但是本身有有电话，像您觉得我们这价格也合适，
[08:57.810] 对吧？你要回去觉得，因为本身您也看过，其实说白了这价格您心里都有数，
[09:03.510] 您不可能说一点没有数，你要说都有数，我这价格您都能去的住，
[09:07.680] 这就没必要咱拿走了。
[09:09.420] 全班齐588,000，一个全班齐679,000。
[09:12.970] 这个价格我要发给
[09:15.480] 怎么跟你说，啊你不给我价格没有联系，
[09:19.670] 但说很多没用。
[09:21.320] 然后我觉得。
[09:22.610] 但你可以告诉他优惠，因为其他的都一样的，保险上牌都一样的，包括投资者对吧？
[09:27.760] 购置税优惠政策，
[09:32.370] 唉你们集团有几家沃尔沃店？我们集团北京只有一家，对。
[09:37.900] 好吧？
[09:38.680] 要不你要说合适可以加我的微信，如果您要是说有什么问题，回去之后您给我发微信，我微信上给您算一下都可以。
[09:46.470] 但这个确实让您拿不走。
[09:48.410] 行吧？
[09:49.120] 我知道。
[09:50.100] 所以这咱们其实
[09:51.500] 行。
[09:52.880] 那个
[09:54.450] 嗯
[09:57.250] 那您慢点啊哥。
[10:03.750] 嗯
[10:04.750] 好做完了你。
[10:06.080] 喂你好。
[10:07.950] 嗯
[10:09.170] 噢是。
