[00:00.000] 现在刘先生看amg
[00:03.040] 现在那个陆先生看amg
[00:07.110] 电话。
[00:08.490] 嗯
[00:09.620] 177
[00:11.950] 66889901。
[00:16.460] 多少电话？
[00:18.230] 坐那聊聊。
[00:22.040] 你真是。
[00:24.320] 有
[00:26.090] 85100. 
[00:29.460] 7755. 
[00:32.560] 98. 
[00:34.260] 不对。呀
[00:35.710] 没有
[00:36.970] 我们俩俩在那等着就不说了。
[00:42.000] 这么像我刚才讲了，
[00:45.200] 我不知道。
[00:54.040] 做的特别差。
[00:55.080] 讨论讨论您现在还看着你那grs呢？
[00:59.600] 换了。
[01:00.660] G2450换了送给人了，送人了，喂先生您在哪？
[01:05.920] 我来去楼上，好了，我上来上来我上来找您。
[01:10.040] 看哪个车咱们。
[01:11.980] 二
[01:16.400] 嗯唉
[01:17.960] 10万块钱。
[01:19.120] 各位。
[01:20.060] 有那您那您甭上去了，你下来吧我在楼下等你，我带你上后面看去。
[01:25.710] 啊
[01:26.520] 好了。
[01:27.600] 嗯
[01:34.210] 而且。
[01:34.570] 唉
[01:35.960] 唉头发这么短，啊
[01:39.380] 还是体验一下什么？
[01:50.950] 留下呀
[01:52.700] 是吧？
[01:54.080] 好。
[01:56.110] 我是咱们店的AMD销售主管，您好，唉先跟您说一下咱们这个服务公寓啊客户为尊，以礼相待，诚信经营合法得体。
[02:04.430] 没事没事在公安局我们平时不是绝不捆绑销售强制消费，绝不使用假价，你的封号接完电话400881188，
[02:11.580] 这是咱价格公式法，有车辆的价格和这个服务类的价格，前台那还有一本是那个精品的公式，然后除了AMD以外，我们这还有卖8块授权，然后还有点特价车，
[02:23.550] 帅车就没有AMD，有一台这个 A35，国产的A35特价车，嗯那个说
[02:30.170] 选的配置比较多，但是优惠比现在普通的能优惠多点。
[02:34.220] 呃我主要就是看一眼那个 a三五的两箱嘛 am g还有就是那个我看楼上有那个
[02:40.150]  c二版的酷派，
[02:41.560] 啊还有呢就是普通的a就是那个您您您是您是我不是不是我用过，那个我媳妇用过。
[02:48.250] 好，那我现在您看一下那个小桌就不要太大了，咱这边转。
[02:52.410] 嗯
[02:53.210] 实话
[02:54.130] 噢
[02:56.160] 了解。
[02:58.680] 让我看看那个不是单子啊不是那个不是单子。
[03:02.030] 啊
[03:02.690] 对，原装进口的。
[03:04.690] 我觉得可能像那个老太太以前的那个博士生有两项可能可以考虑考虑。
[03:09.420] 关键是您爱人他喜欢哪个？呀
[03:11.570] 他可能小的他叫我小的那小的，那一般的女的，
[03:17.560] 一般的女性同志们都喜欢什么虎派，啊不会喜欢这个两厢小钢炮的小红帽我我有用的，但是关键是能不能。
[03:26.040] 请法庭规定调解的过程当中。
[03:28.320] 能不能说就是能不能那个
[03:31.340] 你明白本就是说通了他。
[03:33.640] 没事到时候让他看，我觉得还行，好像给他看照片，他觉得他就喜欢这个事情。
[03:38.220] 尽管那事还行，那个大屏啊嗯那如果说他能反正有能打动的地方，能能说动他还行。
[03:45.030] 他主要他有优势在什么？呢我现在是跳舞，啊
