[00:03.930] 上
[00:04.980] 直接电话130526411。
[00:11.130] 从您的记录来看，咱们上一次保养就是空调滤芯换了一下，机油换了一下，
[00:18.070] 空调空滤换了一个，然后换了刹车油。
[00:21.950] 这些项目是王先生是吧？
[00:25.350] 都是您第一次就做重复的A保养，也不用说每次换机油听到惊喜您第一次清洗，这都是第一次做。
[00:33.170] 人到这个里头处理周期，咱这次一个传动轴的召回，如果快的话，今天应该能9，
[00:40.640] 如果快的话今天应该能取车，但是肯定得下午的晚些时候，四五会四五点钟
[00:49.050] 慢慢没有了，四五点钟晚点来行吗？
[00:54.740] 我们这5:30下班，
[00:56.550] 您如果不方便的话，您可以加微信，然后我这边免费的代价
[01:00.830] 能给您把车送过来，等您过来了，如果您这边
[01:04.830] 没什么问题的。
[01:06.240] 我先给您看一下车去
[01:08.120] 专用
[01:10.090] 问题。
[01:13.330] 一
[01:17.330] 了好那个行了。
[01:24.720] 了，我查到您的车了之前您来过一次。
[01:28.760] 在这看着。
[01:35.450] 的。
[01:42.250] 他在哪呢？
[01:43.780] 您就别出来了，登大雨是我不知道啥。
[01:54.830] 不用了您都收了，这有您的信息之前来过。
[02:25.480] 今天就能好。
[02:26.560] 了，对。
[02:28.050] 就这两天只要明天去就来得早。
[02:37.570] 166,000
[02:40.970] 309，
[02:42.800] 机会
[02:45.790] 求人的，
[02:48.960] 其它就是没什么问题。
[02:50.620] 没有16万了还挺好的是吧？
[02:53.080] 这边都了一下。
[02:55.840] 您的后刹车片是建议换的。
[02:58.330] 照片对。
[03:00.070] 但是
[03:01.100] 这块特别
[03:04.120] 完了。
[03:22.910] 现在咱里边请
[03:24.790] 您打一单子您就可以撤了。
[03:27.310] 他从那进这能
[03:29.550] 在一块时候来拿行。
[03:33.160] 您要是来的话，你就拿着单子来就
[03:35.480] 就别给了，不是您这招那也行。
[03:39.180] 当然加个微信。
[03:43.880] 你这能送到哪在家中？
[03:46.480] 北京识别这周等什么？
[04:07.890] 3427号。
[04:11.430] 电影。
[04:20.480] 号。
[04:21.790] 我看一下29号只有6天没动是吧？你百分之
[04:25.740] 众多。
[04:28.160] 然后这个二维码说我微信你扫一下加我微信，然后到时候你把乘车地址什么的给我就行了
[04:34.030] 吗？还有中共中央。
[04:35.890] 用这次就是你们吗玩。
[04:38.180] 数据、
[04:39.590] 还有。
[04:45.170] 数据。
[04:48.210] 数据。
[04:49.360] 数据。
[04:53.110] 坏数据。
[04:55.150] 数据
[05:03.120] 数据。
[05:04.950] 谁？
[05:06.720] 给
[05:10.950] 张。
[05:13.550] 的。
[05:17.140] 三。
[05:18.420] 行我这完事了。
[05:20.130] 然后给你发微信打电话，
[05:27.530] 正常开放。
[05:32.680] 行，咱们就先回。
[05:35.390] 第。
[05:37.160] 行，你把地址发。
[05:48.510] 的
[05:52.240] 上班没问题。
[05:58.440] 然后如果说您那个车，因为您车看起来只是伤，一个是右后门右后侧，
[06:04.840] 后杠这块就比较严重的剐蹭。
[06:08.550] 这几处伤有点，然后如果你想修您可以考虑，如果您不想修就不用考虑了。
[06:14.400] 他这是什么意思？就是一个补偿险就要逮捕车险。
[06:18.460] 它是在您的商业险的基础上，
[06:21.710] 然后交一个1498，然后每次出险一年之内每次出险。
[06:27.290] 给您补偿2500块钱。
[06:29.340] 直接现金打到您卡里，一年当中有两次机会可以最多得5000块钱，
[06:34.950] 这是一个代步车显得。
[06:37.680] 考虑对，如果您想休那就上，这是最合适的。
[06:41.430] 因为她把您。
[06:43.100] 第二什么条件吗？
[06:44.820] 您上。
[06:47.020] 商业险了吗？那就没问题，哪个保险公司的？
[06:51.560] 没问题，他这是百得利跟四大保险公司合作的，就是我得当你在这边租车是吧？
[06:57.820] 对，你得到这来修车，然后他返您2000，51年之内有两次两一年的时效，
[07:06.080] 明天
[07:07.160] 让他意思拿这个钱收就可以不收房价。
[07:12.900] 是走您的保险修，但是他不给您2500块钱，每次不给您2000块钱，
[07:18.710] 因为什么？因为走您的保险修第二年肯定会有一定的上浮，但是肯定不会特别多，几百块钱
[07:24.630] 给您折过折过来了，然后还有一个因为您在我们这修车车肯定得放这两天两三天。
[07:31.260] 您就没车用，然后他给您一个代步车给你打车钱，但是这个车你打不打车都给您的钱就现金了。
[07:38.620] 明白。
[07:45.280] 比如说今天上15天之后生效，
[07:47.870] 15天之后才能修车不上，我最近回答因为你送到了对小修就上，不想修的不上。
[07:54.400] 怎么称呼您？
[07:56.630] 发给我了是吧？
[07:57.980] 只发行了。
[07:59.780] 45号。
[08:02.120] 好勒好一家农场的我知道。
[08:04.330] 有点钱要修改。
[08:07.360] 带您送到这个地方。
[08:08.970] 你就办理了，要5点前送不到这地方，我打电话下了行行下班。
[08:16.550] 送之前给你打电话先。
[08:18.410] 好了。
[08:19.830] 以后咱就再换一个，行行。
[08:22.820] 行，您先忙您的。
[08:24.340] 好了，拜拜。
[08:25.620] 的
[08:32.000] 三
[08:37.310] 的。
[08:40.350] 好吧？
[08:45.880] 不有找你了吗？没有。
[08:48.350] 星星。
[08:52.470] 336。
[08:58.160] 远场。
[09:08.710] 要上报
[09:11.870] 说
[09:17.210] 日本、
[09:21.080] 这本驾驶证都在这里。
[09:24.320] 以后
[09:30.390] 当时
[09:32.970] 远。
[09:37.030] 的
[09:38.720] 的
[09:40.550] 远
[09:46.130] 的。
[09:53.650] 还有快点，好谢谢号码。
[10:50.640] 然后你还得画图，
[10:51.860] 打个电话。
[10:53.450] 我看看
[10:55.250] 电话多少，我这边你找来了，你打158A033，我这边有26号27号买了一栏，现在还没激活你知道。
[11:08.330] 前台说他们这边已经讲完了，139新手机来了，
[11:13.790] 天天让我问你了，你看我们现在
[11:16.920] 的这怎么操作，他妈妈送下次用电脑二号卖的。
[11:28.790] 我这月7号
[11:37.150] 两还有两个。
[11:40.590] 行。
[11:45.830] 1号7月1号的第三个事儿，
[11:49.080] 他们就点，然后后来又弄，这个还不行。
[11:55.400] 办什么？
[11:57.030] 好像我知道。
[11:59.240] 结婚。
[12:02.510] 要知道他们截图，
[12:05.800] 但是。
[12:07.110] 我的最后一个电话上学。
[12:12.230] 你看了。
[12:15.990] 因为这一次没有前台的，不指望你点还管给你其他的，
[12:20.880] 甚至他吗？
[12:22.510] 送过去你们保修的吗？主要是买的时候送一些方法，完了这次还有我这是有一个27号卖一栏，现在还没激活。
[12:35.910] 什么东西？
[12:38.800] 我告诉你什么东西，
[12:40.370] 那么衣服也没有。
[12:42.220] 他给了他是这等会儿这你记一下。
[12:48.840] 我头条里边两两个圈全是空的，谢谢我都不重要。
[12:57.920] 了
[12:59.120] 点了。
[13:03.330] 导演、
[13:09.580] 有一次
[13:15.110] 看看
[13:17.630] 里边。
[13:22.850] 里面有。
[13:24.120] 对。
[13:41.140] 了那两
[13:49.270] 那里面没有
[13:55.630] 内饰都是干的，他怎么从哪去，比如说他反正想这个词这种没有，我敢说是用心了高了，不是经常又怀疑人了，能够可以说还是已经两。
[14:12.070] 他喜欢车还是说夏威夷他可以开一个车，这边有逻辑，8元流程不能只留这边，他
[14:19.180] 右边没有。
[14:20.620] 说的就是您这一功能看没有什么，这不是上这边有水后备箱是吧？
[14:27.550] 和。
[14:28.670] 能落实。
[14:29.950] 对你看这是la他不少的那样，他是刚洗完车还是他下雨？
[14:35.470] 干炸也想在一起。
[14:38.110] 前两天的雨不想
[14:39.970] 这你也
[14:41.080] 没做成的，可能拿管子浇。
[14:45.430] 还有专用设备，要不那边交一下东西我都拆了了，我干了30了。
[14:52.460] 我也挺奇怪的，你要是忘没有陈登还有多少？
[14:57.080] 价格加4个亿。
[15:00.220] 2130E就你
[15:03.360] 你找也不干吗去了，你接不了。
[15:06.880] 你换一换一换简单计划直接露出来了，
[15:09.720] 就得漏水。
[15:11.040] nano灯笼你要是从别地方，比如说边上一圈橡胶的密封找到，
[15:21.290] 谁知。
[15:22.220] 保险好像还带有保证它流不到。
[15:24.780] 对两个小时就打分，我觉得两个小时不到，你打多少分还是用不了两小时。
[15:31.220] 你想你说那个碰就冲到下面，交给打开都
[15:36.540] 大概利落跟后边上面。
[15:39.640] 是应该说
[15:42.640] 有没有可能是你打开之后有没有水，因为只有登的没米波。
