[00:00.370] 别的二次托付
[00:24.910] 就完了，
[00:25.800] 我就上来了，这样的。
[00:31.400] 怎么样看看？
[00:32.680] 就看不看，请问我过来的你交钱谁交钱是谁的，
[00:38.170] 谁收钱谁上次的你不交钱，要么就人家了，
[00:41.760] 你不交钱那么久，
[00:44.120] 赶紧给我，我说你跟人家说过什么吗？谁交钱是谁的是吧？您说。
[00:49.680] 我明天下午可能没效果了。
[00:53.840] 明儿下午没有。
[00:55.570] 反正对人家不清楚了，明天下午可能回来。
[01:00.350] 我上午给你打电话那会你不是说那个吗？我正在银行把他办事了。
[01:05.250] 谁知
[01:06.800] 这边搞定了吗？
[01:08.150] 指标了。
[01:09.880] 中旬。
[01:10.570] 除了中旬99号就是既然发号，
[01:14.150] 我就去过一次，
[01:16.100] 要来给了
[01:19.850] 你车况怎么样？喂？
[01:24.110] 他那弄完了，他着急先走了，到时下次过来再给他讲下车就行了，别的我都弄完了。
[01:31.810] 他那车
[01:33.790] 他车开走了都。
[01:36.670] 我都弄完了。
[01:37.850] 全弄完了，到下次直接将车了。
[01:53.370] 没谈。
[01:54.890] 这三搞定。
[02:05.570] 总说拿
[02:06.760] 你客户
[02:12.260] 咱们说这边
[02:14.260] 有人咱坐着了，下来这个为
[02:22.170] 等
[02:23.210] 放假一天。
[02:25.490] 这明天你根本没招，我看以后我下午过来，我说我车的信息看一看，过来以后正好可以，我先看我让
[02:34.780] 你们销售把门给我打开了，我就看着她管她，她也是一个车，我说我
[02:41.510] 我跟你说了，说我没事，当时你后天你过来，咱这东西谁先交钱就是谁的，这咱卖东西吗？
[02:49.790] 买卖都双方的对吧？
[02:51.770] 他怪我我来说我们这样超过团队，我没买马虎，
[02:55.610] 我说我等27怎么会理解你们多少人没事没问题。
[03:00.520] 他说
[03:02.710] 他再等一等。
[03:05.140] 没事，你到时你下明天后天过来看咱们车友，咱昨天提就完事了。
[03:11.640] 没有咱们再等。
[03:13.070] 猜猜辛苦。
