[00:01.570] 6月9号在他坐后面看收益的开始，
[00:04.520] 因为我几乎没出过起来，
[00:06.800] 我没啥没回来。
[00:08.560] 4万46,000。
[00:12.610] 那天试驾大哥他用车是吧？他用他姐的指标是吧？
[00:17.000] 那时候不行。
[00:19.080] 不是，谁知
[00:22.890] 贷款应该没问题，他那不用他来直接发一链接，当时就做贷款了，做大众金融。
[00:28.430] 大脑金融。
[00:33.110] 他也不用来，就
[00:35.390] 一半奔着金融给他发一个链接，基本上就是两个工作日中审核下来了，知道能不能带了，你给申请什么优惠给本人，他也不用来现金优惠点。
[00:45.520] 其他东西你那上次报价单你带了吗？
[00:48.060] 照片，
[00:49.120] 当你打掉咱们约会是最好是吧？
[00:52.710] 哪都合适。
[00:53.920] 他
[00:54.960] 我让你看了有车，
[00:56.570] 已经两三天都到店做P链白车正好是白车棕内饰没这么着急，这车你要出手的，还有一个什么呢？
[01:04.670] 对你卖了以后，然后他是不是给你过户，基本上一个礼拜就腾出指标来了，中间是拿临牌开新车。
[01:14.330] 它丰哪一块坏？
[01:16.370] 换换玻璃坏了。
[01:17.540] 换了别换了。
[01:19.810] 您出险不知道您没出险了，您不行就这么着，您说哪坏了你有什么事
[01:25.730] 光得换一块，咱自己花钱要几百块钱千八百块钱，咱还有一个月的保险还到期了，都化了就完了。
[01:33.540] 对咱们没有影响，对新百退选党是吗？前导的玻璃有几个？
[01:38.690] 风挡玻璃我估计
[01:40.500] 千八百的，咱自己换千八百，但是4S店本两两千多块钱也差不多了。
[01:46.750] 你就这么因为你一查保险都二折几折了，
[01:51.890] 我给你查一下看看。
[01:54.780] 他92年没出过险，
[01:57.340] 我们就好像没说过，我记得有一次分了点气，
[02:05.410] 现在我这样
[02:06.750] 指导着老婆老顾客也没什么把我的你们
[02:10.680] 不说咱们完了人民医院了，漳州你们现在干的考虑，
[02:19.430] 把老朋友
[02:21.010] 了这样的，你ps不价钱不价钱评价麦霸。
[02:26.030] 第1,038,000
[02:28.280] 洞板板的优惠多少？
[02:30.450] 没有诱惑哪有过没有没买5万装饰才能提。
[02:35.060] 这个车我只能正视我。
[02:37.510] 不是下午就算这就算了，我知道每年在咱这来。
[02:42.340] 没有在这儿到底。
[02:44.210] 为什么？
[05:07.690] 这应该说。
[05:11.480] 还是里面有一个标准品丹华楼龄了吗？
[05:16.030] 车票唐尾庭给他多有个2万，他还会迷信的，不急着说。
[05:21.020] 我不知道没跟他聊过。
[05:26.110] 为什么？
[05:27.430] 没事，就之前不是找
[05:30.110] 父母定的那S吗？
[05:31.730] 他不是想用功夫抵账吗？就要把这定金给他退了，政权完了。
[05:35.880] 让公司给我给
[05:38.490] 根本不让。
[05:41.550] 也有说。
[05:42.680] 员工。
[05:46.070] 帮我。
[06:11.750] 三。
[06:12.750] 好的，电话。
[06:15.150] 了。
[06:17.250] 有人吗？
[06:21.320] 是吧？
[06:22.680] 对。
[06:24.820] 然后完了。
[06:31.980] 好。
[06:33.380] 行好好勒。
[06:37.100] 行，然后还有一个
[06:44.110] 但是客户。
[06:44.900] 当时那个功夫比帐就把。
[06:47.140] 定金给他汇到卡里面，
[06:51.380] 交了全款。
[06:56.450] 的。
[06:58.150] 对。
[07:55.170] 新的。
[07:56.600] 进行。
[07:58.600] 的。
[08:32.360] 庄家肯定要客户，
[08:38.800] 你在哪就送过去。
[08:44.100] 三楼是吧？
[08:45.840] 行好了。
[09:01.000] 这样
[09:07.520] 吧你。
[10:03.560] 我钱都不给我，你想
[10:05.750] 赵本山
[10:07.650] 咱们回头去哪吧。
[10:09.400] 行，你账号里边做就行了。
[12:34.990] 咱坐看坐。
[12:36.840] 烟。
[12:37.360] 张书桌价格什么时候出来？
[12:39.550] 不知道你看看着是吧？你来说新车。
[12:43.330] 我不知道。
[12:45.650] 他给我看我得挂了是吧？没事你这边走。
[12:50.400] 你看看你看不好听的是吧？作战找到了，好了，找到没有，谁知
[12:58.540] 或者你连订单都没做过，
[13:05.090] 今天一个
[13:07.190] 办了，我买的时候我说有点歌颂了，完了就透明保护，说的
[13:16.090] 你好。
[13:17.640] 如果这样，
[13:19.590] 你随后立刻谁知
[13:25.600] 了。
[13:26.800] 所以说这样买3万
[13:29.300] 巧合那
[13:31.450] 就花
[13:33.930] 忘了谁知
[13:37.000] 的
[13:39.550] 那天那展车都被卖了，白色的展车找了
[13:43.380] 的。
[13:44.940] 只要塞然后差300展，车一般的什么？
[13:51.090] 铲车便宜了一点优惠都没有。
[13:55.240] 一点机会都没有，对，我们每天晚上7:30拖车，就因为展车天天有变动，
[14:00.980] 因为有的客户想要的颜色没有，
[14:03.900] 就只能买检车，可能今天都是卖的，
[14:06.220] 你享受的他快，然后20分左右，因为我估计都上班，当时我买的橙子黑的时候，小孩子就让我买了，那小子个高高长得挺惊讶的，叫什么？
[14:19.140] 谁好几年多少也致电，对，那不是之前交模接待你的吗？
[14:26.040] 那是去年在这边买。
[14:29.040] 这边
[14:31.690] 舞台。
[14:33.030] 我的压制为什么电压是那家便宜
[14:39.090] 的，
[14:45.150] 有人反映
[14:47.220] 心里的
[15:10.400] 不是哪有
[15:11.480] 但是
[15:16.110] 没到，但是
[15:34.790] 的整体
[15:35.700] 方案没有位置。
[15:38.310] 农业。
[15:40.460] 今日
[15:41.510] 可以风格。
[15:45.190] 你200多万谁知
[15:49.370] 都要多。
[15:50.920] 正常我说五粮了来了，这回咱一定到齐了。
[15:57.490] 200多万也
[16:02.390] 过强。
[16:06.680] 乡里也不死不活的。
[16:10.030] 因为我的卖鸡蛋
[16:16.270] 我成交了。
[16:17.600] 我不知道多少了，
[16:19.740] 我卖的格力电器里面的一半卖了给你买压力，
[16:26.560] 点钱。
[16:28.180] 我也
[16:32.310] 那些成本的。
[16:33.520] 233 3块3。
[16:35.360] 3块3毛5。
[16:36.760] 第一个原告购买的
[16:41.890] 刚刚什么？
[16:44.550] 在哪里了？
[16:45.520] 我做的事情
[16:46.980] 你们可以查查。
[16:51.010] 百
[17:01.960] 的
[17:05.330] 的
[17:07.330] 远远
[17:12.660] 场
[17:16.150] 场
[17:19.550] 的
[17:21.840] 的
[17:25.310] 的
[17:26.080] 的。
[17:27.080] 要是脸色，
[17:29.290] 那天看着咖啡棕咖啡，
[17:33.070] 那天咱说不他说不是，他是中拼接黑大要价钱差多少？
[17:40.510] 你什么？
[17:41.630] 你跟昨天看整个一样有对不？棕色内饰吗？这拼接的黑
[17:49.340] 应该不能让可以的。
[17:52.660] 对，不能太太那个了，你看看那个吗？的凑一下了可以。
[18:01.200] 的
[18:14.280] 老高姐说，
[18:21.540] 越放越值钱，但是的话
[18:31.620] 说
[18:34.270] 数据
[18:35.350] 的
[18:37.600] 公司总在那，你说怎么着两边发过去。
[18:43.310] 全国留在交税的，
[18:46.470] 放在了
[18:50.200] 张总贷款他走哪种贷款？
[18:52.310] 你们就算的那个是吧？利息最低的是吧？干了两年4000块钱利那个是吧？
[18:59.480] 贷款发票里面扣了不扣？
[19:03.450] 不够不够不够，您自己拿着这个放在这里没事。
