[00:01.900] 汽车交车就可以了吧。
[00:04.920] 王涛刚开上车139
[00:10.680] 1对这个是交车的1301080。
[00:15.250] 108013113。
[00:17.320] 11就开你的名字。
[00:19.200] 这在我系统里对。
[00:25.590] 看一下好了，行。
[00:31.210] 我那个客户来了不给他那什么。
[00:33.320] 交车。
[00:34.380] 那个是吗？
[00:36.120] 我赶紧发两张过来。
[00:39.800] 反正我能不能
[00:41.130] 给人聊得还挺好。
[00:44.210] 好勒。
[00:52.100] 我现在那客户来交钱，我就在这里边改就行了。
[00:55.830] 对。
[00:57.710] 我的就是说话你用的话主要是按除以输，不输你就检查置换就行。
[01:05.080] 你还比如交易首付，
[01:07.230] 车库
[01:09.330] 50万。
[01:13.850] 您看一下，不因为支付通道销售行为消费绝不生气，家电普通号就咱们
[01:20.090] 全国统一的一个白班，所有奔驰都是一样的，然后上边的价格也都有公示价格手册，这东西看一下。
[01:27.650] 这是指导价，这是优惠，优惠完了是4078，
[01:32.280] 加购置税加保险加验车的话
[01:35.540] 452,000，然后这里有一个您旧车置换是补贴您一个6000保险，正常的是1万多万1万多的保险，我给您按12,000算。
[01:46.360] 然后如果贷款为什么说合适，您在
[01:49.400] 这20万对吧？203,400，三年一共是11,000的利息，
[01:54.940] 然后和每年才3000多块钱，
[01:58.100] 然后这个月供5000多，对，然后分到每个月，包括连本带息一个月5000多还三年这车就齐了，这让人首付要24万多就行。
[02:07.990] 还要刚才按说这些，我们要买两辆的话，优惠能在什么项目上给优惠？
[02:14.280] 反正现在就是说我给您的价格，就是目前我们销售上最低的价格，
[02:21.590] 然后到我们实际题的时候再给申请上去10计提，对可以在申请，但是在申请这种商家就浮动很小了，没有什么太大活动，而且活动没想能浮动也不浮动，5000块钱也是钱，那就是
[02:35.730] 是你买的时候人家再给你浮动多少，我再给您过去问我们领导，而且看您买的时候说白了你有没有现车还是个事儿。
[02:44.250] 现在不是相当于白的，现在你有现车白的也有，加音响的也有，但是
[02:49.720] 您买的不是说我这个不是这一半天决定，我可能时间一一个礼拜
[02:55.260] 有可能就定了，有可能不定是这样。
[02:58.450] 然后还有一个你比如说优惠多的话，您装饰包做不做他也可以。
[03:05.250] 只能按什么贴膜，对，一般都要什么冰花酒店。
[03:14.240] 上网。
[03:16.790] 下午好，你们有几年期的？
[04:08.560] 吴哥
[04:11.080] 客户到了，然后我去你们办公室没有看到人，要不您联系一下大哥。
[04:19.650] 补完了，对他补完了直接拿过来了。
[04:22.800] 你帮我联系一下，我是在前展厅的二楼。
[04:29.400] 三。
[04:30.320] 对。
[04:32.070] 对前两天的二层
[04:36.760] 我现在谁都没看见，
[04:41.000] 我刚才你办公室出来没看见，然后我们考虑刚才张是张师傅那会有客户，
[04:50.280] 您帮我问一下，好。
[04:52.610] 拜拜。
[05:55.190] 提交那地方他讲，然后你跟我说行举手给你信息了，然后他就
[05:59.530] 把您活动相关内容给装修过了，那板块然后他就收到合同，他什么时候主张，所以我享受了保管记录。
[06:08.030] 百度里头，但是现在没东西了，好好，其他也没有是吧？对都没有了，这种激活之后您稍微等一下再
[06:15.690] 对了。
[06:16.600] 我一会给您发活动链接，然后您在哪尽快车上给您发个短信，发短信你对您再短信您收纳箱里边。
[06:25.930] 老人家没事了张先生证明留存了。
[06:29.010] 没事哥，你就是这样，就这7800，然后把后备箱垫那个车不是没有吗？包括相见给您配上，然后再给您加一个
[06:37.710] 燃油宝，我送您对再给您，对，我送你的就这样了，7800块钱，然后保养的话送您4次，两个月2B
[06:48.190] 此次保养的话大概只是在7000块钱左右。
[06:51.330] 两两对2A2B
[06:54.110] 我记一下，
[06:55.900] 刚才一个是4次保养，
[06:59.940] 周可费了半天劲，我能够感受到这4包养二二对4也不是说4次什么的，直接全都是两一两地4万公里保养。
[07:13.280] 4万公里对。
[07:15.170] 然后还有刚才还说第二个是后备箱这样是吧？
[07:19.240] 对，7800块钱，然后咱贴膜后备箱垫都给您了，然后再给您一个燃油的什么？
[07:26.010] 后背上，然后对燃油添加剂看看天气，对。
[07:30.410] 然后再有其它的，您上次跟你说灭火器，幺儿云散，
[07:34.790] 你都可以记上灭火器语塞，这不就是这样钥匙链。
[07:40.200] 然后这就是做7800的保养是吧？不是7800的贴膜装那钱对千万装对。
[07:49.520] 我觉得这真的很合适了，一会你也别说，我那边还有一个客户看着1360的，跟您这比他没法比。
[07:55.830] 他做了2万多的装饰，不人家跟
[07:59.580] 那个要求跟我不一样，但是没送保养，所以说你千万就别不说。
[08:06.130] 你看看这一单是一单对，但是我不知道自己何时出来，您跟女同事说了也没有，该有的我会有的，我肯定没有朋友您多的。
[08:14.690] 我得先跟您说好就是你给我什么我得给我推荐但是您可别跟我说给您保养的事儿，也不知道你保险可别说我这儿给您的，我给他我肯定给不了，可别再给了，你再给了我真给我点，就是我第一单领导也支持我，你所以说你跟他说我能有我要能申请，不用您说我就给他申请，但是两个一两B绝对申请不了。
[08:34.770] 好吗？所以刚才我就直接说，我说能说什么，我说别的那边我肯定没有跟我也不相干，我跟他们讲这个事情，我同学同事也不说是吧？
[08:44.500] 同事他哪款车。
[08:46.040] 他不是我后来我回去我就跟他说这个了，然后他说可能要稍微等一等，原来说是要买车子，后来他就等到那个时候他可能对他肯定要等到快点了，原来是怎么就等到明年了，然后他是吧把
