[00:00.210] 二要尽快让他尽快你说。
[00:03.510] 您车牌号京NQ1519是吧？
[00:11.180] 用一下您的行板压石板。
[00:29.070] 场
[00:31.290] 号。
[00:32.440] 号
[00:36.900] 咱们店买的新车数据，
[00:44.420] 车上。
[00:55.010] 是吧？我问一下那边
[00:59.680] 数据。
[01:03.130] 数据
[01:10.680] 场
[01:15.250] 坏
[01:18.700] 号
[01:21.070] 的。
[01:32.880] 场
[01:35.150] 场
[01:37.380] 一
[01:40.320] 场
[01:42.390] 点
[01:43.540] 的
[01:45.120] 的
[01:47.880] 号。
[01:52.210] 场
[01:56.440] 您的电话留一个1861860
[01:59.910] 00271293。
[02:46.450] 手机给他。
[02:49.050] 平
[03:45.850] 看车去，
[03:46.920] 车里头不能物品看看。
[03:52.560] 您今年新买的车吗？
[03:55.830] 稍等我问一下。
[04:01.640] 今年新买的三，然后它提示导航升级能做吗？
[04:08.150] 新版对，这是的，他是在线
[04:16.810] 遇到过，其实应该是
[04:23.350] 快。
[04:30.230] 您仪表上提示您做导航升级是吗？
[04:39.460] 是仪表上提示您做导航升级吗？
[04:42.900] 他们行，然后她那边又说需要用什么SD卡或者去什么地方，
[04:50.670] 跟其他孩子怎么样，用不了导航是原厂的还是您侯教授的老师，我什么都没动。
[04:57.130] 车上
[04:58.910] 我可以看着。
[05:09.530] 拿。
[05:10.360] 可以拿来完下次。
[05:13.630] 车上有。
[06:05.270] 无法中。
[06:08.630] 启动常常请安全驾驶。
[06:11.290] 你好。
[06:13.270] 银色的用户挣钱，通话中请稍后再拨。
[06:24.800] 认为
[06:25.600] 我张罗帮我签一个确认一个代价。
[06:29.660] 好。
[06:41.610] 视力革送到
[06:43.790] 白色，
[06:45.230] 喜欢。
[06:46.510] 叶秋玲什么是这个吗？谢谢刘总。
[06:52.490] 的
[06:53.200] 的
[07:01.270] 你看导航一打开还是提示
[07:05.130] 是这个吗？
[07:18.230] 我去给您问一下。
[07:27.440] 前面这块
[07:30.270] 然后刚定损说这个也不能。
[07:34.230] 您看得到的是吗？
[07:35.620] 这得需要拆给您检查一下。
[07:38.420] 因为撞这个位置灯不好说，
[07:41.710] 它灯底下灯远就在这下边，
[07:44.960] 然后这个灯整个壳体包括里边全是塑料，
[07:48.780] 比如说
[07:49.880] 这差查一下，如果有问题的话，可能还得换灯。
[07:55.200] 哇塞。
[07:56.740] 他只是出车库的时候她擦了我一下，对，因为现在单位杠线挤着。
[08:02.460] 挤到一块去了。
[08:05.190] 怎么感觉你说？
[08:09.890] 因为我这边是无责，不用我这边出钱，不用跟您没关系，
[08:48.520] 其他地方没什么问题，我给您打个单子就完事儿。
[09:30.110] 然后使用时间大概我得看看拆开里边的情况，如果说里边都没事，就前杠喷漆的话估计三天左右，
[09:37.070] 但是里边有问题就会时间再长一点。
[09:39.790] 会给我打电话，对打电话了。
[09:45.360] 我今天先让他们拆开检查，看看里边的问题
[09:48.820] 出来。
[10:11.240] 你访问我一会告诉你我这等
[10:35.210] 来。
[10:37.210] 二
[10:48.520] 13给您上面这我电话，有事您给我打电话就行。
[10:51.920] 对，我这边就没事了。
[10:54.710] 对，您回去就行
[10:57.120] 了。
