[00:00.000] 出去谁知到了
[00:03.390] 过去说一下，公司知道
[00:05.410] md要是在这儿吗？
[00:07.410] 知道我知道了，您在
[00:10.740] 谁拿走了？
[00:11.990] 我不去了。
[00:14.090] 垂钓。
[00:15.170] 所有钥匙都没带，还要把要洋气跟在一块。
[00:24.920] 郭先生初次看M
[00:30.370] 加热以后，
[00:31.880] 第然后再找我在我手上下面最新的。
[00:54.480] 你说了。
[01:03.770] 下午。
[01:06.630] 今天有点不。
[01:26.500] 你好郭先生吗？
[01:28.710] 你好。
[01:29.800] 我是您的销售顾问，我姓范，傅政华住名片，第一次来我们店吗？
[01:33.930] 我以前买教C的时候去来过R之间，我买。
[01:38.030] 了电车。
[01:38.830] 按车没在那买是这意思吗？你们这店里没有颜色。
[01:43.460] 他跟店里销售有联系过吗？今天忙。
[01:47.080] 人口，然后我们继续听的是吧？谢谢，公交的话你打可以。
[01:53.570] 我给你拿钥匙，钥匙没在这，稍等一下。
[02:11.050] 还有什么必要在
[02:12.990] 问题
[02:19.110] 交过mg的钥匙在哪？
[02:35.950] 天天欠条。
[02:40.960] 前厅、
[03:09.310] 学姐
[03:10.800] mg的钥匙在这儿吗？
[03:13.910] AMD的钥匙
[04:24.000] 要是照料
[04:24.700] 听到的。
[06:05.110] 老人家打。
[06:06.290] 走廊里。
[06:07.470] 对吧？
[06:08.090] 没事。
[06:09.600] 开始了。
[06:13.920] 然后你第一次来看完之后，先把这幅公约请读一下，后未经乙礼相待，我都知道哪个奔驰吗？行，
[06:21.770] 那就不用读了是吧？
[06:23.580] 行，帮我安排一下事件，事件可以。
[06:29.770] 这车咱主要是您开是吗？
[06:32.720] 比如看一下。
[06:33.500] 其实网上说是比较硬，是什么熊外形还好，这车不是那种像飞63
[06:40.470] 那种硬，其实它也是坚固一些。
[06:43.390] 肯定比我对他这个是用。
[06:45.880] 差对他要硬性。
[06:48.620] 因为咱这毕竟是运动性的一个朝小型化的。
[06:54.720] 您这是考虑置换还是换？
[06:57.110] 置换现在开什么车车厢檫亮。
[07:00.730] 那车用的怎么样现在？
[07:03.120] 差就那款。
[07:04.580] 你都藏买是哪一款的？28还是35的的？
[07:09.480] 20335的。
[07:13.360] 是这栋里看行不行动的车来说，够您用完全够用了，400匹的马力输出百公里加速4.6秒，
[07:22.120] 重点是没有问题。
[07:23.880] 306不是400 400匹的马力，怎么升级了？
[07:28.560] 一直都400300零公斤，谁知
[07:31.500] 不应该。
[07:32.970] 您从哪儿看三百零？
[07:37.090] 还海军是那记错了，306。
[07:40.600] 扭距400秒，对。
[07:43.450] 有七四百米。
[07:48.630] 像这是普通版的。
[07:51.940] 对，但这车是有选配的，比如车漆，然后多动态驾驶操作模块，
[07:57.650] 这车还选一个双色座椅，我印象中
[08:01.930] 皮皮的和双色的
[08:06.750] 选了软件，对，我们社下车也带这个功能。
[08:11.050] 是没用是吧？
[08:12.580] 操作起来方便，你要真接待驾驶，不用手里放盘了，直接就可以操纵。
[08:18.650] 哪个要是选配多赚钱，
[08:21.950] 运动装。
[08:22.690] 这个车选配从车漆颜色应该选了4万多。
[08:27.710] 记得了。
[08:31.910] 不选配代表
[08:33.800] 大半的膜片标配，
[08:38.220] 但omg基本上没有不选配的，车，mg车基本上都车带选配就来就带来。
[08:45.780] 这还算选配少。
[08:49.770] 就不太记忆不带记忆对加热对通风。
[08:54.840] 没有同胞。
[08:56.560] 您想要选择吗？
[08:58.680] 音响没选，对车没选对。
[09:08.710] 对于性能方面是有一定要求的，您
[09:11.500] 是3.0开关的研究，欢迎2.0的我看。
[09:16.310] 但这缩小着车到比您那个长度要小一些。
[09:21.730] 将三立轿跑20点
[09:25.010] 200，您买86020块
[09:28.520] 20款145千瓦那块。
[09:32.950] 我跟你那个就感觉
[09:34.600] 还得绕一下是吧？你就特别
[09:43.260] 后排也挺大的。
[10:01.030] 后排是不能放走的对吧？
[10:06.800] 可以破坏，
[10:08.120] 不排除空间也可以，这就是兼顾家庭用的一款国产雷一技之长，
[10:16.590] 它悬挂一会你可以睡，不是你想的那么硬，
[10:19.610] 也偏舒适一些。
[10:21.570] 你要调到运动模式来说就
[10:23.950] 车就比较紧绷了是吧？
[10:25.960] 女孩转向都不要紧，咱是的，行，您驾照来了吗？
[10:31.340] 买完驾照给我做一登记。
[10:37.890] 咱们下去
[10:44.730] 购车时间那边订单什么时候
[10:48.550] 弄随时
[10:50.200] 回去了，
[10:51.420] 卖了就算了。
[10:52.730] 已经上20市场一卖就不就完了。
[10:55.070] 不考虑在我们这儿置换吗？
[10:57.770] 只要价格合适置换一下，有估过吗？您那旧车
[11:02.180] 有什么那就车有没有评估过？
[11:05.590] 没有评估。
[11:23.200] 你嘴巴店喝口水，我去办一下手续。
[11:26.290] 咱就走了。
[11:28.600] 看这车现在沸腾。
[11:31.350] 先喝口水。
[11:36.870] 数据。
[11:47.510] 快。
[11:51.350] 的。
[13:03.660] 数据
[13:06.000] 场。
[13:06.990] 数据
[13:09.720] 远远
[14:44.170] 的
[14:45.240] 的
[14:46.200] 的
[14:53.350] 的
[15:00.120] 三
[15:09.120] 后来准备开
[15:14.380] 的
[17:44.270] 的
[17:45.970] 的
[17:51.350] 的
[18:25.040] 去了，行，你过来教书了。
[21:55.790] 对。
[21:56.680] 咱们的初装费协议书一会先制成复制件是成的话，就我开在院里把这些功能给您讲解一下，出去您来
[22:05.470] 试驾陆先生从店里出发到南坞桥这边，咱们掉头再回来，可能大概9公里时长15分钟左右，
[22:12.830] 支撑之下一定注意安全，所以这片这台性能车，但一定别超速别紧张。
[22:17.960] 如果真是在书架中引起交通事故，您造成来承担责任呢？
[22:21.880] 如果对方造成陪我们走着走就全部。
[22:27.570] 没有错的地方也可以是加速什么的，拽到天龙山。
[22:38.820] 是价钱需要给您准备着瓶装有什么错吗？他便不用咱就走。
[23:02.950] 把说一下。
[23:04.490] 谁知
[23:07.590] 不是他们都知道，天天我看我们认证的跟你说不一样，我们这认证的还是他。
[23:15.210] 你在这等我，我把车开回来。
[23:20.440] 就在这儿，他一块过来就在这边。
[23:36.170] 您坐副驾对。
[23:38.130] 车间。
[23:40.630] 你这个名字就是特别什么？
[23:42.930] 特别版这是。
[23:56.950] 这个也是在动态驾驶模式情况，
[24:00.230] 操作起来看起来
[24:03.040] 控制
[24:04.170] 首饰
[24:05.260] 现金输一下操作方法，先说卦，奔驰党都是怀岛挂踩刹车往下拉到底就是D档前进倒都倒V型设计，
[24:13.790] 然后往上推到底是倒车造成影像，
[24:17.210] 这个标识就是主动式刹车，辅助标识在前进或者
[24:21.460] 倒退的情况下，如果没有踩刹车都会把你辅助他来作。
[24:25.550] 不管到哪个岛，按下这个钮就P大辐射，
[24:28.540] 换挡拨片就是强制性的去左边将等这边生产，
[24:32.920] 最条街都在这边签合同，
[24:35.140] 到底靠边都是用这个条件。
[24:37.790] 然后这车也是有一套比较智能的叫做人机交互，行就是你好奔驰。
[24:43.140] 就是说我给你演示一下，看他们几乎
[24:48.120] 这东西整个桥的是空调、空调、天空，
[24:51.920] 灯就用这个
[24:59.110] 神话，其实你在舒适模式这个行话肯定程度还好。
[25:03.480] 可以。
[25:04.400] 对。
[25:21.950] 出现在路面，
[25:22.990] 只有这种颠簸路面能市，
[25:34.770] 这车也是有升浪的。
[25:36.980] 在你这做这种
[25:38.710] 压缩情况下，这还是有声浪。
[25:41.080] 发动机的声音说是模拟，她马上说是吗？
[25:44.000] 模拟是吧？发动机其实就是转速升高和降低，其实不用模拟去，
[25:50.850] 排气声浪会有一定的，
[25:53.740] 但是得选配还有义工叫做可见声瓦，
[25:57.500] 小孩模拟的会更充实，
[26:16.830] 变速箱很聪明，
[26:18.750] M系专属的向发动机、底盘、变速箱、冰箱就是特别聪明，
[26:24.480] 知道您这要去做几家族的，将党的实际特别合适，
[26:29.690] 就跟宝马在还不是一样，老马大夫的冰箱也是非常出色，他们是气场厉害的。
[26:35.350] 对，这是切速双离合，咱们雕塑相的响应速度也是很快，可能
[26:44.090] 咱就换手出去，您来看。
[26:47.310] 我告诉您路线以后怎么走，
[26:51.320] 驾驶模式群在这边就可以手动去揭发运动，付出节油直接撵出去，对直接讲就行了。
[26:59.080] 我就不用再通知用控制。
[27:03.130] 谁知
[27:22.070] 座椅反光镜都调好
[27:26.650] 了，但是真的基本上咱就
[27:29.080] 可以出发了。
[27:38.520] 完全没有问题是吧？
[27:48.110] 这就是肥肉。
[27:49.880] 64种颜色
[27:51.510] 关系。
[27:53.970] 我觉得之前我说怎么就结果了。
[27:56.600] 借口的角色，你的老板现在缴费有64了，
[28:02.350] 现在20款，但是现在又该跑，我们是我买的是2020款的走辅路，是后来
[28:10.130] 边防
[28:11.650] 现在叫这也是流风机角C轿跑，
[28:17.430] 现在也64了，
[28:19.400] 开始会有变化，
[28:22.430] 增加配置，
[28:25.040] 但是相关趋势
[28:27.640] 当然和传统对但和传统的M记像63那种性能，
[28:35.190] 它还是偏始终一些，还是比例是吧？
[28:38.260] 还比那个是真
[28:40.530] 均确定对吧？
[28:42.090] 得看时间，他要是人头，
[28:46.290] 它没有进口的两厢版，
[28:48.280] 后续会到说
[28:51.160] 现在没货，到了一台车卖了，
[28:57.070] 运动有两早，现在只用他的低档，
[29:10.240] 这就行，运动模式它就确实很静。
[29:13.610] 等等的样子，对，能调到出售吗？会稍微好一些。
[29:23.030] 都得堵东西。
[29:23.940] 对，底盘低，所以您慢点，还有一瓶。
[29:35.310] 比如前面进主，
[29:47.400] 前面有进驻了
[29:55.710] 点平米的建筑车都是这样等等的，对吧？跑轮胎也好，
[30:06.320] 像那种大坑什么的就尽量慢点，要不那样也会人才
[30:11.190] 停止了。
[30:30.460] 还直接咱们是
[30:32.320] 41号。
[30:36.560] 这块没线索，你肯定是加速。
[30:44.960] 什么都可以。
[30:46.980] 这是自带的手法，就不是模式。
[31:09.310] 爱情人走这种路也没有那么硬。
[31:11.920] 对这样子，对，就怕尽管感觉还有就是那种没事的。
[31:41.850] 前面那块就出来了。
[31:49.910] 普通买全下来得多少钱？
[31:52.570] 您说的普通是不带任何选配的吗？
[31:56.600] 还是说是？
[31:57.970] 这对暂时没有任何行为，指导价是399,800，然后咱们现在有个1万块钱。
[32:05.210] 优惠1万，对折旧优惠1万块钱，前段没有前段还没优惠。
[32:10.730] 您问的是
[32:12.690] 有优惠多的，对，那么
[32:15.730] 优惠多少估计中心我约的周日他有一个十几声50家金港赛道的一个
[32:24.680] 36块多钱，
[32:26.500] 出2.5起还能谈2.5万，然后
[32:32.450] 他们身着选错了也有一辆
[32:36.550] 两粮食煤炭，因为你们两侧下巴对。
[32:40.630] 那叫什么？杨光辉。
[32:43.520] 它的颜色是那样的，红桌椅红色的，
[32:49.510] 我没去看，给我拍几张照片比较
[32:59.150] 回去您算算，然后价格也都给您赠。
[33:02.330] 这个价格也得去跟您申请。
[33:05.440] 一抽一聊，这个车下来的
[33:17.330] 比较近。
[33:19.080] 然后3.0T的也还是
[33:23.010] 它的加速是可以感觉不断的话。
[33:26.180] 好声音大。
[33:28.490] 我刚肯定不如6缸的，
[33:35.410] 结果他还真主。
[33:46.360] 其实我特别喜欢
[33:47.840] 集体五菱这些，我俩
[33:50.240] 这5年其实就为了挺多才多艺。
[33:53.540] 没事。
[33:54.480] 领导批得银子不多，
[33:58.010] 咱不能为了买车吵架，
[34:00.760] 到
[34:02.120] 钱的事，
[34:06.180] 厂里买的其实就有点
[34:08.690] 我们领导才开一个角色，弄一个侦查，刘当时就
[34:15.440] 重要场合我都不敢开，我都开一个家里还有一个类似我就开一次出去，
[34:22.510] 要不行我面没法过了最近。
[34:30.320] 最近来的我那车有点发臭，
[34:33.120] 早点发车，洗了好久还不洗不了是吧？你换不是照抄6抛掉，我说你换句话换一聊，
[34:42.510] 你买一辆
[34:44.840] 多少钱？
[34:45.980] 这次你不能超过50万，
[34:47.940] 你说我真
[34:50.130] C43也不行不行。
[34:53.500] 不出去了，CS上超过也不行了，远期就也只能是
[35:02.950] 像兼顾性能的话，现在就是135
[35:09.690] 宝马的类似阿珍
[35:11.000] 的不行，是判断ed。
[35:12.840] 对。
[35:21.960] 邻居有一辆
[35:23.300] 不是有几点不是公车，各方面是工厂，
[35:31.480] 前面可能出去了，那车其实对标是帕拉梅拉，
[35:36.750] 然后车队也是像主打少
[35:42.190] 豪华与舒适，
[35:45.000] 这真的是
[35:47.110] 挺喜欢。
[35:53.130] 还有一个主要是什么？
[35:54.700] 这很重要，我现在茶留车票，当时我都本人名下，导播那边
[36:01.340] 属于备货。
[36:02.560] 您换车这个指标还是按钮是吧？对，因为两已经有两台车了吗？
[36:10.170] 就第三排。
[36:14.880] 当时得从那边绕过去。
[36:16.680] 不一会这边又转了，
[36:19.330] 还往前走，
[36:24.120] 这种井盖就没消息，
[36:25.840] 这车开着挺好的是吧？
[36:29.150] 好好行，mg的车说实话没得多多操心，反正我就觉得我这年龄怎么说，开着车有点
[36:37.240] 喊着也不算这样的，不
[36:39.720] 还不是那种特别夸张那种，反正这车我就感觉是
[36:43.400] 他也不是那种最夸张，像原来A45可能就说
[36:47.400] 都是年轻人基本上买的多，
[36:49.910] 但也有岁数大来买，那时候
[36:52.280] 就想要那种感觉。
[36:55.120] 她还往前吗？
[36:58.850] 您看过这种信用。
[37:00.790] 是不健康，对，最起码像这种动力，咱想要的能给。
[37:15.750] 行，那这块就转了。
[37:18.640] 不是从这种在反正这就行，就已经对这样的。
[37:23.460] 能不能拍对。
[37:27.120] 怎么就这么说，我也
[37:35.870] 网上都是2.57。
[37:38.090] 优惠网上其实他也是综合的报价，就是实际的价格，它是每个店的优惠政策分化有区别。
[37:46.100] 这东西
[37:48.060] 像家有赚过什么的，这价格跟老板反映一下，对吧？
[37:52.830] 老板说这看老板心气，
[37:56.000] 反正基本上现在的价格都差不了太多。
[38:02.680] 这时候前一阵北京市场都没什么优惠，现在都有是吧？对没有联系挺好。
[38:09.430] 这是做人的行为。
[38:11.590] 没用是吧？能好好看。
[38:15.650] 这就这种等量面水平
[38:19.030] 比较是吧？
[38:23.350] 我选的话我要买时候就买一个普通版，
[38:26.900] 再加上一个玻璃过来，
[38:29.490] 我别到这里。
[38:31.390] 咱用不用咱们直接进
[38:34.030] 别的
[38:42.640] 也可以。
[39:05.950] 三
[39:07.990] 接着。
[39:10.830] 这个是对。
[39:13.080] 到的话是往上推到的。
[39:15.240] 我知道太。
[39:25.450] 没事下面
[39:36.590] 名校，所以感觉完全不一样。
[39:38.640] 不一样。
[39:40.020] 你就揉到风整改就行，还能往上走。
[39:45.330] 东西你都拿好了。
[39:48.880] 试驾这没疑问了吧？
[39:50.890] 试驾没有疑问了吧？
[40:09.840] 公网上有人多少块，一般咱轿车都是15，这也就十二三那样。
[40:16.000] 不会。
[40:17.340] 对，因为下边大约纯粹
[40:20.090] 正常像A级车它就增加了。
[40:24.340] 这个是待怎么还是选的原车，大的别墅在哪问题是吧？
[40:27.930] 风刀都是带多少？
[40:29.460] 红包。
[40:41.940] 我们这样
[40:49.830] 你看这个电脑的
[41:07.870] 他感觉
[41:09.050] 算了。
[41:10.680] 放假成功的反正带您读一下。
[41:13.620] 送玫瑰紧张die了，金融合法毒品的。
[41:17.090] 明码标价，公开透明配件渠道新公社绝不捆绑销售强制消费就不用讲。
[41:23.100] 服务将电话400818188，然后奔驰做贷款也是不收取金融服务费。
[41:29.360] 咱们所有价格这顶上都有公示，价格有公示牌，咱坐这儿
[41:34.070] 给你打一张。
[41:35.830] 对在做。
[41:39.750] 号
[41:46.940] 了
[41:53.330] 的
[41:55.760] 的
[41:59.240] 电话。
[42:11.280] 你喜欢吗？
[42:15.480] 21、
[42:19.650] 是因为这么
[42:26.350] 的
[42:31.840] 上
[42:34.870] 你们都有什么颜色？
[42:37.550] 就是两台磨砂灰的，两个都是磨砂灰，都是普通版，磨砂灰是属于
[42:43.510] 属于小三颜色的选配的，
[42:46.030] 就是1万19,000多。
[42:51.030] 什么他们。
[42:53.430] 科研、
[42:56.640] 都没有。
[43:11.440] 数据。
[43:19.860] 的
[43:29.970] 网。
[43:36.000] 两排灰的后边路上会到
[43:39.640] 黑。
[43:43.840] 这也是磨砂的。
[43:45.350] 删灰色白的，后边路上会到了。
[43:49.310] 然后这两台现车都选配了，比如说
[43:54.060] 贾汪辉的事就当展车选配音响了，
[43:59.460] 让他选哑光灰双色皮革，
[44:02.390] 然后AM记的
[44:06.000] 9810的音响，柏林之声的音响，
[44:09.760] 还有方向盘控制器，
[44:11.600] 这选配金额是
[44:14.250] 还行也不贵，28,750就选配，对都选里头2万。
[44:21.920] 这全选完这个车的指导价变成428,500，
[44:25.640] 这还行。
[44:27.020] 后边还有一台车选配6万多
[44:29.420] 了，我看了6万多都选什么了？
[44:31.510] 他这是红色做椅子了。
[44:33.670] 红色
[44:35.240] 一个哑光灰价值附件辅助，然后平时显示音响无线中
[44:41.900] 这6万多。
[44:44.130] 可能性价比会更高，也有你想要音响。
[44:48.830] 先拿这个车给您算了。
[44:58.830] 一。
[44:59.740] 边。
[45:08.590] 二
[45:10.320] 差不多
[45:11.640] 的。
[45:14.010] 的
[45:15.680] 的。
[45:23.330] 钱。
[45:46.190] 的。
[45:48.030] 的
[45:56.280] 的。
[45:59.780] 是优惠15,000。
[46:01.980] 如果您有分期的话能做到2万，您考虑分期吗？
[46:05.810] 你考虑怎么考虑？
[46:16.490] 我估计您说价格比如25,000左右，我觉得对您申请应该差不多。
[46:22.230] 因为现在已经做分期能做到
[46:25.240] 2万了吗？
[46:27.210] 应该差不多我觉得。
[46:29.640] 关键还是看您什么时候买车，
[46:33.200] 反正你就告一个最合适的价格差不多。
[46:39.370] 我得连科得看一下明白，又是车现车，
[46:44.310] 我们很配哪个价格合适，肯定咱们这边是有熟悉为什么熟悉的，比如
[46:50.510] 的经营什么
[46:52.990] 肯定给您做到合作了。
[46:58.190] 我就住房山你说。
[47:02.290] 就保养一次吗？
[47:03.760] 你说。
[47:05.340] 有个啥事去一趟得愿意。
[47:07.870] 的时候，
[47:09.760] 这边最起码方便。
[47:11.560] 我上班也近了，上班也在这边。
[47:16.270] 咱全国统计报告单，
[47:18.240] 您的信息，您的电话、A35选配的前428,500万15,000算的。
[47:25.630] 当然您要是
