[00:00.000] 认为他有毛裤，
[00:01.860] 一蘑菇怎么样？当妈妈了，司马万套一个锚固在里边，
[00:07.560] 道理
[00:09.280] 我这没找着那黑户了，拦着我的肚子，
[00:19.690] 10:31接待江山客户。
[00:24.210] 宋先生。
[00:25.760] 没事。
[00:26.840] 人家就等你。
[00:39.080] 放在那边
[00:43.880] 了。
[00:45.850] 是吧？你好宋哥挂了，来你请别感谢我帮您去看看出去。
[00:53.050] 我们在一起。
[00:55.320] 来。
[00:59.120] 最近忙吗？
[01:00.350] 最近忙不到我。
[01:02.640] 你房子老职业玩，老是吃着玩的老餐厅是不是真幸福你们？
[01:09.190] 他叫吃饭干嘛？
[01:11.470] 他在毛的就是吃饭。
[01:14.110] 好，大家看一下，
[01:28.240] 0281
[01:32.960] 02。
[01:42.460] 多就说的。
[01:51.640] 这边
[01:55.770] 你给他胳膊后面东西。
[01:58.710] 您放心我这边。
[02:01.250] 我陪同的，你看有啥不能给我弄点。
[02:05.010] 对。
[02:05.940] 不能白来，好像还不见，你不能翻来这个
[02:11.930] 拿钥匙开一下，车外观内饰找一下车听听声音，看看上次您说能不能满足这个需求。
[02:20.830] 这种现在没有盲点，
[02:25.480] 什么叫盲点？就是叫他闪吗？有车他不闪，它这只是一个加热的玻璃，
[02:32.120] 遇到雨天的时候看一下，我跟你说有。
[02:34.890] 你说的是仪表盘，什么U盘，我就是说反光镜上三角，我哪天盛100盘了呢？
[02:42.770] 第二盘三角的能加吗？
[02:44.670] 加不了。
[02:45.710] 加不了都加不了，对加不了都加不了，这个东西是属于是选装的。
[02:51.410] 生产的时候给你家生产线索就得加上才有，你后来已经撤到了就加不了了慢点。
[02:56.890] 谁知。
[02:58.120] 了。
[02:58.900] 用发动机给你打开看一下。
[03:00.970] 我就看其实我也不用怕，我这下惨了。
[03:04.800] 没事，您看看外观这些都检查，我这边都给您整理好了。
[03:08.680] 里外都给你擦好了，然后等于说脚垫没铺。
[03:14.310] 你上去看一下公里数。
[03:18.230] 10公里、
[03:19.760] 10公里，
[03:21.070] 一定看得怎么样？
[03:22.650] 这还行还行，我的轮胎搁这都弄不了吗？
[03:26.800] 啥弄不了。
[03:27.950] 这打完气你再给我附加我也不还不行吗？这事怎么看也是在外边开的吗？
[03:34.200] 这用你遥控器就能打开。
[03:35.560] 按住了几秒钟，对，按照今天自己本身能开吗？就不，可以多少不能开。
[03:43.150] 用手也可以，用手怎么看？用手的话就是一样。
[03:46.640] 哪个？
[03:48.750] 他有一个把手吗？
[03:51.000] 也一样一下是吧？这般一下这不有卡号吗？我看一下，然后关的时候这有一件事就一关一件的，
[03:58.760] 回来就可以了。
[04:02.920] 对。
[04:05.760] 踩着刹车，
[04:08.360] 踩刹车按一键启动元的，对，按揭启动了可以没问题。
[04:16.230] 对，然后又怠速下来，你可以看到他一个发动机里边什么的。
[04:20.020] 我给你打开看一下。
[04:29.390] 现在还怠速没下来。
[04:47.000] 现在车不像以往了，现在车都经过两次的皮带检测，
[04:51.370] 入场一次，
[04:53.040] 然后在开票之前还有一次，
[04:55.770] 两次的皮带检测能降到多少？
[05:00.440] 你说论述转速那个吗？在座？
[05:03.670] 甘肃你可以等一下，他应该还带着诉被告。
[05:10.150] 他这是挂挡是哪个？
[05:12.140] 对，环岛。
[05:13.600] 这是广场。
[05:16.560] 报警一般
[05:18.080] 到的。
[05:19.330] 到网上
[05:20.570] 到网上搭档自贸上这网，这样上台是不是有显示，然后再往下是D档，中间是恩，然后中间按下的金属是P的。
[05:29.390] 问一下对iPad现在是不是要问着现在是P档有显示你看一下。
[05:34.030] 看到没有？我看着我。
[05:36.660] 改变了靠地上有点
[05:39.380] 稍微有点厉。
[05:41.320] 往下白癜风，
[05:43.540] 就可以了，这就可以走了，然后
[05:49.400] 到中间按一下去P照片。
[05:55.340] 对，有这个的。
[05:56.730] 这回怠速下来了。
[06:04.240] 使用功能不要着急，这使用功能因为我们有调查员，
[06:08.060] 所有的按键功能会给你讲一遍，还有电子的一个方向盘调节，
[06:13.680] 会比较方便一些，我就直接答就行了。
[06:17.460] 对大概的一个幅度可以帮您您。
[06:20.890] 已知到你得知道你得反馈给家里，你辛苦了要。
[06:24.080] 不要为您。
[06:25.420] 知道我再麻烦了。
[06:27.400] 对，这不习惯。
[06:29.510] 习惯了，你说我一开这车的时候，你这是多少年前了？
[06:34.580] 八几年的时候还不是怀档的，1130不是怀档，是对的那种怀档是吧？
[06:41.250] 放在那边专门杯里，剩下的都在这。
[06:45.670] 你现在在做下了发动机声音很小。
[06:48.730] 我反正是
[06:50.790] 马上开始还有点冷。
[06:52.580] 有点。
[06:55.360] 刚才在作高开应该是
[06:57.400] 刚才也
[07:01.370] 挣钱的这种，
[07:03.070] 你房子里我人要干什么？
[07:05.840] 别坏了，能否的不行，换了号。
[07:09.370] 我那时候买那车的时候，
[07:11.320] 我从今天
[07:12.310] 买我的车子，
[07:13.550] 直接晚上早点了，一辆车一块
[07:16.800] 全打开，
[07:17.890] 一一块上的人具备砸了，开始提了，我这边溜了。
[07:22.390] 自己也没准备啥，就不是我的车第一个怠速下来的，我就是这的。
[07:30.740] 他大夫都会有一点时间，都是那么有两两分钟最快的。
[07:35.680] 最好的了，最快下来了。
[07:39.720] 是吧？你说类似那个点，对，其实别的你放也白跳，咱就说鸡在里面东西谁知道机器检测咱准备个
[07:49.060] 外边没有磕碰就行了，对行。
[07:54.330] 行，您按一下内科就可以了，比如一键启动，不用材料的直接面就行。
[08:00.650] 对，然后现在兜里就10公里。
[08:03.020] 那么长。
[08:04.600] 10公里还长。
[08:05.740] 5公里活，那车都是0公里，从库里开出来，我们库里开过来，开出来还要开到洗车房去洗车，
[08:13.250] 前车还要从准备完了再拍照，
[08:15.840] 是吧？这东西算少了，看一下这是锁车。
[08:20.620] 对，这个是开车，这是开阔北京队，这个没用，我也没有。
[08:26.670] OK。
[08:27.360] 没问题，咱们就接下来了，今天咱主要做菜园。
[08:30.940] 车辆没有问题的话，您把这个合同给完善了，
[08:34.820] 是不是很快？
[08:36.370] 很快？
[08:42.450] 然后。
[08:44.190] 稍等一下到这边。
[08:47.350] 需要
[08:50.420] 需要交钱的时候，
[08:52.210] 来这边。
[09:00.170] 那个就车自己已经处理完了是吧？
[09:03.710] 老师。
[09:04.480] 这样的，你们那块咱们撤快过来，这么没有公为了咱们去楼上就没有工位了，对吧？
[09:13.150] 那就上去，就是说指标出来，
[09:16.180] 然后你到时候快6了，发一个电子版，完了我这边给安排交税，然后包括夜车的一个时间，
[09:24.940] 叫他跟你联系吗？对吧？我这个是大忌吗？
[09:29.990] 世界待会拍照了，走运。
[09:33.880] 你唱歌你要是吧？
[09:36.110] 有你待会先现在把我搁这班里走了，对。
[09:41.110] 家庭还有10架车在那下车，没有，那天有试驾车是吧？在那上车就取消了。
[09:48.010] 这车不舒服，对，人家说去沙漠它沙子都往上搬去了，我开着玩。
[09:57.250] 没有以前小王哥哥那去了以后这
[10:02.030] 开谁让他走开了？
[10:05.160] 你在做吗？
[10:06.430] 客户号对。
[10:08.180] 好勒，谢谢您，我跟你说我就发现做就跟差不多。
[10:14.110] 喝点咖啡还是茶水？
[10:19.230] 我那时候一年就坐茶馆喝点茶喝点。
[10:22.010] 茶水是吧？咱没茶水好勒。
[10:34.760] 两杯传水。
[10:38.000] 过来。
[10:42.330] 你接下来保险怎么上来？保险我就上三者这100万的，
[10:48.150] 然后上一个车损险，
[10:52.060] 这俩都不是不计免赔的。
[10:54.720] 但是
[10:55.710] 也应该不错了。
[10:57.730] 就剩个车损险。
[10:59.060] 车损三者3点，
[11:01.340] 三者100万，
[11:03.200] 然后不计免赔全部谁知的
[11:07.700] 没什么意义。
[11:08.840] 划痕上吗？
[11:11.110] 划痕。
[11:11.970] 没有不上，
[11:13.230] 没有涉水。
