[00:00.000] 张先生。
[00:25.710] 你好，哪位张先生也
[00:27.270] 是您吗？登记？
[00:33.720] 是张先生是吧？
[00:41.560] 你好，张艳本店销售规模超过名片。
[00:43.930] 好行，张先生第一次来电吗？对。
[00:47.000] 电话预约过吗？没听见。
[00:48.830] 没有，我是看朋友车过来修维修一下。
[00:54.190] 您开朋友车来吧好。
[00:58.260] 给您看一下咱们奔车服务工业，这是对咱们客户车有利的地方。
[01:02.270] 咱们
[01:04.810] 晚上电池拔的跟您说一下，
[01:07.480] 包括为之你现在已经合法的地区码留下公安局这些渠道公司决定许可证咱们交费。
[01:14.170] 好，留着明天说0818这样。
[01:17.560] 手机等通讯。
[01:18.260] 电话，
[01:19.240] 而且我们奔驰在服务器到行业内唯一通过分析就是说主动配合
[01:24.550] 供电
[01:26.560] 开发的设备经销商，
[01:33.040] 这样东西把手机搁在一块。
[01:35.200] 主要就是看
[01:38.410] 或者是这两
[01:42.880] 加入1S是吧？咱们损掉喝点茶水。
[01:46.750] 没有。这不用。
[01:50.130] 我刚收到。
[01:52.260] 之前不是还有什么？
[01:54.000] 不可能是吧？既然李老款的老婆哪里了没了，尽管没出呢，
[02:01.800] 现在是什么价现在？
[02:03.910] 跟这车现在分6种车型，350的动感时尚，
[02:09.320] 豪华450的动感时尚好吧？
[02:11.950] 都是3:00 0七。
[02:13.290] 没有350事儿的并R450是修改通信，
[02:18.030] 您现在看什么时候？
[02:20.270] 您现在开的什么车用什么车？
[02:23.620] 我现在开的老款的
[02:28.680] 老板的C不上一代的。
[02:32.190] 上好多债。
[02:33.440] 好好特大的很经典对。
[02:36.160] 已经进口的对。
[02:39.160] 差不多了，对，你那车开什么？
[02:41.750] 还行，好，就准备拿这车做个置换。
[02:44.900] 不是我又抽了个牌又摇中指标，那公司一年就销售总监你更不容易。
[02:50.350] 半年了我还不知道。
[02:53.880] 马上就到了。
[02:57.220] 一直没关注对没？
[02:59.350] 这回选车选一个S或者轿车是吧？对。
[03:02.850] 主要还是
[03:05.290] 要带老人还是
[03:07.300] 看见了。
[03:09.720] 待老人还有意思什么车？
[03:12.930] 那是美系的是吧？没有林肯那车也不错，空间比较大一些车现在他们。
[03:22.110] 那种感觉。
[03:27.440] 三.07就是350开始的，35 0 4 5 04年开始，对456开始。
[03:32.960] 剩下多少时间速零售价是
[03:37.050] 878,800还是888,800，还有一个匹配的是90
[03:42.950] 929,800。
[03:44.850] 反正3.07最低配的就是87万，对。
[03:49.890] 店内公示价格。
[03:54.120] 你主要关注哪些方面？
[03:56.500] 用车这块。
[03:58.280] 其实说实话，我现在开车的机会不多，
[04:02.670] 其实主要
[04:04.950] 因为我通情的距离比较近，远还是近的很短，两三公里方便多了，你北京第一类人走路上班那种，对。
[04:15.290] 就两三公里，
[04:17.220] 有时候能7个证券都行。
[04:19.580] 主要就是牌照对您名下几个指标。
[04:25.430] 这是一个应该要的一个，对摇下来就是一个字，要不要不了开朋友的车，nn
[04:32.330] 都他在你们这儿买的差不多44辆是吧？对我们店的口碑还不错的4辆。
[04:39.650] 您家里SUV比较多，其实教师也可来一辆，还有sd，你看我想教授了，S级轿车的话要比他还高一档次。
[04:48.830] 现在S优惠还可以。
[04:51.460] 但是就说。
