[00:00.000] 二石先生首次到点差C4点了。
[00:04.920] 不用。
[00:16.710] 你好先生。
[00:17.880] 我天生就等教授高敏，这是我的名片，您好，接下来这边
[00:25.320] 是的，现在有多少优惠？
[00:29.420] 知道。
[00:31.170] 三个P的，第4个对用第五的只有一个运动场的
[00:38.800] 雅韵动过动员，
[00:41.780] 还是的
[00:44.520] 电车
[00:45.460] 的
[00:46.400] 停车的话有，但是到处都是。
[00:49.950] 他是就带了是什么的。
[00:53.440] 现在啥优惠？
[00:54.880] 现在的话
[00:57.670] 三
[01:00.000] 3万。
[01:04.880] 我感觉
[01:07.920] 的
[01:10.070] 你的家装
[01:13.720] 换下好发。
[01:16.400] 他现在从东莞卧抬着，
[01:25.600] 为
[01:27.640] 我想先看看这不安全的。
[01:31.040] 不过
[01:33.880] 沃尔沃好像就是看完我的卖点就安全环保化妆品。
[01:37.760] 你说换车了帮您买的时候，
[01:43.040] 但是
[01:46.110] 咱们换到了一个车，最近两车都不有意思，创新40了，你说一个车咱们那车其实也挺好的，你要放就有点不甘心，所以说5年的车
[01:57.410] 稍微就说那
[02:00.420] 车友性能你
[02:02.890] 这车重点不一样，
[02:06.140] 昨天俩之间合适了不犹豫了，现在就是就算胖了也没事开着也没什么问题，就想不出来，没有说什么
[02:14.530] 特别一下能换的理由，就是说他看到你们来看看奔驰，
[02:19.900] 奔驰看哪个我没关，我黑就能遮被I3我们长轴短轴
[02:26.020] 断交让不算长，38也赚钱，
[02:29.600] 扫完了还得订车，
[02:31.480] 都得定，你看我看看
[02:34.210] 上次有客户问我应该是就是说你说那车的话，那车家里人又不合适是吧？
[02:40.910] 小点对你一个车还有特别满意的，咱俩车合适对吧？
[02:45.930] 买换一个SUV不正常。
[02:53.060] 为60，这是T5的今刚进来的。
[02:57.630] 对为了
[03:00.860] 这个东西优惠多少有很多，如果你计划的话基本上优惠多多。
[03:07.770] 如果说看那个标配的
[03:10.750] 都会在5万多，
[03:13.080] P4差不多再说可能270准备74了，这T5的对，因为第四第五你看着办完就一个见，
[03:21.980] 但是提出问题5了。
[03:24.400] 不对我这边。
[03:26.040] 第5个
[03:33.480] 普通版
[03:35.710] 这样这一块，
[03:39.200] 我要是把您安全的都加上什么都得加强，
[03:44.510] 哪些这些安全的配置，反正这是标配的标配，对最优秀自动驾驶辅助，
[03:51.680] 自动刹车，还有我看什么车道保持房，就看出来一个人什么的，仅仅非常辅助，对都是标配，他会就自动打码多少，他是你比方他首先第一还是对刹车，如果是你打转向的时候，他监测你有打转向他才会打转向比方
[04:11.370] 年
[04:13.000] 突然出来的话，第一反应肯定是大专下，然后可能打晚，打的方向不足，它是根据大转向的，
[04:20.890] 他给您躲避判断最佳逗B路线，同时给您辅助打方向。
[04:27.800] 这个功能确实还是在18年
[04:33.480] 看水流流上最早加的这么一活动。
[04:36.520] 现在选妻标准
[04:41.400] 优惠都不小，
[04:42.920] 沃尔沃的所以优惠力度还是很大的，价格
[04:46.670] 性价比非常好。
[04:51.000] 对您看您这个车也好，车上我所有里边没有任何味道，非常环保。
[04:56.830] 我看空间也挺烦。
[04:59.080] 可以了，这空间对这都是标准的，看到这空间咱们说了，
