[00:04.070] 美味打上上回
[00:06.490] 你需要关注注册一下，然后再领取停车券。
[00:10.090] 注册
[00:11.580] 出手机号获取验证码。
[00:30.750] 您好周先生是吧？您好，本店的销售顾问韩春晓，你们第一次来我们店预约的销售吗？
[00:36.280] 没有是吧你？
[00:38.990] 我想置换，然后这边的话咱们奔驰有个服务公约，我这边先给你宣读一下先生。
[00:44.550] 客户为尊，以礼相待，诚信经营、合法得体，明码标价，公开透明，
[00:49.980] 推荐渠道清晰，可是绝不捆绑销售强制消费，绝不使用甲见一次充。好，欢迎广大消费者进行监督，监督电话是4008181188，
[00:58.490] 咱们那边茶水咖啡果汁你看你先喝点水吗？
[01:00.940] 我先看看我先看一下好咱们现在使用是什么车型？
[01:04.870] 13年SS300，那应该是哪年？零几年的12年的感觉怎么样？那车开着还行。
[01:14.770] 谁知这就是新款老款的，那是准备车置换还是？
[01:21.190] 车也开过来了是吧？这行了，这款是咱们您现在看到的是这款le450动感型，对这是动感型，然后再往前的话是350350的话为了0T的这种的话，3.0T的区别，对。
[01:38.050] 您现在看这个车是家用还是商用？加油好家庭装修
[01:44.440] 他怎么来看介绍？
[01:47.350] 配置算这不是它的功率，然后这个是他们有劲，对配置对比这边没有，您可以扫一下咱们一个二维码，列车出电子车，出您车开过来，让我们评估师给您评估一下是吧？行，您稍等我去叫吧。
[02:07.220] 二
[02:38.430] 的
[02:41.670] 的
[03:24.670] 段哥您忙吗？评估一个车。
[03:30.180] 谁玩的是一个12年的S
[03:34.260] 然后干什么的？
[03:37.680] 300是吗？不全这个
[03:42.050] 我知道这挺好比较就知道能什么给他说个大概差不多了。
[03:49.300] 二
[04:11.290] 客户在这边
[04:13.650] 你计较。
[04:20.300] 客户人呢
[04:22.270] 明显
[04:39.620] 我怎么没找着个人，
[04:54.930] 您在哪里呢？
[04:58.590] 我就在车这没看到您
[05:04.440] 早我再看一下。
[05:09.440] 可以的。
[05:13.230] 几点上班？
[05:22.530] 我们师傅在那这给我们吃饭。
[05:25.000] 车行驶本看得让您看，问一下您的行驶本在
[05:27.960] 跟他说一下，看看您这车有什么贵重物品。
[05:37.400] 这
[05:38.530] 好的。
[05:40.740] 走，待会把钥匙寄给您，歌手还有在手里手里面你给他看一眼。
[05:55.260] 但是
[05:57.930] 等到抽出
[06:03.470] 估计得快点。
[06:06.410] 没了，你不要房子了。
[06:11.530] 穿
[06:12.550] 一下。
[06:23.290] 我说一下哥。
[06:24.300] 进来是我嫂子上林浩，
[06:26.280] 然后微信怎么还找不着在哪什么扫什么，
[06:29.870] 不进来车了，你说走了，微信怎么一个名号，临时号码。
[06:34.960] 现在找着了。
[06:36.620] 您车有车牌号吗？
[06:38.420] 没有，新车回来贴膜来。
[06:40.220] 我在这
[06:42.170] 赵烨客户进来说林卡进来的，然后他现在出去以后扫一下全天的王边点一下，
[06:51.790] 把直接拷就行。
[06:53.620] 直接考虑就可以。
[06:55.010] 您来的时候进来的时候，哪个手机嫂子就出去时候，还有哪个手机默认都吃，去的时候您不扫码吗？
[07:02.270] 就拿着手机走了，是给您查上去以后。
[07:06.250] 有人到场小店。
[07:09.770] 确认
