[00:00.000] 开始接车开始接触。
[00:13.110] 这飞机是吧？好了。
[00:14.530] 要是用
[00:15.640] 车里有各种配套。
[00:28.920] 这是第一次来我们店吗？
[00:31.290] 我看
[00:36.650] 我买的买
[00:37.640] 第一次保险的买的电桩是吧？
[00:41.550] 但是做
[00:45.830] 说买保险都是你这边换的。
[00:52.400] 驾驶证用一下。
[00:59.650] 驾驶证。
[01:01.830] 你建个档案下次来就不用。
[01:05.230] 我在这边上完了再精专买。
[01:08.190] 去年他俩的包装
[01:12.000] 也
[01:17.270] 我扫描一下。
[01:43.520] 留个您电话。
[01:46.570] 留个您电话。
[01:48.080] 139
[01:50.850] 1122
[01:52.480] 21920。
[02:26.960] 那么第五还重，
[02:28.600] 能把它找了7年。
[02:30.160] 您那个店您这电子式的调不了，我那也是电子退伍比这大多了，他怎么呢？
[02:36.850] 对吧？好像感觉特别咱们这个车对您正常的普通模式下
[02:43.020] 是最轻的，他只能往调往沉了条，
[02:46.040] 我清了调不了，在这能调。
[02:49.220] 我跟您说一下，他没法往兴了，走就只能往沉了。
[02:53.320] 只能往纵这条，对，没有往轻了条，你现在已经达到，我看到现在
[03:00.140] 感觉有那个了吗？
[03:03.490] 放硬盘了吗？
[03:05.480] 你看这方向盘了吗？
[03:08.290] 就只能往前了条，他没法往轻了调，正常模式咱们就是最轻的舒适模式。
[03:14.570] 现在是啥舒适模式，就这么事，只能往运动这条没法往轻的调，您说一下。
[03:22.210] 那就拿到。
[03:24.210] 我感觉反正比
[03:26.100] 我就需要治疗的方法。
[03:28.340] 这块应该是
[03:31.470] 大学生没有必要的。
[03:33.730] 在网上在
[03:43.070] 觉得你先调整，
[03:44.300] 也这里放一下，然后你看着
[03:48.790] 是吧？
[03:49.640] 加上
[03:54.440] 来找
[03:56.670] 去完成。
[03:57.550] 这是最基础的。
[03:59.860] 但是老师
[04:02.950] 的
[04:14.030] 这有一坑。
[04:16.760] 哪个词帮助？
[04:47.280] 您水箱特别脏，
[05:03.890] 我们弄你不用，
[05:05.550] 按您的后保险杠就送了。
[05:13.090] 是吧？
[05:15.750] 有一点进屋。
[06:03.640] 的
[06:11.780] 的
[06:18.340] 您好，您看一下。
[06:22.280] 您保养给您打了份保养单，咱们电子是您可以看一下咱们这次给您换机油，
[06:30.350] 机油几率空
[06:33.110] 势必保养1588块钱，
[06:39.320] 然后还有一个他说有更快石油是每两年换一次，
[06:44.870] 您再说满两年春联会给您换刹车油409块钱，
[06:51.160] 然后空调滤芯咱们是每次地板都换了。
[06:55.160] 是第二次保养一次6层的行之。
[06:59.350] 这是838块钱。
[07:01.090] 空调滤芯。
[07:02.770] 你再往下跟您说。
[07:05.300] 然后还有一个您
[07:12.850] 空调系统清洗，空调系统清理，我们主要去蒸发箱，穿着纱裙红瘦，还有一个空调的风貌，
[07:19.990] 是668点，它是跟踪条浴巾一块的，但是他两个人分开做的。
[07:25.470] 这个是一个底盘悬挂的保养，一般我们是每两年保养一次，主要对下面的从头交到做保养。
[07:31.630] 这个是咱们根据实际情况调整地方比较脏的情况下，还有就是水相比较脏，我们做着清洗。
[07:37.560] 然后最后两项是喜鸡蛋，
[07:40.720] 一个是紧求道，几乎到了711块钱1万公里洗一次，还有三元催化剂是2万公里。
[07:46.670] 然后总金额你不要看这个金额，因为这个金额里面还含着一个
[07:51.560] 发动机升级的一个费用，发动机升级的费用是免费给你升的。
[07:56.210] 谁知
[07:58.220] 明白我的意思吗？
[08:00.530] 还有啥？没了？
[08:02.560] 我给你算一下金额好吗？
[08:05.450] 然后用了6分，谁知管制了。
[08:19.610] 升级才是升级动力总成控制软件。
[08:25.180] 但是因为您的时间比较久
[08:30.970] 了，
[08:35.290] 数据
[08:36.320] 数据、
[08:39.580] 场
[08:43.240] 数据
[08:49.190] 数据
[08:55.300] 二
[08:57.380] 7月份。
[09:03.180] 远场
[09:13.160] 的
[09:18.700] 数据
[09:23.220] 个
[09:26.360] 场
[09:27.960] 场
[09:31.280] 数据
[09:32.060] 场。
[09:43.800] 场、
[09:54.080] 数据
[09:55.970] 场、
[10:24.240] 二
[10:28.640] 项目汇总
