[00:00.010] 照片。
[00:01.020] 行，您说一下您电话打电话186136号0961868。
[00:08.680] 6995对。
[00:11.240] 02
[00:13.190] 三。
[00:32.840] 陈先生您
[00:34.300] 在哪呢？
[00:37.970] 先生你好。
[00:40.320] 刚过来是吗？他买这300咱们现在没摆，现在摆的就是260，
[00:47.470] 这是个260D配的。
[00:50.170] 考虑再就考了380。
[00:52.160] 有限车吗？
[00:54.010] 300什么颜色的？
[00:57.080] 黑色，这是吧？
[00:59.830] 咱们多少我给你看一下。
[01:01.880] 就这个话题。
[01:19.330] 自己过来的，你
[01:21.580] 没去。
[01:23.200] 收到。
[01:30.730] 对，你看有钥匙吗？有钥匙你把脚153给他打开一下就行。
[01:46.670] 好了，你让他先楼上看看去，一会我再给他打。
[02:07.280] 先把看着。
[02:09.400] 黑的还真没签戳了，交朋友。
[02:14.520] 这不搞活动吗？只是定了好几个。
[02:18.820] 这是个活动都有啥力度？
[02:20.820] 活动的话我给您看一下，
[02:25.840] 这号131。
[02:28.330] 1368861看厌。
[02:36.780] 咱们试驾车有300，咱们可以试一下。
[02:58.950] 合同的话，咱们这是
[03:02.180] 车价优惠45,000，然后如果要置换的话送6000保险，然后能送三次保养，
[03:11.570] 对现在5000左右，对，然后置换的话再有6000保险，
[03:16.890] 签保险的时候对na置换的那是对，谁知要置换就有
[03:22.440] 力度在哪？没听出来，你比之前优惠多优惠几千块钱，之前诱惑不了那么多。
[03:29.660] 是吗？
[03:31.250] 不好意思电话。
[03:34.160] 谁知
[03:35.580] 你好。
[03:38.500] 置换母亲，
[03:43.560] 不用听了，
[03:45.190] 是吧？
[03:48.820] 下午也
[03:50.000] 那没法变了没变。
[03:53.040] 上次说的是
[03:55.200] 肯定差不多。
[03:58.990] 保险我在听。
[04:02.230] 120一方，
[04:08.670] 是吧？
[04:16.000] 还是
[04:18.650] 还得看。
[04:37.130] 好了，不好意思怎么样？
[04:39.160] 没变化之前是42,000，说的是就这样也不正常的是吧？目前其他的没有也说。
[04:48.080] 行了，整理有力度得怎么等等，再看试驾一下您来了，不是我是我来试驾也
[04:56.310] 也没电，也没啥电子，没啥G如果是了假那管啥用。
[05:02.250] 你感觉一下被第一没有就是说优惠力度，再说放在一边也第一也没有现车。
[05:10.430] 对，现在没有了，都订出去了，看看也没现车在一个我给你打电话还有
[05:15.710] 是吧？
[05:16.580] 昨天给我打电话说上午订好几个，你看前面搞活资金进人多，就周末
[05:22.480] 建行跟原来一样没什么价格还不行，
[05:27.680] 您想什么价，你这悠悠这么多了，什么人嫁你这价也是不是好假，你在那我也不知道直接等什么双11，估计什么双11，
[05:39.090] 当时应该3月不是等一会有活动有活动，这岗位反正我们再等等，我肯定得那什么。
[05:48.670] 是对，因为我给你打电话还有车这地方一个号你要是说
[05:55.220] 不是很着急，我就再帮您一下，不是很难，也不也看见过车了，也不是说也有车开得好。
[06:02.530] 你要说
[06:05.320] 要是力度合适就少，力度合适您说多少天合适完全不一样，你没变动，不您说力度和是多少钱合适，我到时好通知您，您优惠了多少钱的时候给你打个电话一下，现在
[06:16.630] 要大点就行了。
[06:17.700] 了5万5万的时候给你打电话，你哥你得跟这您别的店都这样呢。
[06:26.750] 也一样，有民主的。
[06:30.200] 真的咱管审美家什么店我们都清楚了，是大概其实总数基本上是反正这多给你找对就这意思。
[06:40.920] 反正这就是我们因为都认识，都是这圈里的这点人，零定价的时候可能相互之间都打电话都问，谁知
[06:50.630] 它毕竟是一个分值的大的，你跑不出这圈去，你不能差太多45,000，
[06:57.430] 340太棒了，这是了多上肥D别看没电了，在上学来没变，上一级也就435，
[07:05.510] 45,000，你说她再给看看能跟得申请谁是你这车都没了，咱们等等没有车了。
[07:13.740] 看着
[07:14.520] 等车的话也快，一个是等着你跟我说，我再帮你留意点这个价格，就不能再一个这个价格。
[07:22.910] 没问题，
[07:24.650] 上回来我不就跟你说，我说我觉得先跟别的地儿一比，现在合适我当时我就可以了，别D现在也都是这样，你说我是否这么说的？对。
[07:34.870] 所以说你说也不用跟说了，咱们就说了，行我给你打电话行，那行完了也行，你电话行没问题，你给我电话有您电话您好没事。
[07:47.350] 也没有什么，一个是也没有车，要有车我还可以让你找头，对，因为现在现车300的车特260不考虑吗？
[07:56.580] 开始还有还是多花二年，最早还真考虑的是吧？260。
[08:02.050] 我要是没了，没拿多少钱得了馋了弄去，那么可以肯定提升一级。
[08:09.180] 你要是说从上头
[08:11.650] 往下，你不好，你从下次我转到时候你就不好弄了，除非你重新换，对，差不了多少钱，我为啥不听话，你没必要再换了，对这澡我这还真是考虑的。
[08:22.030] 2260
[08:23.360] 6点，没事您客气了，我再给您打电话，一个是有三张，没事，因为我们真的是不是有班车，一个是价格，对，要不我不会说我跑来老了，没事儿明白。
[08:38.090] 谁知明白，我说你给我打电话是不是？
[08:41.640] 是你给我打电话，我说
[08:43.420] 那时候还有我说一个是看看有没有现车，另外要有限目标任务，但是让你如果
[08:50.190] 老头申请对是不是？
[08:52.560] 对，当时。
[08:54.200] 现场也没有说别的也没用，对，咱们再等等，有了现车我再通知你一下，等你电话。
[09:00.350] 开车来的是吧？好现在走吗？走您就扫一下，要不那人来了就把你车来的，然后你那什么呢？
[09:09.100] 微信支付宝都行。
[09:13.630] 我就直接奔这来的，我拿我也不知道。
[09:16.990] 原来还有想法，
