[00:00.170] 你要收两次那就是赚了
[00:25.340] 后车门掉了点气，
[00:28.870] 不是有一小点。
[00:33.590] 前保险杠。
[00:39.190] 不是石头，咱明天稍微有些老化，
[00:42.880] 谁知
[00:44.730] 打算修吗？
[00:46.820] 水箱也得清洗了。
[00:48.490] 也有
[00:50.280] 水箱的清洗，
[00:54.420] 这个是花钱的。
[00:57.680] 这个礼包里边不包括不弄了，回头一吹就行。
[01:01.330] 在哪自己都不知道自己的老板，明白了，待会弄。
[01:08.200] 你给弄完了吗？不用甭拿抽检了，您没事不能拿气一吃就行。
[01:14.380] 不用上手，这边后门也有一点。
[01:17.480] 右后门。
[01:19.310] 都是拍的时候，对。
[01:23.800] 看到大一大块白，这白一块白一块的都是期缴的。
[01:31.980] 这个效果太浅了。
[01:34.040] 胖了。
[01:36.970] 行了，走里边多年。
[01:45.530] 免费的是最后一次，最后也算了。
[01:48.880] 三年4万公里，
[01:52.150] 现在给了39,000了，现在39,700。
[01:58.170] 几年？
[01:58.880] 18年19年两年开了两两。
[02:06.440] 数据。
[02:08.650] 次。
[02:10.840] 4
[02:14.740] 的
[02:17.870] 二。
[02:23.490] 1200多。
[02:26.550] 1500多。
[02:28.000] 1550。
[02:30.610] 二号还可以。
[02:33.560] 一会我跟奥迪都便宜。
[02:35.180] 过了1000万
[02:37.480] 的
[02:47.020] 一个奥迪A4
[02:48.980] 去做花比别人说的贵。
[02:50.880] 对。
[02:52.610] 综合下来分支不算，做保养不算贵，是因为北京。
[02:58.860] 北京
[03:04.170] 一直在。
[03:13.900] 空调滤芯换了。
[03:18.420] 了。
[03:20.140] 不要钱。
[03:25.160] 我待会给您打单子，哪个是交钱的，交钱都不多，大部分都是不交钱的。
[03:30.840] 快。
[03:33.290] 雨刷片、空调滤芯，刹车油这个时间得长点了。
[03:37.730] 礼包里边这是最后一次咱换的东西多。
[03:40.630] 里边东西吗？
[03:46.460] 你先看
[03:48.190] 外面的喷漆要是打算喷漆，
[03:50.700] 先交一个1500的保险。
[03:53.290] 人。
[03:56.010] 什么名不重要，就是交这么多钱。
[03:58.400] 每年您走保走保险修两次，修一次给2500。
[04:02.960] 等。
[04:07.560] 2400差不多35。
[04:13.510] 对好，您正常分期。
[04:23.240] 介绍
