[00:08.400] 哪呢？
[00:09.210] 好先生，
[00:11.940] 一下就死了。
[00:27.510] 我找不着打电话。
[00:29.850] 等
[00:33.950] S90的。
[00:35.480] S90那谁就在这呢？
[00:51.880] 找不着了。
[00:55.970] 走了。
[01:00.710] 第9条里边
[01:02.160] 了。
[01:07.630] 你好您好先生是吧？合适这儿。
[01:11.320] 你好放心，就能给你张名片销售跟毛宁，好。
[01:15.350] 您
[01:16.540] 看S90是吧？我看X90。
[01:19.590] 00。
[01:21.370] 我T好吗？
[01:25.230] 这个太高了，这90
[01:29.250] 这90跟60070就是长短就拿点点，还有
[01:35.930] 这个主要是谁开开？
[01:39.630] 家用厂里。
[01:41.460] 加油。
[01:43.860] 比如说133660
[01:47.980] 看看个人信息这块是吧？
[01:52.210] 这个就是三四十万的车，
[01:54.870] 开的比较多，三三四十万。
[01:56.920] 还有的话
[01:58.150] 二三十万，
[02:01.550] 我就觉得他不够
[02:03.510] 太高
[02:04.390] 了。
[02:06.240] 对。
[02:07.120] 对这62
[02:09.120] 都有。
[02:16.660] 60的底盘要比九零几
[02:18.540] 反而好一些是吧？我不是我。
[02:21.580] 您同事一起跟我说，他喜欢车跟朋友聊，
[02:25.350] 他说
[02:26.530] 可是我建议您买90后买60，它是同一个生产线，对他好多场子。
[02:32.400] 好多的
[02:33.660] 配件都是通用的，您看一下全都
[02:37.360] 这款多少钱？
[02:39.500] 这款是335,800的替似得。
[02:44.920] 总二17四数还是75，发动机公寓条件会高一些，
[02:50.610] 真正优惠
[02:53.140] 这个的话3万现金直降7万。
[02:56.700] 30
[02:57.780] 3,335,800。
[02:59.700] 300万他又换了26万元
[03:01.870] 了。
[03:03.840] 因为这两天
[03:08.250] 之前用了6万，现在优惠7万。
[03:10.640] 26就算26 265,800，
[03:15.170] 126,000全款合适的贷款，
[03:18.200] 贷款免息，
[03:19.810] 贷款的话看您
[03:23.180] 这个东西看个人需求，现在基本上
[03:25.970] 10个里面8个全部比较少，
[03:30.010] 以免气。
[03:31.220] 对。
[03:32.970] 但免息它有一个金融服务费，
[03:36.680] 也是不错，这套技术的都是这德性。
[03:44.460] 咱们电信期间的话，金融服务再简单，
[03:48.410] 金融服务费多少钱？正常6000。
[03:51.010] 38 6330 3千，咱就要是差不多加上二十七五是吧？
[03:56.090] 看你这算算差不多。
[04:04.240] 首付多少钱？
[04:06.510] 首付的话看您是想怎么待了，有2000年就3000.7。
[04:11.450] 2000点其实在一半三年免息的话是定额贷10万多少？
[04:18.690] 贷10万，对，我手不消17。
[04:22.250] 等于半截了，我出20是吧？
[04:29.370] 这置换有什么补贴吗？
[04:31.840] 政府补贴有7000块钱现金。
[04:34.420] 您就这什么车？
[04:36.000] 真诚。
[04:37.100] 长门疼。
[04:38.450] 哪年的？
[04:39.760] 一年11年。
[04:41.760] 14的不是国四国五的，一年11年出的国5。
[04:45.860] 我真没注意。
[04:48.770] 公里数多吗？
[04:51.540] 度数不到9万，不到9个用数也不多。
[04:56.400] 反正置换的话一个额外补贴车该多少钱多少钱，额外会给您7000块钱现金。
[05:05.440] 我说
[05:09.010] 可能是裸车是20
[05:12.280] 265,800 2626。
[05:14.280] 266,000，对，再加上住院补贴就相当于26。
[05:18.680] 我今天
[05:20.400] 我通过自身讲话，
[05:22.190] 这两天
[05:24.080] 人说让我买一个
[05:29.530] 买SUV是让我出去，
[05:32.200] SUV送出去，
[05:35.060] 干嘛支持？
[05:36.490] 那钱
[05:38.090] 有张怎么用？
[05:39.670] 你不喜欢这样，您花30万
[05:45.210] 雇人家，
[05:47.650] 我还不如磨损了吗？
[05:51.720] 咱们不是问题，
[05:53.810] 看看个人每个人他的对车辆的使用的理念不一样，
[05:59.470] 他现在不着，我考虑回归了这个不喜欢轿车，我要自己换，
[06:05.550] 两天聊天你放心还不是为我做了
[06:09.320] 的。
[06:12.270] 点了。
[06:13.560] 谢谢行没事。
[06:16.850] 没事。
[06:20.270] 回到现在合计。
[06:22.440] 慢走您。
[06:24.120] 完事。
[06:25.030] 行了吗？回家没事儿有点好了。
[06:29.750] 你找他我他妈就不让它就出来了，我就让他办公室在做一个月得了，我接待客户什么都什么。
[06:38.200] 对。
[06:39.680] 完了打算去了。
[06:41.670] 不去。
[06:42.800] 还吃饭不吃了，
[06:47.610] 只要她妈弟弟约了，
[06:49.460] 这是潇潇跟他看了看，我看了看萧跟他们
[06:53.200] 沟通记录，sm系统里边
[06:55.640] 一大溜，
[06:56.990] 从一一行刚开始就开始联系。
