[00:01.950] 出色寒
[01:12.620] 没有。
[01:18.300] 数据
[01:24.490] 远、
[01:26.960] 坏
[01:33.000] 的
[01:36.960] 数据。
[02:04.080] 用
[02:06.450] 的。
[02:14.150] 过去了，
[02:19.670] C300
[02:23.690] 快
[02:25.400] 说。
[02:49.400] 这边简单跟您说一下，咱增持有一个服务公约，
[02:53.260] 简单跟您说一下。
[02:55.210] 咱们所有的价格都是明码标价，
[02:58.300] 然后公开透明，
[03:00.010] 配件渠道清晰，
[03:02.360] 信息公示，然后绝不捆绑销售强制消费，
[03:06.170] 绝不使用假假以次冲好，然后下边个服务监督电话，
[03:10.370] 400818188，然后如果你要考虑做分期的话，
[03:15.240] 也是不收取金融服务费的增长。
[03:18.400] 北京指标墓这边
[03:21.250] 是考虑置换还是有现成指标的？
[03:24.110] 没有特别
[03:25.680] 直接买了，由于北京目标
[03:28.010] 对窗口到底怎么样？
[03:31.570] 只要C300白色，
[04:19.800] 提高贷款的或者是降低钱的，我也是利润不变，比如说你想
[04:25.770] 在70-30，
[04:27.840] 也可以将你手中的产品中
[04:30.670] 它的利率都是400
[04:32.280] 3.4一个，现在咱们有的话有一个钻石买的没有。
[04:37.990] 现在白色的话咱们有钻石版，10%给你算算一半白色的老色狼、钻石、白的、金属漆的、白色的、白色就是普通版的，您不是不要MG版本的吗？
[04:48.910] 要非常直接的，那款车时照售价的话是指导价是517,800，
[04:54.690] 实际是30%是白色的是吧的，但是那辆车的话是有好多选装的，
[05:02.410] 他多了一是车漆的颜色是需要选装的，
[05:07.080] 然后多了一个抬头显示器，
[05:09.240] 多了一个几何多光束大灯，多了一套柏林之声的音响，然后多了一个前排的手机无线充电，
[05:17.850] 多了一个车内的香氛系统，然后还多一个贺后排的侧部气囊。
[05:25.760] 他cmd dnf这多少钱B mg的话是599,800，
[05:32.450] 多了几万块钱他不会要这个了。
[05:34.260] 有mg版本的AMD，它就是多了一个外观套件，我倒不需要MP，甚至50%不要求性能
[05:43.140] 代步是吧？对。
[05:45.560] 然后还有黑色的，
[05:47.640] 的黑色的都没有，有灰的，就跟咱们展车的傻子一样的，你都是灰色的吗？
[05:54.310] 深灰的。
[05:56.600] 我代表的趋势，
[05:58.440] 首付30%要定了，还有一个要定了，13号预定的话，
[06:05.730] 后续计划里边都没有
