[00:00.000] 接待朋友介绍的一个先生还没见着面，
[00:03.180] 我得了我那俩走了。
[00:05.640] 明天接一个。
[00:07.300] 我的。
[00:08.350] 不是结婚照接了一下。
[00:11.410] 我想看看那治疗一但是里面没电了，能给她通过电视，
[00:16.720] 我专门带父母过来看一下他们，您怎么着，你找一个销售，我们门口这还有一台点衣服那个店。
[00:25.210] 等你得稍微等会，这都生活。
[00:27.490] 早20分钟了，他们。
[00:29.360] 你等等我就跟我这俩没我那俩二次。
[00:34.750] 浪费了。
[00:41.090] 到哪去了？
[00:50.080] 往哪
[00:51.170] 了一点我出去的。
[00:54.530] 你马上这么说。
[02:00.250] 这块不断。
[02:05.680] 没有穿黄色衣服的。
[02:52.690] 您在哪呢？
[02:59.690] 我是在一楼等您还是在二楼等您？
[03:04.440] 做皮具的这一楼的门口是吧？
[03:07.750] 您到那你等我我上课上个厕所。
[03:11.120] 好勒。
[03:18.230] 车。
[03:24.910] 第。
[03:28.250] 10
[03:36.690] 小学有一套房衣服找我，我上个厕所就过来，
[04:29.510] 是不是？
[04:31.050] 您好，刚才是不是。
[04:42.040] 我去弄口水喝去。
[04:49.180] 喝口水喝去。
[04:52.570] 什么定理了？
[04:53.880] 昨天一个妈B臭不要脸了，都订车了。
[05:08.240] 马年我得完工了吗？
[05:11.880] 你是现在给我缝制了吗？
[05:15.100] 你跟她漂亮。
[05:41.560] 这边
[05:44.440] 怎么样？
[05:46.680] 头发俩字我就看看你没听吗？我就想看。
[05:51.560] 现在有现车吗？就拉近了展厅里拿一张吗？还是？
[05:56.330] 既有什么颜色的？
[05:58.570] 咱俩坐边上说。
[06:00.430] 让他们先玩的。
[06:02.450] 在做什么？
[06:04.800] 我说你怎么走先打款。
[06:08.980] 我给你一会我玩。
[06:13.420] 没事，我待会给他说。
[06:16.070] 你先看一下，我都不知道，你来看一看NASA。
[06:22.520] 要什么卡，想要什么茶，绿色。
[06:26.560] 我先给您这是我名片，刚才是打电话是吧？还是人家介绍？
[06:31.510] 对你们是的门诊告诉你这部一声妈妈。
[06:35.250] 然后我先跟您说一下，咱们这有一个服务红军，
[06:38.190] 我这唠叨一大堆，两分钟就给说完了，客户为根，以礼相待，承认经合法得体，明码标价。
[06:44.000] 公开透明配件渠道进行公示。
[06:45.830] 绝不捆绑销售，全是消费，绝不使用假药，以中行电动电话40088188，
[06:51.170] 在对面展厅的楼梯口有一个白色的板子，那是我们公示价格版，除了车架和
[06:56.340] 服务类的价格板以外，在前台还有一个
[06:58.990] 有一个本上面是。
[07:00.200] 精品的价格。
[07:02.810] 除了普通的MB车勇气以外，我们这还有迈巴赫的寿险、A md的授权，
[07:08.210] 另外还有好多特价车，
[07:10.170] 你也可以讨论一下再走。
[07:12.920] 高房价。
[07:14.160] 楼房
[07:15.360] 用慕课看一下。
[07:18.520] 你待会再来。
[07:21.090] 我都快完了，帮我我来说这是什么东西可以
[07:25.800] 做钥匙链，对，等儿子你能帮我弄一下吗？好吧，慢一些。
[07:31.720] 看能不能够，但是过去可以吗？那东西称一定
[07:36.750] 觉得这挺好。
[07:41.080] 就叫绿色的是吧？记我们现在
[07:44.550] 门口这个是海蓝色，
[07:46.970] 厅里头是陈律东侧，然后后面我们这还有一个山月光石。
[07:54.050] 测这个也是的。
[07:55.520] 这是社会
[07:56.780] 900。
[07:58.140] 不是说监督你做什么都是普通版。
[08:00.980] 普通版的暗夜的你找不着没有车。
[08:03.600] 我跟您说您现在再不买，您下个月更贵了，因为从现在开始这8张就没有车。
[08:10.170] 你现在给我签。
[08:13.040] 现在全办完是200。
[08:14.440] 50多万
[08:15.210] 落地。
[08:16.080] 又交了多少钱？
[08:17.880] 我们前两天有一台深绿色的比指导价贵了69卖的，
[08:25.580] 能便宜点。
[08:27.790] 我现在您稍后门看那绿的去走走。
[08:30.970] 然后绿的不行，咱回来再看别的。
[08:36.310] 都是您书里头
[08:38.160] 都是正常的，咱们商品车不是
[08:41.590] 什么特价货什么的车。
[08:53.190] 车。
[08:58.920] 您是北京。
[09:00.430] 北京置换。
[09:02.130] 对。
[09:03.100] 拿什么时候换？
[09:07.510] 就拿您那拿着S。
[09:11.830] 哪年的您这是。
[09:14.840] 15年我想我现在还没转出去，转到外地吗？15年的是吧？您得问当地能接收就行。
[09:22.230] 但好多地都不接收了。
[09:24.550] 是。
[09:25.850] 对了。
[09:28.320] 对了我一下。
[09:32.910] 不让我
[09:34.020] 给我看看有点不
[09:35.840] 工科的待着。
[09:40.590] 我们这撞成啥样都
[09:42.140] 这就跟积水潭医院挂号排队一样，全是缺胳膊断腿的，
[09:47.650] 对吧？
[10:02.470] 现在就没有了，现在不知道到底是怎么回事，现在厂家就告诉
[10:07.240] 没有车了，
[10:08.270] 没有收到到明年才有车。
[10:11.080] 但是我们从其他的有可能是什么？
[10:17.280] 几乎版
[10:18.360] 横
[10:19.680] 900可能。
[10:21.080] 环保达到8刚的达不到B这波流B的政策，
[10:25.050] 所以以后可能就没有了，现在是国内转播了AA，现在国六还不容易是吧？对。
[10:33.470] 所以你要到那会买二手车，二手车价格还。
[10:35.930] 不得出头往上涨，
[11:04.430] 那是绿的，那台卖了
[11:06.670] 还不疼。
[11:10.580] 那么第S什么价格？
[11:13.010] Cs比指导价低配的
[11:16.860] 4万，高配的贵5万，
[11:21.160] 这好几年了都这样是吧？新款的手机没产的，这车都这样，
[11:27.820] 那是他灰的。
[11:49.730] 这是126万多的，现在也卖到130万130多点。
[11:57.600] 那台灰的这台黄色和这台率的，
[12:00.550] 这是能卖的，那台车就
[12:02.700] 已经订出去了，特别B快点了，
[12:07.670] 侧面也不错
[12:09.470] 了，这是。
[12:13.130] 谁知
[12:14.990] 再往后后来三。
[12:20.770] 还不知道吗？
[12:22.620] 这事就出头了。
[12:25.110] 对，这个已经定了。
[12:26.860] 这辆卖了。
[12:31.040] 这是好看。
[12:39.650] 沙漠黄不好看吗？
[12:41.870] 哥抽走了后不住。
[12:47.690] 是不是美军沙漠什么？
[12:50.240] 的。
[12:53.030] 这个比指导价贵69。
[12:55.690] 能便宜点。
[12:57.560] 因为。
[12:58.900] 你看。
[13:00.940] 市区黑的，对，这有一夜色组件那得花钱了。
[13:05.070] 然后这还选了一大轮毂就贵了。
[13:07.550] 他后面的口条的都是什么玩意儿？
[13:11.970] 以后都光送的要上有关。
[13:14.150] 没有这俩都没有具有。
[13:16.560] 有没有。
[13:17.960] 有没有？
[13:20.160] 是D开头甘肃哪个？
[13:24.200] 不是还有一个什么申请那个叫什么？
[13:28.080] 这是几何都甘素，
[13:30.110] 一着车着外面亮一圈，
[13:33.980] 这个看到了。
[13:35.860] 对，这是几何楼房吗？
[13:37.560] Nano。
[13:43.060] 心脏。
[13:47.630] 这儿子不知道吗？
[13:50.560] 他这还是不少的，后面后头的
[13:54.340] 一个叫什么？
[13:55.870] 检测什么？检测是越野的书是检查，我得给您查一下，得看库表，你先看颜色，看完颜色咱回去咱再说说去。
[14:15.580] 谁知。
[14:25.400] 您现在不买就
[14:27.390] 别等着了。
[14:28.440] 然后为了有可能到今年的到10月份可能就上2.0T的。
[14:35.040] 到2.0T发动机什么东西，
[14:37.230] 我觉得还没法拍。
[14:42.710] 男优。
[14:44.350] 刚走看屋里有没有人？有人。
[14:47.910] 没事能前面找纳兰的去能听听声什么的。
[14:52.310] 还有。
[14:55.760] 在做福原来没有。
[14:57.640] 人刚走，
[15:06.930] 那是售后的保养的。
[15:12.410] 我喊你不听是吧？
[15:25.840] 咱回去我给您找你听听声音。
[15:30.450] 不是。
[15:31.540] 020的200我都怀疑打开。
[15:39.840] 鸭哥。
[15:41.890] 大哥就是咱们。
[15:43.300] 晚上老胡问咱们都不行的时候，你说你组织鼓着大家定了一个。
[15:49.750] 男士的也是。
[15:53.370] 绿色的黑色的没这么多是吧？
[15:55.930] 什么色的卖的都多。
[15:58.040] 这车现在就是不愁卖，有啥卖啥啥。
[16:03.770] 他本来就没有是吧？
[16:05.500] 买的没有，我们最后一台斤的版的牛让我给卖了。
[16:08.920] 上个月月底卖的，
[16:10.650] 卖完了我们老板后悔死了，说还不卖赚钱，这都涨钱了。
[16:16.260] 我说你怎么不是交了哪有这边都。
[16:25.040] 我先跟您说我把它卖给哪个公司了？
[16:28.200] 百您说那一车绑了是不？没汽车帮老板买的，然后
[16:33.690] 他全中国所有的4S店他都认识，因为都跟他做广告，做那一车的广告，
[16:39.220] 然后这个车是
[16:41.140] 比指导价贵55，咱们这买的。
[16:46.540] 所以你就知道现在T500这价格是个什么情况。
[16:51.050] 您这么着您就直接走就上
[16:53.860] 上。
[16:55.480] 在那拦着车我去拿钥匙。
[17:24.360] 我只要让我媳妇来
[17:26.220] 给
[17:27.060] 让他看一眼。
[17:28.270] 30就行了，对吧？说
[17:30.920] 行。
[17:32.130] 你就那个什么
[17:33.250] 咱们就跟大家说多少钱就完事了是吧？
[17:35.730] 他说不行也没用，
[17:37.920] 说完又估计几十万的东西，
[17:43.140] 有吗？他说？
[17:44.560] 他刚才我说你不错了，中间那也是
[17:47.960] 你不卖怎么老这样子确实是卖了，咱不蒙你，对你要没卖你干嘛不这一号。
[18:03.810] 等于你们现在都没有安逸板跟侦查什么板是吧？
[18:07.880] 全都光明课没有。
[18:09.520] 都没有是吧？过两天能到一个。
[18:12.690] 先行特别的记录单，
[18:15.560] 注册了就会了。
[18:17.190] 全部完了得小480。
[18:26.740] 一会骑一圈，
[18:29.990] 不光是我100个人，
[18:31.810] 我也不出去，我就在院里头
[18:42.960] 真想吗？
[18:44.310] 两我们都天冷了，还想看能什么。
[18:48.540] 刚才有一口，我说我操终于找到有空调的店了，奔驰就是吗？
[18:53.280] 不一样。
[19:06.870] 南方
[19:15.570] 这傻不也行吗？
[19:18.720] 看啥？
[19:20.770] 找啥配置。
[19:22.720] 就是说这可能就可变的什么玩意可变的没有，
[19:28.400] 这时候不知道我得给你查，
[19:31.630] 这是几号楼光速大灯。
[19:33.540] 对有帮助。
[19:34.840] 我给你
[19:36.000] 我找一下你听听。
[19:38.030] 跟我媳妇听。
[19:39.890] 还怎么还没这声挺响吗行吗？
[19:43.200] 着了。
[19:51.480] 好不？
[19:53.480] 你知道不要不听那个歌，
[19:55.850] 你做到呼叫肯定要。
[20:03.110] 我来吧。
[20:07.070] 你开门慢一点。
[20:10.290] 你要干嘛？
[20:11.440] 要看看去是吗？
[20:13.920] 你一样的。
[20:17.110] 他喜欢。
[20:18.460] 谁喜欢别说特别好是吧？
[20:21.680] 对。
[20:23.130] 你坐进来听到的是
[20:26.240] 他们说
[20:29.250] 在展厅里看那么大，一出来感觉这么想，
[20:32.880] 没准把这边窗口快让me风险
[20:39.320] 没多大事儿。
[20:40.550] 他肯定
[20:42.550] 音响是柏林之声的，
[20:44.270] 座椅在按摩，
[20:46.210] 两天都是在后面不
[20:52.560] 坐车。
[20:54.470] 你肯定不行了。
[20:56.560] 我这猫您感受一下这按摩，
[21:09.740] 没有稍微有一点点。
[21:12.780] 他不可能跟按摩椅似的，我就没法开车了，一会疼一下再出点事儿。
[21:24.470] 然后右脚也好听，附近支撑的
[21:27.680] 血管
[21:32.430] 点。
[21:33.920] 三把差速锁
[21:40.860] 的
[21:42.490] 了，
[21:45.210] 谁知
[21:47.440] 谁知
[21:50.700] 花、
[22:03.790] 没做的。
[22:05.090] 外面停的车大，因为这车的气质让人感觉那种霸气，所以会有点声音，一会你开门慢点。
[22:13.570] 我们里头还有这中的，你看了吗？
[22:16.200] 公的不好看。
[22:17.960] 自己的颜色我都不知道这点不好看。
[22:21.330] 我喜欢墨绿的都卖了。
[22:24.820] 灰的。
[22:26.000] 这个色其实这啥好看，喜欢的特别漂亮，海蓝色。
[22:31.910] 我想玩这个。
[22:35.780] 哪个门？下面那方块。
[22:38.670] 对，钱。
[22:41.100] 在慢慢的
[22:47.350] 大量的。
[22:48.690] 妈妈。
[23:01.640] 都是158万，
[23:02.880] 外加158万8万。
[23:10.090] 这个不带。
[23:12.930] 这几个数这是几号登陆咋的？
[23:16.630] 后这样一看
[23:18.420] 感觉好小。
[23:19.960] 他在里面看得到走吧，咱进去我给您看看，您要来配一下，这事儿真的挺好看的。
[23:27.850] 海蓝色。
[23:34.180] 您接着弄你那边。
[23:44.480] 你。
[23:47.080] 900我知道就多一个。
[23:50.440] 那边你吧。
[23:52.390] 那边那块有的。
[23:54.960] 这块
[23:58.260] 很难走。
[24:02.720] 他说他就喜欢山茶花。
[24:07.960] 蓝色。
[24:11.060] 的。
[24:12.350] 坏数据，
[24:28.850] 远远
[24:30.850] 的。
[24:38.480] 的
[24:54.500] 父亲节。
[24:55.500] 对，再次使用减震带这个机会的关注大灯。
[24:58.400] 对吧？
[25:01.470] 但是运动这个名字上的资料价格计算交的钱数。
[25:07.950] 这个指导价是1,628,800的，绿的是150万1,628,800的。
[25:13.990] 这车贷了，
[25:17.210] 这车die了一个
[25:20.440] 一个是海蓝色的7，一个是自身悬挂，一个是
[25:24.930] 九龙速大灯。
[25:26.660] 什么呢？
[25:28.140] 几格都光速大动，就那大灯饰圈的。
[25:30.920] 一个什么
[25:32.150] 什么动作颜色什么不应该用的。
[25:35.380] 优色环境氛围能车里就。
[25:37.470] 数据应该标标配的对。
[25:40.270] 对。
[25:41.500] 这个时候你能交多少钱？
[25:56.030] 有什么？
[25:57.080] 谁知
[26:00.100] 可以说都在这。
[26:03.630] 什么？
[26:05.070] 保险是你们都还是保险，就是店店里上班多多好，以后定损维修什么都方便。
[26:12.070] 要换的。
[26:14.660] 见到
[26:15.660] 然后就把。
[26:16.870] 麻烦了。
[26:20.330] 谁知
[26:22.340] 动不动。
[26:23.670] 相互的。
[26:28.470] 真不用我一会就了。
[26:36.280] 你要
[26:46.150] 10分了。
[26:49.210] 坏数据
[27:42.870] 落地，
[27:44.200] 存下来落地的话
[27:48.690] 262左右
[27:52.760] 交给我，
[27:54.520] 给你报一个实在价67。
[27:56.910] 747。
[28:00.120] 200多少？
[28:01.950] 两。
[28:02.520] 200
[28:03.040]  360，对。
[28:05.900] 唐宋这怎么可能交到了吗？就。
[28:09.300] 我们。
[28:10.300] 我们这边我们。
