[00:01.090] 接车，
[01:40.610] 开始我想拿着袋了。
[01:43.280] 您把车里面贵重东西拿走，
[01:49.920] 这一会我能直接先给他把钱刷出来吗？
[01:52.760] 可以。
[01:56.280] 好了时候到时候您就不用来发票，我剩下的发票您开什么发票？
[02:02.170] 发票对，就是说您两不是20002000块钱交强险，开跟什么就直接给保险公司就行了，然后需要的是给您开证，您个人的还是不用？
[02:13.340] 不要发票是吗？对，主要是。
[02:16.350] 就赔付他主要
[02:18.720] 培养2000，然后剩下的我陪我知道了。
[02:23.010] 反正我就不知道我是得先行垫付，还是保险那边交强险只赔交强险应该是直赔的，但是我看上那张单子应该是直赔的。
[02:31.150] 对。
[02:37.720] 您车怎么没上商业险？
[02:40.280] 晚上车上衣裳也得一年1万多，
[02:42.670] 骂也得上商业险，还有
[02:45.970] 5000块钱，不是这在北京。
[02:48.790] 好车太多了。
[02:50.400] 手机保护。
[02:51.360] 就上了一个那什么就上车损是吗？
[02:56.430] 出事了我不敢招了。
[03:06.200] 来车他这能不能抛光？
[03:10.570] 行可以没问题，您报一下。
[04:38.250] 三四天。
[04:39.320] 三四天。
[04:40.910] 4天，也就是星期二能提前吗？
[04:43.540] 今天去不了，估计在周三周三上午对把车里面贵重东西您拿走行。
[04:49.340] 我们现在就拿个后牌照。
[04:51.060] 行，这一会我把那牌子给您解下来，解对解下来我们拿走。
[05:14.190] 把
[05:15.190] 好的贴的膜是贴在身上，这是吗？
[05:18.510] 连车
[05:20.380] 不是在这做保养，我在这买。
[05:22.480] 不是我知道风挡膜
[05:33.190] 这个块话。
[05:34.600] 几分钟事。
[05:35.800] 你说切快。
[05:58.500] 您去签咱等会我就给您切了，切下来就下来，我再直接给你拿过去。
[06:02.660] 行，得去前台那边等会儿。
[06:08.560] 车里没有贵重东西了。
[07:56.330] 你断开
[12:28.080] 开。
[13:58.830] 您来这吧。
[14:05.440] 到他那边人那俩人我就照着。
[14:35.790] 定了多少钱？
[14:37.990] 还没什么的，交强险就赔2000块钱。
[14:41.470] 剩下的。
[14:42.710] 剩下的我待会给您看一下，配件还没放。
[15:15.870] 您要把车牌子装进来。
[16:03.950] 您坐别合作。
[16:05.960] 您做。
[16:16.810] 花园
[16:17.930] 一直发放。
[16:20.720] 一到哪儿？
[16:26.370] 好，你们俩登记谁就问一下您的证件。
[16:30.830] 苏丽莹是您吗？
[16:32.590] 您给我一下您的身份证。
[16:34.480] 我这边用。
[16:35.510] 你这边不用。
[17:03.800] 您说您电话。
[17:06.230] 000039. 
[17:12.640] 您收一下。
[17:36.000] 我等会给他。
[17:37.240] 做完保健他。
[17:52.390] 您这等会我让库房放一下配件去。
[18:15.100] 您的车牌号是多少？
[21:31.150] 就是交强险报价。
