[00:00.440] 开始接车还是说
[02:21.400] 三
[02:31.840] 您先把钥匙给我，然后一会我看完条找您，
[02:35.840] 我看一下密封条，找人你不用在这等着。
[02:40.680] 因为之前咱们都已经开好了，然后一会我找你给你发给你那过来，
[02:45.180] 行吗？反正你要是没事的话，你得坐会也行，都行。
[02:51.340] 我这边无所谓。
[02:55.720] 行，你再坐两分钟。
[02:57.840] 等等。
[03:04.760] 怀远场。
[03:09.840] 场
[03:12.810] 在家
[03:17.120] 几点？
[03:23.520] 的
[03:29.430] 等一个小时一个小时以后才过去。
[03:39.760] 大家
[03:49.890] 我院网站来了
[03:53.440] 了
[03:54.140] 了，你怎么答我了，你想什么把待价格存在给
[03:59.280] 你给他交那个价了。
[04:01.300] 你叫代驾吗？行行，你觉得你碰我了，
[04:06.950] 不要让他们家里贴了，你看看他们约旦我还跟人联系，我把卡号
[04:12.390] 我这没你那手机号客人把手机号给我发过来。
[04:16.160] 开过来了吗？我不知道。
[04:18.560] 你把钥匙给我，你一会。好了我告诉你。
[04:25.150] 好。
[04:28.680] 在家到然后在
[04:31.980] 就第一排的最右边。
[04:34.650] 好
[04:43.570] 场、
[04:45.790] 场、
[04:51.410] 场。
[04:53.050] 的。
[04:59.590] 的
[05:01.670] 没啥肉，不要。
[05:11.560] 三
[05:15.570] 没事已经搞完了。
[05:25.430] 你把。
[05:30.040] 手机号发给我。
[05:31.890] 三。
[05:34.150] 了。
[05:36.520] 走着。
[05:37.770] 哎哟。
[05:39.330] 你好，我帮你看一下。
[05:42.250] 咱们去车
[05:49.260] 等会。
