[00:00.000] 712将校接待讲的。
[00:03.600] 明天或者张先生。
[00:04.900] 的时候你问他以后要划定了，
[00:07.960] 他不能给打电话，当时问他
[00:10.400] 哪位大概
[00:12.620] 看交易吗？要找毕竟
[00:20.120] 安排烧着了，别的谁知
[00:23.690] 放心了。
[00:25.650] 东西。
[00:26.600] 我告诉。
[00:30.480] 您好张先生吗？
[00:32.220] 您好欢迎光临百D之星，稍微香香，你让我的名片你好，这有约吗？没有，第一次咱们建设本来是想买尔沃尔沃的，然后撸过来看了一眼，发现这个也行，
[00:42.340] 特别喜欢本来在看叉C60，然后就觉得这个空间反正也差不多
[00:48.770] 的，这款尺寸小不知道他内部空间很多客户乘坐感受还挺好的，喝点什么吗？咖啡可乐还有通知先不用，不需要了，简单，这样为了更好的给您服务，奔驰有一个服务公约，我给您介绍一下，
[01:02.170] 客户为尊以礼相待，诚信经营、合法得体，明码标价、公开透明，配件渠道信息公示，
[01:07.270] 逐步通道销售、强制消费，全部用脚尖一次充好，下面会有400818188服务监督电话，
[01:13.250] 奔驰是第一家承诺不收取金融服务费的品牌，您可以放心购买。
[01:17.650] 二位是看好这车型还是我都已经推荐？
[01:20.990] 我其实预算就30万左右落地，然后
[01:26.610] 所以本来在看叉C60，然后我感觉也
[01:32.190] 也就是看看这板再贵了我也买不起了，反正家用对就是价格不好了。
[01:37.220] 不考虑您现在用的什么车，感觉怎么样，我现在是一个商铺。
[01:42.270] 上市对改楼。
[01:46.700] 三开门的小车，然后开门。
[01:49.480] 我说被门对作业人人家是正常的叫三个车轿车，
[01:54.740] 然后因为之前我俩开，然后现在有孩子了，帮我的孩子，所以得换一个，
[01:59.400] 他就这么周来换车的，所以基本上我们自己家有车有孩子确实。
[02:04.920] 对。
[02:06.560] 那是这样，其实
[02:09.290] 很多在玩车弄车换车的时候会有一大堆，就是这款车跟您现在还在说
[02:15.950] 驾驶感是完全不一样。
[02:17.780] 对，他跟清香没使用了，
[02:20.600] 但是他的空间感
[02:23.320] 会这么高，
[02:24.280] 伤口也非常不错的一个运动型车，这款车的话咱是2.0T的，
[02:31.090] 我还没看我不知道这车那几种配置，反正上空的20P的
[02:37.350] 上次没有上过1.41.4，
[02:40.220] 这款的话是130千瓦，您那款1.4的动力应该是在100
[02:47.210] I100 18还是100差不多，对没事我觉得不太用，她不用说动力比这个还要强，但是我们不用说动力的。
[02:55.090] 不想调解一下他其他技术，明白。
[02:58.300] 您是想5个期末，谁知
[03:01.360] 这个是可以选7座，
[03:03.320] 8分像180 200，他不分高低配都分5个7。
[03:08.300] 到明白有180就是武断的意思，277段的一个不是180也跟五六十，
[03:14.010] 然后200有个7段，然后他7岁也是这么大，
[03:17.240] 车长还是这么大队，那得特别后台小点了，咱实际乘坐人员是
[03:25.030] 说
[03:25.830] 我说
[03:26.720] 如果说你要更好用的话，不推荐给你做期货的话，有两个面说再有的话
[03:33.130] 不开不行，那个时候如果没有说真正六七个人使用的话，
[03:39.030] 我们就5个人
[03:40.560] 配置上有什么要求？
[03:42.610] 原来没了解过这块，对原来没了解，他和180231802是100千瓦，
