[00:14.520] 0
[00:16.780] 6
[00:21.230] 场
[00:22.640] 场
[00:24.270] 场
[00:40.080] 数据
[00:44.690] 数据
[02:14.770] 就把
[02:15.540] 具体多少？
[02:16.410] 指导价637,800，然后用了599,800优惠5万，我说的指导价。
[02:22.740] 637,800，优惠5万。
[02:24.990] 这是普通的高配的有高配的有三块的68万多。
[02:30.130] 687,000，还有。
[02:31.650] 五刘三五的话是吧？
[02:33.750] 不是三这是啥？
[02:36.280] 根本方法对。
[02:38.400] 刚才包括。
[02:39.910] 袁sir知道什么吗？
[02:41.880] 颜色有经典的颜色没有几种颜色的。
[02:46.270] 桃花还是菜场。
[02:49.330] 白的也行。
[02:50.990] 还是不行。
[02:55.910] 有红吗？
[02:58.110] 库存确不确定了？
[03:00.570] 黄那边68元一斤吗？
[03:02.340] 然后有没有了？
[03:03.740] 63。
[03:04.750] 最多有5万吗？
[03:07.710] 不能在一块。
[03:09.590] 别说不就行了是吧？
[03:12.210] 还有什么送的吗？
[03:13.620] 送的时候，如果你要做装饰的话，13,800送1万保险。
[03:17.860] 什么叫就在你这儿做装饰，还有从庄子里面黏膜记脚垫后备箱垫。
[03:24.250] 这13,800，然后我们送1万保险，我们这一套是3800。
[03:28.340] 好好这个意思。
[03:30.290] 送1万保险，
[03:32.920] 那就在你这住了，我3800包括贴膜，
[03:36.380] 把再跑一趟。
[03:37.850] 继续什么？
[03:40.490] 第一次来我们看看还有。
[03:43.360] 谁知。
[03:44.670] 还有吗？
[03:47.540] 对中午。
[03:50.920] 还没看上就没看。
[03:55.700] 地方材料，
[04:08.930] 连必要在那吗？
[04:20.600] 继续往上的。
[04:38.520] 53试驾车。
[04:39.990] 这个车有点
[04:41.540] 这车指导价是978,800，
[04:44.590] 然后但是。
[04:45.840] 车是有选装的。
[04:48.880] 有什么选装，它基础价是9 788。
[04:53.620] 这得一百零几。
[04:54.960] 这看了什么了？比如说车漆，
[04:57.840] 然后16听说
[04:59.780] 龙骨
[05:01.880] 这个得1万一百零九万零几。
[05:05.500] 我帮您看看，
[05:51.190] 您说这量的话是1,087,800。
[05:55.130] 510. 
[05:58.690] 刚才那个CS不是大冬天也是什么样的。
