[00:00.230] 7月12号
[00:03.120] 将校接待
[00:04.990] 马先生来教B
[00:13.840] 您好，马先生吗？
[00:15.600] 马先生吗？是不是？
[00:18.070] 我们都不是不在一块的。
[00:20.950] 你找的
[00:23.660] 马先生。
[00:30.450] 您好，马先生吗？
[00:32.170] 您好。
[00:33.290] 关于光临百名知青沙龙将向紧张我鳞片，您好。
[00:36.600] 这有预约吗？您没有第一次让电视吗？
[00:40.010] 喝点什么咖啡可乐大伟通知。
[00:42.600] 不需要吗？
[00:43.660] 行，您这样为了更好的给您服务奔驰与服务公约，我给您介绍一下，
[00:47.870] 客户为尊以礼相待，诚信经营、合法得体、明码标价、公开透明、配件渠道、信息公示，
[00:53.060] 绝不捆绑销售，强制消费，绝不生讲价你4冲。好，下面会有400818188服务监督电话，
[00:59.500] 奔驰是第一家承诺不收取金融服务费的品牌，您可以放心购买。
[01:04.150] 是看好交be了，还有东营店这边。
[01:07.280] 你先看。
[01:08.890] 看你。
[01:13.760] 回来想那边回来当时
[01:18.920] 那个车他价格比你这个优惠，我看你现在多少钱，
[01:25.080] 那是水牌的报价。
[01:27.090] 您现在想知道你这个优惠，
[01:30.700] 您是想什么时候购车时间上大概有？
[01:34.810] 应该主要看价格之前，那么
[01:39.080] 车型是挺好的，不要就说了还丢了吗？
[01:43.320] 车边上小的我做不了。
[01:45.520] 高校今天大点的，
[01:47.000] 一会您选好车型，具体可以给您做一报价，
[01:50.160] 然后详细看一下。
[01:51.920] 现在就想中配置有什么要求。
[01:58.780] 后面一般的不要着凉了，修车行您选好哪个配置的？
[02:04.800] 没有知道怎么配。
[02:08.500] 他用都80，还有木板小伙45个250个的200条，
[02:15.710] 这款的话它是120千瓦，您是烟台的车，
[02:20.480] 千万的置换，现在用的什么出来？感觉怎么样？
[02:23.770] 现在就是水平铁笼，学姐哪怕主板
[02:28.530] 竞品还有什么对比吗？
[02:31.340] 没有了，不了解。
[02:35.000] 错误的决定。
[02:36.220] 如果不是品牌有没有对比或者什么的，
[02:39.720] 没有了，预算还是想控制在什么价位区间？
[02:44.360] 对照跟走路了。
[02:51.590] 好，这个车的配置他们都清楚吗？聊聊过吗？没有。
[02:57.790] 没有给您送一下咱自己家用是吗？
[03:00.240] 作家要
[03:01.720] 动力上这个是120千瓦，就那天放给您介绍过来的。
[03:07.150] 没接受了这段，然后看看价格。
[03:10.880] 看看了您先了解好车型，就具体价格的话差异不会太大，只要您在奔驰买，
[03:17.260] 他不会有什么大的差异，您住哪？
[03:19.920] 说给我穿咱们
[03:24.560] 他那边还近点，
[03:26.020] 我们这的话我们市场也不方便，
[03:28.020] 如果说咱家用的话，没有多数就六七人乘坐的需求、动力配置人员结合预算情况，
[03:35.350] 200的重点应该是可以的，
[03:37.720] 但是全办下来的话可能得30多点，就高于高得多一点，您要置换的话是你自己的指标，
[03:45.030] 这个还可以做分期厂家的东西。
[03:48.080] 您是希望在裸车二楼
[03:49.930] 二十五六万还是？
[03:52.120] 这也差不多，这时候你这个做完能多少钱？
[03:56.750] 左侧价多少钱有的没有，第一您就要这口气，对要什么颜色的，
[04:03.730] 然后你实际上没有竞争颜色，这个装置的起落，
[04:08.840] 电线还有很多行业水等逐渐都是我的，
[04:13.280] 有黑色的，有什么颜色有现行。
[04:15.700] 现车的话应该是有蓝的、白的还有灰的。
[04:19.730] 安排你这两边都不占车辆上的，你们介绍一下不是问题。
[04:25.630] 流量不一样中医吗？
[04:27.960] 价格合适之前能定位吗？好，今天过来能不能把钥匙让
[04:33.850] 您可以再对比一下，基本上优惠的话大概4万多块钱差不多了。
[04:38.380] 千块没错，我看你这个点是的吧几万吗？这是优惠后的我们的报价，这款车的指导价格。
[04:46.630] 指导价您知道吗？
[04:48.310] 您说都是要求钱，你没概念。
[04:51.950] 你没看我跟你说优惠8万优惠10万，你自己没谱，对你就跟我优惠完了，你这个车提车能多少钱？
[04:59.630] 优惠发到
[05:01.900] 318,800优惠达到
[05:06.230] 但它价格可能就是138。
[05:09.060] 谁要是谁知
[05:12.390] 别的拿到什么想了解的。
[05:14.320] 好东西定下来吗？价格优惠力度还是挺大的。
[05:18.500] 因为现在我们也是有活动，不然的话没这么多客户。
[05:24.530] 行了，谢谢行，你随便看。
[06:21.840] 什么也是什么上门多少人
[06:25.490] 的
[06:31.590] 要
[07:08.410] 数据、
[07:13.240] 数据、
