[00:01.380] 7月12号下午2点接待。
[00:03.940] 20的客户看朋友们过来看一下，
[00:10.520] 咋样感觉二号。
[00:14.730] 跟你那车一样吗？现在一样的，但是你
[00:19.280] 我的分屏的身体您是老款的，这是新款。
[00:25.530] 这
[00:26.860] 这个贵在哪儿？您得多少钱？
[00:29.550] 我不知道这个地方，当时媳妇说也就是
[00:34.450] 他的指导价是100多万，
[00:37.120] 公司价值200多万，现在这车一直以来都是属于深圳的，属于按照公司价格销售的状态，所以说不是说100多就能买下来，买不下来哪都是一样的，剧本也是180万差不多200万，有可能是200万左右，对还是算便宜的了已经。
[00:53.130] 当时对这款车现在还有我不是不止160 160保下来，
[01:00.160] 还有一个颜色是选装的，这颜色我是白的，
[01:05.160] 白色的应该不没有选装，白色正常的白，这个是颜色，还有一个选装，
[01:10.940] 还要花好几万块钱的，他加了一个驾驶辅助组件，还加了一个神秘棕的颜色，
[01:16.890] 所以这条更贵。
[01:18.070] 您得开多少？
[01:20.570] 您看多少公里了？
[01:22.250] 刚买的时间不长，刚买时间不长，也是在北京提的吗？
[01:27.300] 每次媳妇都到这来，
[01:29.560] 在那提的好像是吧，也有可能有能查不能查问题是吧？
[01:35.090] 你有可能在那提的。
[01:37.990] 在这里。
[01:41.560] 2。
[02:02.760] 你也可以关注下我们店里的公众号沟通，有吗？都关注了是吧？后期有活动你们都会有通知，到时候感兴趣
[02:10.690] 可以过来参加一下。
[02:12.490] 你回头给你放松了。
[02:14.300] 行，你拿这个方便。
[02:17.480] 可以了，我这边没事了，你说什么交好看。
[02:21.560] 身份证给你了给我了，我明天给你上午办灵牌，我再把上次单子拿过来一下。
[02:31.040] 伞放上去好勒，来。
[02:36.310] 句
[02:38.920] 那也行。
[02:39.860] 欢迎。
[02:52.570] 二
[02:55.530] 小
[02:57.880] 号。
[02:59.160] 小
[03:00.540] 号。
[03:02.500] 对。
[03:04.790] 车上4个人。
[03:07.390] 这里开这么大的肯定，你们应该有你知道吗？
[03:12.840] 今天因为没下雨，如果下雨了都有了是吧？还没走，
[03:19.090] 我们说到对是不是需要给我配的，如果
[03:22.790] 但是要执行的任务
[03:24.500] 别臭美了。
[03:26.350] 你就想把明天晚上把阅兵人拿过来，谁知
[03:31.500] 看看他车的
[03:34.470] 他在那边还有
[03:38.030] 一样的，对，这也就是450白色的。
[03:42.600] 对。
[03:43.930] 一个是白色的，第二个在清理行吧？对。
[03:48.980] 然后咱们这SUV，还有一个G2S
[03:52.040] 还有一个叫S带着在外边更大，那7座
[03:57.990] 那贵没必要把
[04:02.130] 888,000
[04:03.640] 不止巴萨不来100多了，
[04:06.000] 办下来100多路，我车88火车也得100多了，叫S
[04:12.100] 它这个颜色怎么样？45，对苏联的。
[04:18.290] 就是白色粉色显得脸大是
[04:22.220] 水一样的不对一样的，但是我觉得还是黑的经典，对，还是黑色的上岗性性。
[04:28.710] 是吧？
[04:29.840] 黑色眼泪看过个3年5年依然保持的那种状态，用白色的那种白的他不太像个奔驰感觉，
[04:37.570] 所以我到底
[04:38.980] 跟我演戏的那种
[04:42.120] 那个路口他包括我们的好看，就我的什么，但是
[04:47.770] 谁知
[04:49.680] 像拦车当时我就说说现在
[04:56.080] 你订阅车那手续办完了吗？
[04:58.220] 卖完了完了是吧？还挺快吗？可以没事了，到门口扫了二维码，
[05:03.790] 回去走了，我这门这边就算了。
[05:07.940] 好，那才能打这边走大门扫码。
[05:13.240] 那天我从这边绕过去走大门扫个码，
[05:17.000] 我从那小门先把伞放车上去，你回去慢点。
[05:20.680] 拜拜。
[05:23.880] 谁知
[05:25.800] 的
[05:36.590] 后天帮我买了买锁一下，谢谢。
[06:08.400] 车现在是
[06:09.760] 的价格对现在是200多万。
[06:24.510] 对门两天怎么这么迟钝，觉得好像去吗？对，也看不了看病难。
[06:29.620] 谢谢没事您客气。
[07:59.880] 大学。
[08:00.640] 的人。
[08:02.900] 注意
[08:08.910] 你说张曼玉。
[08:16.310] 后面打招呼
[08:20.580] 的。
[08:21.360] 我这不是我的。
[08:24.850] 变得有点了。
[08:27.120] 我今天我这两天我的衣服都不利落，
[08:29.990] 看
[08:32.590] 数据。
[08:41.400] 了。
[08:45.120] 对不对？这两个还是开车
[08:47.940] 不了。
[08:49.320] 快上涨了。
[08:52.090] 对，我感觉。
[09:05.720] 好
[09:08.110] 来一个。
[09:09.160] 不是在张北他们不来了，
[09:12.630] 张伟了来不来了，包括客户了，
[09:16.670] 但是你说都说了。
[09:19.230] 你们几个新来的都是哪儿的？清朝。
[09:21.500] 在河北北京你是荷兰的是吧？待会出来以后不要点头，先问一下。
[09:27.280] 走了，在北京的。
[09:28.910] 和河北的相等的内蒙古。
[09:31.510] 的还有内蒙的，
[09:32.530] 东北的特点，东北那边的板块，谁知市场。
[09:39.610] 远远
[09:41.470] 进。
[09:43.290] 东北的。
[09:44.810] 的
[09:47.680] 的
[10:07.810] 了
[10:13.120] 远
[10:14.770] 的。
[10:15.680] 的。
[10:17.880] 的
[10:21.180] 五。
[10:24.770] 数据
[10:26.660] 的。
[10:32.960] 数据。
[10:36.490] 不考核首次接待了是吧？
[10:43.110] 全
[10:45.300] 的。
