[00:00.000] 今年7月12日继续中介代理女士手套
[00:05.910] 看一看。
[00:15.080] 你好李女士是吧？销售过去行政一块接待你。
[00:18.840] 咱是收到这有个医院，
[00:21.130] 我今天打汽车之家电话，然后可能跟我这联系过是吧？
[00:26.150] 对。
[00:27.600] 行水点水咖啡停车场吗？
[00:31.140] 我现在不用了，我快点。
[00:34.490] 看E300
[00:37.180] 300 300在楼上一台车在看看这个在哪看。
[00:49.390] 目前咱们家是厂家授权的经营开发测试。
[00:55.250] 主板谁知
[00:58.640] 继续供货。
[00:59.830] 然后有一些事现在
[01:01.810] 有一些CB+C一些特价车型，然后可以再去看一下，会想出点都行。
[01:41.080] 先生咱们服务公约给你宣读一下。
[01:43.230] 咱们这是以作为兄弟相待，诚信经营合法得体，无线标签公开透明，这点7天公示绝不通报销售，强制消费就不成，在家里听好了。
[01:52.250] 400818188是我们金融电话，希望能帮助
[01:59.120] 七点二 17号。
[02:07.610] 谁知
[02:10.770] 是行业的唯一故事，唯一承诺不收分期服务费的平台。
[02:15.950] 稍后给您算一下。
[02:53.480] 这是300以上的
[02:55.280] 这笔20人次和尚了。
[02:57.180] 一样的量他长的高是一样，他们都是配着用一样。
[03:01.030] 发动机不一样，对，你要是20号1.5米加48个厘米，是不是有一个就是那种颜色的？
[03:07.140] 深蓝的？
[03:08.400] 有，但是特别少，钙石蓝的对特别少。
[03:12.200] 当然目前现在D级车基本上都是黑色。
[03:17.170] 可以先看你先过来感受一下。
[03:20.300] 你看看开放，
[03:22.740] 您作为吸收估计今天咱们这是你律师吃饭使用指标，
[03:27.800] 不是有坐车计划吗？就睁开了什么车晚上。
[03:31.260] 就开始用什么车？
[03:32.630] 跳舞，奥迪R使用感受怎么样？
[03:34.810] 挺好的时间长点化一下，对。
[03:38.670] 车开过来帮您评估一下。
[03:40.560] 开过来了在了。
[03:41.980] 外面你先不用评估，我们现在评估我这不着急，我这半年到一年再买，我就随时看好就过来先大概看看是吧？对我不能就先请教一下行没问题，咱们分期情况来。
[03:53.790] 打算分期分期是吧？
[03:55.850] 行，稍后我给您先算一下，不过可以了解一下。
[04:06.400] 其他品牌看什么呢？
[04:08.020] 超级
[05:23.630] 那边就不能看出来。
[05:25.220] 在那边所
[05:45.840] 怎么了？
[05:49.260] 咱们哪能做交集模式？
[05:53.120] 怎么用？对郊区用上班市区有多少？
[06:00.270] 早晨89年底的时候再买半年或者一年内。
[06:03.580] 看情况，不过
[06:06.150] 因为我扣烧机油，现在就想赶紧发烧穿究梢，当时12888那个商标一样，我就记下来。
[06:14.090] 他有10号说话，有时候好的时候不怎么烧换装，就中期我就是加一次，我说干脆
[06:20.210] 找时间过来了。
[06:21.760] 好。
[06:22.790] 我先给您介绍一下。
[06:24.600] 行，等会等他看，他主要给他。
[06:26.990] 这种地标和标识运动都是一样，价格不一样的，价格一样就是像是分析。
[06:33.110] 对，要是即使价格也都是一个都是一样。
[06:35.950] 看看找家人介绍。
[06:39.290] 我说你看房这事儿作者介绍一下，
[06:41.880] 然后把先给您介绍一下，行就等着你您具体的行，这车不用在车上去了。
[06:49.190] 你在车上讲就行。
[06:50.920] 大概您说一下这车的一些亮点功能配置，你可以大概做一个了解。
[06:55.070] 这个车向前跟你讲，
[06:57.360] 这车他大增长，目前采用的是全LED的光源系统造成聚集功能，而且两个速度快了，
[07:03.210] 大灯它采用双重杠LED进行就变速度高了转给他了。
[07:08.100] 然后
[07:08.990] 这之前我不知道有没有遇到这种之前我在客户也是开了一个顾客置换，他那个是什么是一个卤素灯光，就发黄发散烧鸡比较近，
[07:17.150] 他放着车一个是照射距离更远了，一个是稍微封面比较宽一些，而且工程应用型产业性大动脉转更美观了，使用寿命很长吗？
[07:26.210] 再一个就是他前侧有一个主动制动辅助系统，
[07:29.080] 不是平常开车有没有接听电话开始一种情况，前段时间调理开始下车前走，
[07:34.120] 前方车辆突然急刹，
[07:36.160] 就在人员没有注意，到时候车辆监测就是那个人发行了，如果谁知发生一些追尾比较麻烦一些，而且配角是全系标配。
[07:44.470] 然后前侧它主要是有大标题目标，这就是立交之年版，然后前面还有一个运动大标题，
[07:51.290] 也比较
[07:52.680] 比较符合那个意思。
[07:55.890] 我感觉太太走了很冷。
[07:57.880] 然后再一个就是侧面还有一个理解透是吧？就是走这种烟波路口或泥巴路的时候，
[08:02.920] 它能过滤了大部分经过增加一个什么输入性和可行性。
[08:06.790] 其次就是说内侧
[08:08.310] 像E级车，她目前采的是双12:00 3100，
[08:12.240] 屏幕上金刚石材质豪华高，空间率不能触屏是吧？不能抚平。
[08:18.050] 然后在屏幕的背面澳门边上，他有一个64克的氛围灯，把它打开以后，屏幕上会一种悬浮的感觉变化了。
[08:25.760] 然后其次是方向盘，目前采用最新的
[08:28.430] 上面有一个触摸板，
[08:30.270] 就车辆人员大部分功能你都可以在半场进行操作，安全更快捷更方便。
[08:34.630] 然后其次奔驰的采用的是管理设备，这是岗位，
[08:38.900] 他的网上班就是到网下班的地点，
[08:44.610] 然后其次就是头顶上面还有一个梅赛德斯，
[08:47.420] 那是奔驰厂商的微课打到E站服务平台，举个例子，比如说车去哪玩泡泡走不了了，教徒石桥不到出来了，
[08:53.810] 你就直接按住里面ss多见后台的不宜精准定位，
[08:57.840] 联系bb最近嚣张微信重点全面落实，
[09:01.670] 而且他前三年之前没使用，
[09:04.440] 没带得注意。
[09:06.100] 然后再一个就是后排，
[09:07.530] 他这个是超长三米的轴距配上奔驰下注合作，
[09:11.800] 因为奔驰车作业
[09:13.340] 都按人群学社作业，
[09:15.040] 就是俯卧撑做奔驰的作者叫舒适一些。
[09:18.340] 其次还有一个动泊车，
[09:20.320] 比如像云像一些大的制度和方向时候，
[09:23.330] 你在装供材料制作软件按完了以后，通过前后一个雷达探测距离自己的中，不管是侧方位，
[09:30.530] 对，不管是侧方位还是垂直投入都可以。
[09:33.820] 然后再一个后期
[09:35.360] 它这个玻璃也采用的是隐身玻璃，但是我建议到时候一来之后也可以眼膜。
[09:40.560] 咱这有两种完一层谁知
[09:44.890] 然后这包括中间
[09:47.120] 然后再一个
[09:48.370] 准备变了。
[09:49.450] 再一个就是他还有特气，也可能是水性漆，
[09:52.920] 杭州又想到贴成这个车，咱这一个专业，谁知
[09:57.060] 奶奶买了好多这你1.9条就过来
[10:02.330] 了，
[10:04.610] 这个是电子水牌，上面二维码可以扫，这反而收藏小石块拿出去。
[10:09.480] 车上的配置差异都是车型车号的，
[10:13.880] 目前版的是二三百时尚，
[10:17.330] 而且这个可以需要对这时对不对用的。
[10:20.860] 这个是时尚型或者玉米可能都可以，D选项就是时尚的比较大标。
[10:26.470] 像你喜欢这种就是运动吗？对他用的。
[10:29.980] 你可以扫这个有了收条，手机可以边看。
[10:35.890] 旁边咱涂色的我给你拿。
[10:39.260] 然后全系有
[10:41.310] 全息有权利金圈，你们就是标配的。
[10:48.000] 应该视力表优选运动的价格点选用的，你可以先点三点收条。
[10:55.580] 要点收条的。
[10:57.640] 我就看到的微信收件人随时都有了。
[11:03.320] 你要是E260就42元，81 300，
[11:05.980] 有两个价格，一个是
[11:07.430] 465,800，一个是40 99数量。
[11:15.400] 车到那大概讲讲对车上讲解还有其他疑问吗？
[11:21.650] 车辆整体上还有其他疑问吗？
[11:24.830] 没有吗？
[11:26.270] 没有了是吧？
[11:27.800] 请他到这边。
[11:29.690] 我们原来是厦门看一下感受一下。
[11:34.330] 需要是这样一下形象是吧？
[11:36.630] 好，看看是这样吃掉吗？
[11:38.920] 我也不懂。
[11:40.350] 按照给你安排到门口了。
[11:43.680] 让我给您算一报价，在上课
[11:46.040] 上面。
[11:47.340] 这边有人咱坐这。
[11:49.790] 做这行吗？
[11:51.160] 爸爸您坐。
[11:54.030] 然后到咱门口那有一家公示板，包括上的一些售价，包括一些服务费用，然后都是公开透明，有点标价都可以查询。
[12:01.880] 明天一半在哪这100那个不算。
[12:07.730] 他汽车之家上的价格都是假的是吗？他是综合我们这报的也是综合的，就是他那边是
[12:15.980] 你寄过来过来19分怎么，而且有不算多都全了一套之后，我们中国的抱歉了
[12:21.930] 了，你实际到3点以后价格跟他们是不一样的。
[12:28.950] 把那张已经了。
[12:31.330] 不看了。
[12:33.210] 在。
[12:34.480] 放啥好怕。
[12:36.360] 陶总打一块当然来说
[12:39.810] 咱让你了
[12:41.290] 看一下。
[12:42.630] 好。
[12:46.100] 就时尚。
[12:47.480] 对，不要一秒。
[12:51.310] 时尚型分为两种，叫车款和运动，所以运动场都是大标，所有普通卡都是一样的，一块出去了。
[12:59.960] 这跟什么行没有关系。
[13:05.880] 然后
[13:07.220] 上行和书都这叫实相行，旧时盛行分两种加运动就是大，
[13:13.610] 这就是利益标准，休想行，就是例假相印证就达标其实是一样的，就是外形车型
[13:20.040] 还是有什么区别？
[13:22.010] 区别就是立标河道有时候时尚型的舒展区别大了。
[13:27.600] 是吗？
[13:30.320] 相关。
[13:32.300] 贵的好几万。
[13:34.960] 退出南
[14:04.950] 都是最低拍卖。
[14:05.830] 最多的还是？
[14:07.650] 所有车都是最低的。
[14:33.410] 妈妈
[14:36.920] 的。
[14:41.080] 我给您算了13版时尚。
[14:43.100] 算是。
[14:53.320] 数据
[15:28.000] 要
[15:29.140] 数据。
[15:50.240] 喂A
[15:55.500] 哪个？
[15:59.510] 跟没问题，你别说了。
[16:04.280] 别过去了过去。
[16:05.880] 过着着。
[16:10.160] 行好的，谢谢。
[16:14.530] 要我肯定意见。
[16:18.970] 好了。
[16:28.810] 4
[16:32.570] 数据
[16:36.570] 数据。
[16:45.560] 的。
[16:50.640] 我生气也给您算一下，对。
[16:57.930] 出来。
[16:59.080] 回来
[17:17.600] 看着后面。
[17:24.490] 跟妈妈说，
[17:27.600] 不是故意。
[17:29.460] 你俩玩手机。
[18:01.960] 我都打出来了。
[18:04.020] 咱们生产线停不了。
[18:09.900] 您测完了这个图，咱们全国图的话都模仿，然后报价钱再给你修炼的立场。
[18:15.430] 工业
[18:16.100] 咱们这是以客户工具箱把气功把得体面标价公开透明配套、新攻势觉悟捆绑，销售强消费就是用假交易称号4008181188手交通电话，
[18:26.750] 然后上面写的价格跟咱们工房价格都是相对应都可以查询的。
[18:30.440] 第三百十上
[18:32.300] 黑车工艺是颜色，到时候自己再选，我先大概写一个退休的事，车是465,800，
[18:38.390] 目前是优惠7万的现金，一还395,800，
[18:41.400] 购税大概是35,000多少股，就国家发改委国家收多少？
[18:46.030] 电池上边2500，这车的全险大概基本上都1万到1万亿左右，
[18:51.120] 因为你要有旧车置换，
[18:52.780] 除了旧车残值以外，额外再补充一个5000的保险，
[18:56.050] 然后自己再补5000基本RNN，
[19:00.440] 全部下来是438,300，
[19:03.710] 全部下来是438,300。
[19:06.320] 然后这个是分期的，首付一半带一半，两年
[19:09.950] 运营做的也是最多的，每个月您还是8500，
[19:13.940] 利息利息两年总都花了7200块钱，
[19:17.120] 首付钱加税加保险零首付就是240,004就停下了。
[19:21.490] 好勒。
[19:23.110] 我知道这睡了两年一共是7200，要注意利息，不是利息计算算式，你们都有贷款有服务费，没有服务费，就只有这是你交给金融公司利息。
[19:33.750] 对，等于我主要是244,000。
[19:37.220] 对，就可以东西太多了，加一个1万的保险到1万，我要在这置换，还有一个5000个折扣，对没加就5000都。
[19:44.790] 都加了这个也加了5800，就相当于是十十几万197,900，您加入325的
[19:51.420] 家验车加上5000的保险，就是这个钱是吧？对。
[19:55.420] 等于在这个钱就我再置换的钱，我置换的潜能在车底的钱再扣。
[20:00.680] 不，那就车款的话，你在我们注册完了以后，我们直接把钱打到卡里边。
[20:05.640] 是一样的。
[20:08.190] 刚才说蓝叫什么郎，参茶可以用到，不知道等多长时间。
[20:14.430] 对，我估计等一个多月一个多月是吧？
[20:17.680] 一个多月肯定能订到您并没票那颜色。
[20:21.490] 对，这个价格合适吗？今年定的了吗？
[20:24.540] 今年了。
[20:25.840] 肯定是百分百等等是吧？从库里面是在等的颜色都是年底颜色，我可能去考虑颜色，还有什么太空，您什么没有太空一没有？
[20:36.490] 没有，现在基本上就是黑色的白色的或者是钙石蓝，像您说颜色还有一个叫炭灰的，
[20:42.130] 有深灰色，邓飞你这个图册上有吗？太无良，跟着颜色差不太多，对。
[20:47.940] 在灰的基础上发展
[20:53.920] 颜色也少不好看。
[20:57.620] 它的颜色你在二手上有关系，有影响吗？
[21:00.560] 没什么差异。
[21:02.390] 这个品牌在这摆基本上一下，然后你看看
[21:05.850] 防控，
[21:09.960] 我觉得还是这快吃完了。
[21:11.640] 太可怕了，开始来颜色比较淡。
[21:13.830] 我问一下咱们增持薏米有没有什么季节容易优惠的？
[21:20.530] 你之前对R8的时候又会多吗？没有，基本上年底冲量的时候肯定挺好的，年底的要吗？
[21:27.400] 18那活动518没有。
[21:30.040] 好吧，没有。
[21:31.480] 你看好多场这。
[21:33.230] 618一般买的商品商城里边有汽车，一般不会有什么618的这种。
[21:41.600] 行，对于咱们报价还有其他疑问吗？没有，我想问一下时尚和上面一个口差一样，给我看差了一个柏林声音响，
[21:49.950] 他后排座椅电动调节差了一个电动遮阳帘，还有一个电动后备箱尾门，
[21:55.480] 现在这不是电动箱，北门是什么意思？手动的OPPO，完了手上发光的地方。
[22:00.890] 没有感应吗？只要别扫一下吗？没有下一层什么
[22:05.340] 都没有，只有顶配的，有I只有顶层的。
[22:08.980] 刚才我看有一个全车进入的主要时间就不要进入那三百十上就有就有了。
[22:18.500] 2400每个月还8000，
[22:21.210] 这就只能带两个一年到三年都可以，但是这个利息就是周期千这意思吗？
[22:27.370] 我给您算目前现在是个足疗做的最多的用户，三年利息更多了，没用，那也得差不多14,000 15,000。
[22:34.640] 6000块钱也可以，摆手多点，
[22:37.820] 也可以，总部纪检糕点都可以，首付30%~70%都可以，你自己选择。
[22:42.300] 你有没有没有利息的，没本事，没有奔驰，没有离异的，
[22:48.840] 没有零利率的，没有00的，
[22:56.800] 没事，你可以先做一参考，而不是想买年底。
[23:00.670] 对差不多吧，对年底左右，如果要有好的活动，我到时候给你打电话就告诉你可以做一下你加联系方式吗？
[23:06.990] 一我留一个给您接电话，
[23:10.280] 对吧？你家找你你也差不多了。
[23:13.350] 你不要看人家优惠告诉你，你就告诉我了，电话您刚才前面刘娜是吗？对有前台留那电话行了，我再优惠就通知一下。
[23:22.210] 对没问题，或者我加您微信到时候有了我给你报价给你发过去也行。
[23:26.080] 方便吗？
[23:27.350] 方便加一下我扫您。
[23:33.180] 像你们这边店，我看网上很多说东边的店更便宜点，我跟你没关系。
[23:38.920] 现在煤电这个品牌
[23:41.670] 车与车之间优惠力度都差不多，1000 2000的都差不太多，对你差太多了都知道以后没人拉着买了。
[23:48.690] 都去别家了。
[23:50.290] 因为现在比较透明，现在。
[23:58.370] 到时颜色到时你再买能再定，到时候看看有没有到时候。
[24:03.790] 行不行吗？对，然后用
[24:06.420] 着急，反正你主要并肯定并不难的，等一个月俩月都没事。
[24:10.110] 有车他也不着急。
[24:19.490] 我用这个
[24:21.460] 这个存款是全款40，一共是40 438,300，对全款就是借钱全款之43 8300，我要用贷款的方式7200就多了七千百万，
[24:31.920] 4 445,000。
[24:35.140] 一起也行，一年3000多块钱也不是特别贵。
[24:45.270] 奔驰310一是不是？
[24:48.790] 这款卖的多一点，对义卖的多点。
[24:56.470] 行，您可以拿可以拿走，非常不。
[24:59.220] 我问一下跟进口的差多少钱，进口现在没车。
[25:03.270] 等于进口国外现在疫情比较严重，你要买进口车这个日期我没法保障。
[25:07.980] 但是它价钱差多少，价钱的话差4万块钱。
[25:11.200] 使用上有差别没差别？
[25:14.050] 没差别，但前途要这种国产的还加上老公也比较大，
[25:19.040] 孩子坐后边能玩一会儿，
[25:21.360] 我要拿这个。
[25:23.150] 行。
[25:24.060] 行了没事可以，下面咱们抽烟，到时候打刚逛，
[25:28.920] 然后明天您做一个回访，然后您就上访。
[25:32.790] 下午3:00吗？
[25:34.880] 电话短信微信哪方面谁拿出来，到时候不能上班休息。
[25:39.620] 我打电话不同并办理到时交换波动。
[25:45.230] 没事关系，其他地方要看吗？咱们区里边？
[25:49.260] 不都是其他女孩也是这么个，我不管你要看的话，因为咱们这前面有个码，你扫一下，
[25:54.920] 要不然出去该收费了，你要是看其他品牌先猛扫，只有故宫。
[25:58.760] 我要看一下别的，你先看一下，走的时候你再扫了一下，店里都有点。
[26:05.330] 对，那就不用扫，那随时就走了。
[26:11.010] 没事。
[26:17.090] 你到
[26:24.340] 这边楼下。
[26:25.880] 行好勒慢走。
[27:03.670] 阳光、
[27:04.870] 阳光
[27:08.000] 上来。
