[00:00.040] 是吧？
[00:01.420] 好勒到这边。
[00:03.390] 2020年7月10号张伟客户栾松教授录音，您先生姓王。
[00:08.950] 孙先生是吧？
[00:09.930] 来您给我来咱们去讲一下功能。
[00:12.260] 你进去您不用，待会我会弄。
[00:19.330] 对您先搁着。
[00:23.640] 看不出来，但是这就是因为了解
[00:29.500] 肯定不能让他有章。
[00:33.070] 谁知
[00:35.210] 我姓郭郭进负责这个车的功能介绍，前面张伟给您订车出合同发票保险，我让主要负责工程的一个讲解时间，咱们差不多在40分钟左右一个时长，首先您买的是一三百黑车，
[00:51.120] 然后中间是
[00:53.270] 车架号在
[00:54.960] 您在
[00:55.800] 核对一下50405，
[00:58.080] 这叫什么号？车架号行驶本登的就是这个号，对，跟您身份证一样在哪呢？
[01:04.280] 这个不对。
[01:07.360] 原一致的，对这个是啥？这个二维码没用完接着就行了。
[01:13.150] 然后我这儿的话时长差不多40分钟，完事一会客服会有一定的面访，让您做个签字，之前有开过奔驰车辆吗？
[01:23.510] 有就那次试驾一次是吧？没事，车上还有一个功能叫me互联，我待会给您认证激活。
[01:29.970] 一会儿激活完那个对应的就是刚才您下那个软件对以后，这个车所有的数据跑多少公里剩多少油，门窗是否锁好，轮胎确实压力什么时候保养手机都能看到，
[01:41.750] 您坐副驾咱就开始玩了。
[01:50.750] 黑车、
[01:51.320] 车黑内饰。
[01:57.850] 首先您这个车咱们无钥匙启动是标配，
[02:01.600] 其中的前提要是必须在车内踩住刹车，按一下启动键。
[02:07.380] 对，车辆就打着了。
[02:09.960] 座椅的调节，奔驰的车辆都是在门市，包括大扭
[02:14.980] 座椅的前后高低，
[02:17.640] 小妞前后推主家座椅它可以延长，
[02:21.740] 这个可以放长增加定可支撑，对，包括您的靠背头枕都是电控，
[02:29.140] 再调完自己驾驶位置以后，这个座椅有记忆功能，什么意思？比如说这个位置您合适调完了，
[02:36.230] 按一下M对应的数字滴一声，以后这个位置就锁定了。
[02:40.680] 女士开肯定相对比你靠前，它调一它的位置，
[02:44.540] 存一个另外的位置，谁开N自己对应的位置它就自动抽芽了，社三组不用来回老条，
[02:51.340] 前排的座椅都是有加热的，冬天用的很多，手动的简短关闭也可以，这个是副驾调节，点亮以后我再动座椅，
[03:01.850] 是您的位置方便，司机帮助又后来调座位，对
[03:06.830] 4门的锁止开锁中控这都一致，上面N键收镜子，我在拿着
[03:12.690] 在上面
[03:13.990] 按一下就收起来了，藏一下打开洗车机错车的时候，有可能会需要手动调一下，这手动的它有时候自动锁车会单独自动收，它是单独设定的。
[03:25.460] 恩量左侧调节左边镜子，根据视角4个小箭头，上下左右您调位置吗？
[03:32.740] 梁右侧调节是右边是对应的，
[03:36.380] 4门玻璃都是一键升窗，
[03:39.270] 4个馍馍，钢铁战士。
[03:43.980] 最下面键点亮，后排的乘客玻璃动不了，小孩单独乘坐项所指就可以了。
[03:50.350] 按下它亮灯左右，后排的玻璃是动不了的，后排控制不了，他自己想控制动不了，这点出就才可以动，对。
[04:01.160] 后备箱的位置是最下面金属件，
[04:04.660] 往后蹬一下就打开了，关这个车不是电尾，所以您必须在外边手动去关闭才行。
[04:12.560] 大灯的位置就是咱们左手圆圈这个区域，这个小竖线指向当前AUTO代表自动挡，
[04:19.690] 光线不够大灯它是自动开启的，不管进隧道下地库棒擦黑大灯不需要做任何操作，坐在那儿不动了。
[04:28.220] 左边这个案件是雾灯，雨雪天您按一下开的同时，
[04:32.540] 橙色角度有一个提示，右侧小黑色全警上下旋转，仪表盘的亮度上亮下暗，
[04:42.270] 手刹是最下面N件，
[04:45.360] 往下按就是手动上锁，
[04:48.050] 能在这红色圆圈P标识，
[04:50.590] 针对对提起来以前是炸先生对这个以后就不用管了，为什么？
[04:58.420] 上锁的状态下，咱们挂档的话，
[05:01.960] 给油它就自动解除了。
[05:04.230] 停车归到P档以后，
[05:07.320] 您只要是灭车或者您的主驾一开门您看着手上，
[05:10.930] 它自动就上了。
[05:12.540] 所以大灯手刹以后都不用管了，对全市电子了。
[05:19.280] 大灯在哪刚才说了就能忘了，
[05:22.270] 自动大灯自动的就甭管了，不管手刹也不用管。
[05:27.680] 方向盘的左侧咱们有两个胆敢，首先第一个尝到胆敢集成的功能，
[05:33.670] 帮您看一下，稍等。
[05:43.320] 这里没灯，这个灯照不到角度不对。
[05:47.280] 转向灯左右这是一样的。
[05:50.180] 雨刷就是这小三角，你说只讲零是关闭虚线，这两个是感应的，开的话网上仅指向虚线只关一次，
[06:00.130] 下雨自动刷，刷不下雨不刮风。
[06:03.400] 第二个速度比下面快，灵敏度也更高，也是感应大单实现双实线
[06:09.200] 强制慢速度一直刮，快速度一直怪，根据需求去选择就行了。
[06:14.860] 因为下雨它就自动就归在虚线就自动起来了，按键按住别撒手，就是玻璃水，
[06:22.290] 长按就出现了，黄人的话是不是路回来闪两下远光推出去，这都一样。
[06:29.690] 对方向盘这个车也是电控调节左边第二个特别短的小挡板，
[06:35.320] 前后
[06:37.070] 高低习惯去调整，
[06:44.070] 没问题这小块。
[06:47.230] 中控的话，首先咱们看一下
[06:50.170] 左侧的这三个按键控制是左侧的仪表盘，
[06:53.840] 这三个对应控制右边小房子就是主界面按一下出现文字列表，
[06:59.980] 黑色这个案件咱们直接左右滑动去选择，它是一个处空间，
[07:05.700] 选好了一下就相当于确认进入，首先行驶一段时间会有轮胎4个轮胎压力值，
[07:13.560] 包括您车辆快到保养的保养提示，
[07:16.320] 冷却液机油对应缺失也会有对应出问题，是告诉您
[07:21.440] 行程里车辆的基础信息，这台车
[07:24.990] 总里程11.6，上下滑动，
[07:28.580] 蓝色是剩余油量，
[07:30.400] 还能跑113公里，平常您车辆驾驶习惯记录
[07:35.920] 包括百公里油耗，平均速度驾驶公里数，
[07:39.560] 这是总体成员画架时间公里数，还有就是当前速度，
[07:43.840] 这一圈也会赚回来。
[07:45.620] 导航、收音机、媒体电话这4个选项和右侧大屏幕
[07:51.200] 是完全一致的，
[07:52.770] 待会在右侧对应介绍。
[07:55.450] 样是指的是仪表盘的风格，现在是经典状态，它是一个蓝色标识，
[08:01.070] 根据喜好可以换成运动黄色或者是前卫，
[08:04.900] 单独仪表盘界面，根据您的喜好去调整这个界面就可以没有什么固定模式。
[08:11.010] 一般的建议就搁在形成这个列表里，看一些基础信息就可以试驾过，这个车最大的变化是胆敢
[08:18.530] 这儿的档位对吧？提示都在这，
[08:22.280] 方块内的白色字母代表当前档位P挡驻车挡变成这个案件了，
[08:28.340] 只有灭车的时候按一下，其他时候用不到，
[08:31.440] 挂挡跟其他车一样，也是必须要踩刹车的，否则咱们挂不上档，它会提示
[08:37.270] 踩刹车咱们往下
[08:40.040] 党为跳转给油的话，手刹解除，雷达会在右边大平潭出来，咱们随着距离接近，雷达会在这蹦出来，
[08:48.330] 360度，
[08:50.060] 颜色黄橙红您离得越近，小格的颜色会越深，红格亮的同时他没才能只知道大概多少距离，红格量30公分，
[09:00.450] 你就记住红根量咱就不动车了，30公分对这个车左右4个门，包括后边这一圈哪一进来都会有提示，
[09:09.370] 以前只有前后可能现在左右也有倒档往上提到底，
[09:14.560] 这是倒影，这是后。
[09:17.950] 等一会等等，我家人来了，行你上让他听听一个人有时候记不全，但是
[09:24.610] 来
[09:25.500] 了没事还有什么？
[09:31.270] 后来我要说该
[09:33.740] 对往那边推着就行。
[09:35.770] 我给您关车门了，你们都忙了。
[09:38.560] 您得进去帮着一起学习，还了我这听了倒档就是胆敢往上推到底，
[09:46.050] 同时这是候影向后边这是四周黑色的，这个是您车辆的后保险杠，
[09:53.900] 反光的哪一个这都是您的后保险杠，这条红线就是停车的临界点，
[10:01.100] 后边是不是有一个柜子？
[10:03.520] 对吧？黑色的是桂子看。
[10:05.510] 看看对你要看着你要适应这个
[10:08.390] 这两个大宽限是轮胎这两块夜走，对您动着方向盘它就告诉你怎么拐了，
[10:15.760] 左右两个小的细黄线是您车宽，什么时候您后边就不能往后倒了，现在是一个柜子对吧？随着距离接近，首先雷达在这也会有预警，
[10:27.730] 红线是临界点，上了柜子，红线上黑色贵的食物，这种情况您这杠铃这柜子就这么远了，也是30，对您再到这杠杆就撞上了，只要记住这个车一圈哪离近了，变成红格就不要动车了。
[10:46.690] 停好车，同时这个车的档位它还有一个自我保护功能，不管您是前进档到退场的前提下，
[10:52.420] 主价位如果误操作开门了，
[10:55.470] 现在是到达看一下档位的变化。
[10:58.800] 它会自动切换为驻车，手刹自动呈上，
[11:02.370] 这是一个档位保护。
[11:06.590] 再有的话开不动了，车门开了你。
[11:09.190] 一开门他就。
[11:09.920] 自动切换成驻车挡了，他就不允许您再动车了。
[11:20.360] 除此之外的话问您个问题，之前咱们开车等红绿灯的时候是习惯
[11:25.740] 摘空挡还是挂到一直踩着刹车？
[11:29.540] 一般他一直踩着刹车，这个车有电子锁止功能以后的话，咱们这个车的刹车咱们踩两脚怎么踩？
[11:37.650] 等会儿。
[11:40.200] 怎么了？
[11:41.430] 都齐了是吗？好了。
[11:44.210] 帮我把门关上。
[11:48.160] 假设这刹车踏板以前咱们怎么踩点刹刹停，待着就不动了，现在需要做的是第一项是一样的，点上刹停待着别动，
[11:57.540] 停住以后的话咱们的脚就不能动了，尤其是不许往起抬。
[12:01.960] 第二下刹车继续深踩到底，
[12:04.820] 刹停不动第一下继续深踩，第二下演示一下。
[12:09.260] 假设您现在遇到红绿灯，沙瓶带住刹车以后，脚不可以台第二下继续深踩到底，
[12:17.600] 第二脚刹车下去，它会出现这样一个标识，
[12:21.700] H ol D能看到标志E出现4轮就形成了电子所指，它的好处首先是
[12:29.180] 平地坡道不会
[12:31.200] 欧档位我们做任何的切换，
[12:33.800] 刹车我也不睬，您歇着就行了，变灯了，要走咱们就直接轻给油门，这个功能直接就取消了，直接走就行了，不需要任何切换。
[12:42.860] 沙婷继续身材
[12:44.750] 变灯了，你给点油他就自动解除了。
[12:48.800] 所以有这个功能咱直接说得对，你得给油才能给油就自动解除了。
[12:55.910] 所以有这个功能，咱们空荡是在倒档前进档的中间轻推
[13:01.640] 是空的，但是它会提示流程风险评级没问题，坡道大肯定会溜达，
[13:06.930] 这个档位用的就很少，什么时候会用到上自动洗车机的时候，
[13:11.790] 皮带带你用空档，其他时候用不到。
[13:14.370] 就挂完打官打对挺好，车需要做的直接按一下驻车档，不管他在任何档位
[13:21.210] 归档直接灭车就可以了，手刹是自动上的，
[13:24.910] 锁车离开就结束了，
[13:27.000] 按E键就结束了，他
[13:29.090] 列车就行了，以前还有个手刹，什么手刹是电子的，现在您比如说它自动上
[13:35.350] 您以前是上下班到P档关钥匙门，对或者先搬到P档拉手刹关销售直接P挡
[13:44.710] 灭车手刹自动就上来了，就没有手刹的事儿了，动作对，他说前面你没听，他有两块不用咱们动，一个是大灯，一个是
[13:56.110] 首山铩羽，而怕麻烦，调到虚线也是感应的，它下雨会自动刮，不下雨不怪刷的。
[14:02.960] 不管对都这三套可以不管，但是如果说的话，转向灯是当然你管了
[14:08.480] 转车。
[14:10.900] 是这样一个状态。
[14:12.340] 这种能源第8轮没事儿，
[14:15.640] 尽量也是咱们不就原地不打死，就不达到极限状态，同时
[14:22.800] 我不知道您之前开什么车，这个车它的方向盘的转向是非常灵敏的，为什么？它是。
[14:28.260] 可变的转向比。
[14:29.940] 您想想您以前方向盘打多少要打码？
[14:33.910] 挂了3000，说您看现在是正的放款，
[14:39.240] 一圈
[14:40.500] 多一点，这就到头了。
[14:42.280] 所以这种咱们这个车您在月入大湾的情况下，它的转向越便捷，它是可变转向比。
[14:50.110] 对我们今天谈的相对以前您可能。
[14:53.410] 进这种大环境尽早轮，咱们可能不用那么大，他尽了一定程度以后，他转向比就变了。
[14:59.630] 有一点就够，对，所以他冲汽车同样车上一定是我们的车掀掉过头来，
[15:05.460] 它的转向直径
[15:07.670] 是这样。
[15:09.240] 右边这个大屏幕首先说一下，这个是开关，用的话打开不用关闭就可以了。
[15:14.930] 操作这个屏幕，
[15:16.760] 这三个案件以及右侧的中控板都是控制右侧大瓶的，
[15:21.520] 小房子对应的是右边的主界面，
[15:26.910] 这儿
[15:27.830] 左右滑动点击确定这也是一致的。
[15:31.780] 同时这是中文菜单对应的这儿有一行英文导航、收音机、媒体电话上下要对应，
[15:38.300] 原车导航自带导航使用的话很方便，
[15:42.640] 怎么来用？
[15:43.550] 我刚才那个女孩给您下了一个软件叫什么互联？
[15:47.380] 手机软件是对应您的手机，同时车载是对应这两个案件，
[15:51.980] 这个车里他是有一张独立的车载电话卡的，
[15:55.400] 跟您这手机又没关系，在激活这个功能以后，这两个案件您只要摁，它会自动接到奔驰的服务后台，
[16:02.750] 同时又是人工语音接电话，
[16:05.890] 而且是三年的免费使用周期，按哪个按对吧？对都行，听我说右边这个me标识是一个信息咨询，
[16:14.240] 可以帮您干嘛，比如说像订机票酒店餐厅，
[16:18.220] 查询兴趣点，
[16:19.720] 导航的预设定，旅程的咨询服务，包括这个车如果抛锚走不了了，到了救援，
[16:25.860] 都是右侧这一个案件，全国性质三年免费，中间紧急呼叫，
[16:31.800] 假设形成空中遇到有人受伤或是紧急情况，按这个红的除了连接后台120是自动连接的，尽量不去占用。
[16:39.450] 导航，你要想去哪按下它人工接完电话就把目的地告诉我就可以了。
[16:44.930] 导航会自动发送车内的，
[16:46.920] 这会弹屏显示中文是否进入导航，一个是一个否选择试点，确定导航自动开启了。
[16:53.570] 对，他是可以人工语音去直接告诉后台帮你，你说我要到哪就去人说话就行了，就你问完了以后他会有人工接完以后他
[17:02.810] 您就可以直接告诉您帮我设定导航目的地，他就问您去哪，然后给你确定目的，
[17:08.170] 然后直接就发送过来了，是这样，他们跟咱们手机上什么高德百度导航的结果都一样是吧？
[17:17.130] 由原来就好多人开车都不爱用车载导，对您那车载导航，我现在这个车如果您手动输入它也是比较麻烦的，为什么？他那个路径是按照
[17:27.800] 一级一级的县是去找的，他要先出北京市海淀区某某街道多少号，
[17:33.730] 直接用语音那就好了，那就可以用了，收音机所有的调频本身也是自动存好的，上下滑动快速去切换，
[17:43.510] 都有当天能搜到的全会有，包括也是一样的，音量上大下小，这也是一只的静音，咱们一下
[17:53.400] 才会有静音标识出现，
[17:56.040] 把您的电话拿出来，拿着电话给你联手，
[17:58.470] 设置您开个蓝牙就行。
[18:03.850] 刚才浏览器的允许，对。
[18:06.930] 他这要来电了，这块就直接能接了，对没错，这就是上推介挺小挺快的。
[18:13.780] 包括您联完以后手机通话记录电话本全都读取过来，还是先不用打开完成就行了，然后您打开蓝牙。
[18:26.690] 您这叫华为8A08选择人民币，没事。
[18:32.000] 选择电话以后。
[18:33.710] 从系统上搜索直接点确认车辆就自动开始查找当天匹配的蓝牙了，
[18:38.290] 找到以后再点确认，它会提示您的手机做一个配对，
[18:43.170] 点配对，
[18:44.870] 同意或者是允许
[18:46.990] 同意电池电量移动信号都是手机的，
[18:51.040] 右侧的放大镜就是手机所有的通讯录马上还是放到你们，
[18:56.360] 马上您的信息又导入了，
[18:59.220] 他现在正在读取你的数据，
[19:01.320] 能可以连两三个人
[19:05.920] 来电一波的同时，屏幕手机都显示从文明那会有这个案件来电上推接听吓退挂断。
[19:12.620] 下车这个信息并不存在，车上前提是因为您开了蓝牙了，
[19:17.380] 你一离远了一段开着信息就轻松了，其他人开着车也看不到任何信息，保证下次开始蓝牙上车自动就连接了。
[19:25.620] 就连这一次就OK了，知道质检知道了，这电话不能拨，稍等不去不用稍等，咱信息没准过来。
[19:33.600] 读完了以后我告诉你。
[19:37.440] 电话好多。
[19:40.070] 你看都读没有读全，这是不是多少年的？对，还能存多少号？
[19:50.960] 怎么
[19:52.960] 谁知？
[19:54.720] 对，因为储运给的时候就没有
[20:03.490] 不知道现在是状态，有的时候它们可能对他现在有我现在交车我听你说，他有的时候他可能是。
[20:11.150] 包先出来单子后逮，所以他出去拿着就没有。
[20:15.780] 对。
[20:18.840] 现在统一不了，我们取也是他们给我们吗？
[20:31.550] 你先打一个。
[20:33.710] 拜拜。
[20:35.440] 抱歉。
[20:37.440] 找你。
[20:40.250] 打扰一下您大概多长时间，因为我地推展架，我还是想您那车出去我再推。
[20:46.720] A我不想跟您。
[20:48.380] 车旁边过去。
[20:49.180] 去没有，要不你现在就往外推，我我出去我再到去了行吗？你有多长时间没事。
[20:56.370] 太麻烦了，我就推出去就可以了。
[20:58.600] 麻烦。
[20:59.220] 烦了，太麻烦您了。
[21:00.280] 行行让你用不着。
[21:07.270] 他开出去咱们
[21:20.480] 然后还没有
[21:22.130] 好，再您可以打没问题，我打能存多少号，我回去在山上的号，不是农村的，他有一个信息容量，您可能相对大，他就完全读取不了了，但是下回您来店它会显示
[21:34.570] 电话号码，但不会显示名字了，消费在匆匆的我删了以后，您下华联它会重新更新就来
[21:42.150] 严一点，对您手机剩多少还剩多少。
[21:49.630] 上推是接听，下推出挂断直接接就行，没有问题。
[21:54.850] 您都没有存过名字。
[21:58.030] 您不过这上写的名字估计是我刚才说那种情况数据太大了，谁知来对它没有主体过来。
[22:07.100] 这个挂到就可以了。
[22:09.680] 然后再说。
[22:11.280] 连玩蓝牙了，手机如果想听歌，咱们就选择媒体选项，
[22:16.950] 这个车可以放哪些外置的东西。
[22:19.580] 往右滑，首先有一个媒体，
[22:21.980] 他会问您听什么，无非就是第一个蓝牙音频，您的
[22:25.870] SD卡以及车载有三个对应的USB接口，
[22:29.650] 0在这
[22:31.460] 这里还有两个，
[22:33.240] 一和二听优盘插在哪个端口，然后选择哪个地方突出您才可以，这是什么导航卡。
[22:39.430] 地图就是刚才这个图取出来的，对，里面有个卡是吧？对。
[22:43.970] 要不然是没有地图的。
[22:46.470] 再有的话，
[22:49.310] 车辆理功能是相对选项最多的。
[22:52.420] 首先说一下驾驶辅助系统，这就是上下划左右划，
[22:56.970] 它是触屏控制，这里都是车的主动硬件安全默认开启，咱们不做任何的变更或关闭。
[23:07.420] 赵明礼这个车首先有氛围，灯，
[23:10.660] 颜色实际上是64种，对，到时候咱们根据自己的喜好，中间64色的色板，您上下句话他就自动化了。
[23:19.420] 左边这个是还有看看是后面有对4门都有，喜欢什么样蓝色，相对看得清楚一点。
[23:28.890] 这个指的是亮度，
[23:31.110] 越往上越亮，越往下越按根据需求去调整就行。
[23:35.060] 晚上停车左右对应的镜子下面有着机动车，
[23:39.080] 锁车走的同时，大灯照亮一会儿自动熄灭，一般留个15秒够用了。
[23:44.270] 车内岩石也是对应的。
[23:46.280] 再有就是车上的一些小功能设定，比如说安全带，记得他勒你一下有预警市价应该有知道，
[23:54.160] 锁车喇叭会响一声，就提示做好车辆，
[23:57.570] 锁车定自动收回，它会有定性提示，
[24:01.380] 包括您车速表1~15，这中控自动都弄走了。
[24:07.590] 对，都是自动的。
[24:09.910] 你车子一启动风控就落了，速度1~15他就自动锁了，
[24:16.160] 方便出入三种状态，第一种方向盘如果是高位下车，他会自动退缩，做以后撤给您一个相对大的刹车空间。
[24:25.560] 第二种只是方向盘溃缩，
[24:28.600] 第三种就是什么都不动，到时候根据需求或者习惯你去调一下就可以，现在是什么状态，现在没开。
[24:35.780] 都不动。
[24:39.000] 用户手册实际上是车的电子版车出的一个动态演示，
[24:43.760] 有时间等人在这座对应学习都是可以的。
[24:47.160] 就是撤出的电子版，
[24:49.350] 系统里的话，咱们需要核对的是时间。
[24:53.660] 时区对车内的表全是自动的都不用做调整，
[24:59.000] 这一行金属件全是咱这个车的空调手动调整，蓝红箭头左右的温度往上是加，往下是减小。
[25:07.580] 第二个就是风向吹什么位置，前锋挡上面脚下根据需求去调整就行了，那
[25:13.280] 调整车的还是前台排队，只有前台后排不可控的。
[25:18.950] 第三个是风量最大，7
[25:22.190] 一关这根线一直往下关，到头整个空调会关掉，开的话任何一个文件都可以
[25:28.180] 开推任何都能开，对，这个是自动空调，您可以把这设定一个车里的合适的温度，
[25:34.580] 点亮凹透镜，车内会一直保持这个状态。
[25:37.720] 起雾的话，雨雪天前窗后窗除雾，这是一样的，点亮就可以了。
[25:43.310] 按一下就行了，亮灯她就现在只吹前面。
[25:46.930] 关系
[25:47.820] 服务。
[25:49.270] 最大化。
[25:50.180] 程度。
[25:50.820] 这是后窗。
[25:53.080] 后窗全部不用开空调吗？是不是？是对，除您不用开空调自动对她点到这他自然就推行了。
[26:03.270] 这个点到这后通道自然就加热了。
[26:05.890] 按键亮灯，左边右边温度是一样的，
[26:10.100] 灭灯变成分区，个人控制个人。
[26:13.000] 对，他人性化一点，有老人小孩的话，对后边不能调吗？后来不能
[26:19.080] 网站调整只是开让他有丰厚没有风不可调温度。
[26:25.880] 现在是外循环，
[26:27.810] 亮灯是内循环，雾霾扬尘制冷开空调的时候建议内循环，
[26:32.150] 如果是长途驾驶不建议，因为容易缺氧犯困的，
[26:36.100] 制冷夏天必须看1C才可以，
[26:38.720] 否则这个状态调成16度，它也是自然风，并不
[26:43.680] 出风口小叔先充上全是开启，
[26:47.010] 往左你的水平状态全是关闭，前排一共是6个，包括这个是一致的，只是橱窗口对。
[26:54.880] 这些就是快捷键一键进入导航，
[26:58.300] 收音机窗口是店都调了，这边这也开着。
[27:03.480] 你两是这两个左右，对都是单条它。
[27:09.760] 可以单独关闭吗？对。
[27:11.850] 然后包括电话，
[27:14.390] 刚才进入的车辆，
[27:16.230] 双闪在这儿，
[27:17.850] 商场上对这个车有一个无线充电，您这个手机如果有无线充电功能，咱们直接放着它自动就充了。
[27:25.520] 它会有提示，
[27:27.460] 只要您手机带这功能歌唱就冲，
[27:29.730] 如果没有进攻下冲你放里就行了，
[27:34.740] 放你放平就行了。
[27:38.410] 黑
[27:40.990] 明显是没有。
[27:44.480] 现在基本新的手机应该都带了开。
[27:47.760] 不是手机设置不需要开，只要有就放着有自动车，您这比那更够呛，这是几楼？
[27:55.450] 华东我俩都华为的。
[27:57.710] 有这个没有，他应该是有一个我试一下证明他是触点，不知道什么在这。
[28:05.490] 还真不大，您这两。
[28:07.890] 您有的话他就放进就亮了。
[28:10.920] 该换了
[28:14.760] 放着就有那套没关系，对。
[28:19.900] 要是SB什么就是下抽插着货差点都行。
[28:29.720] 我把这车倒回去，
[28:31.720] 你看你怎么动？
[28:34.440] 他不是有自动泊车什么的，自动泊车不是这个自动泊车不是这样，自动泊车是需要您先找车位。
[28:42.080] 找到车位以后才能让它停，您这车也没找，咱们就直接进他这种长项车位是不是？
[28:47.340] 不识别的。
[28:49.730] 怎么叫找到车位，因为你从这儿开，你比如在这马路上，您想在马路上停，您得先启动自动泊车，
[28:57.310] 他会在路上去找车位，找到以后他会提示着在车场上就告诉你这一车位竖着横着还是左边，右边找到了，您想停才做后续操作，并不是说
[29:08.940] 我现在有小郝的车不让车找你，让它自动就是这样选择，我告诉您那自动泊车是怎么回事儿。
[29:18.130] 用的话假设咱们现在到了停车场了，您想这车自己找车位怎么办？首先挂前进挡，
[29:25.310] 挂完以后要按这个摄像头，
[29:28.210] 它会提示您前行查找停车位置，
[29:32.950] 不管这车位在左边，右边是竖直的测方，还是横着垂直，或者说地上有没有停车位的标线都不重要，
[29:40.320] 您需要做的就是开车，
[29:42.470] 我带您直接去是一个
[29:46.290] 它是需要操作的，不是说您看了哪个车位，他就
[29:50.450] 自己对他就自己进去了。
[29:54.570] 只要一进他都会提示。
[29:56.900] 为什么要
[29:58.220] 出现了去
[29:59.710] 我是送货车。
[30:04.880] 你看
[30:06.640] 侧方在他自己代表识别的，
[30:09.600] 您从这儿过，只要他有车位，他就能识别的，比如说这个车位一定要首先开过这个车位在后方它会识别，
[30:20.300] 我想。
[30:20.920] 停想停，待会我给您找一个试一下就知道了。
[30:25.070] 首先得让车自动去识别这车位，看到了吗？
[30:29.350] 想停，这时候您需要自己去沙坪车辆停住以后，他会问您选择并确认，因为就一个车位没得选，就N确定。
[30:38.310] 如果是左右或上下是多个车位，你就滑动到需要停的位置上，再按确定
[30:43.560] 垂直车位，
[30:45.900] 这是垂直，这是侧方对吧？他会有两个选项，后退只到了几米车头冲脉，
[30:51.710] 前进至车头扎进车尾冲剌，
[30:54.290] 好处都是倒退恩确定
[30:57.000] 提示高到达，
[30:58.460] 这时候挂完倒档自动泊车才完全启动您现在需要做的事，
[31:03.310] 坐在车内带点刹车控制车速，其他的全不管，咱们看一下，
[31:10.940] 绿色刚才说了是轮胎的行走位置，
[31:13.800] 宽限对吧？
[31:15.370] 宽限远端的小红线是它的刹车点头，
[31:19.450] 他进不去了，他到那他自己就刹停了，
[31:22.640] 他让他会自己换挡再往上走，再到
[31:26.310] 是这样一个状态。
[31:28.140] 个红点红线是刹车点，
[31:31.530] 您看到这它进不去了，
[31:34.020] 它就自动刹停换倒了，看到吗？换前进倒，
[31:37.670] 反向打轮了。
[31:39.080] 是这样的，全是他自己控制。
[31:42.280] 这是前面一样杀停挂到达，
[31:45.900] 再到
[31:47.240] 您这才是带点刹车就行了，其他的都不需要您管。
[31:52.380] 他自己不会状态。
[31:54.550] 我是让您带刹车，
[31:57.630] 你不管它的话，它刹车踩得会非常硬，速度快了以后他踩的比较硬，
[32:02.960] 您带一点就比较舒服的一个状态，
[32:07.230] 它会自动往里揉这个车。
[32:09.600] 对，停进来以后，
[32:11.940] 咱们看它的后续操作是什么，这是
[32:15.110] 到规定位置了。
[32:16.740] 挺好。
