[00:01.390] 刘
[00:02.480] 笥、
[00:05.700] 楼上
[00:10.150] 那是200，什么限制都没有。
[00:12.560] 200块不
[00:23.890] 让他来。
[00:25.840] 都是天天装，
[00:27.370] 没有最佳。
[00:28.770] 那个不没事干。
[00:33.310] 这和那车的本身没什么。
[00:36.610] 他不是二手车过户。
[00:40.370] 我没有车，我看人家
[00:43.110] 就这个小一样。
[00:44.780] 我找着下边床，我去我昨天有事，我们俩
[00:54.450] 想买个小点。
[00:57.540] 我们俩男的就过来我香港买S。
[01:01.280] 8%。
[01:03.130] 就过了。
[01:12.520] 这40多。
[01:14.480] 这比C还大呢。
[01:21.390] 就已经不款。
[01:23.080] 当然有300 2 0什么的拿到
[01:26.950] 达标率
[01:31.240] 这条也漂亮。
[01:32.460] 希望孩子这样，比如说
[01:35.690] 这幅画。
[01:37.870] 这个叫他不要说不定谁知。
[01:41.310] 说没有钱，钱是有的，有。
[01:42.930] 小投资的目前。
[01:44.390] 我看12。
[01:52.400] 这多少钱？
[01:53.470] 30多。
[01:54.480] 36万多。
[01:55.200] 不二百三四万多。
[01:58.900] 两个人。
[02:03.620] 两千百。
[02:05.430] 来对。
[02:07.390] 昨天给骗了，不用这个对了。
[02:10.670] 那边买红来。
[02:11.860] 是吧？
[02:13.440] 客厅黑一点，从硬件没有飞了，这飞行梦听找不着，
[02:22.670] 非常
[02:24.920] 大哥。
[02:30.730] 白的有吗？
[02:33.070] 我查了这多少，我看也没看你车我查一下。
[04:27.560] 白的没了。
[04:29.000] 现在就片酬这些红豆还有绿豆。
[04:40.890] 完了就。
[04:41.680] B我就走了。
[04:43.160] 咱这没有了是吧？
[04:44.980] 200铲子多少？20零产了多一点。
[04:50.580] 没多少钱。
[04:51.500] 这315,800弄完了。
[04:54.330] 没有办齐了，2329 30多少？
[04:58.150] 生效了。
[04:59.990] 这车多少钱？
[05:01.120] 这指导价315,080套。
[05:04.240] 我说卖你3000块钱，他觉得我看了我算一下。
[05:10.380] 没有白的现在还
[05:11.720] 没买，把它摆在月底了。
[05:14.550] 行行，那也来不及了。
[05:18.530] 什么有？
[05:21.110] 第290。
[05:22.340] 没有白的和这常识也行。
[05:27.890] 这啥？
[05:29.150] 这边有。
[05:31.580] 这是跟黑的差不多。
[05:33.730] 2009这个吗？
[05:35.260] 260有。
[05:36.950] 230. 
[05:38.040] 200没有。
[05:39.420] 百。
[05:40.440] 200只有特别深的绿特别深，
[05:44.270] 这跟黑的似的。
[05:46.020] 远远的。
[05:57.130] 每295,000 296。
[06:00.490] 你给我换一下。
[06:23.310] 你帮我算一下这两个车架上。
[06:25.380] 行。
[06:26.670] 搞定，待会我先这边找着坐坐着。
[06:30.400] 送这首歌上面价格看看。
[06:44.270] 但没有。
[06:47.400] 二没有白，不是那边有红的绿的，
[06:50.790] 小丫头非常。
[06:52.820] 这里头率的车展厅里没有旅游照片给看一下。
[06:58.760] 都有手机上，你给我你加微信你加个微信。
[07:02.920] 行，我手机号你加一个微信。
[07:05.260] 我想136多少？
[07:08.040] 136010。
[07:10.120] 不是1365103103。
[07:13.380] 13650118871187. 
[07:18.350] 对。
[07:23.560] 1187. 
[07:26.070] 行行，我也把我加进了。
[07:29.460] 我能发到照片您看，
[07:31.820] 但我也给您发过去。
[07:34.220] 等于都由我办这事。
[07:44.360] 绿的反正。
[07:46.230] 要是只是C280，
[07:48.390] C200的266。
[07:51.850] 我看绿的什么样？
[08:17.430] 反正过了边你说一下。
[08:28.700] 微信我跟家我给他发。
[08:34.240] 是的。
[08:36.390] 我第一。
[08:37.480] 我给你一下就这一个别说了。
[08:41.800] 怎么弄的东西？
[08:45.040] 没有帮我扫一下。
[09:20.430] 行，我给他发微信上，对。
[09:22.020] 你把小票给我发完，
[09:27.690] 那是我咱说谁不想绿的不显率特别深。
[09:34.720] 据申
[09:37.550] 这200
[09:40.050] 不管二，我感觉考验280，
[09:42.960] 带着
[09:44.180] 一点也不一定是买的。
[09:48.030] 200底下是蓝岛，
[09:49.640] 知道吧？这俩车。
[09:53.730] 你看这色。
[09:55.260] 我要问问第200多块钱。
[10:01.760] 我给他发几张看看，反正率挺深的勺。
[10:10.030] 绿的。
[10:12.090] 真率地。
[10:16.960] 这是300三老板有一辆。
[10:21.090] 我倒是能看见哥去吗？现车差不多那大库。
