[00:00.350] 但是交通
[00:11.690] 为
[01:08.120] 的
[01:11.770] 这个号码。
[01:15.510] 谁知
[01:35.820] 第三。
[01:37.120] 行，我知道了。
[01:40.210] 你让他发票是吧？
[01:41.690] 这个不要了，我放下号。
[01:45.440] 变卦了，没有。
[01:52.320] 过。
[01:56.250] 三
[01:59.890] 开始。
[02:05.120] 感觉
[03:29.430] 放下，
[03:35.190] 就说要打通。
[03:37.350] 如果
[04:13.230] 花
[04:16.830] 了
[04:19.970] 的
[04:22.710] 改变不了，那天徐哥跟我说验不了，
[04:28.130] 这麻烦你给我公开。
[04:33.860] 好好勒好勒，拜拜我随时再问。
[04:44.280] 但是咱们保险算出来了，
[04:46.770] 我把保险的明细发给到您微信上。
[04:56.140] 4
[05:05.240] 什么意思看？
[05:13.860] 习惯了
[05:16.950] 保险总费用的话是11,126块7毛1，
[05:22.480] 按照刚才您说的投保需求这么算的，当时预估的保费是按照12,000预估的，
[05:27.810] 跟咱预估的差不太多。
[05:29.790] 然后11,126块177毛1的话有5
[05:35.090] 是我们赠送的，也就保险自己在交6100块钱。
[05:38.570] 对。
[05:39.350] 二手车的补贴有一个5000的保险，
[06:02.430] 安排以后的话，
[06:03.690] 他的商业险是9976.1771，
[06:07.300] 也就减掉一个5000的话，这块应该是
[06:11.020] 4976点
[06:13.320] 7，
[06:15.540] 得点回车，
[06:17.630] 然后保存，
[06:18.600] 这一条就加上了了。
[06:20.960] 然后他交强险是分着的，
[06:23.820] 这底下有单独的交强险。
[06:35.620] 没事你打。
[06:36.960] 然后有一个车船税跟交强险在一起，
[06:40.320] 有时候你可以直接接着再选型，
[06:44.070] 有一个平安车船税，
[06:47.110] 全诗200，
[06:51.280] 这个单子基本上都录完了，因为前面都是
[06:54.200] 订车都是录好的，基本上来了以后就确认一个保险。
[06:57.860] 对，我就没提前确认，比如说来客户来了先确认的。
[07:01.470] 还有一个赠送的5000，
[07:03.650] 剩下都是自费的。
[07:05.290] 自费的自费了。
[07:06.820] 可是这单子就算了。
[07:08.060] 录完了，然后也是需要审批的。
[07:12.640] 你在这能看的都谁需要批。
[07:16.350] 一个销售总监精品经理
[07:23.280] 查看审批进度的话，
[07:25.740] 咱们这个手机就可以查看。
[07:29.470] 还有一个百得利集团，
[07:32.650] 然后移动办公，
[07:37.810] 载着我的流程，
[07:45.730] 一般来讲你D刚做完的肯定是第一个，
[07:48.600] 第一个单子，
[08:00.830] 现在张总已经批完了，
[08:03.020] 销售经理已经批完了，
[08:04.350] 先到精品经理了。
[08:07.800] 稍微楞个
[08:09.810] 两三分钟，他要再不批的话就直接给他接电话就行了。
[08:19.090] 然后这个合同就可以打印了。
[08:22.790] 您批改已经搞定了。
[08:24.300] 没批完也可以打印。
[08:35.230] 然后这是打印一整套
[08:37.080] 12 34页，
[08:38.910] 但是我刚才说了它这个活动的话，第4页是要多打几张，
[08:43.030] 因为客人的话有精品，
[08:45.930] 有分期，
[08:47.790] 它是需要把这些单子
[08:49.590] 发到那些部门的，比如这张单子一单多用，
[09:05.200] 你打出来单子他没批了，没法挣钱，因为还要签字。
[09:51.430] 有三方面，
[09:53.960] 80的号月均
[09:56.400] A468
[09:58.330] 81629。
[10:00.040] 都在。
[10:00.960] 对，我自己这边做到了。
[10:03.490] 大家看过没说？明白。
[10:06.510] 然后
[10:08.030] 92今年7月3号的微信。
[10:11.350] 忘了。
[10:32.160] 为
[10:38.350] 正签字还没收款。
[10:46.690] 您现在过来明天过来。
[10:49.270] 正好有时间
[10:50.740] 在这小心的门口上身。
[10:55.930] 签字没事吗？确认好了您都弄好了，到时候您那边不就留着，等打印到时候过一些签字不就行，对，你先过来他跟碰了好勒。
[11:08.570] 行了。
[11:27.070] 杨哥签个字。
[11:28.940] 叫溧阳市。
[11:30.790] 这那老合同当时解释清楚了。
[11:33.810] 他一般但是不过你们金融到
[11:38.500] 记录一下今晚回来，但是不多周转一下。
[11:44.170] 咱们
[11:47.630] 3万的
[11:48.770] 超过了就是说12号上午
[11:52.960] 34加上
[11:55.500] 方面。
[11:56.390] 38号另外
[11:58.850] 也放心。
[12:05.640] 实现7:00
[12:12.730] 上午对先帮我问一下他们的标准发放
[12:17.510] 有没有过？
[12:18.990] 56左右。
[12:20.400] 6号到256。
[12:22.030] 现在要不然上百块
[12:24.590] 都是6号稍微含量不要。
[12:34.070] 到手的没啥。
[12:35.310] 我有点看。
[12:36.220] 对。
[12:41.480] 收看知道比较多，上午可以的都在那。
[12:45.720] 收钱的，
[13:01.800] 听见变成手就回来了是吧？
[13:04.710] 是也我呵呵的。
[13:20.950] 他说急了点。
[13:22.170] 行。
[13:24.860] 你能刷我吧。
[13:46.040] 对不对？
[13:47.000] 好，这个东西
[13:48.390] 这就说明了
[13:53.110] 没有了，先这样。
[13:54.560] 直接说说就特别的好勒，我倒要看看。
