[00:00.620] 不能。
[00:01.800] 对，不让进的。
[00:04.130] 到我们售后的
[00:12.030] 我简单看一下，先做一个平台评估，完了以后告诉您一个大概价格，您先参考。
[00:18.190] 日本它相对还算保险，
[00:22.170] 怎么走不好说，美国车法国车
[00:25.450] 真的两年三年50%就没了。
[00:32.730] 买了。
[00:34.090] 行驶本给我，咱直接倒车
[00:51.010] 车
[00:52.110] 都骨折了，
[00:53.830] 来售后。
[00:56.090] 好勒。
[01:04.720] 充一次多。
[01:06.640] 公里数跑多少？9万多了。
[01:09.510] 5万多还15年6年的车。
[01:13.010] 6年。
[01:15.030] 年等到月份
[01:17.160] 等等。
[01:18.340] 几年。
[01:20.640] 好小孩刚上完，
[01:21.970] 好多上下能退，
[01:24.050] 商险没坏，
[01:25.720] 他不出来了，按千折的确保想能直接就会了。
[01:29.660] 对，他试用几天扣的不用不能算。
[01:33.550] 交强险黑哥。
[01:37.860] 我要在哪就帮您，对就只能去了，打个比方新车定完了，想把这个学生到我们这座置换，你把车往那一搁，你第二天三车把伤口
[01:47.560] 为了我们
[02:06.280] 我这十几20分钟对吧？
[02:08.040] 看着我说我这十几二十分钟看看车，
[02:41.450] 就这么
[02:42.500] 是吧？
[02:43.690] 一下雨又你看树叶的形状，
[03:40.760] 透气儿，
[03:45.690] 你从哪头过来的？
[04:00.530] 你说奥迪了是吧？
[04:13.320] 稍微还喜欢大哥。
[04:19.170] 都没有放吗？
[04:23.790] 价格还可以。
[04:51.480] 资本瞎热，
[04:53.500] 我高配了
[04:55.620] 公司
[05:22.590] 什么？
[05:27.080] 是吧？
[05:30.720] 王静下方。
[05:35.840] 他是一点那边的应该在后视镜，因为应该把
[05:39.080] 倒车的时候消防
[05:41.750] 他是脚不是往前。
[05:45.470] 应该是。
[05:46.820] 咱的车没有了。
[05:48.170] 刚才说这个功能是不是一倒车的手机，这就是盲区了，那边有一张王牌顶着，
[05:55.720] 一打用着让我可能网上开了现在。
[05:59.280] 要不他
[06:01.720] 当时不就是亮一灯吗？咱们饭店
[06:05.020] 就抽调了，等他这个上头。
[06:07.860] 到了好的也有那行明天我晚上走让我又
[06:15.610] 热了吧？
[06:16.980] 你看你手机号过一个15911591063
[06:22.110] 0939056。
[06:31.700] 先炒上去马上就结束了。
[06:33.580] 谢谢了。
[06:34.440] 先吃。
[06:38.170] 我这块
[06:39.320] 座位加热，
[06:40.870] OK，
[07:51.760] 小工厂玻璃换了，
[07:53.530] 红枣是打一块，那啥不通畅，
[09:08.410] 你先带出来一个记录来说，
[09:11.700] 地方。
[09:24.850] 好
[09:27.170] 了。
[09:28.280] 现在不知道是错的还是对，
[09:31.760] 对不对？
[09:35.270] 没事。
[09:36.280] 的地方正好过来。
[10:10.800] 行驶本收行。
[10:13.320] 这样正常量的，因为我们现在是新车做置换了，所以就车价格基本透明。
[10:19.070] 一会价格出来我告诉你价格
[10:21.120] 按正常车况，因为是具体真正的是今天到实际还是不是特别准，大概的上下有点偏差的，为什么？
[10:30.660] 因为你可能不是当天，
[10:32.640] 我们最终的价格战当天交车是按当天车况跟市场行情确定的，就是什么时候那才是准的。
[10:40.080] 今天是因为这个车，你说这个车比如说都卖10万多，
[10:43.880] 前面有点伤或者什么，我们给你车上还放一个大概价格在多少钱，参考，你要对比一下和能量，不过从那开始说，
[10:50.650] 下次过来以后我会是发动机的思乡，吃完发动机变速箱完了以后叉车请你不要叉车的，因为现在是静态的，我没法看车比的，
[10:59.470] 我会上去你看车底梁头到底伤在哪个位置，是最后根据商品这一块，
[11:04.620] 因为前面咱们是有点伤，
[11:07.260] 但是如果要是区别不大的话，价格不会取得很大，因为日本他本身就导致
[11:13.020] 早上你怎么通知了我一回，这着急着放心价格了，大概价格在什么价位，明天全班考了差不多三成左右。
[11:20.360] 行我干完了就是热的。
[11:23.750] 我厕所了。
[11:35.470] 科教科
[11:37.870] 该
[11:39.820] 你说了。
[11:49.380] 太他么热了太了。
[11:51.030] 中国人是研究生。
[11:54.370] 你好。
[11:59.130] 你好，我是评估是张鸿，我名片先给您
[12:02.430] 行驶本车钥匙给我，我看车当时说了先简单看看，就车里边跟任何贵重物品
[12:08.960] 只做一个静态评估，差不多20分钟左右时间，一个小灯管。
[12:14.010] 完了评估完这个以后，实际最后的真正的价格是按我们最后当天的静态检测的价格确定。
[12:22.200] 我现在把静态的检测的流程简单跟您说一下。
[12:26.170] 静态检测就是您
[12:31.090] 等下次确定完新车在回来的时候，
[12:35.380] 带着行驶本
[12:37.040] 车手续。
[12:38.240] 对，带齐了。
[12:39.810] 车里别的贵重物品，
[12:42.800] 车开过来，我会在园区
[12:45.460] 试驾您的车，
[12:47.230] 这个是假的，主要目的就是为了验证您车的发动机、变速箱以及车体。
[12:52.900] 所有的车几。
[12:54.050] 有没有什么问题？
[12:56.140] 这个时间。
[12:57.750] 动态检测的时间也差不多20分钟左右。
[13:01.540] 这个也是车里边跟任何贵重物品需要您全程陪同，对一直在跟着走，完了检测时长20分钟，刚才说了，
[13:10.370] 这个验证完所有的问题，回来以后，我会根据您的车况跟当天的市场行情，对这个车做出一个合同价格。
[13:18.370] 如果这个价格你认为没什么问题，没有异议，就当天我们可以办理旧车手续，你们当天打款，
[13:24.190] 下班前，
[13:27.050] 如果对旧车价格有什么异议或有什么问题的话，您可以综合再先考虑一下。
[13:32.810] 但我旧车价格是有一个时效性的，
[13:36.880] 我们现在所有的旧车价格只保留当天有效，
[13:40.960] 以前是会保留三个工作日到一周，现在是只限当天有效。
