[00:00.000] 来回出来，
[00:02.250] 乘客侧
[00:04.280] 更换乘客防护系统控人员。
[00:07.310] 了。
[00:09.540] 完了。
[00:12.210] 都这几个里头这两个是一个，不你再拿一瓶。
[00:23.670] 该写的都信息都写上。
[00:25.410] 你看这两号不一样，
[00:27.930] 这个号不行。
[00:30.400] 了
[00:34.730] 远。
[00:41.550] 收了，完了回家。
[00:43.480] 远场
[00:48.800] 来上班。
[00:52.760] 对。
[00:55.490] 王先生给您
[00:57.820] 给您拿一份，这两你先拿着，那两张是什么？一个是我跟你说一下，
[01:03.430] 保养机油机滤保养这个单子咱们不是有一次吗？可以直接用掉的，就再不用介绍付费的，然后这个是咱们召回传动轴召回的，也不是咱不用再付费了，两个单子给你留一份，然后等一下还有一个1000多块钱的费用再给您一张单子。
[01:21.330] 下次再保养一年还是要一年1万公里之后，哪个先到哪个为准，一提醒咱们来就行了，知道了。
[01:28.410] 剩下有费用就是咱们的一个刹车片，
[01:31.990] 一个空调滤芯1874。
[01:35.350] 恩芝不是W赵回答不了。
[01:38.740] 恩是保修还是N是保养？
[01:43.700] 保修也是W保修。
[01:46.680] 打。
[01:52.660] 要是翻牌了，
[01:54.180] 你看一下应该是爱上对方。
[01:55.980] 走吧。
[02:05.380] 咱们等一下刷卡吗？还是微信之后？
[02:08.830] 支付宝微信好了微信。
[02:11.360] 了都行，OK。
[02:12.610] 发票。
[02:13.940] 不用发票我开您名字OK。
[02:16.900] 这个发票如果
[02:18.490] 后期万一真是需要的话，你别丢了，半年之内都能给您换，换成单位。
[02:23.220] 好
[02:28.100] 数据、
[02:33.290] 的
[02:37.460] 数据。
[02:42.840] 坏
[02:45.180] 场
[02:47.740] 了。
[02:49.240] 财务结账开发票。
[02:52.400] 数据。
[02:59.050] 数据
[03:01.690] 场
[03:02.750] 场、
[03:05.920] 场
[03:07.400] 数据
[03:14.160] 的
[03:15.830] 花
[03:17.920] 的。
[03:29.450] 场
[03:31.210] 场
[03:43.720] 好。
[03:46.240] 谁知
[03:48.880] 好多年
[04:06.110] 得到
[04:07.320] 谁知。
[04:14.120] 好了，
[04:15.170] 过了。
[04:26.550] 你放假了。
[04:27.750] 报价。
[04:36.710] 当天你帮我
[04:39.820] 老了。
[05:13.370] 不知道跑到。
[05:14.510] 好我知道了。
[05:16.050] 怎么弄就是在搜索。
[05:18.070] 直接搜就行了。
[05:19.710] 那么近02里边02组里边没有。
[05:22.320] 我说。
[05:23.880] 我记得上一个没有，我就先加了一个0 1500，但是我还没进场。
[05:28.770] 他不是他在家加不进去吗？直接它没有
[05:31.620] 就没有功效，选择完之后你点一下收了回去。
[05:35.170] 对，输完之后你点搜索都他自己就出来了，送了。
[06:10.060] 听见里面应用的
[06:29.840] 场。
[06:42.520] 五
[06:52.080] 五。
[06:55.260] 三。
[06:56.020] 很快就回来。
[07:01.960] 的
[07:04.760] 了。
[07:07.960] 有点。
[07:13.410] 坏
[07:16.300] 花
[07:17.840] 坏、
[07:20.640] 花
[07:23.970] U3。
[07:28.360] 好。
[07:36.880] 财务、
[07:43.120] 场
[07:44.630] 坏
[07:57.170] 场。
[08:12.590] 上。
[08:14.890] 数据、
[08:17.530] 场
[08:24.840] 数据
[08:29.210] 了，咱们这扇门都。
[08:33.550] 都可以。
[08:36.710] 上马新项目。
[09:05.540] 好像从哪能改？
[09:26.560] 的
[09:29.010] 了。
[09:41.310] 刚才还有登记送来。
[09:43.760] 号
[09:56.490] 的
[09:57.500] 系统。
[09:59.100] 可以。
[10:01.580] 多？
[10:05.910] 没了，最后一个给厦门了。
[10:11.830] 换一个。
[10:14.000] 对。
[10:16.820] 的
[10:19.820] 那边
[10:21.220] 现在感觉他心里必须有一定我们了
[10:25.110] 的。
