[00:00.960] 我知道了我进来。
[00:08.630] 您好，报警就倒给张名片销售顾问王宁，高兴您服务。
[00:14.330] S460是吧？090。
[00:16.690] 咱们60
[00:19.240] T4两款大概什么价位？
[00:23.250] 其次优惠优惠的。
[00:25.790] 看您要哪个配置。
[00:27.510] 因为每次他这俩配置和优惠价格不一样。
[00:30.140] 有一个我看叫什么？
[00:32.190] 主要是您开吗？这车我开。
[00:34.440] 是平常家用还是商用？家用。
[00:37.390] 这个就是一号华龙一号大概就是二三十万左右预算对吧？
[00:45.000] 咱是有现成。
[00:46.010] 指标还是9元置换置换计划，现在合适是吧？现在一星期他有一个住院补贴，
[00:51.530] 但是可能每个东西差异都不一样，
[00:54.960] 我想看应该是一个叉，大概落地多少钱，还有一个他跟S9能差多少。
[01:00.520] 行，因为我感觉差一点应该差不多。
[01:04.960] 不能对，差不太多。
[01:07.240] 了
[01:09.170] 差个4万多，对I90。
[01:15.230] 差不多是
[01:17.880] 30左右下载。
[01:19.440] 差不多。
[01:21.620] 这个展车是哪块这配置致远的这块是对好好。
[01:28.110] 31990。
[01:30.150] 3990对90的话，
[01:33.260] 是因为他这两车型不一样，它。
[01:35.240] 定位也不一样。
[01:37.010] 可能的话可能会大一点，太难了。
[01:39.840] 水平的话5083的车上了，不那差个四五万还是买走了。
[01:48.410] S60跟S90他是同一个产线同一个平台，
[01:54.450] 同一个工厂出来的就是一个。
[01:57.140] 对，不是也不全是。
[02:01.190] 这俩车的零配件基本上通用。
[02:05.100] S60的话作为沃尔沃最新的一款车型，它拥有沃尔沃最好的一个底盘，
[02:10.790] 目前最好的一个HRISE紧密，
[02:13.960] 它比90的底盘还好一些。
[02:24.840] 您就车什么车？
[02:26.480] 旧车是什么车能停？
[02:30.230] 二11年的。
[02:32.350] 他就觉得U盘和小，它可能照到车庞大。
[02:38.640] 14853。
[02:40.240] 1这对吗？对40 7 61的歌唱队这样后备箱比较大，但是后排确实对，他因为沃尔沃的话
[02:50.910] 主要是安全环保，他们每一个点都是以安全。
[02:53.500] 前头三个点。
[02:55.840] 他离车身不一样。
[02:58.730] 那车跑的公里数多吗？
[03:00.880] 对吧？不到多少，当然6
[03:03.370] 81年一年和
[03:05.940] 七八千公里咱这会员开，
[03:08.460] 我们那上班都不开车，都离的地址是开的比较少。
[03:12.400] 平常有什么兴趣爱好吗？喜欢自驾游吗？
[03:14.800] 不过一般不自家一般都是在城里面用，对，然后北京周边还有啥出去保险飞机对。
[03:22.470] 他都不显眼，从来不开，晚上
[03:30.240] 之前看过这实车吗？
[03:31.760] 从来没有关注过的。
[03:35.560] 都是主要看看有量。
[03:38.660] 我喜欢9楼了，他觉得我们的
[03:42.810] 的
[03:43.540] 应该
[03:45.230] 016。
[03:47.130] 啥这就是他都不好看。
[03:50.030] 360的
[03:51.840] V60的话不是
[03:54.120] 没有0的话现在怎么说？
[03:58.230] 这车现在买性价比。
[04:00.210] 都特别高，因为这车它的优惠的很少。
[04:03.410] 目前这款
[04:06.440] 替我的资源好好。
[04:08.800] 这个的话原价38万美金，有三代935。
[04:14.430] 微系列旅行装。
[04:15.850] 国内卖的很少，都是灵车，性价比特别高。
[04:19.640] 咱们是想奔着几月份动车？
[04:24.120] 想要是行的话就听他的，我们两个车型没决定下来的，
[04:31.130] 你看我就行。
[04:32.940] 就桩基做了，行，我到现在等着看，现在你们再感受一下90。
[04:38.590] 90肯定空间就大了，做好多，那就是中间的
[04:43.820] 衡量这块是吧？
[04:45.430] 我也。
[04:47.390] 这都是合作4个人，90也是周五，你看我闺女要冻，这边也是被坎贝尔哥。
[04:51.720] 别说大人了，
[04:54.990] 挑了几个海选的时候也说先都看看，
[04:58.210] 还比其他品牌是不是我看看他
[05:02.680] 咱们ct5cd5后去的。
[05:06.290] 说好像水平稍微大一点。
[05:08.680] Ct5的话跟S90S60可能对比就会多一些，对咱们单位差不多。
[05:16.210] 差不多，看来基本上都这么认为。
[05:19.580] 这个跟cc6对我也看看
[05:24.940] 超的的
[05:28.290] 肯定有没得了，奶奶就想到了就没
[05:31.800] 都不大的，这个时候在我们家小小。
[05:36.110] 估计。
[05:38.420] 前面都过不了了。
[05:40.670] 小区从车道的话比较窄，马上就我的车必须去快增强，全部都去了。
[05:48.320] 所以我不太长了，就在
[05:51.380] 思考思考这些。
[05:54.780] 毕竟咱们驾驶技术好不代表人家
[05:59.040] 人均价值就是对吧？主要有道理。
[06:01.980] 别人送你你那车侧门花花的都是别人送的。
[06:11.150] 沃尔沃的话就是安全环保，
[06:13.200] 而且咱这里
[06:16.400] 每个品牌
[06:18.680] 像举个例子，S90来说，
[06:21.820] 这款车的话90岁沃尔沃最高级的资格或我所有的好的东西在这块看看，
[06:30.360] 这个的话37.6%，
[06:32.740] 一个红参跟疼传他用的材料，
[06:36.330] 航空母舰甲板前途的卖壳都用的都是
[06:38.910] 成章，而且像一会产品风险比较大，
[06:42.910] 而且沃尔沃的话他。
[06:48.890] 的看他怎么摆。
[06:51.040] 像网上我不知道您有没有看过那什么狗爷爷特别好，
[06:54.920] 好多沃尔沃的一些
[06:57.560] 安全集成的一些小视频网站比较苦，到它的这款车的话根本不会为什么不能发车，
[07:03.910] 但他的评估量服务这样说才能故障这些安全科技的发展，谁知
[07:08.930] 全系都有，您买Volvo说了沃尔沃这个品牌的话，它的所有的核心难道他们都是中国。
[07:16.080] 冠军，你看40都是标牌，
[07:20.180] 而且他也不是说给你分高高低等，
[07:24.970] 都是一样的。
[07:26.360] 都是一样的。
[07:27.300] 而且到车里边做的话，你可以做一下，没什么好。
[07:30.370] 这手机没什么用。
[07:32.830] 咱作为。
[07:34.120] 提供用车顶群众全都才能成功氛围的车内百%不快。
[07:38.230] 而且他有一套非常完善的工艺。
[07:40.470] 动画公司的感觉。
[07:42.510] S60
[07:45.380] 你也要高配这个
[07:47.130] 我们这些话都是一样的。
[07:51.090] 包括还是有些也一样。
[07:53.010] 正常的话它对于净化系统它都有，它只不过是高配的话，它多了一个静电吸附功能。
[08:04.500] 反正60正常是按照您停车位，包括咱们正常对车辆的使用需求的话，6元就够用。
[08:12.270] 认为四大
[08:13.640] 怎么投入不高，使用上。
[08:21.400] 的。
[08:29.400] 标配跟比的话，皮子可能没有，
[08:34.000] 然后龙骨的话小一圈。
[08:36.740] 对。
[08:37.830] 然后里边的话，
[08:39.910] 匦胍
[08:41.750] 水官，然后前行乐团这钱一个这办也行了。
[08:45.890] 还多个导航吗？
[08:49.560] 这里没有低配的一块，对，咱们暂时没放低配的。
[08:57.820] 门口的PK的
[08:59.770] 配合这一块。
[09:01.430] 这个能进去看看吗？我看看我得去给您找找钥匙了，要是他们都拿走了。
[09:13.390] 它里边的东西基本上跟他都差不多。
[09:20.040] 这是后面增加的。
[09:21.970] 怎么对这台车的话，
[09:25.240] 厂家出厂的时候给夹了一个东西加热包，
[09:28.260] 包含了前后排队加热，方向盘加热、雨刷器加热。
[09:31.530] 这个单选的是对单选择单配的。
[09:34.000] 3000他是厂家那边。
[09:35.300] 成本出的。
[09:36.930] 但是这个
[09:39.020] 就配置本身不大是吗？
[09:41.000] 不大。
[09:41.600] 我不知道。
[09:43.980] 最佳放松他都不大。
[09:58.140] 他这不是伤的号牌，他就是这样的是吗？
[10:01.360] 不是它能够变成其他的功能。
[10:04.570] 就带一点运气。
[10:05.840] 对它的窗口在这儿，我知道这东西什么东西。
[10:08.900] 我们这么一个
[10:11.160] 原来都是一个样。
[10:13.460] 这后台有没有什么
[10:15.890] 叫什么vs接口没有。
[10:20.530] USB接口在前头，
[10:27.350] 沃尔沃现在大面积采用他这种
[10:30.020] 不管什么车，
[10:31.380] 玩609040都采用那种荔枝纹皮的，大多数都是排衣着品位，摸一下皮子触感
[10:37.420] 还和舒适非常。
[10:38.680] 系那种他B势头对。
[10:41.150] 还是都不是。
[10:43.250] 主要都是黑色，对60黑色。
[10:46.440] 然后90的话。
[10:48.060] 话是红色多，就这U盘。
[10:51.260] 60也有中的，
[10:53.620] 也有政策的。
[10:55.280] 工作的话，
[10:58.370] 这边的
[10:59.840] 26就做也要跟他一样。
[11:16.460] 如果说有时间有兴趣的话，邀请您使用10件。
[11:19.700] 因为看的话只能看看外头看看设计。
[11:22.050] 不管买什么车，要最后试一下看一下。
[11:25.430] 然后他也是对。
[11:35.760] 这车载屏幕的话也是目前
[11:38.540] 屏幕里面科技含量最高这一块，它的触摸的。
[11:41.420] 引渡还有基础程度是目前所有车里边做的最好的。
[11:44.460] 冬天您戴手套触碰的话都可以实现触控。
[11:48.110] 用多点红外线触控技术，
[11:57.100] 最主要的核心卖点，这是他的领航幅度。
[12:00.420] 高配的话会有领航。
[12:01.610] 幅度。
[12:02.370] 包含了AC自动巡航，
[12:04.510] 对国内L级别的无人驾驶不是自动刹车，总缠的都是标配，
[12:09.860] 不控制跟车。
[12:11.330] 对，他不光是跟车，当前方没有车辆的牌，他可以研究延续了清晰的路线图中，
[12:18.860] 我告诉朋友非常好。
[12:20.840] 好的。
[12:25.170] 了行我知道了，我让他走。
[12:27.560] 很多也是高配的，对汽车都是高配的，帮我打扰一下，我看看dk。
[12:40.990] 的。
[13:22.940] 的。
[13:27.020] 远
[13:44.320] 买。
[13:45.410] 场
[13:49.750] 数据、
[13:50.750] 数据、
[13:51.560] 数据
[13:53.280] 的。
[13:55.350] 这谁手机这就是能把它做下去，还得给您便宜完了才给弄好了。
[14:02.480] 他不能这么给您。
[14:04.530] 这就不知道怎么诠释到了这
[14:07.550] 他什么身边是吧？其实
[14:13.030] 这块都没有类的。
[14:16.600] 他出场时候出厂的时候漆没干，可能是。
[14:21.440] 他直接贴了塑料纸了，对，他之前这上面是一个膜，对，应该是漆没干，他就给。
[14:28.460] 弄的那个是谁？
[14:30.810] 那个不是别的没事的，那不是新车。
[14:34.420] 公车上都有。
[14:35.880] 方便你看
[14:37.970] 阵脚。
[14:40.180] 你这侧面看挺明显的。
[14:42.890] 你再问问他自己说的，如果这个车朝前面上了。
[14:51.040] 怎么就是大面上就一个财务经理。
[14:54.870] 对着这个的东西，
[14:57.270] 哪个品牌都一样，
[15:01.310] 都可以。
[15:02.520] 最难主要产量。
[15:04.890] 我刚才说的这点座椅。
[15:06.780] 的皮子。
[15:08.460] 龙骨27的
[15:11.420] 铁川，
[15:12.560] 然后全息仪表盘导航。
[15:14.960] 还有刚才说的。
[15:17.130] Abc咨询行加上。
[15:20.840] 差不多点学生已经了。
[15:23.480] 主要。
[15:29.560] 因为只有理解。
[15:31.380] 拿过去了，人家就车
[15:35.040] 我看着看着。
[15:37.900] 行行，你找就做一下。
[15:40.310] 来这边。
[15:42.760] 我给你拿海燕他们需要喝点什么吗？咱们那块有茶水，有火山焦点，
[15:47.920] 然后有泼凉水。
[16:11.820] 给您个配置单，您看一下。
[16:14.240] 因为产业的话现在还没新的材料还没到。
[16:24.630] 还没参与。
[16:32.110] 注册的登记登录密码一直都不行，
[16:36.430] 就像机动车车主注册的，我想领5000块钱卖到外地领，不会没操作过。
[16:44.500] 我也
[16:45.520] 反正4S店应该是很平常一个这都是客户去弄，因为这个东西涉及到隐私了。
[16:53.300] 包括。
[16:54.020] 我们给酷达指标，有的客户都不愿意。
[16:56.940] 给达指标的话，你要账号密码。
[16:58.870] 不给你，我刚才遇到困难吗？没关系，我这已经是吗？你要能帮我解决一下困难。
[17:04.810] 你销售顾问哪位？
[17:07.060] Nano。
[17:08.180] 我觉着。
[17:10.240] 这正接着客户，我觉得宋承宪的二。
[17:16.960] 了
[17:19.080] 条条Q不合适
[17:21.830] 的。
[17:23.280] 了
[17:45.840] 这个颜色不用再单加钱。
[17:48.300] 不用，沃尔沃的话跟看起来不太一样那样。
[17:51.990] 蓝色毛权利
[17:56.260] 就买
[17:57.920] 牛仔蓝的话这颜色
[18:00.830] 偏少。
[18:01.690] 这颜色没注意可不，蓝色R牛仔蓝，
[18:06.620] 蓝色不过90跟颜色不好看，90的蓝色它是浅蓝色，蓝那运动款运动馆事件杨澜，
[18:15.930] 你看他正常车型跟外边90都不一样，他是
[18:20.250] 黑边框黑尔的那种设计前进气格珊都不一样，
[18:24.050] 包括里边内饰也不一样，
[18:26.020] 龙骨也不一样。
[18:31.410] 外观、
[18:38.110] 哪里有垃圾？
[18:39.260] 你放那吧。
[18:45.920] 我们是不是需要把就出去卖了，然后再买这东西？
