[00:01.880] 要是你有
[00:03.880] 平时文件他们都在show上。
[00:05.940] 我先找找。
[00:08.580] 都能扫出来。
[00:11.610] 我说行是吧？咱驾驶本不用拿出来。
[00:14.080] 行，一会能不能帮我确认完里边信息也行。
[00:25.310] 怎么称呼您先生？
[00:27.000] 我姓王王凯先生，对。
[00:33.240] 电话157三个1 28235，
[00:36.710] 身份证号430682199305147010，好。
[00:55.620] 没有了。
[00:56.480] 一会您帮我签个字。
[01:49.160] 002740027。
[01:57.180] 不到1/4油表。
[02:00.270] 太没了，回头记得加油知道。
[02:05.230] 我有多少要多少时间，一会儿看一下您这次该做什么。
[02:10.290] 这么应该B有花红有的
[02:19.270] 被人恶意划的。
[02:34.480] 是吧？看一下被恶意划了。
[02:50.640] 前面这边也唱了一下去了。
[03:00.250] 龙骨也有。
[03:04.150] 正好别的期。
[03:37.350] 这边也不错一下。
[03:50.360] 清香在里边想。
[04:20.520] 车开了没别的问题现在。
[04:23.250] 行好了。
[05:06.200] 3万公里都没在夏天做吗？
[05:11.680] 查记录看看
[05:18.000] 行。
[05:26.830] 场
[05:27.720] 数据
[05:28.970] 花
[05:31.600] 数据
[05:34.450] 场。
[05:42.400] 用什么机油？
[05:44.460] 用什么？
[05:47.670] 谁知
[05:50.470] 行，
[05:57.900] 二
[06:04.300] 的
[06:10.520] 的
[06:15.710] 数据
[06:17.580] 的
[06:27.950] 要
[06:28.900] 数据
[06:32.160] 的
[06:33.920] 的
[06:34.920] 坏
[06:35.920] 的。
[06:40.070] 数据
[07:12.990] 场
[07:13.790] 数据
[07:19.310] 花
[07:20.160] 的。
[07:27.230] 场
[07:28.470] 坏
[07:31.510] 的。
[07:33.610] 坏。
[07:41.200] 下午跟你说还是？
[07:43.310] 你自己看。
[07:45.190] 你去了。
[07:47.000] 下面我跟你说还是你自己看需要换着是吧？对我开通。
[07:52.430] 这不是我的客户和的概念。
[07:58.480] 开始
[08:01.660] 送别的
[08:03.980] 这些东西都是要换的。
[08:16.040] 的
[08:19.520] 要
[08:27.010] 数据
[08:29.140] 场
[08:30.420] 远
[08:32.230] 的
[08:34.080] 远远
[08:42.200] 二
[09:07.510] 对
[09:09.580] 的。
[09:18.190] 数据。
[09:23.340] 数据。
[09:30.140] 好坏坏。
[09:40.190] 的
[09:48.920] 数据、
[10:11.000] 数据
[10:12.800] 结束。
[10:20.670] 的
[10:36.950] 要
[10:38.010] 上
[10:50.670] 的
[11:02.290] 一块
[11:03.490] 上
[11:30.870] 咱们的，然后
[11:37.500] 调查12公里。
[11:48.140] 要
[11:51.460] 二
[12:02.430] 的
[12:04.630] 的
[12:14.590] 老板
[12:21.030] 你好。
[12:25.300] 谁知
[12:30.730] 的
[12:32.550] 的
[12:34.280] 的
[12:37.840] 不是那之前打错了吧？
[12:41.900] 不是，那是消息。
[12:50.360] 不是那些声音，那是机舱里边签署养护，不是单子。
[13:00.750] 火花塞
[13:09.820] 哗哗哗地不能听吉他吗？
[13:13.440] 花在不得清吉他吗？
[13:20.930] 现在我是这么介绍，我跟你说，
[13:24.470] 这次你看
[13:26.290] 跟安全没关系的，相对来说就是一个空调了，我找拿还是你直接送我办公室，
[13:32.520] 基层地方滑到刹车油，用电脑登陆，
[13:39.330] 完了我过去看看，
[13:43.760] 都不涣散。
[13:48.280] 这可能。
[13:50.000] 不是，其实你这次相对来说贵一点了，你说都就是什么东西？
[13:54.370] 主要就是青双jj上相当于贵点，
[13:57.650] 然后就换三滤过一点。
[14:02.360] 然后还要花噻。
[14:08.030] 你看还轻吗？
[14:12.430] 发动机的积炭，节气门、进气道、喷油嘴、积炭。
[14:19.250] 不是加油的事情，黄金积炭、节气门、进气道、喷油嘴的发动机里边的，
[14:26.250] 让他起来高兴，而且转移重点。
[14:32.140] 这次主要是大这次的话4万公里的话，项目本身多5万公里，基本上就没5万公里就是基础保养，
[14:38.000] 然后6万公里换电箱油什么呢？
[14:46.760] 不是之前那是协议不用清，你打错了刚才。
[14:53.360] 这是一个机舱里边的线路养护和一个底盘的悬挂养护，还有一个
[14:57.560] 还有一个全球化的润滑，不是之前我刚才打错
[15:01.900] 了。
[15:04.770] 一点行，不弄刹车油。
[15:08.880] 对一项一项跟你说，你说不要我给你去哪个？
[15:15.930] 刹车油不要。
[15:18.450] 清洗积炭，
[15:19.950] 谁知
[15:21.450] 积炭发动机积炭。
[15:24.010] 对，现在看不出来。
[15:27.840] 对，你的意思就是想做基础保养是吧？
[15:30.660] 基础不要，现在你如果说就想做最基础的话，基础上有套餐的话，里面最基础的
[15:40.480] 他而且套餐的话也相对来说便宜点，但是它是
[15:43.880] 4次成一个套餐，就是这次加上3次，
[15:59.850] 一样这不说吗？你要是要这次做基础保养的话，基础班的话有套餐优惠。
[16:05.360] 买套餐是吧？套餐的话一下子买4次，
[16:15.630] 行，那这么着那单子做鸡蛋清吗？
[16:18.860] 计算情况，鸡蛋清了。
[16:24.200] 黄色的花在换吗？
[16:27.770] 三
[16:28.720] 行全下来4835。
[16:33.170] 机油机滤、空气滤和空调滤火花塞，
[16:35.700] 还有换空调滤芯的同时有一个空调系统，
[16:44.460] 机油机滤、
[16:45.790] 空气滤芯、空调滤芯，
[16:48.480] 然后空调滤设通知有个空调系统清洗，
[16:51.480] 因为黄金不在西医里边了吗？
[16:54.200] 还有一个黄花塞，
[16:56.480] 再一个就是换机油之间清理面积不到的，
[17:01.140] 4835，
[17:06.480] 这打完折以后的了，
[17:13.900] 这个价格我也左右不了先生，我只能告诉你现在
[17:17.550] 你做什么价格，我告诉你多少钱，这全都打通以后，
[17:26.070] 你每次都花钱不少，
[17:29.550] 你每次都花了钱不少，
[17:31.750] 其实你这次乘坐了下次交易基础保养，
[17:40.070] 先做这些4835是吧？
