[00:00.000] 20年7月14号车上有客户交车录音，
[00:09.470] 这是我们招商的
[00:11.630] 您好先生给您
[00:12.870] 介绍一下它的使用方法，包括给你轻点下手，对原有东西
[00:17.600] 委托人、
[00:19.510] 委托人。
[00:24.670] 出库
[00:25.760] 做装饰好了，今天周日做，李总
[00:29.420] 就做这个能做都会做了是吧？等你们好了。
[00:32.780] 行。
[00:34.720] 你觉得
[00:36.510] 我
[00:38.710] 先生您好，做个自我介绍，教授专家田正给您办理咱这车交车手续，大概流程咱讲一下基本的一个操作，
[00:45.450] 然后给您开通一个智能互联，还有一个客服的面访，然后多问大家之前我开过奔驰车吗？
[00:50.380] 您开过是吧？之前咱开哪款呢？
[00:52.720] 还是500，其实沟通差不多，对，其实功能是新款的也是。
[00:58.160] 也是新款的是吧？差不多其实他bf户外
[01:01.450] 其实后排都一样，他等于座椅多了一些舒适度调节，其他功能都差不多。
[01:08.100] 这有功能还没S四五百的高。
[01:12.170] 因为他
[01:13.230] 自己放了一个档次，
[01:14.820] 3.0度。
[01:17.690] 这车真不甘心。
[01:20.470] 签名再说，贴膜再给您重新再弄一下。
[01:24.930] 功能方面还需要再给您看看，您哪不明白给您在
[01:28.700] 介绍一下。
[01:29.840] 没有是吧？就打通消息行，到时我把我的电话跟微信都告诉您。
[01:37.170] 然后您后期开着您要觉得哪不明白了，或者您只要是开奔驰车，不明白哪个车型，您随时问我就行。
[01:44.760] 给您打的辣，
[01:47.830] 有时候厚望的放出来。
[01:49.700] 对这东西怎么说，这车早上起来倍儿干净，爱它大家它的大架号再来。
[01:55.400] 大家好，特别难看。
[01:58.360] 我告诉您在哪？
[02:01.350] 要求这儿
[02:03.080] 有个盖把盖拿去在这里边，
[02:07.190] 然后我给您点一下后边的东西。
[02:13.490] 有个白的。
[02:14.480] 小三都给我几张吗？可以没问题。
[02:17.740] 我把照把4个都让他给您铺上，再做装饰的时候，
[02:23.020] 应该就不坐庄了今天。
[02:26.260] 大伯脚垫后备箱垫什么的都不装了。
[02:29.950] 您这不是有装饰吗？
[02:32.780] 您看吗？您看。
[02:35.150] 有记录仪，后备箱键打包价您要今天装就给您装上，您要不着急20分钟左右。
[02:41.040] 等会再说，等之后再说，行没问题。
[02:45.620] 然后我跟您说后备箱里边东西，
[02:55.370] 20的
[02:58.590] 里边就两个迈巴赫的后边盖盖，然后咱们的一个乡村，
[03:04.760] 两个遥控器，两个耳机，所有的省说明书，还有一个反光背心都在这里边。
[03:10.220] 然后上网下载这个是什么哪个？
[03:12.810] 香氛。
[03:14.910] 这个干嘛这是两个后边的盖，然后还有遥控器后面后排娱乐系统这两个腿拖的，
[03:23.460] 那是后边头的子弟。
[03:24.840] 都没装。
[03:26.510] 行，咱回顾您先抽签之后，
[03:28.830] 这抽完之后咱回屋把
[03:30.920] 智能互联给开通了就行了。
[03:33.160] 之前那车是您开的您的智能互联吗？
[03:36.550] 我都没开。
[03:38.710] 开个点开点您可以不用那软件，但是那个里边SOS什么应急什么的，
[03:44.300] 还挺有用的。
[03:45.670] 我怎么来？
[03:47.200] 9点给您搓上了。
[03:51.080] 你要不招一二十分钟哭完了再走。
[03:55.290] 然后停车记录仪装上，因为
[03:58.110] 开这不是没牌子，装新东西好点，
[04:00.690] 也行是吧？可能贴膜再说就能天天模式的时候，
[04:05.880] 再装淋巴街道，我都装上贴膜在单萜倍，因为您弄完二分钟，下回再贴膜时两小时就完事了，
[04:14.590] 反正靠你了。
[04:16.090] 那倒没备胎了。
[04:18.060] 现在都没备胎。
[04:19.690] 我妈他们天乐也没被贪。
[04:21.700] 都没备胎，现在车现在
[04:23.920] 偏远有个好处，别有轮胎固定胶，还有一个还没打气筒。
[04:28.670] 这没有吧？真没有。
[04:32.190] 就纯卡拉救援全靠救援。
[04:35.110] 因为这车
[04:36.770] 他原来车
[04:38.940] 带备胎，现在都不带备胎了，现在只有一个拖车钩，
[04:42.500] 别啥都没有。
[04:49.470] 成
[04:55.090] 20的轱辘，
[04:59.050] 他们好多回都改大饼形式，
[05:02.350] 那个谁就把你卖了，
[05:05.490] 完了后面他们一看见他就把林彪他们
[05:09.380] 啥区别不知道。
[05:11.320] 外观看不出来。
[05:12.980] 只有那字出来，字外观是看不出来。
[05:16.080] 里边他680就是什么后边
[05:21.240] 多了冰箱，然后多了一个夜市。
[05:24.160] 这个不是yes，不在夜市，可能我500这意思。
[05:28.590] 所以说没您什么还多吗？我有两个还是我买S500，S500，L
[05:34.770] S500是待业是的，因为没买600是因为啥？后驱。
[05:41.170] 514区，就我全买四驱车，540驱，
[05:47.170] 市区的毛毛都大学了。
[05:49.020] 舒服的。
[05:56.360] 全车谁是以下对全程影像。
[06:00.910] 他有什么注意事项吗？没有，就1500公里之内慢点开就完了，别超120。
[06:07.430] 就骑了车了。
