[00:39.960] 不要随便进来了，您进去从那边进，这边没开，那边开着进厅里对。
[00:45.640] 去内展厅那边远那两天开着好了，谢谢。
[00:54.870] 了
[01:07.530] 点点滴滴。
[01:25.270] 您好。
[01:26.720] 对我刚才给您打电话。
[01:29.640] 谁知
[01:32.430] 对您好先生。
[01:34.090] 680在门口
[01:36.030] 在外面这儿摆了一台展厅里摆放，
[01:38.790] 是疯掉的，就是单穿单色的单色的。
[01:42.390] 要不去看那680。
[01:44.950] 还有在门口有的。
[02:03.480] 这第一次露脸是吧？
[02:05.150] 放。
[02:14.670] 您稍微等我一分钟，我去拿这台车的钥匙把车锁着，稍等。
[03:36.590] 七，
[03:37.480] 它里边还有
[03:38.570] 这也是金属漆这两期是一样的，可能因为这脏的原因，
[03:43.930] 老在那这种东西做检测内置。
[04:09.270] 没有店里没有认识销售是吧？因为我们到店之后需要先给您介绍一下奔驰服务公约。
[04:15.150] 大概我念一下您听一下，作为村医理相待，
[04:18.020] 就经营合法得体，明码标价，公开透明，非要进行公示，有捆绑，销售消费就跟家电空号4008181818有接通电话，
[04:25.990] 同时做分期，这是你们公司在
[04:28.600] 奔驰的是中国的本身也没有手续费能量拿着做吗？
[04:33.360] 限速80多少钱？
[04:34.770] 算下来您上北京牌照卖北京人北京牌照现在这台车的公示价是3,998,800，现在裸车北京牌照应该是300
[04:43.990] 三百六十九万八千三百六十九万八千八，只有三百七八九千万。
[04:48.380] 因为这个事我不知道您对这车了解多少，因为这是最后一带了可能是12缸了以后就没有12万了。
[04:55.110] 十二刚退出中国市场上来，因为中国
[04:58.340] 环保
[05:02.310] 裸车370是吧？包括奢侈税的购置税8，
[05:06.460] 不包含购置税，
[05:07.940] 突然搜房过去。
[05:09.650] 370您加一个购置税，
[05:11.750] 或者报税是按哪个算？3,200,300计算。
[05:16.280] 对。
[05:18.510] 27您再加上税的得到400百多一点了，现车还是得定，电车就这一台。
[05:24.480] 点击开始配对。
[05:28.420] 不能选配给您回复对他本人也对标准费用对。
[05:32.830] 他也可能没什么可选的。
[05:38.610] 这些都让人
[05:39.970] 在那边我就看着
[05:49.910] 19年10月份
[05:54.560] 得半年，因为咱们造车的时间，
[05:57.430] 明天往后推6个月是我们到店的差不多时间。
[06:01.050] 巴赫这是德国产的吗？德国音乐也是美国你
[06:09.960] 不过这。
[06:11.070] 对，要先生在飞机。
[06:23.550] 你好。
[06:26.950] 对你好。
[06:32.630] 您稍微等我一会行吗？我不知道您过来，我这接了一个新的客户带人看迈巴赫，
[06:39.010] 您在展厅先看看车祸水，您喝点咖啡，等一会我一会这边
[06:45.370] 我们一楼就在一楼。
[06:48.490] 对，好了，我一会给您打电话，您稍等。
[07:02.160] 299万。
[07:03.970] 加上加那钱是什么？是工程奢侈税什么还是就是家的钱，
[07:08.480] 她笑是多少钱，发票就开3,698,800。
[07:15.610] 北京已经加了一件
[07:18.570] 到30万左右，
[07:21.770] 差不多8斤300 700家70万，10%的消费税代理的还有。
[07:27.100] 保费是10%吗？
[07:29.130] 可能是16 30万，
[07:31.990] 我们也交37万多，价格4000三三十万40万，
[07:35.740] 是吧？
[07:49.830] 零到店。
[07:52.390] 小一个月了快。
[07:54.030] 但是没听过展厅，一直都是在QQ上，刚才这儿摆了大概有
[07:58.510] 一个多礼拜了，刚开过来。
[08:01.000] 当天免费活不长，而且多长时间？
[08:03.320] 它没有免费，他质保是三年不限公里，您随便多少3000是吧？对三年随便开。
[08:08.490] 有什么问题？
[08:10.170] 明年到三年。
[08:11.470] 是因为在摆一礼拜，客户看到时候如果要我们都会给您清理干净。
[08:15.780] 因为就这一台车。
[08:17.400] 你给他现车。
[08:19.010] 在基本什么？
[08:20.460] 没有了。
[08:21.480] 12刚才你买不到了。
[08:24.530] 中国市场
[08:25.570] 了，对中国没有了。
[08:27.560] 因为排量12刚中国环保标准太高，他达不到。
[08:32.290] 对，再往后它达不到，所以就不出了。
[08:37.160] 和6在网上怎么不高？不到。
[08:40.140] 560多少钱？
[08:42.040] 560现在拿不到车了已经。
[08:44.160] 最后一台也卖完了。
[08:45.870] 也没对也不出了。
[08:47.920] 以后出什么120以后，可能也会有680跟560，但是就不适用刚跟12缸的发动机了。
[08:56.150] 可能把发动机给降下来，
[08:58.040] 才会。
[08:59.100] 我觉得账号可能就是6缸加电击什么这些，
[09:04.270] 那种大排量的就找不到了，
[09:06.400] 我也不行了。
[09:09.180] 购置税370÷11.7对吧？对，11.3。
[09:13.610] 10.38这样了。
[09:18.310] 但是有保险了。
[09:19.460] 对，税的话333,000。
[09:22.730] 33 30 33 33万。
[09:28.640] 这放假了。
[09:29.780] 后面有冰箱，他就后面做一个冰箱专业4厘米，
[09:34.670] 妈这怎么东西就这么找工作。
[09:38.830] 这干嘛用的冰箱？
[09:40.690] 汽车兵。
[09:45.110] 现在只有680有，冰箱560没有。
[09:49.890] 最后也卖完了，对。
[09:52.100] 500跟这有什么吗？
[09:53.400] 560就是8缸的。
[09:55.430] 这是12缸的直接就发了，核心的内置不一样，颜色内饰不一样，然后用的皮子不一样，
[10:01.030] 这是比较突出的，悬架也不一样，它的悬架也不一样，这是在魔术车身的选项。
[10:07.270] 百得利之星
[10:28.680] 有蚊子。
[10:29.450] 我刚才看见黑蚊子，您要不然进去。
[10:44.300] 45米461。
[11:06.400] 主持人。
[11:14.270] 没有不卖。
[11:37.740] 7是一样，内饰主要还是在于内是吧？
[11:42.190] 外面的吸引力。
[11:43.590] 也是这样的。
[11:44.270] 现在我是看不出来。
[11:45.770] 不sorry，它这个摆的不是这个是摩卡黑应该是。
[11:49.410] 对这个是门槛非常。
[11:51.080] 等会我确定一下。
[11:54.020] 这不像是魔坎黑压压。
[11:57.920] 193。
[12:01.000] 裸车多少？
[12:02.910] 二百九十几公里2250。
[12:05.320] 5679.3. 
[12:09.440] 38。
[12:11.270] 300万300万，增加了30万。
[12:14.580] 360
[12:15.610] 加50块钱。
[12:16.730] 跟那期一样。
[12:18.020] 外面那7点这7。
[12:19.300] 对多少钱？
[12:20.730] 299外边。
[12:24.920] 我29
[12:27.090] 10厘米。
[12:28.100] 加多少？
[12:29.240] 像我们楼现在实际售价是369万。
[12:32.730] 8800，对裸车。
[12:34.800] 火车是360。
[12:37.960] 19万98,800。
[12:39.730] 千八百对。
[12:42.350] 10万百万。
[12:43.440] 个十百千万、13百万、3,698,800对。
[12:51.190] 车是吧？不算啥。
[12:53.360] 这里还没有购置税保险上牌这些。
[13:00.760] 待要。
[13:02.630] 送这个不需要。
[13:04.300] 这叫指导价卖1,458,800。
[13:07.170] 加一个十几万购置费。
[13:10.010] 对，你加购置税加保险验车全办完，大概应该160多一点。
[13:13.600] 165不到。
[13:15.100] 还得再加多少？
[13:16.620] 有了就400万，你就四四百400万，多少？四百零几万。
[13:21.000] 差不多行全下来160。
[13:24.960] 2.5个，这相当于一个。
[13:27.730] 一共存下来多少？
[13:29.110] 大概给您算一下。
[13:37.280] 这咋加的？
[13:40.240] 保险这车保险得大概7万。
[13:42.850] 万8万差不多。
[13:44.900] 车2500。
[13:47.570] 410。
[13:49.330] 4,108,600，对。
[13:51.580] 410，对悬下来对。
[13:56.920] 560 410
[14:02.950] 百千万、10万百万千万，
[14:06.220] 47 410。
[14:11.850] 之后有没有吧？
[14:14.930] 招蚊子你也试试吧。
[14:17.160] 是这东西
[14:19.320] 太了。
[14:22.670] 就跟那苹果一样。
[14:24.480] 一样的。
[14:26.130] 全都这个里面是全一样是吗？
[14:28.790] 跟大致一样就是样子一样，但是一些细节区别很大，发动机不一样，比如说皮子都是小牛皮的，这都不是真皮皮革的，
[14:37.970] 那些都是真皮的皮。
[14:40.870] 皮革、
[14:41.660] 格，然后。
[14:42.690] 然后包括座椅有按摩这些那些都没有小桌。
[14:48.410] 顶子也不一样，录录皮顶着都是支部的顶子。
[14:54.080] 然后还有
[14:56.480] 像悬架乘坐的舒适程度也不一样，全家空气选那个是母乳纯玄甲，就是您在
[15:03.040] 他有一钱雷达自动扫描前面的路，如果是前面路all to不平的情况下，提前就把简直作出调整了。
[15:10.310] 行，然后自适应巡航。
[15:13.840] 巡航都有了。
[15:15.950] 那车等于加了30万是吗？40。
[15:20.680] 37 37 33。
[15:24.480] 33。
[15:25.810] 他跟把税刨出去的话应该是33。
[15:32.230] 他们在帮我问，
[15:35.230] 谁知
[15:37.520] 直接找他们。
[15:40.210] 你们后备箱大。
[15:42.200] 就是少了一冰箱吗？
[15:44.600] 其他也是一样的。
[15:47.350] 他这都是
[15:54.380] 面子的。
[16:07.920] 你们百得利迈巴赫就这一个电影吗？
[16:11.510] 对百得利奔驰就百得利集团卖奔驰的，就对这一个店
[16:17.540] 普通的奔驰，然后MI8和M记都。
[16:19.950] My对，看着其他的地方没有卖的。
[16:23.510] 北京迈巴赫现在正正经经的前店后厂的一般就是44。
[16:27.310] 篇可以卖。
[16:28.390] 但是奔驰店全北京应该有将近。
[16:31.180] 20个展厅，对。
[16:33.180] 奔驰店多，但是迈巴赫就4。
[16:35.320] 4.2店对。
[16:37.840] 三。
[16:39.070] 只有你们这家店有着一辆迈巴赫马。
[16:42.540] 680680对现在680Y不应该找不到了，我们店应该这也是刚到没多长时间。
[16:49.220] 然后450这种车多了。
[16:52.340] 二
[17:00.810] 不能优惠了。
[17:04.080] 对，外面给我们销售就是最低就是这样，你要是再优惠您得找找我们领导。
[17:09.210] 对，找我们老板你要认识的话，就给我们销售最低就是这样。
[17:13.810] 他这个车架就是。
[17:15.970] 299加上10%的购置税
[17:18.470] 和消费税。
[17:19.910] 我不是，因为我开票要开到369，8800 370开票，我交税是按370去交的，
[17:26.690] 370交的话，那就37万的税交给国家的，
[17:30.130] 370里面，然后按370去交购置税。
[17:33.850] 给您自己交购置税包上。
[17:35.520] 俺30分加30万，
[17:38.600] 除了450和680中间就没有了，60。
[17:41.810] 5606没车对。
[17:44.850] 别的地方也没有吗？
[17:47.080] 找不到。
[17:48.220] 我们都好我手里订单现在都交不出去，都配不上车了，您说您还哪能找着车？
[17:54.880] 2021款它会改成什么样？是不是很快会出来呢？
[17:59.540] 不会，因为现在先改的。
[18:01.560] S. 
[18:02.450] 短时间之内现在。
[18:04.520] 池都是先出标准的S。
[18:06.030] S矛盾。
[18:06.700] Mg和。
[18:07.920] 5603680会断断档很长一段时间，只卖450迈巴赫，
[18:12.880] 就卖
[18:14.360] 然后这就卖了一个560680估计最快的明年。
[18:17.610] 双掉的那种。
[18:19.060] 双色的那种应该买不到，除了天津港的库存量，
[18:23.190] 凭进口的那种国五的有可能就能找到双色的，政政国六的现在在北京市场没有，我知道他所有的这几家店，因为大部分都认识吗？双色都没有了。
[18:35.130] 双色那个好处您可以以后改那倒是。
[18:38.090] 那就没必要。
[18:40.170] 要买原装的双色买不到。
[18:42.470] 除了后期再去买，
[18:45.250] 停车场里
[18:46.820] 酒店生意很漂亮的。
[18:48.160] 好看吗？
[18:50.100] 开始觉得挺傻的，那倒是挺特殊的，反正一直到说人家大街上一看就说你是
[18:59.160] 还有
[19:00.440] 你刚才打电话了，说你怎么说？侯学磊，我刚才给了您一张名片，行，不然先走。
[19:07.570] 我再问问别人，
[19:09.920] 找找你们对你看再找找我们领导还能不能再看能不能优惠多少。
[19:18.240] 这个就是160多万看一下。
[19:21.520] 165不到。
[19:26.720] 短大小都一样。
[19:27.550] 它们大小都一样。
[19:29.090] 轮毂外观。
[19:30.630] 一样，鼻子不一样，对，完了电子功能不一样，有夜市让你拿措施应对后面
[19:36.690] 这些东西。
[19:41.370] 您别的还看吗？
[19:43.600] 我还要看看这个发髻，
[19:47.240] 舍不得买差距，你不买垃圾有的。
[19:51.600] 他不还喝辣也不还要换吗？
[19:55.770] 太多了，有点打算了还是买卖花色。
[19:59.500] 走吧，您等您先进来找一您开车来的。
[20:04.230] 扫一码再出去。
[20:05.890] 有多少人？
[20:07.420] 这记进现在。
[20:09.920] 235 8裸车。
[20:12.570] 没有王一峰那不是G63吗？
[20:15.550] 63，现在卖到300出头了。
[20:18.130] 坐车。
[20:19.300] 车是吧？对您不看扫码15分钟就得出去，你要不看了您再扫确定。
[20:24.980] 确定之后再对，就不是您现在要扫完之后15分钟就得出去了，您确定现在就出去吗？
[20:31.990] 对。
[20:34.080] 我就看着一辆。
[20:35.700] 看看完事。
[20:40.360] 确定。
[20:43.910] 号对吗？1。
[20:46.830] 在这里那山。
[20:56.520] 好可以了，关了就行了，行行不用您出去，待会直接就抬杆了，那个系统自动的。
[21:07.280] 怎么
[21:08.590] 看看这些一会再说
[21:13.160] 了，
[21:15.640] 这是不是能走过来吗？让咱绕一圈。
[21:18.250] 他这门只能进步，只能出不能进。
[21:20.960] 没问题。
[21:22.030] 对，从上面召我来弄得来。
[21:24.120] 您这边绕一下是吧？您不要您从右手边就一口直接出去就行了。
[21:33.840] 这点对就这台。
[21:40.440] 行，有需要到时候您再过来，好，感谢来电，再见，没事儿。
[21:44.800] 再见。
[21:53.640] 没法说。
[21:59.150] 120怎么来了？
[22:01.080] 720怎么来了？
[22:02.360] 如果还不好吗？
[22:23.890] 能行吗？
[22:25.640] 能行吗？
[22:27.250] 也不好了。
[22:28.380] 不让出去。
[22:29.820] 对，他父亲不是。
[22:33.590] 谁知
[22:36.830] 他变了
[22:53.890] 的。
