[00:00.000] 2020年7月15号，刘章良客户刘希教授录音。
[00:05.470] 您好，我姓郭，郭进做自行车的功能介绍，车上有一个密互联的功能，我先给您实名认证一下。
[00:12.230] 您不是军人吗女士？
[00:13.890] 不是，好。
[00:15.870] 留个您的手机号，1390109505370037
[00:24.110] 0
[00:25.420] 030。
[00:33.690] 给您的手机马上会发一个6位数字的激活短信，收到您告我一下
[00:42.170] 了。
[00:42.900] 作为你注册过，
[00:44.950] 您奔驰什么时候买的？
[00:48.090] 买了有七八年了。
[00:50.870] 完了之后，
[00:54.130] 第一点我性格好点，
[00:57.080] 第二保证了简单说，
[01:01.670] 保养的话就是同样的办法，
[01:07.700] 谁知
[01:09.970] 的。
[01:11.150] 因为农业它会有一个质量，
[01:15.200] 如果要超过谁知，
[01:20.610] 不知道你那就是26 1960
[01:25.790] 一点，
[01:28.950] 然后您打开您手机的APP，咱们下一个软件。
[01:31.920] 后期的话，
[01:33.400] 您买新车的数据在您手机上都能看到，英文您搜索MI
[01:39.410] 等一下，
[01:40.730] 英文MEIS妈咪客户端
[01:47.240] 上面会出来应该第二和第三个。
[01:52.260] 在三方上了，
[01:53.760] 我就带着
[01:55.420] 是直接下载流行。
[02:10.020] 的
[02:14.670] 远场
[02:18.080] 三
[02:23.010] 我待会把车给您送过去，稍等一下。
[02:25.870] 如果说
[02:34.950] 三
[02:39.540] 好。
[02:40.690] 好的。
[02:54.730] 看。
[03:01.090] 密码。
[03:02.340] 谁知待会到您登录，您现在已经下完了是吧？
[03:09.230] 打开点登录。
[03:16.290] 说话，
[03:18.290] 三发现
[03:24.490] 基本上都是三
[03:32.770] 所以说
[03:39.610] 给您发的链接都不用管。
[03:44.430] 结婚。
[03:52.620] 没下午完事吗？
[03:54.040] 不着急，身份证需要您这样拿着拍一个照片，我告诉您临时拆一下。
[03:58.550] 调动。
[04:02.080] 谁知
[04:03.720] 深圳一周走完，
[04:10.530] 三
[04:13.450] 打开就可以了。
[04:26.790] 选择
[04:31.090] 对。
[04:32.560] 继续
[04:33.690] 接受登录，
[04:37.610] 第一行是加号86，然后您自己的手机号码。
[04:42.330] 括号对加号86。
[04:52.920] 第二行您填大A小A
[04:58.260] 123456。
[05:00.160] 好，减少对登录就可以了。
[05:04.420] 这个就是把您自己买的新车给您同步到手机了。
