[00:00.000] 把盈利奔驰的梁宇。
[00:02.410] 不好意思，今儿您问我没回，我刚看着我刚忙完。
[00:08.760] 哎哟太忙了。
[00:10.610] 了，信号今儿没过来，我还说你要今过来安排时间咱们不开了。
[00:14.850] 您这回确定好，基本上这两天就准备给他提了是吧？
[00:29.760] 上回
[00:32.680] 上回那个事
[00:34.190] 抽检车
[00:35.640] 红的。
[00:37.010] 我当时给您微信发过照片，
[00:39.150] 你又回去考虑，考虑完了我记得我印象当中您是白色或灰色都行。
[00:44.870] 要抽检车是考虑考虑的，因为出险车便宜，出险车基本上综合下来优惠个85,000的，
[00:52.000] 那车便宜
[00:54.820] 一点不能很好。
[00:58.290] 对。
[01:02.560] 对
[01:08.830] 对。
[01:10.570] 然后他
[01:14.170] 他们还是。
[01:17.380] 你就买新的就买新款。
[01:27.620] 的。
[01:30.170] 现在的话我觉得我都要救，当时算星期0.99利率挺合适的，一个月100多块钱。
[01:37.940] 然后咱们没有置换是吧？
[01:42.240] 你看我还有点印象，分7煤质化，我觉得综合下来
[01:47.100] 有个。
[01:48.770] 13,000。
[01:56.410] 颜色
[02:01.380] 月光石灰还是石墨灰？
[02:04.750] 我要
[02:08.180] 好像就剩。
[02:11.740] 都挺少的，好像歌声一台好像是。
[02:14.180] 不是哪天过来看看。
[02:16.020] 好像有一台现车，
[02:18.090] 每天都是完了东西了，然后。
[02:20.480] 因为我那个东西
[02:22.990] 了。
[02:24.480] 得了。
[02:25.220] 然后已经核实过了，
[02:27.190] 然后他是不是有一个厂家也保护
[02:29.600] 吗？
[02:31.300] 本来银行是怎么演的？
[02:34.650] 现在新车是质保三年可以再往后再延续。
[02:41.230] 再延两年。
[02:42.650] 没有。
[02:45.260] 他就两种，一是厂家的，
[02:47.640] 二是有个店内，
[02:49.560] 有俩
[02:53.100] 可以到时候来了解一下，我给你看看。
[02:58.570] 就是条款
[03:00.720] 怎么保什么？
[03:02.300] 考量
[03:14.250] 有点区别远远区别。
[03:17.920] 好像差不多。
[03:25.970] 的
[03:29.280] 对，但这个店里的
[03:31.180] 好像你各个店他都行。
[03:34.980] 主要是奔驰店。
[03:37.720] 奔驰店承认。
[03:40.590] 所以说你这个可以了解一下，可以过来了解一下，没问题就有。
[03:44.770] 有服务远场都有。
[03:47.000] 话。
[03:49.700] 可以。
[03:51.080] 保养、
[03:54.290] 原厂的是买卖一次买延保送一次保养。
[03:57.850] 的
[04:04.720] 问你问一下。
[04:10.090] 网
[04:11.590] 到
[04:15.930] 保持。
[04:17.400] 这好。
[04:18.360] 了。
[04:19.240] 这行业没有好像没有这个说法，我可以帮您招试一下，确实这事儿。
[04:26.050] 谁知
[04:30.050] 明年应该谁知
[04:32.360] 厂家是怎么样的？
[04:33.860] AB送A包没必保了是吧？
[04:37.730] 有必要吗？
[04:40.560] 我进厂A宝。
[04:42.470] 谁知
[04:44.200] 要
[04:48.240] 好。
[04:51.880] 说
[04:52.660] 有点
[04:54.570] 要更好。
[04:55.770] 后来想法或者200块了，500。
[04:58.580] 有百多不到1000就1000
[05:00.950] 700多块钱。
[05:06.060] 1300. 
[05:11.320] 28。
[05:18.970] 88元。
[05:22.940] 这是之前了解的，您知道。
[05:25.620] 谁知
[05:29.990] 是吧？
[05:31.190] 对。
[05:31.760] 快。
[05:34.960] 对，老出问题他也不给你钱，就跟华人显示了，你5年以后不给你保，还想乐宝公司也聪明，那5年以后车花的太正常了，他不给你保了。
[05:48.440] 给
[06:01.850] 的。
[06:03.010] 大概。
[06:04.690] 的。
[06:11.970] 对，厂家都一样。
[06:14.620] 都一样。
[06:16.830] 都一样一模一样。
[06:21.780] 对。
[06:26.520] 对。
[06:28.380] 对。
[06:35.720] 对，那肯定的。
[06:46.750] 是的。
[06:49.150] 您看你看你哪天有时间，然后我们到有时间过来
[06:54.280] 定一下。
[06:57.620] 我要好好的话说。
[07:28.030] 所以说有的时候就是客户考虑说他店里的地方如果住的近，后续店里的也合适，店里的保留价可能会多一点。
[07:37.740] 覆盖的东西比较广。
[07:41.760] 我就给您确实一下半场家的现在都不多。
[07:45.020] 多。
[07:45.440] 因为现在有豆。
[07:50.160] 白的。
[07:51.220] 还没有。
[07:54.880] 没有黄的。
[07:57.180] 买得很少。
[07:58.560] 发黄了可是？
[08:00.640] 没有。
[08:02.040] 那块没有。
[08:04.660] 没人买那发黄的。
[08:08.960] 着。
[08:09.960] 你还晓得那个啥？
[08:13.640] 那时候补漆的色差可明显了，
[08:20.300] 他对4S店补他也有色差，
[08:22.400] 因为他出场的时候就发黄，
[08:31.440] 这麻烦事对。
[08:34.670] 对，它不纯的颜色。
[08:44.850] 这有个叫石墨灰，
[08:47.040] 还有他月光石挥两挥，我觉得石墨亏可能好看点。
[08:50.710] 石墨灰可以。
[08:57.890] 还有盖蓝色也行，我觉得。
[09:00.310] 妈妈。
[09:08.200] 周末时
[09:11.510] 这也是相当好。
[09:13.600] 我把
[09:18.560] 高级点我觉得这个颜色。
[09:23.900] 对。
[09:28.210] 对。
[09:30.110] 就行真的。
[09:42.880] 远。
[09:44.980] 对。
[09:48.420] 对。
[09:50.100] 了。
