[00:02.370] 你好，侯先生，我把他奔驰的梁宇，
[00:06.070] 咱回去考虑怎么样了？
[00:14.530] 好勒，不是他们的联系哥。
[00:18.120] 这样。
[00:27.420] 王姐你好。
[00:30.080] 没有，我说我看今天没发指标材料信息之类的信息类的。
[00:57.870] 他这个身份证能。
[00:59.830] 他甚至能他出差了，是不是能给咱们用吗？
[01:09.660] 他身份证在拿着，
[01:13.070] 他这出去完了得什么时候回来？
[01:16.870] 这书好了，
[01:25.840] 他要是不回来他住酒店什么的，他用身份证吗？还是说
[01:34.690] 还有酒店给他？
[01:36.440] 吗。
[01:41.670] 身份证。
[01:42.650] 份证拿不回来，那你问问他。
[01:46.090] 大概哪天回来？
[01:47.870] 然后如果说他但是有一个您给他打电话，他
[01:53.530] 照片都没发给您。
[01:59.160] 对，但是得有信息，对你还得问他信息。
[02:09.030] 他愿不愿意分歧的事。
[02:12.690] 咱这肯定。
[02:14.640] 对。
[02:15.540] 明天就周四了。
[02:17.080] 你说是不是？咱正常定了，周五还教管你这要是
[02:21.240] 明天还没提交的。
[02:22.540] 话周五可能就。
[02:24.390] 就更管不了了，这还没批复下来咋教什么票，
[02:29.300] 你正常来说就没法往后拖吗？
[02:33.120] 约定好是一周时间了，是不是？
[02:36.110] 咱这已经这么多天了，然后你要确定时间，比如明天把资料递交齐了，
[02:42.530] 周五迁过来交款，
[02:44.080] 然后他就说6月份能回来，什么时候回来了，你下周再提车。
[02:48.690] 这款您交了。
[02:49.810] OK也OK先放款。
[02:51.520] 先把保险生效了，
[02:53.670] 有没有？
[02:55.360] 把。
[03:01.480] 有我们定的不周五吗？
[03:13.790] 那就是新秋款先批分期间交款。
[03:17.470] 可以到时候提车。
[03:20.600] 交款不影响。
[03:25.150] 对，因为有了指标人生的原件材料。
[03:27.930] 才能办临牌。
[03:29.070] 因为他扫
[03:30.780] 嫂那里边信息，
[03:34.220] 但是车管所联网的系统你可以说，比如说他确实要是下周回来，他同意分期，咱先把分期批了，
[03:42.610] 批了周五正常交款，
[03:44.220] 证人外手去，等她回来以后身份证给我寄过来，我这发名牌A货拿过来当天就办理盘半一班车开走
[03:52.610] 了，这也行。
[03:55.490] 好。
[03:57.020] 好，这样保持联系。
