[00:02.010] 您翻过去。
[00:04.970] 您好，刘先生，哪个力？沃尔沃销售顾问郑超名片。
[00:08.310] 第一次一次来这儿有约的销售人员吗？没有喝点什么水，咱这有咖啡、矿泉水、果汁，还有咱白开水，行，白水，然后小姐您需要吗？不用，我看您稍等了，车好了我给你拿过来。
[00:53.350] 您好，刘先生。
[00:56.280] 主要想看什么车型，哪个还是6种，置换还是指标，你说置换享计划什么是旧车？我们家是现在的新胜达。
[01:05.680] SUV是吧？
[01:07.300] 年头长吗？那时候那车开了11万多公里了，
[01:12.320] 1万己记不清哪年的。
[01:15.140] 那年的就是11万公里，10来年。
[01:19.440] 差9年好像这一年1万1万多一点，他就这样家用什么这个也是主要您看还是家里人，我现在拿驾照了我也拍，也主要是我妈看这款车了。
[01:30.850] 想考虑分期是吧？咱们也有不错的分期贷款方式，然后可以给您算，行，您先介绍一下车型，没问题，我给你拿本资料过来马上过来。
[02:06.230] 刘先生您好，咱们产品资料
[02:08.080] 我跟网上去查这车，想考虑什么购车，什么坐车，想考虑什么时间购车，
[02:14.190] 也就是这样，因为我们那车也实在是分毛病了是吧？
[02:19.510] 等于是想通知预算多少钱，我给您推荐一个配置比较合适的，我看网上说这车有TT几天什么意思？咱们是分T3，T4和T5，但是来讲的话像这款车型的话，你像咱们过发动机。
[02:33.870] T3、T4、T5、T6、T8，
[02:36.630] T3的话，像咱们这款车是2.0T的标准工具。
[02:40.570] 第四是重一点的功率，然后T5就属于S60和ps160那种高功率的发动机。
[02:46.990] 然后T6的话用的是双增压发动机，主要用在咱们的sc90上面，T8车型的话是它的混动车型，插电混动当然已经不差掉了，自己D发动机充电也可以，
[02:58.520] 是这么一个情况。
[03:00.000] 而上S60的话都是按照0T发动机车、地铁，这款展车摆的是T4个高配的这款致远的，还有一个致益的两款，
[03:09.330] 主要卖的最多的就是这两车型，像这款车其实像平时什么兴趣爱好，您打个比方自驾游玩去的话，
[03:17.190] 20T发动机发挥非常好的动力，保证咱们驾驶的一个乐趣。
[03:21.230] 是这样，然后我给您介绍一下这个车，首先咱们
[03:25.320] 沃尔沃说实话他最大的两个卖点，一个是安全，一个环保，就是一提到我都会想到安全吗？就看看没错，咱您可以在车头看看咱们沃尔沃所有车中间都有这么一个包，而且有梯形的一一一格的，所有车全都有
[03:40.810] 这款配置，并且在边上有一个小的探头，这是什么意思？一格一格的是咱们的自适应巡航，
[03:48.610] OK咱们沃尔沃的自定速巡航，自适应巡航就是他可以做到跟停，而且我们是全速域的。
[03:56.140] 您打个比方，这个车您设定50公里每小时时速，
[03:59.270] 咱们现在在辅路上走，如果说前面一间半车的话，自己车会
[04:04.420] 慢慢减速，那会跟着他一块走。
[04:07.390] 当然如果这个车走了，咱们会回到50公里每小时时速，
[04:11.690] 咱们是一个自信的情况，很多品牌都有定速巡航，但是自适应巡航也就出现在高配，但是这对于沃尔沃是标配。
[04:18.430] 就全系标配，对，而且自身巡航我们配备了一整套的城市安全系统，主动刹车，
[04:23.650] 包括车辆紧急避让，
[04:25.560] 这都是标配的。
[04:27.120] 而且沃尔沃在做主动刹车的时候，特别是边上的一个摄像头，那是一个光学传感器，
[04:32.310] 主要是为人员，
[04:34.000] 他的主动刹车也分为两种，一个是
[04:37.080] 行人。
[04:38.010] 车辆和物体，如果说是车辆的话，它是两脚刹车。
[04:41.250] 如果是行人的话，基本上就一脚刹停了，
[04:43.880] 来保证咱们车辆一个安全和人类的安全。
[04:46.580] 而且像这款发动机。
[04:48.470] 发动机的缸体缸盖都是全铝的。
[04:51.150] 所以有效降低的车身的一个重量，来保证咱们车辆的燃油经济性的保持。
[04:57.170] 这是几个油，咱们市区开这款20T发动机，咱们T4这款车型基本上8~9升油就足够了，很节油了。
[05:05.780] 您可以看一下咱们内饰，您这边请。
[05:10.200] 咱们这是P48P4，
[05:12.540] 我给你打开门，您可以看一下摸一下咱们的座椅。
[05:16.160] 沃尔沃的内饰不知道刚才您做没做，他用的座椅的话是真皮做，也绝对是真皮的，而且您坐那市里边绝对这车没有味道。
[05:24.270] 环保也是咱们一个最大的卖点。
[05:27.880] 包括咱们大哥说实话，咱们座椅里边的填充物都是环保材料，刚20岁，
[05:36.800] 不好意思叫老了，然后像他里边的座椅它有一个特点，货物在头枕是动不了的，它是特别的人体工程学，对特别人体工程学，
[05:48.730] 而且咱们可以看一下在。
[05:50.580] 这个位置这儿咱们会有一根
[05:53.600] 长出这么多一个钢梁，当然内侧也会长出来。
[05:57.070] 这个钢梁的话就是我的一个安全配置，它讲究的话如果侧面碰撞先装着
