[00:26.440] 到底有什么贵重物品吗？
[00:30.480] 后备箱是吧？
[00:32.430] 杨
[00:34.880] 稍等。
[00:40.460] 行在手扣里头。
[00:44.360] 我在车里照一下就行。
[00:49.760] 好勒。
[00:56.240] 您的证件在车里吗？
[01:00.330] 身份证那了吗？
[01:04.440] 我让拍个照片。
[01:06.200] 有照片吗？
[01:08.480] 照片。
[01:20.310] 激动场景
[01:21.920] 权丧失，
[01:25.200] 行驶本没在这中间，
[01:30.800] 小本没办中间是没事。
[01:50.760] 清楚。
[01:53.770] 我都检查什么的，拿出来吗？
[01:56.280] 的。
[02:00.020] 你给我把在我包里面荷包里面的房间，你给我把贾家收购了，给我拍个照片。
[02:08.020] 没事我用电话对186，然后再把身份证给拍个照片。
[02:17.360] 这样的姓名还有电话没退，80699身份证号你看看。
[02:23.000] 也都对是吧？没有。
[02:25.750] 没有了，您这是手稿是吧？
[02:30.130] 我带你们玩一下。
[02:32.410] 这样你才能开参加高考。
[02:34.800] 多长时间？
[02:36.270] 正常做的话两个小时左右，加上洗车可能两个多小时。
[02:43.590] 8494。
[02:46.350] 保险也到期了是吧？对，我去帮保险型保险得要什么东西。
[02:52.230] 去年也是在这上的，您拿行驶本身份证去就行了，身份证复印件、照片应该也可以，您到时候让他们看看。
[03:01.430] 车里贵重东西看看。
[03:15.560] 贴了车一了是吧？
[03:23.560] 行。
[03:24.850] 爱屋里头我给你开一单子。
[03:28.590] 手稿算一下机油机滤，然后有个机油油路清洗就行，其他的检查一下。
[03:34.850] 现在是1:30、2:30、3:30、3:30、4点差不多。
[03:40.960] 保险您知道吗？在后边那楼。
[03:43.130] 我不知道你防止待会您从我们这楼出去侧面，然后往后走着，后边那楼写着一楼，
[03:50.820] 我先给您办个导演，
[03:58.630] 来屋里坐，待会给你报个价。
[04:06.520] 收过去。
[04:07.790] 然后正好我们现在新推一个叫逮捕车险，
[04:11.170] 您可以考虑一下
[04:12.660] 上保险的时候要不要一起。
[04:14.430] 这个是1498，就是一年之内如果
[04:18.490] 有您的车出险在这修车，
[04:20.820] 只要修一次2000 5000斤，最多一年才两次。
[04:36.940] 二
[04:37.900] 五。
[04:39.210] 更好的了。
[04:40.630] 完了。
[04:48.850] 三实要求。
[04:53.260] 谁知
[04:56.290] 他给你定，你要跟我说清楚，
[05:04.110] 他的
[05:12.420] 胶片要换皮大战今能走吗？
[05:20.510] 3和9M3交费咱手里。
[05:23.730] 能走是吧？下班。
[05:26.060] 这样。
[05:29.420] 对电瓶不换就换皮带要出去
[05:33.440] 了。
[05:34.710] 在上网
[05:37.680] 有什么意见？
[05:40.090] 已经不是因为电瓶电量国际导致
[05:44.440] 他出现不修了，
[05:47.020] 然后就换皮带和转轮就下不能走。
[05:49.350] 工作。
[05:50.550] 好了行我明白了好了，我先弄一下单子就放掉了，那个配件现在可能在忙，
[05:57.150] 大概给您报个价应该在3000块钱左右。
[06:16.240] 来
[06:18.150] 机油几率应该是2000，然后进入休息室700 710，应该在2800左右。
[06:27.480] 应该差不多2000不到3000块钱，因为他骗给我个东西，对我给您留一单子。
[06:34.960] 今天就能
[06:37.000] 对最基础的了，5:30下班了，5点
[06:41.380] 条件2000 2000多块钱不到3000块钱房子放在中介。
[06:47.520] 首先
[06:52.200] 应该是最便宜的保养。
[07:06.350] 说
[07:10.360] 的
[07:11.420] 的
[07:18.650] 再签一个。
[07:37.010] 场
[07:38.440] 的。
[07:49.680] 加上油清洗，
[07:56.670] 待会您上保险咱们这楼上
[07:59.400] 的
[08:00.620] 打电话
[08:02.570] 场。
[08:04.650] 场
[08:06.170] 快
[08:08.870] 场。
[08:14.990] 三
[08:15.760] 五
[08:33.240] 装
[08:37.880] 了就这么着了。
[08:44.720] 弄完了。
[08:48.870] 行等。我现在给你打电话吗？
[08:53.240] 没。
[08:54.610] 还没事是吗？
[08:58.270] 有没有去车间他基本上。
[09:02.910] 对
[09:05.450] 一点P的300块下来。
[09:08.820] 就这次如果说把电话了，下次在换牌也行了，也行，这样那5分钟以后我给你我现在的电话，
[09:19.310] 好吧？好拜拜。
[09:25.760] 对
[09:31.240] 的。
[09:41.940] 能
[09:45.210] 价格。
[09:46.690] 三
[09:49.120] 数据
[09:54.360] 数据
[09:55.550] 的
[09:58.150] 花。
[10:06.930] 场
[10:37.910] 了
[10:39.160] 人
[10:42.590] 的。
[10:49.510] 晚上再给你打了350
[11:20.430] 您拨打的用户暂时无
[11:22.120] 无人接听，您可以在B声后给他留言，留言将收取。
[11:28.780] 您好。
[11:30.570] 您好女士，我跟您确认咱们新车的地址是
[11:42.240] 农大是吧？
[11:45.250] 到
[11:50.990] 还有具体点的
[11:52.660] 远远
[11:57.690] 数据
[12:00.510] 话
[12:02.060] 花
[12:07.360] 流浪家园家园
[12:11.570] 的
[12:14.430] 花
[12:25.910] 黄旗东路19号是吧？
[12:29.920] 这就行是吧？
[12:34.680] 然后我跟您一下电话是15810426143。
[12:40.460] 您贵姓？
[12:44.800] 张女士是吧？
[12:46.870] 好勒，然后车牌号是京QW8F87F7是吧？
[12:55.120] 我看之前这个系统里登记的是刘雪莹女士，对吗？还是登记错了？
[13:02.880] 那就不是您是吧？
[13:05.520] 车主当时登记的行，那就是写您收就行是吧？这是吧？
[13:09.750] 好勒，我这边现在开始大家
[13:15.290] 这三
[13:16.990] 当天到账我这边下完单以后，电价应该会尽快赶过来。
[13:25.280] 我不知道从我们这到您大概得需要多长时间。
[13:30.490] 然后代价出发前他会给您去个电话，到时候接听一下电话就行了，好吧？
[13:36.760] 好勒。
[13:39.090] 他是这样，那个车到时候到您那儿的时候，您手机会收到一个验证码，你把验证码给代价。
[13:54.810] 是吧？
[13:55.700] 好勒好再见好。
[14:05.080] 睡觉了。
[14:06.060] 拆我一会把单子拿过去差不多。
[14:08.510] 电话。
[14:09.600] 画画，你先拆面膜。
[14:15.250] 好了。
[14:20.680] 是我知道我把单子给放掉了，你先拆一会你来这边拿，不能拿料再拿单子。
[14:25.960] 好吧？开了。
[14:29.290] 32好好。
[14:34.850] 你们现在不都这样。
[14:37.290] 现在不要非常nb，
[14:40.980] 都是空调的。
[14:44.660] 你快。
[14:46.790] 这房子能存钱好像然后用的时候往一吹，
[14:53.240] 拿出来了往里推，
[14:57.220] 发了多少钱？
[14:58.600] 也能放不少了
[15:02.130] 的。
[15:06.190] 远。
[15:11.780] 数据。
[15:21.850] 快
[15:22.620] 的。
[15:24.670] 不管多少钱吗？
[15:25.820] 一千百万。
[15:28.030] 百万。
[15:34.810] 用
[16:27.240] 有的时候
[16:28.320] 的
[16:37.600] 的
[16:59.570] 本来想明天休。
[17:01.960] 吸收代理。
[17:03.840] 什么特点？
[17:05.180] 然后把谢谢
[17:08.110] 三
[17:09.760] 好久了？
[17:14.020] 好几个人，今天三号，今天是三八节。
[17:16.950] 下午好，我这么多了。
[17:20.280] 6162738。
[17:44.020] 的
[17:45.000] 的。
[17:48.150] 我个人觉得要
[17:50.140] 稍微放慢点道理
[17:57.670] 的。
[18:16.080] 这就是一个思路，
[18:22.890] 往往交易
[18:29.990] 对。产品。
[18:32.590] 这样说，
[18:34.080] 数据
[18:37.670] 的
[18:42.230] 数据
[18:47.070] 的
[18:54.440] 数据
[18:59.480] 数据。
[19:01.890] 五
[19:04.550] 9
[19:08.190] 场
[19:09.480] 数据
[19:10.590] 数据
[19:12.970] 不是。
