[00:05.040] 女士您好，
[00:10.920] 咱这个车现在公里数是44,909，楼还剩一半，
[00:16.610] 您这车上小伤口真不少，左边一侧这划痕还挺厉害。
[00:23.010] 怎么称呼您？
[00:25.840] 张
[00:26.950] 张近。
[00:28.340] 是手机号尾号77942是吧？
[00:36.830] 张弓长张张静张女士，13911197942号。
[00:42.030] 电话。
[00:42.900] 我用一下您的驾照或者身份证其中一个就行。
[00:54.060] 你好好莉谢谢您，35020319608254026。
[01:02.420] 好好了，张女士给您您这个车刚才我看了后备箱盖跟后杠，正好那地方状态还比较
[01:10.470] 比较特殊。
[01:14.970] 您什么就先里拆解报价检查。
[01:18.620] 香玉姑的时间可能得在一周左右。
[01:22.500] 一周。
[01:24.460] 如果说车间，因为您这后备箱盖，我刚才我开了开他正好尾灯那块他不是双层，那里边已经撞进去了。
[01:32.270] 如果车间师傅觉得这个地方如果是钣做钣金，如果要是什么把砸不出来的话，后备箱盖都得换了。
[01:40.840] 所以说给您预估一下，如果等车间这边跟维修方案出来了之后，
[01:47.040] 第一时间就是在不修车钱的情况下，先给您打个电话跟您说一下咱这形状。
[01:52.770] 他今天有点忙。
[01:54.920] 一是大热天的，再加上赶上现在疫情是不是？
[02:01.940] 您这块到时候什么要完全车间师傅要说修不好这东西是吧？
[02:08.030] 你要是到弄不好就往里边漏水。
[02:12.200] 漂亮。
[02:14.860] 这个东西现在。
[02:19.230] 怎么说，现在有可能也不漏，也有可能漏，是因为你毕竟它变形了往里漏，它毕竟着扭着。
[02:25.750] 另外一个就是说它不漏的情况下，它这地方撞进的时候你没动，他之前他是
[02:31.460] 他俩是合着的。
[02:33.020] 你动他。
[02:34.320] 他就更漏了，有可能。
[02:36.560] 会休息了。
[02:41.170] 这个不会，我们想修这种活的时候，
[02:43.960] 都林修完，修完之后检验的时候得用高压水枪什么的，咱那洗车房是不是
[02:50.410] 给充冲一下来我们这做实验的。
[02:55.220] 完了把身份证了，这块要是短的时间顺利的话，三天。
[03:02.700] 对。
[03:08.310] 的
[03:17.500] 的
[03:19.080] 的
[03:21.680] 把
[03:23.830] 10
[03:25.360] 啥？
[03:29.720] 而且使用盗版软件，
[03:33.490] 就像下雨这次机会，
[03:41.680] 我刚才一开始看车的时候，
[03:44.130] 我小时候我说没看到，我以为是追尾什么的，他没看着烧，然后就一看正好窝在那角，那就是撞去了。
[03:52.750] 谁知。
[03:56.650] 对，这个就属于那什么，咱说就用
[04:00.350] 用咱老百姓的话说，您这车撞的不厉害，但是说说那什么点话就是撞的不是第二。
[04:06.840] 这个地方。
[04:10.460] 厉害倒不厉害，他不是第二。
[04:23.080] 你就得花多少钱。
[04:26.590] 这需要光完全修的话，可能需要个8000块钱左右。
[04:32.950] 如果要是换，然后如果说后备箱盖要修不出来的话，这笔15,000左右，
[04:40.320] 因为牵扯到换后备箱盖。
[04:47.410] 这个得让车间师傅看一下，因为。
[04:50.910] 明明然后给他
[04:53.110] 用
[04:54.920] 调整一下。
[04:57.250] 因为它后备箱盖是双层，
[05:00.430] 这不是单层好呢。
[05:14.340] 不是特别严重。
[05:15.290] 还是。
[05:16.180] 位置比较特殊。
[05:31.390] 而且
[05:32.590] 张女士
[05:34.160] 我叫胡永和，这个是我的手机号，您在这儿签个字，对。
[05:39.290] 原件。
[05:43.010] 给您，咱俩这是一式两份是一样的。
[05:46.770] 我这边就齐了。
[05:48.590] 给您刚才那个是我的手机号，也是我的微信号，然后方便咱俩联系，我在这
[05:54.920] 这边第一是有结果了，第一时间会联系，对告知一下您咱们的维修方案。
[06:00.550] 然后。
[06:03.610] 只要咱们这个方案确定好了之后才那什么就快乐。
[06:10.950] 关键是看吗，对，因为这个东西您说双层的这东西说他现在
[06:19.510] 他说那个地方是吧，我下不进去，进不去你没法挑的里头。
[06:25.970] 你在现在咱们一修车又不知道过去那种敲敲打的这种
[06:30.660] 失误了，一旦达到这种程度，比如说特别它的维修人工人力比较大的情况下，直接进行更换了。
[06:43.350] 而且因为毕竟新的配件金额，但是拍上期之后什么他要比人工修复的强度要大。
[06:50.570] 先这是现在修车的理念，不像过去因为过去它没有那么大精力，这个东西即使把铁板剥开了之后，
[06:58.350] 给人砸好了，再给你焊上，一板斤就得需要个三四天的时间。
[07:03.350] 而且来说他即使再给您hi上之后，因为人工焊的他说时间长了他肯定会show，
[07:09.170] 它不像那什么现在
[07:11.010] 现在的工艺就是那什么，一旦达成达到百分之多少维修了，或者是这种死者抛下不去家伙的，没有必要剥开的这种维修，
[07:19.410] 做这种维修方案了。
[07:21.270] 所以说达到这种程度就给您换一新的。
[07:24.570] 你觉得。
[07:26.390] 当然是，但是换心里还有换新的问题，你比如说后备箱盖换一新的话，咱们把您这玻璃什么的给拆下来，
[07:33.330] 还得装的装到您的心，它只是给您换一后备箱，
[07:37.430] 是这个意思，然后后备箱盖来的新的他也没有漆，还得咱们现场巧用原厂漆给您喷一下，
[07:45.010] 开完漆之后把玻璃装上，然后之后再干才想到
[07:49.210] 主要是。
[07:51.040] 您告诉。
[07:52.670] 对第一方案出来之后第一时间告诉。
[07:56.230] 好吧，咱们今天在这就齐了。
[08:01.090] 慢慢点了，再见。
