[00:01.810] 7月16接待售后推荐客户我给你吃，
[00:05.260] 上课家人说他们没办法更多的留在3:25开始
[00:09.360] 了。
[00:18.680] 来
[01:05.510] 今天下午帮我开一下门，
[01:07.960] 谁知
[01:17.410] 你快点。
[01:19.280] 您看车是吧？他说咱们去对面展厅登记，
[01:22.570] 那边要照顾不是。
[01:25.520] 所有的就在这边，但是咱得从那边找相关，因为这边只开个店。
[01:29.930] 这边没有前台。
[01:37.560] 您好女士。
[01:39.200] 王柯淇大家接待，咱们想看一下，还是我想看看？
[01:46.850] SUV是吧？对还是因为咱们刚才在那个时候我帮您看了看有交易，
[01:53.530] 我们家那位让我
[01:55.540] 的有一个既然有S的将还是在门口带您看一下。
[02:01.410] 那个展厅里边没车，那车太少了。
[02:10.600] 卖掉有点热，您交流一下。
[02:13.160] 然后咱这儿这台车GRS是7座的。
[02:18.340] 这块是吗？这？
[02:20.500] 这个就是交易，我刚才说日常家用的话，我坐车方便一些，所以买这个还算比较多，但是一般蓝色可能觉得车大毛病就是
[02:30.850] 这就是7座。
[02:32.670] CS450它分动感跟豪华两个配置，
[02:43.760] 然后大小成分都
[02:45.040] 是一样的，然后动感的
[02:47.580] 方向盘不是这种木纹跟屏幕拼接的这种，
[02:51.670] 这都是P的，这个是豪华的吗？对着荷花版外边多了一个侧踏板，
[02:56.960] 然后龙骨是21寸的，如果是动感版的话，外边没有扩大，蟠龙谷是20
[03:02.500] 差一点点。
[03:10.040] 您说的是抬头显示还是说咱们那个屏幕？
[03:13.520] 您费用。
[03:16.970] 屏幕的话，这个是咱们的
[03:19.100] 一个双12.31的颜色，
[03:21.240] 这个跟咱们的电路内饰基本上差不了太多的。
[03:27.830] 这材料是多大的？
[03:29.450] 3.04.62点。
[03:31.920] 办齐的话豪华大概是在150万左右，然后冻奶的话120多万。
[03:37.050] 我看看后边
[03:40.430] 因为我觉得最在意
[03:42.560] 上下
[03:46.860] 这个也是上面窄窄一些，对有这么一个流线型，它不是那种方方正正，因为我在选择是入股还是这一个
[03:56.240] 现在落寞在这里，我们家住在对门，我觉得
[04:00.540] 维修方便非常方便，基本上咱店好多客户远远就远到那边，南路什么是底层？
[04:11.280] 对，我觉得咱平常你要拍的话其实
[04:14.780] 更合适，7度其实只是
[04:18.300] 后边俩做站在后备箱的空间，
[04:23.210] 而且P过超前，咱还得两年一夜
[04:25.760] 到对不对？可以放下去，对可以放倒的，但是后美可能速度特别快，这些会比较宽，所以后排座位是可以检测对前后挪动的，
[04:40.170] 所以舒适度还是不错的，这车GRE这叫JRS吗？这俩车后排都可以移动。
[04:51.250] 然后咱们
[04:53.610] 反正就是两个，
[04:55.620] 对于咱们来说买这个车
[04:57.990] 一般都是两种情况，要不然
[05:01.420] 有个二胎，
[05:04.240] 要玩就是说
[05:05.920] 商务
[05:07.000] 但人多一点。
[05:08.300] 我认为这样
[05:10.850] 我们家都不行，
[05:13.230] 所以咱可以看看，觉得因为有两个车的车牌是要到期灵光了，还有大型服务器那两个药罐
[05:20.630] 换一下，对，但我自己有一个很大这方法740是很大，你就商务够用，
[05:27.910] 也是不需要什么商务，我以后就想有越野车是
[05:33.260] 反正都是15岁了，万一以后上大学以后可以开车了，他有一个合适的
[05:40.790] 也让他看一下。
[05:42.540] 我还是可能觉得GRE和试点为什么？如果他真是跟考完驾照开车练练手什么的，这车太大了，这车5米2了，但是我们因为草原有房子，所以经常会
[05:57.120] 带着人去草原，好像我偶尔原来也看过，因为我那个老板就很
[06:02.840] 没感觉。
[06:03.800] 所以我猜这可能有点
[06:06.730] 咱有试驾车，您可以试一下，感觉一下了就会觉得比较
[06:11.480] 南开不好操控应该倒不至于味道不对，打开畅通，我是觉得看着
[06:17.350] 因为我们可能说拆一段时间的评估不好，
[06:21.570] 咱厅里有一台白色的，正好您能坐上去感觉一下，我带您看看。
[06:30.380] 空间大小跟这都是一样的，
[06:59.330] 而且底盘还挺高。
[07:01.390] 如果说咱出去的话，咱可以升降吗？可以的。
[07:09.200] 但底盘越高，
[07:11.830] 我觉得就对于在屏幕上行驶底盘高低
[07:15.200] 没有什么区别。
[07:17.090] 你刚刚其实他就是说把我的号
[07:21.050] 的
[07:22.540] 场。
[07:25.510] 又坏。
[07:27.730] 说。
[07:30.800] 那就是我特别。
[07:32.500] 别不喜欢那个带。
[07:33.780] 俺的你知道吗？觉得卡裤腿是吧？
[07:36.120] 不是我觉得太。
[07:37.080] 看太土了。
[07:37.980] 然后我也不喜欢让他。
[07:39.630] 这个还是比较熟。
[07:41.590] 无。
[07:42.280] 对空间的大小，对合适咱们家用并继而一是吧？对，继而一
[07:47.910] 因为我们肯定是给您推荐一个最适合的，然后有底盘升降，而且底盘升降大概在一个拳头10公分。
[07:55.170] 不少，就平常咱们如果在市区内开，
[07:58.140] 咱们有食宿要是快一点的话，他自己也会降下去。
[08:01.830] 如果真是咱们到外边越个野鸭路过沟坎爬，咱就直接给它升上来。
[08:07.750] 慢速度。
[08:08.780] 直接冲上来，差的挺多的，能差这么多，比咱们S级那种空气情况要
[08:13.410] 所以还很方便的三亚陵多少钱？3.0版提到100出头。
[08:17.890] 100出头。
[08:22.930] 然后这个屏幕也都是可以支持触控，
[08:27.550] 特别封面
[08:28.700] 这两个一队
[08:32.950] 里面。
[08:33.390] 后排没有坐在没有这对了做的。
[08:37.370] 我想把后排的头枕着也可以说说的感觉一下，但是我觉得后备箱我看够吗？它能够快速。
[08:44.080] 放什么？
[08:44.790] 行吗？问题应该没有问题，我给您打开您看一下。
[08:52.850] 月
[08:54.470] 的。
[08:57.000] 起来。
[08:58.940] 没有，而且什么意思，这可能多少呢？
[09:05.270] 除了您看这F还行，但也不能穿。
[09:09.220] 要不
[09:11.520] 然后这样就对
[09:13.280] 这个就可以都碰到了。
[09:15.290] 原来都是手动，现在电动也很方便。
[09:19.380] 然后清理完之后打电动的那种气垫床，
[09:22.680] 那么的空间够大，权重天窗
[09:28.320] 的叫第二个对。
[09:35.400] 对cos看来稍微长一点，然后后排占了大部分还是后备箱的空间。
[09:41.780] 如果您真的返程的话都完全不能做，那也不能坐7个人太太了，在这样了忘
[09:52.350] 了。
[09:53.690] 在谁知
[09:56.440] 比较好，到时候您可以跟没有
[09:59.680] 您可以先生说说聊聊，对我让我给他拍了。
[10:05.870] 让我上来看看这个好好在我们在地面
[10:10.200] 方便。
[10:18.150] 行，那我就
[10:19.420] 特别的，
[10:22.310] 但您说一下，咱就说要再加上一下，对我来说签什么错误没什么感觉，能看外形，只是一般东西，看看好坏，看看内饰，什么专家是那些精确的东西。
[10:35.970] 原来买的都是刺激人家的调查，
[10:41.330] 而且这前脸也好看。
[10:43.320] 我带您看一下这钱粮，
[10:50.270] 这种满天星式的中网材料，你有资料，我要看到后备箱宽恕
[10:56.010] 荣金什么的，对，但是咱现在都是政府投资，
[11:02.170] 都是这种
[11:03.430] 扫二维码。
[11:05.430] 我带您扫一下，您同学合作看一下。
[11:09.180] 是这个吗？这个叫DL萍4503，他这也叫45，
[11:14.400] 也叫450450咱们的意思。
[11:17.450] 对，450咱们分送达跟豪华两个配置。
[11:20.760] 咱们看的是动感，因为您刚才说的不太喜欢踏板吗，豪华一般都带着踏板，功能也没有太多。
[11:28.560] 然后
[11:30.830] 我看看多条宽是205和两米，
[11:35.800] 苞米782018宽度就高速作为销售管理，对。
[11:42.710] 我就是要比较一下。
[11:44.640] 这个地方你说说打下来是多少的什么已经
[11:51.370] 应该差不多以后加上购置税保险，
[11:55.060] 这高配的有个106，
[11:58.230] 然后差不了多少。
[12:01.950] 然后我主要是觉得前脸比较S的前面漂亮一些，前两次属于满天星式的中网吗？看着稍微豪华一点，
[12:10.990] 咱外观A+A相当于做两套，再简单一些，自动强调。
[12:23.670] 没事我知道。
[12:25.530] 反正这车就是进口车比较少，咱们可以
[12:33.360] 自己家用的话，其实白色都卖高，
[12:36.880] 但是我们真的
[12:39.960] 黑色这车一般就白的黑的。
[12:44.090] 我先走从哪出去，我带您去嫂子亭子是开车过来的吗？您没有就溜达过来的。
[12:50.960] 别太近了。
[12:53.540] 我之前卖过一个客户也是在像素
[12:57.550] 向上看向上，不是北京印象是吧？反正就那边楼那比我们还要远。
[13:04.660] 就美在美丽园。
[13:07.740] 然后那天就平常办手续也是，他说我这特方便。
[13:12.350] 对，如果要是锻炼
[13:14.620] 这一点比较好，行，现在先生等一下看看，然后有什么需求您随时给我打电话。
[13:20.710] 感谢了，再见。
[13:45.790] 要躺下
[13:47.800] 的。
[14:44.690] 你就奔驰你不是吗？
[14:47.900] 对吧？你把汶川
[14:51.070] 行可以。
[14:52.430] 没事。
[14:58.420] 好。
[14:59.550] 好勒。
[15:01.220] 拜拜。
[15:05.080] 歇半天牌。
[15:08.220] 140。
[15:09.660] 啥都行。
[15:11.400] 要不然现在宋峰又不是一种共鸣了。
[15:17.520] 铁面无私
[15:18.500] 单子
[15:22.550] 天天开玩笑
[15:24.190] 的。
[15:34.050] 去掉了，
[15:34.780] 首先手上
[15:36.560] 还有
[15:37.340] 阮我的血管，虽然他们都说麻烦你脚，
[15:41.220] 我们穿不进去的速度能很好，
[15:45.500] 他就是那种欧美的感觉他
[15:48.710] 窄。
